 	a82	a10	a83	a31	a47	a61	a75	a21	a34	a85	a18	a43	a24	a61	a21	a47	a0	a21	a85	a25	a92	a96	a31	a88	a62	a24	a62	a88	a75	a85	a47	a36	a26	a10	a9	a87	a97	a87	</S>
je	0.0816521	0.070548	0.0482217	0.0360283	0.0657089	0.040568	0.0357445	0.0334982	0.0233478	0.0343459	0.016233	0.0199542	0.0170134	0.0125977	0.0115707	0.0123461	0.00920517	0.00986024	0.00999417	0.0108773	0.0119214	0.0128769	0.0121401	0.0160956	0.0196588	0.029807	0.0217071	0.0257258	0.0112003	0.0207421	0.0158484	0.0188685	0.0289828	0.0125976	0.0209915	0.0249964	0.0263465	0.0317759	0.038402
ne	0.0152035	0.0144271	0.0136404	0.0244993	0.0271149	0.0254766	0.0387033	0.0302537	0.0320811	0.0252943	0.0238347	0.020327	0.0373493	0.0437825	0.0391062	0.0414013	0.0368338	0.0557551	0.0524712	0.0468736	0.0324798	0.0264723	0.0187123	0.0170763	0.0159507	0.0151852	0.00962844	0.0139513	0.0151637	0.0196589	0.0183222	0.0251212	0.0190177	0.0152862	0.0186028	0.0153659	0.0157357	0.021013	0.0228276
sais	0.0304988	0.0108717	0.00703408	0.0101066	0.0115028	0.0146616	0.0180876	0.0221385	0.024565	0.0341839	0.0359717	0.0350804	0.0596536	0.0726092	0.0579152	0.0455902	0.0424295	0.0435859	0.0461734	0.0380851	0.0314041	0.0168923	0.0278116	0.041281	0.0195338	0.0171609	0.0149269	0.0120657	0.0146621	0.0126669	0.0138242	0.0154664	0.0119673	0.0164787	0.0144905	0.0138478	0.0122801	0.017697	0.0147978
pas	0.0278633	0.0173485	0.0139345	0.0156116	0.0123051	0.0140665	0.0121924	0.0105379	0.0137247	0.0112072	0.0121263	0.0153943	0.0198283	0.0304963	0.0334095	0.0355109	0.0326824	0.0248842	0.0290605	0.0232418	0.0181049	0.0146808	0.0149399	0.0183487	0.0128659	0.012071	0.0216297	0.0389545	0.0298075	0.0353834	0.0472347	0.0403052	0.0501964	0.0368813	0.0388196	0.0336745	0.0308514	0.0376767	0.0621477
pourquoi	0.0240594	0.0203833	0.0157158	0.017438	0.0138984	0.0132016	0.0124587	0.0128201	0.0134231	0.0125655	0.0131587	0.0121921	0.0133466	0.0138294	0.0148392	0.0144235	0.0146635	0.0142074	0.0131304	0.0143566	0.0150486	0.0148959	0.0196261	0.019332	0.0268213	0.0307009	0.042804	0.0482316	0.0292604	0.045797	0.057156	0.0476313	0.0478035	0.0435585	0.0398219	0.037398	0.0392464	0.045541	0.0552145
il	0.03901	0.0289778	0.0148588	0.0183284	0.0127242	0.0102807	0.00690895	0.0076531	0.00866791	0.0076705	0.00840359	0.00905332	0.0166862	0.0220215	0.024167	0.0247175	0.0266218	0.0217213	0.0172616	0.0180293	0.0187456	0.0133966	0.0398726	0.0442214	0.0227206	0.0294453	0.0499519	0.064994	0.0252155	0.0402606	0.0372675	0.0378475	0.0452454	0.0372189	0.0332506	0.0311839	0.029661	0.031035	0.0247026
me	0.0291389	0.0206067	0.0105623	0.0115453	0.00883152	0.00795979	0.0070906	0.00758644	0.00803544	0.00788451	0.00876362	0.00833672	0.0133174	0.0151718	0.0146043	0.0142257	0.0167552	0.016795	0.0216458	0.0241045	0.0219374	0.0139419	0.0253851	0.0263001	0.0139052	0.0250696	0.052672	0.078691	0.0412358	0.0538023	0.0550122	0.0488327	0.0639482	0.0473694	0.0428995	0.0331805	0.0312205	0.030281	0.021354
regarde	0.0367429	0.0282039	0.0181853	0.0181956	0.0173824	0.0160839	0.0152648	0.0155247	0.0128104	0.0158858	0.0142562	0.0140621	0.0143061	0.0173928	0.0197581	0.0182552	0.0160071	0.0140592	0.0180355	0.0190714	0.0165138	0.0113505	0.0210323	0.016278	0.0155069	0.0191574	0.0238481	0.0459009	0.0329526	0.0477454	0.0616592	0.0511951	0.0495719	0.0435586	0.0383942	0.0309535	0.0335293	0.0474869	0.0338819
avec	0.0298171	0.0198676	0.00889693	0.00804082	0.00868794	0.00708876	0.00759607	0.0079227	0.00764692	0.0113725	0.00798339	0.00721732	0.00502852	0.00610475	0.00712269	0.0062274	0.00673647	0.00777255	0.00840036	0.0081513	0.00794247	0.00599878	0.00933214	0.0111124	0.00972038	0.0120521	0.0194937	0.0248111	0.0226881	0.043571	0.0456482	0.066865	0.0566149	0.0697226	0.0734106	0.080984	0.0779205	0.0955853	0.0788443
tant	0.0404366	0.0185771	0.00987718	0.0113337	0.0098036	0.00845359	0.0078182	0.00900355	0.00931107	0.0115567	0.0106619	0.00961963	0.00750989	0.00855079	0.0104287	0.00842583	0.00995743	0.0111623	0.0144726	0.0147991	0.0168671	0.0116526	0.0117699	0.0164414	0.0143204	0.0155819	0.0247435	0.028848	0.0255781	0.0371891	0.0384521	0.0461007	0.0390535	0.051306	0.0546012	0.0789167	0.0723615	0.104165	0.0702922
