 	a87	a23	a70	a90	a25	a44	a75	a85	a37	a93	a96	a94	a90	a34	a98	a47	a2	a57	a87	a23	a87	a97	a87	a23	a9	a87	</S>
il	0.189025	0.17132	0.116047	0.0959465	0.0805183	0.0201197	0.02118	0.0109854	0.0112921	0.00971002	0.00595084	0.00789784	0.00949767	0.00637919	0.00950965	0.0138527	0.019657	0.0246272	0.0233253	0.0281	0.0165512	0.0221262	0.0168864	0.0154844	0.00924472	0.0111994	0.0335665
y	0.00837414	0.00860769	0.00674885	0.0131891	0.0127269	0.0242983	0.0253098	0.0434544	0.0316957	0.0258599	0.0185332	0.0159636	0.0203052	0.0345669	0.0467054	0.0497324	0.0568987	0.0466069	0.0417151	0.0502268	0.0467623	0.0464342	0.0611577	0.0802667	0.0704845	0.0794451	0.0339306
a	0.00781735	0.00635046	0.00904472	0.00881145	0.00733966	0.00426178	0.00388602	0.0042284	0.00313038	0.0027333	0.00193625	0.00303004	0.00471613	0.00838149	0.00872885	0.0182096	0.0147115	0.0143576	0.0290214	0.0244956	0.0407867	0.0436184	0.126853	0.149119	0.0791736	0.151401	0.223856
des	0.0466701	0.0631517	0.0501014	0.0254645	0.022798	0.031189	0.0258533	0.0282543	0.0338247	0.0645061	0.130753	0.071387	0.0418711	0.0336526	0.05063	0.0306846	0.022694	0.0261772	0.0220202	0.0281902	0.0306	0.0178954	0.0248022	0.0156065	0.0210631	0.0193147	0.0208446
grondements	0.0914228	0.0404162	0.0341058	0.0130896	0.0118507	0.0280616	0.0333673	0.0534844	0.0415626	0.0426481	0.0305216	0.0192307	0.0316371	0.0310652	0.0338869	0.0342414	0.0388868	0.0294022	0.0289951	0.0178383	0.0315222	0.0394019	0.0409533	0.0463093	0.0518962	0.0521346	0.0520681
de	0.117526	0.0741915	0.0474787	0.0458935	0.0366385	0.0282925	0.0294807	0.0255507	0.0346806	0.0311024	0.0210309	0.0253668	0.0389615	0.035953	0.0257488	0.019262	0.0199491	0.0204596	0.0153915	0.0156352	0.0187669	0.0197092	0.0283264	0.03322	0.0303327	0.0372745	0.123776
tonnerre	0.0613538	0.0425075	0.0470772	0.0269614	0.0293289	0.0266219	0.0237066	0.0204328	0.0168663	0.0226156	0.0198644	0.0131255	0.0230762	0.0270469	0.0289134	0.0287184	0.0346274	0.0276709	0.0314749	0.0195408	0.0367309	0.0461036	0.0501741	0.0569604	0.0685488	0.0790436	0.0909078
qui	0.0438429	0.029415	0.0344545	0.0250088	0.024514	0.0117088	0.011095	0.00747284	0.00773689	0.0166008	0.0239897	0.0202455	0.01621	0.0143455	0.0154737	0.026293	0.0255396	0.0265603	0.0424479	0.0377958	0.0575017	0.0443765	0.097311	0.0702368	0.0701154	0.0815318	0.118176
accompagnent	0.0795222	0.0415016	0.0456718	0.0226704	0.0292886	0.0143952	0.0152974	0.0115213	0.0104299	0.0103363	0.00951321	0.00646337	0.0103641	0.00963935	0.0135439	0.0253902	0.0244506	0.0293795	0.0456869	0.0326866	0.0577242	0.0623251	0.0705527	0.0658829	0.0569123	0.0628602	0.13599
la	0.0747671	0.0491671	0.058886	0.030463	0.0390867	0.0157009	0.0159767	0.0076087	0.00698459	0.0100057	0.00927174	0.00934915	0.015161	0.0143194	0.0182839	0.0209331	0.0322223	0.023192	0.033354	0.0252114	0.0477099	0.0530101	0.0624778	0.0517002	0.0556676	0.0743321	0.145158
pluie	0.0606151	0.0293847	0.0285663	0.0154399	0.0215949	0.0118778	0.00938321	0.00818079	0.0072704	0.0101627	0.00782306	0.00853918	0.0143454	0.0212799	0.0296882	0.0383646	0.0510788	0.0437839	0.0498946	0.0409632	0.0576088	0.0657943	0.0712185	0.0758399	0.0699461	0.0871424	0.0642135
</S>	0.111245	0.0453485	0.0591984	0.0295738	0.0416394	0.0126993	0.0100884	0.0043314	0.00411161	0.00589671	0.00379009	0.00422167	0.00959263	0.0121363	0.0179839	0.0182414	0.0299837	0.0198589	0.0237413	0.0157164	0.0299192	0.0534956	0.0640654	0.0771473	0.0607261	0.0957547	0.139493
