 	a66	a87	a97	a87	a97	a99	a62	a0	a75	a85	a92	a21	a47	a62	a21	a85	a6	a36	a2	a57	a82	a87	a97	a99	a87	</S>
il	0.0658157	0.056545	0.0493418	0.0381151	0.0320551	0.0163147	0.0116333	0.00678122	0.0105221	0.0126421	0.00436454	0.00291838	0.00463461	0.0045045	0.00509955	0.00775306	0.0193287	0.0475016	0.0731943	0.107179	0.0713766	0.0376306	0.0775864	0.0644963	0.0828253	0.0898401
y	0.0327216	0.0260545	0.0248614	0.0268235	0.0213344	0.0176516	0.0143714	0.0238486	0.020254	0.0407231	0.0617523	0.056101	0.0462647	0.0271282	0.0325961	0.0519863	0.0553447	0.0436856	0.0517009	0.0487883	0.0630805	0.0504554	0.058178	0.0391265	0.0362901	0.0288773
a	0.0246483	0.0215573	0.0252448	0.0306535	0.0249246	0.0257526	0.0204284	0.0166793	0.0129256	0.0165028	0.0295624	0.0179359	0.0150288	0.00944673	0.0189097	0.024463	0.0242072	0.0209472	0.0222751	0.0359675	0.037588	0.0740493	0.098257	0.0970643	0.147223	0.107757
belle	0.0740224	0.0793346	0.0814869	0.0762215	0.0800401	0.0920036	0.0664962	0.0581871	0.043082	0.0394787	0.0471067	0.0339185	0.0365537	0.0152524	0.0178463	0.0209666	0.0199774	0.016831	0.0154344	0.0132149	0.0096194	0.015312	0.00980134	0.00781567	0.0114176	0.0185793
lurette	0.0295113	0.0321516	0.0229681	0.0274968	0.0170465	0.0453865	0.0441554	0.0789853	0.0533717	0.0811545	0.136822	0.113199	0.1095	0.0269648	0.0232734	0.0247062	0.0201366	0.0170052	0.0158569	0.00981043	0.00780557	0.0144906	0.0113751	0.00843959	0.0133458	0.0150413
qu'	0.0619466	0.0777946	0.0670639	0.0358163	0.0596957	0.0534355	0.0591767	0.0462517	0.0276918	0.0580692	0.0605617	0.0455459	0.0617075	0.040021	0.0277521	0.0270926	0.0267732	0.0232272	0.0174279	0.0235765	0.0205478	0.0201319	0.0178965	0.0154866	0.0130249	0.0122847
on	0.112946	0.0877624	0.0820378	0.0678645	0.0570003	0.0437621	0.0418642	0.0228798	0.0229371	0.0361536	0.0379337	0.036809	0.0524821	0.058815	0.0247519	0.0194991	0.0114103	0.0126889	0.0192216	0.0151979	0.0201168	0.0294745	0.0217738	0.0210869	0.0330401	0.0104908
s'	0.10077	0.0912886	0.0701888	0.0379075	0.034393	0.0405076	0.0327986	0.0221223	0.0317637	0.0775754	0.0368821	0.0275618	0.0201473	0.00862313	0.00328059	0.00413794	0.00534318	0.00840243	0.0125215	0.0225867	0.0200826	0.0314679	0.0535741	0.0592713	0.0854982	0.0613039
est	0.118308	0.126713	0.135068	0.0758083	0.0544386	0.0483312	0.0321383	0.0145815	0.0186916	0.022541	0.0134375	0.00923238	0.0119401	0.00497532	0.00295532	0.00270938	0.00287101	0.00337493	0.00554545	0.0125727	0.0146825	0.0251853	0.0375238	0.0509394	0.0675927	0.0878424
vu	0.11173	0.0973601	0.109086	0.104977	0.0668012	0.0631587	0.0415627	0.0128715	0.0149255	0.0133653	0.00754885	0.0102838	0.0104335	0.0142287	0.0199599	0.0237799	0.020976	0.0111097	0.0130965	0.0183164	0.0131386	0.0259158	0.0301806	0.0317167	0.0452483	0.0682293
toi	0.0589428	0.0532236	0.0585855	0.0670609	0.0450751	0.0355667	0.021562	0.0105816	0.0134341	0.0107488	0.00871333	0.0177372	0.0202141	0.0272553	0.0528092	0.0952914	0.100696	0.0683626	0.0261404	0.0262194	0.0156243	0.0190424	0.0263605	0.0259803	0.0391093	0.0556636
et	0.0739882	0.0532379	0.0508038	0.0373958	0.0279932	0.0185995	0.0137051	0.00740847	0.00473237	0.00696208	0.00401258	0.00159763	0.00326456	0.00459889	0.00764043	0.0136818	0.0253791	0.0211532	0.0258932	0.0344506	0.0224007	0.0420577	0.0811221	0.0952542	0.128915	0.193752
moi	0.0606181	0.0557782	0.0541425	0.0494477	0.0427704	0.0393615	0.0296417	0.0153166	0.00729908	0.0102603	0.00672298	0.00249064	0.00670924	0.0108292	0.0148563	0.0200336	0.0289238	0.0229968	0.0303839	0.0378632	0.0282223	0.0503484	0.075351	0.0843218	0.104987	0.110323
</S>	0.0795293	0.059725	0.0411137	0.0293092	0.0195544	0.0158807	0.010185	0.00738905	0.00530296	0.00703393	0.00473088	0.00468068	0.00590484	0.00616348	0.0113141	0.0290749	0.0453942	0.0334026	0.0530006	0.0549818	0.0474782	0.0850124	0.0822641	0.0886689	0.0868836	0.0860215
