 	a23	a87	a10	a57	a40	a37	a54	a47	a37	a85	a41	a61	a66	a90	a76	a90	a94	a25	a56	a43	a75	a41	a27	a38	a41	a37	a66	a9	a87	a23	a87	a23	a87	</S>
il	0.0808939	0.0767948	0.0631571	0.0902537	0.111086	0.0595818	0.0876132	0.0384811	0.0330962	0.0195067	0.0117507	0.0082464	0.0118184	0.0115036	0.0185197	0.0178261	0.0220436	0.0113933	0.00724135	0.00781555	0.00500124	0.0049501	0.00460798	0.00533444	0.0102083	0.0163759	0.0204388	0.0176655	0.0182884	0.0199109	0.0182539	0.0194312	0.0116593	0.0392509
y	0.0108463	0.00905811	0.00994641	0.0109895	0.0103991	0.0170779	0.0368774	0.0291402	0.0313846	0.0383589	0.0197609	0.0161441	0.016804	0.0183547	0.0550108	0.0351919	0.060692	0.0399503	0.0280869	0.0244582	0.0380811	0.0228819	0.0157864	0.0207282	0.0263961	0.0427652	0.0444214	0.0453871	0.0347071	0.0395584	0.0371436	0.0366985	0.0420471	0.0348656
a	0.0496502	0.0298574	0.016079	0.0190924	0.0126853	0.00924476	0.00906848	0.00716191	0.00986561	0.0100461	0.00546961	0.00429234	0.00647685	0.00849589	0.0297041	0.0188092	0.0445988	0.0259078	0.0109244	0.0166118	0.0145161	0.0117279	0.00678727	0.00531582	0.0083793	0.0187795	0.0309396	0.0471655	0.0523015	0.0746214	0.0631396	0.0880441	0.126465	0.107775
des	0.0734963	0.0724432	0.0634111	0.0534714	0.0453623	0.0318748	0.0139641	0.0321393	0.0164688	0.0441502	0.0379853	0.0180506	0.0266052	0.0275664	0.0331283	0.0340945	0.0359286	0.0503493	0.0402736	0.0500783	0.0419672	0.0343158	0.0280338	0.0156173	0.0089782	0.00926493	0.009028	0.00743936	0.00703989	0.0072762	0.00677903	0.00869673	0.0056355	0.00908663
mangues	0.107809	0.0698155	0.080569	0.0548538	0.0650279	0.0372386	0.0309723	0.0522464	0.0402631	0.0280504	0.032329	0.0342493	0.0128526	0.0311224	0.0184158	0.0219845	0.0185379	0.0227977	0.0171968	0.0171102	0.00998438	0.00789679	0.00939671	0.0102098	0.00916286	0.0127249	0.0181226	0.016693	0.0145646	0.01989	0.0218216	0.0210764	0.0185633	0.016451
par	0.105035	0.114204	0.106146	0.0987232	0.0626501	0.0457892	0.0393132	0.0554487	0.0448676	0.0375388	0.0180904	0.0159713	0.00832415	0.00818894	0.0158148	0.0125409	0.0168404	0.00667961	0.0063661	0.00554839	0.00447653	0.00368127	0.00402963	0.00649886	0.00737929	0.00713769	0.00934789	0.00978094	0.0101704	0.0129087	0.0185454	0.0226561	0.0182842	0.0410221
terre	0.0668443	0.0850535	0.0823217	0.0924341	0.0404298	0.02082	0.0114562	0.00618373	0.00412181	0.00562592	0.00347244	0.00222876	0.00193922	0.00348867	0.00516825	0.00361515	0.0126703	0.0109911	0.00878705	0.0109273	0.0115606	0.0141481	0.0113509	0.0205873	0.032692	0.030923	0.0364842	0.0465253	0.0341596	0.051388	0.0507134	0.05466	0.0505058	0.0757226
dans	0.115946	0.0926656	0.0731814	0.0942996	0.0483878	0.0267573	0.0182645	0.013514	0.0126886	0.0136743	0.00617769	0.00385168	0.00399776	0.00497872	0.00629827	0.00475208	0.0106319	0.0141685	0.0146192	0.0171582	0.0128274	0.0100997	0.00702278	0.0132816	0.0243766	0.0216457	0.0253106	0.0305376	0.0227979	0.0404366	0.038366	0.0469062	0.0380063	0.0723721
la	0.10361	0.0762796	0.0616014	0.0807873	0.0481043	0.0308699	0.0166072	0.0153285	0.0100018	0.00990644	0.00463042	0.00293279	0.00322414	0.00429652	0.0048143	0.0039608	0.00626767	0.00786421	0.00515817	0.00721464	0.00549833	0.00511866	0.00451725	0.00998748	0.0177243	0.0249018	0.0294049	0.0323744	0.0330005	0.0502673	0.0456815	0.0525957	0.055522	0.129946
cour	0.0771865	0.0583203	0.0567099	0.0608942	0.0545951	0.0382935	0.0195217	0.017438	0.00963101	0.014709	0.0102328	0.00696283	0.00629887	0.00735155	0.00910099	0.00865296	0.00888071	0.00813301	0.00475276	0.00508212	0.00747144	0.00963475	0.0110987	0.00958891	0.014955	0.0266321	0.0326484	0.041219	0.0407194	0.0631816	0.057822	0.0638697	0.0811165	0.0572947
</S>	0.090918	0.0339088	0.0290323	0.0302587	0.0203842	0.00893343	0.00666163	0.00383598	0.00285322	0.00525643	0.0046376	0.00586597	0.00503751	0.0084877	0.00954197	0.0106961	0.00535404	0.00749852	0.00655482	0.00502988	0.00568506	0.00466816	0.00494594	0.00603879	0.012015	0.0192625	0.0353467	0.0391527	0.0535677	0.0851187	0.118022	0.124807	0.107342	0.0832814
