 	a66	a82	a30	a3	a99	a54	a85	a5	a12	a18	a75	a25	a56	a34	a61	a31	a61	a47	a62	a96	a98	a92	a56	a92	a21	a5	a23	a18	a47	a96	a62	a83	a96	a34	a70	a66	a54	a6	a36	a26	a82	a3	a97	a30	</S>
les	0.0313114	0.0495726	0.0468217	0.0360904	0.045936	0.045402	0.0406024	0.0434263	0.0488634	0.0603269	0.0320504	0.0226338	0.0206361	0.0177698	0.0151894	0.0280223	0.0352749	0.0289187	0.0313007	0.0285378	0.0227904	0.021569	0.0133832	0.0187672	0.013015	0.017287	0.0204039	0.0178717	0.0146485	0.0128343	0.00525622	0.0106392	0.010017	0.0079028	0.00483886	0.00411398	0.00391142	0.00502229	0.00545134	0.00672185	0.00609418	0.00825192	0.0118111	0.0105248	0.0181862
gens	0.00725442	0.0172849	0.0202493	0.033542	0.0468186	0.0780761	0.101058	0.0693049	0.080043	0.126157	0.05674	0.0304841	0.0205755	0.027235	0.0312883	0.0267534	0.0260373	0.0188698	0.0119995	0.0126758	0.0120763	0.011924	0.00817875	0.00709623	0.00458192	0.00417062	0.00342266	0.00328774	0.00534812	0.00451108	0.00457569	0.00635534	0.00739946	0.00569235	0.00385232	0.00502852	0.00373968	0.00517042	0.00499696	0.00730471	0.00577786	0.00821824	0.00789389	0.00798245	0.00896767
sont	0.0269551	0.016014	0.018391	0.0220262	0.0260435	0.0262576	0.0223084	0.0198011	0.0214955	0.0395135	0.030661	0.028404	0.0349336	0.0464076	0.051268	0.0653036	0.0495392	0.0464714	0.0523857	0.0475916	0.0394291	0.0357488	0.0181883	0.0121396	0.0125003	0.00549915	0.00745598	0.00312865	0.00377349	0.00172495	0.00340635	0.00751131	0.010098	0.00785199	0.00906104	0.00743609	0.00835769	0.0078522	0.0129037	0.0201983	0.0158108	0.0165474	0.0142845	0.0174533	0.00986744
déçus	0.0099659	0.00677838	0.004825	0.00397379	0.00384793	0.00384291	0.00417808	0.00490857	0.00575822	0.0075666	0.00877187	0.0147353	0.0159473	0.0155492	0.01508	0.0182257	0.0222934	0.0206505	0.0251227	0.0284309	0.0266612	0.0252349	0.0269924	0.0281147	0.0188863	0.0253386	0.0303629	0.0496756	0.0403398	0.0987629	0.0640722	0.0238029	0.0396491	0.025137	0.0322454	0.0339545	0.0236931	0.0478089	0.022244	0.0120619	0.0184533	0.0149593	0.0142523	0.0073114	0.00953332
du	0.0379355	0.0247156	0.0203604	0.0166671	0.0142078	0.0122633	0.020689	0.0193338	0.0120076	0.0138004	0.0191265	0.0261412	0.0292163	0.0364631	0.0507304	0.0545174	0.0586386	0.0695354	0.0441075	0.0501162	0.0487104	0.0382537	0.0307236	0.0351651	0.0256564	0.0208742	0.0212768	0.00949981	0.0112591	0.00664156	0.00566824	0.00588141	0.00405087	0.00538365	0.00372484	0.00456276	0.00590479	0.00624545	0.00849034	0.0106745	0.00919088	0.0106255	0.0105534	0.0101119	0.020298
fait	0.0282965	0.015422	0.00884243	0.00989979	0.012638	0.00854394	0.00968184	0.0112384	0.013148	0.0177391	0.033241	0.0459002	0.0451001	0.0642914	0.0924735	0.0622776	0.066134	0.0528816	0.0424693	0.052096	0.0436563	0.0472787	0.0402321	0.0320386	0.0173405	0.0197681	0.0211213	0.0125067	0.0114728	0.00813236	0.00451943	0.00519116	0.00484947	0.00433622	0.00267349	0.00327209	0.00249956	0.00214524	0.00313896	0.00261342	0.0030279	0.00393314	0.00459134	0.00354158	0.00380479
qu'	0.0221527	0.0136497	0.0118985	0.0116199	0.0115258	0.0106743	0.0156238	0.0208377	0.0157143	0.0140222	0.0176534	0.0263673	0.0334275	0.0426914	0.0447394	0.0411519	0.0375904	0.0374266	0.0298648	0.0341884	0.0313683	0.026227	0.0236188	0.0237306	0.0165464	0.0151202	0.0200531	0.014031	0.0185042	0.0136561	0.0152856	0.0195087	0.0236588	0.0174307	0.00498219	0.011734	0.0101002	0.00942166	0.0195108	0.0271494	0.0294095	0.0277152	0.0410459	0.0194116	0.0279602
il	0.0205716	0.0154517	0.0128248	0.0111865	0.00939086	0.00711568	0.0100938	0.0106005	0.0105005	0.00814852	0.0125534	0.0149793	0.0180799	0.0233289	0.0224213	0.0383563	0.0320038	0.0350613	0.0328344	0.0352701	0.0328709	0.0201724	0.0203174	0.0212698	0.0163518	0.011409	0.0123577	0.00656586	0.00809207	0.00384945	0.00475849	0.00754866	0.00683243	0.00687775	0.0112018	0.0151592	0.0249139	0.036335	0.0424797	0.0574649	0.0525602	0.0510846	0.059498	0.053638	0.0356176
n'	0.0228644	0.0189977	0.0166076	0.0145852	0.0134919	0.0113647	0.0133717	0.013592	0.0154445	0.0140332	0.0226076	0.0284868	0.0371234	0.0390687	0.0418334	0.0430114	0.0363312	0.0401758	0.0260241	0.0279976	0.0250584	0.0230746	0.0212634	0.0306159	0.0176771	0.0166998	0.0159193	0.00993739	0.015151	0.00678377	0.011316	0.0164222	0.0169538	0.0143691	0.00608231	0.008295	0.0119606	0.0214613	0.0228403	0.03394	0.0207585	0.0385427	0.0357596	0.0315471	0.0305582
y	0.0177073	0.0216099	0.0196043	0.0204275	0.0208037	0.0136956	0.0117122	0.00955733	0.00944758	0.00852161	0.0149566	0.0179068	0.0218972	0.0229886	0.026884	0.0298871	0.0224091	0.0242265	0.01764	0.0174455	0.0166085	0.013223	0.0131024	0.0186975	0.0107182	0.0111915	0.00937125	0.00680892	0.00990663	0.00492253	0.00899461	0.0158611	0.0221165	0.0271252	0.0172196	0.0207794	0.0290069	0.0454079	0.0406532	0.0411362	0.0336919	0.0454146	0.0595874	0.0506064	0.0585202
a	0.0158453	0.0157354	0.0146418	0.0145575	0.0168579	0.0116857	0.00813035	0.00761058	0.00774132	0.00880015	0.0148828	0.0187248	0.0237917	0.0242449	0.0265732	0.0283582	0.0223052	0.0240447	0.0203112	0.0208469	0.0190198	0.0147513	0.0151909	0.019819	0.0120571	0.0152485	0.0137814	0.0114331	0.0140327	0.00816427	0.0131805	0.0205059	0.0281481	0.0322336	0.0296491	0.0262695	0.0366768	0.0428223	0.0353534	0.0315283	0.0265776	0.0372581	0.0572875	0.0434624	0.0498591
pas	0.01619	0.0148	0.0134941	0.0105574	0.0148901	0.0105961	0.0160193	0.0180051	0.0214795	0.0189519	0.0226391	0.0214041	0.022496	0.0252145	0.0250648	0.025953	0.0188239	0.023944	0.0185376	0.0173138	0.0183053	0.0139627	0.0149754	0.0171285	0.0122708	0.0119805	0.00951233	0.00784955	0.00875909	0.00557307	0.00710569	0.00872726	0.00710989	0.00851473	0.0110699	0.0093052	0.022936	0.0312901	0.0374622	0.0488276	0.0440658	0.0482	0.0830197	0.0509931	0.0846815
eu	0.0195071	0.0248998	0.0222692	0.0190737	0.0248737	0.0165775	0.0221835	0.0262744	0.0291212	0.0221545	0.0200499	0.0163849	0.0156624	0.0180844	0.0173788	0.0177905	0.0133805	0.017301	0.0123065	0.0111121	0.0121566	0.00973924	0.0101851	0.0120149	0.0102543	0.00841042	0.00799217	0.00657844	0.00626234	0.0044124	0.00612936	0.00907951	0.00744636	0.0113781	0.0107453	0.0110682	0.0203127	0.0305036	0.0374091	0.051088	0.0465741	0.0561339	0.0735738	0.0568479	0.0973184
de	0.0263951	0.0299094	0.0245949	0.0187663	0.0231663	0.0188978	0.0208335	0.0268569	0.0290325	0.023012	0.0252097	0.0163449	0.0149721	0.0176275	0.0165097	0.020717	0.0241788	0.0210862	0.0180573	0.0142389	0.0179592	0.0148987	0.016638	0.0200602	0.0199482	0.0153091	0.0133091	0.00952348	0.00978153	0.00499668	0.00803454	0.0113867	0.00859598	0.0141612	0.0109131	0.0127307	0.0199131	0.0300105	0.0354456	0.0419039	0.0389479	0.0457417	0.0427909	0.0403571	0.0662362
gibier	0.031932	0.0267924	0.0181988	0.0136149	0.015025	0.0107015	0.0112161	0.0152259	0.0153909	0.0168686	0.020663	0.018592	0.0198075	0.0208368	0.0220255	0.0257766	0.026259	0.0243571	0.0204399	0.0194277	0.0198203	0.0170556	0.016855	0.0220171	0.0195287	0.0166173	0.0180779	0.0144057	0.015141	0.00743615	0.0106689	0.0161869	0.0152837	0.0250455	0.0115769	0.0177611	0.0226506	0.0267034	0.0347067	0.0370799	0.0298655	0.0475132	0.0397365	0.0456469	0.0594687
