 	a66	a87	a23	a87	a97	a23	a53	a93	a90	a98	a92	a21	a5	a37	a98	a79	a7	a32	a90	a25	a69	a90	a92	a56	a75	a5	a37	a61	a21	a6	a7	a84	a82	a87	a97	a87	a97	a99	a30	</S>
cet	0.0169589	0.026168	0.0197244	0.0213874	0.0227038	0.0296306	0.0264801	0.0225589	0.0587897	0.051223	0.0367037	0.0438436	0.0279593	0.0244398	0.0139749	0.0167703	0.0208066	0.0109243	0.0213716	0.0162758	0.010823	0.0125787	0.0141059	0.0106334	0.00766106	0.0170024	0.0158716	0.0360904	0.0295956	0.0446537	0.0247728	0.0234705	0.0293913	0.0313563	0.0267886	0.0324866	0.0172313	0.0193065	0.0174617	0.0500241
homme	0.00400719	0.00619592	0.00689203	0.014802	0.0239858	0.0412817	0.089332	0.0201572	0.0456019	0.0573635	0.0442781	0.0674812	0.034359	0.0536561	0.0489996	0.0309545	0.0263173	0.0174564	0.0344243	0.0503021	0.0278608	0.0294556	0.0466573	0.0251089	0.025837	0.0277814	0.0190103	0.0200043	0.010992	0.0109002	0.0039027	0.00571129	0.00274973	0.00331859	0.00413118	0.00360959	0.00319924	0.00324478	0.00515228	0.00352499
nous	0.0203658	0.0183117	0.0196753	0.0208932	0.0275819	0.020002	0.0183124	0.0347039	0.0342364	0.0398529	0.0607791	0.0704094	0.105331	0.0701576	0.0937393	0.0747859	0.0382728	0.0406897	0.0192533	0.0072393	0.00587845	0.00522513	0.00395996	0.00276745	0.00296611	0.00359155	0.00565752	0.0066068	0.00809351	0.0123985	0.0147775	0.0112021	0.00831946	0.0123914	0.00999738	0.0100533	0.0106147	0.00920107	0.0129928	0.0087129
avait	0.0204135	0.0130236	0.0111671	0.0107811	0.011655	0.00673292	0.00798188	0.024701	0.0330375	0.0323103	0.0472113	0.0327984	0.035857	0.0252766	0.0477164	0.0407062	0.0474891	0.0471979	0.0588284	0.0404044	0.038874	0.0285689	0.0170367	0.0129453	0.0168441	0.0198367	0.015431	0.0161189	0.0179446	0.0126697	0.0215119	0.011439	0.0192353	0.0153215	0.0154141	0.0192945	0.0199886	0.0230616	0.024106	0.0390679
très	0.037814	0.0452601	0.0410309	0.0450002	0.0561318	0.0544713	0.0360176	0.0407091	0.0343436	0.0307378	0.0258117	0.0244205	0.0184629	0.011125	0.00806316	0.00883183	0.0101886	0.0127841	0.0132999	0.0267333	0.0146318	0.02952	0.0284342	0.0310624	0.04421	0.046918	0.0296961	0.0259841	0.0190155	0.013858	0.0107523	0.0105671	0.0144266	0.0083201	0.0131296	0.0139648	0.0153498	0.0135398	0.0119213	0.0234608
bien	0.0266017	0.0237387	0.0223718	0.0256562	0.0279664	0.0267557	0.0226999	0.0248728	0.0313791	0.0331205	0.0368155	0.0583847	0.0428995	0.0352827	0.0249373	0.0308709	0.0215357	0.0240129	0.0201349	0.0194753	0.0126952	0.0229759	0.0257089	0.0213487	0.025224	0.0282459	0.0253194	0.0327606	0.0233266	0.0202724	0.0167411	0.015522	0.0199804	0.0153837	0.0161533	0.0172203	0.0195655	0.0194922	0.0163256	0.0262262
reçus	0.0217492	0.0208941	0.0168791	0.0186906	0.0202608	0.0300966	0.0203704	0.0342547	0.0483446	0.0406925	0.0539045	0.0583374	0.03873	0.0242116	0.0119488	0.0161604	0.0101882	0.00901654	0.0120512	0.0089664	0.0043139	0.00793966	0.00908054	0.00818668	0.00833758	0.0201205	0.0196627	0.0314104	0.029613	0.0335049	0.0297116	0.0291124	0.0383364	0.036447	0.0248871	0.0278993	0.0261462	0.0271658	0.0212796	0.0510971
chez	0.0339533	0.0213258	0.0213376	0.0221662	0.0243753	0.0206913	0.0155275	0.03977	0.0450276	0.0261885	0.0389544	0.0528172	0.0375519	0.020294	0.0156006	0.0185358	0.0140148	0.0129734	0.0144458	0.00936639	0.00568435	0.00636993	0.00700462	0.005088	0.00484676	0.00816538	0.012117	0.0166493	0.0243868	0.0266716	0.0322314	0.0274354	0.0315573	0.0286106	0.0255395	0.0294671	0.0285471	0.048007	0.0376363	0.0890673
lui	0.0298839	0.0333972	0.0322556	0.0266057	0.0266055	0.0136186	0.00964247	0.0257645	0.0298968	0.0217944	0.0214691	0.0357102	0.0267285	0.0276244	0.0159771	0.0170946	0.0118533	0.00850027	0.00866115	0.009385	0.00870846	0.0100932	0.0088033	0.00821534	0.00515615	0.00588611	0.00683503	0.0105275	0.0116284	0.0151049	0.0198348	0.0223247	0.0257085	0.0290166	0.029643	0.0457276	0.0443697	0.0732386	0.0706804	0.11603
</S>	0.0179052	0.0175058	0.0158322	0.0151008	0.0161483	0.014869	0.011564	0.0113627	0.0148409	0.00822754	0.00994517	0.0140041	0.0200275	0.0254024	0.0334632	0.0350279	0.0322133	0.0282225	0.0259361	0.0226272	0.0140748	0.0217506	0.0236728	0.0175813	0.012378	0.012083	0.0130359	0.0180176	0.018958	0.023301	0.026007	0.0279422	0.0258064	0.0302965	0.0368611	0.0582319	0.0432172	0.0644842	0.0528038	0.069271
