 	a66	a87	a23	a87	a40	a5	a61	a75	a98	a47	a37	a88	a71	a62	a96	a66	a53	a90	a96	a90	a4	a13	a53	a90	a98	a85	a6	a37	a66	a47	a62	a83	a9	a97	a87	a23	a87	</S>
les	0.0801508	0.0810617	0.0596868	0.0522666	0.0706274	0.0749272	0.0913088	0.0953624	0.0456787	0.0459617	0.0194706	0.0191618	0.00855263	0.0130443	0.0119572	0.00906647	0.00688136	0.00760696	0.00547082	0.00871425	0.00895138	0.0154771	0.0171383	0.0172478	0.0163242	0.0184099	0.0118278	0.00954331	0.005715	0.00787017	0.00800785	0.00574183	0.00557157	0.00669357	0.00589771	0.00782205	0.00569098	0.019111
femmes	0.00573197	0.00831276	0.00941232	0.0091618	0.0190005	0.0639695	0.079355	0.134658	0.137617	0.103115	0.0630999	0.0637278	0.0247187	0.022084	0.0290795	0.0310071	0.0185539	0.0204252	0.0175459	0.0381772	0.0151038	0.0122926	0.0135022	0.00776515	0.0057418	0.00566025	0.00630267	0.00317476	0.00243029	0.00695722	0.00274171	0.00354984	0.00373498	0.00235075	0.00267432	0.00208213	0.00232044	0.00286267
sont	0.0389127	0.0317365	0.0237054	0.0241742	0.0471027	0.0497362	0.0635075	0.0690838	0.0520385	0.0408553	0.035252	0.0348232	0.0440514	0.049319	0.0192896	0.0236285	0.0316208	0.0200221	0.0212092	0.0184612	0.0207736	0.0206338	0.0184736	0.0268831	0.0141591	0.0140616	0.00494353	0.0110898	0.0071588	0.0108174	0.00815751	0.0149123	0.0113664	0.0203724	0.0121594	0.0156694	0.0148364	0.0150023
parties	0.00619457	0.00647108	0.00370416	0.00514669	0.0135135	0.0125077	0.0167646	0.0262626	0.0243156	0.0330709	0.0382418	0.0643042	0.0990213	0.11253	0.112591	0.0902435	0.0518841	0.0325513	0.0363711	0.0330338	0.0165571	0.013612	0.0147467	0.00844162	0.00950412	0.00574912	0.00774461	0.00659717	0.009056	0.0105518	0.0120512	0.0163961	0.0112952	0.00856699	0.0101066	0.00794322	0.00611412	0.00624341
travailler	0.0488335	0.0152042	0.00784557	0.00773134	0.00703194	0.0101999	0.0226499	0.0280153	0.0303978	0.0833768	0.075015	0.0561051	0.0467565	0.07021	0.0636326	0.052227	0.0367322	0.0406427	0.0315682	0.047003	0.0372654	0.0327512	0.0269152	0.0224932	0.0169457	0.0104261	0.00387286	0.00437534	0.00503261	0.00347391	0.00481884	0.00553076	0.00508148	0.00453158	0.00369979	0.00606434	0.00487152	0.0206715
en	0.0448038	0.0183635	0.0138121	0.0111883	0.00906358	0.010427	0.0109885	0.0114021	0.0108624	0.017978	0.0398643	0.0412794	0.0861142	0.0846721	0.0788476	0.055061	0.0532088	0.0394141	0.0358793	0.0433513	0.0278875	0.0317528	0.0197181	0.0221576	0.0174619	0.0217347	0.0104844	0.0149924	0.0122175	0.00824334	0.014513	0.0117103	0.0106424	0.0130339	0.00773429	0.00882864	0.00897468	0.0213312
équipe	0.039466	0.0174977	0.010819	0.00938583	0.00540249	0.00465903	0.00344025	0.00421646	0.00520998	0.00768769	0.0114908	0.013037	0.0224389	0.0455695	0.0462518	0.043587	0.0416838	0.0475246	0.0330922	0.0362391	0.03248	0.0457555	0.0323071	0.0344076	0.0286959	0.0224426	0.0258315	0.0303953	0.028748	0.0294158	0.0440682	0.039994	0.0362779	0.0354209	0.0242476	0.0195105	0.0215863	0.019716
dans	0.0697598	0.0328918	0.0195465	0.01213	0.00519152	0.00625689	0.00596311	0.00940894	0.00538759	0.00688635	0.00793306	0.00587498	0.00377802	0.013981	0.0191396	0.0253157	0.0229956	0.0376067	0.0165412	0.0256998	0.0213329	0.0363128	0.0274242	0.0355637	0.0273354	0.0263534	0.0195485	0.034314	0.0247907	0.0243724	0.0277626	0.0373263	0.0537859	0.0493096	0.0383129	0.0469152	0.0438996	0.0730517
le	0.0245084	0.0240249	0.0230542	0.0150804	0.0057378	0.00505073	0.0032752	0.00531488	0.00381169	0.00526878	0.00526378	0.00493166	0.00612155	0.0222409	0.0340113	0.0340886	0.0373295	0.0439903	0.0326671	0.0367296	0.0343105	0.038052	0.0314504	0.030956	0.0332553	0.0279164	0.0433396	0.0344234	0.0274723	0.0304036	0.042389	0.0469658	0.0441778	0.0377262	0.031717	0.0281341	0.0251927	0.0396165
jardin	0.0492488	0.02408	0.0159799	0.00798297	0.00557195	0.00597086	0.00421326	0.00579456	0.00449828	0.00639943	0.0046139	0.00431315	0.00442138	0.0106979	0.017058	0.0201369	0.0195405	0.0258265	0.0165686	0.0242663	0.041049	0.0547198	0.0464286	0.0505278	0.0448246	0.0445931	0.0262432	0.0293682	0.0306118	0.0328935	0.0348311	0.0371434	0.0339618	0.0434855	0.0435957	0.0437748	0.0434576	0.0413077
d'	0.0871673	0.0400237	0.0226417	0.00787331	0.00486058	0.00473427	0.00457474	0.00402801	0.00249636	0.00366447	0.00369801	0.00431175	0.009279	0.0284671	0.0305858	0.0388626	0.0388378	0.036792	0.0176576	0.0233942	0.0282626	0.0403111	0.0283953	0.0317235	0.030017	0.0345935	0.0264974	0.0406706	0.028987	0.0205524	0.0392052	0.0564039	0.0305788	0.039766	0.0429395	0.0230295	0.0276451	0.0164712
ambee	0.0363686	0.0245671	0.0193991	0.0115089	0.00525016	0.00595395	0.00482672	0.00608378	0.00445163	0.00460342	0.00314812	0.00287709	0.00430053	0.0216965	0.0228038	0.0277443	0.0329688	0.0274068	0.0149488	0.0173916	0.0216453	0.0327549	0.0321926	0.0411626	0.0450948	0.0459901	0.0364552	0.0443172	0.0355678	0.0285214	0.0483298	0.0595007	0.0346462	0.0420863	0.0535974	0.0298576	0.0361481	0.0338322
