 	a66	a87	a23	a87	a23	a97	a87	a23	a83	a54	a47	a85	a21	a61	a31	a83	a70	a93	a4	a93	a90	a44	a57	a3	a87	a23	a99	a83	a54	a47	a37	a62	a61	a34	a70	a93	a15	a7	a84	a82	a87	a23	a87	</S>
ceux-ci	0.0237432	0.0496685	0.049145	0.0517964	0.0301187	0.0409945	0.0342722	0.0224353	0.0505859	0.100742	0.114847	0.0589525	0.0175425	0.00921058	0.00743778	0.00910623	0.0124832	0.00797423	0.00700306	0.00879813	0.006842	0.00487223	0.00626154	0.00755077	0.0123649	0.0121462	0.0175351	0.0312708	0.0348725	0.0236579	0.0224577	0.0182136	0.0145241	0.00982738	0.0070987	0.00840138	0.00700969	0.0064606	0.00609567	0.00765057	0.0072124	0.00723361	0.0045311	0.00905257
sont	0.0249958	0.0343348	0.0228895	0.0227082	0.0159625	0.0154167	0.0144516	0.0136121	0.0130681	0.0184953	0.0189358	0.0427358	0.0177821	0.0125395	0.0205414	0.0155617	0.0186036	0.0162536	0.0152126	0.0150759	0.00918196	0.00804099	0.0076925	0.00885312	0.0103774	0.0100024	0.0103916	0.011856	0.00884556	0.0178766	0.0181224	0.0166855	0.0211527	0.0179183	0.0368599	0.0273576	0.0358535	0.0369765	0.0388889	0.0469164	0.0524526	0.0487198	0.0660926	0.0437086
des	0.0364536	0.0233982	0.0180129	0.0149151	0.007895	0.00457267	0.00504176	0.00671356	0.00508425	0.00906493	0.00600439	0.0120192	0.0131614	0.00672195	0.0167373	0.00699311	0.00648876	0.00584482	0.00708089	0.00491036	0.00564846	0.0050827	0.00539906	0.007961	0.0103016	0.0107742	0.0187841	0.0134385	0.0111434	0.0116019	0.0113405	0.00847568	0.0119975	0.0103483	0.0152346	0.0134075	0.0194749	0.0276453	0.0521789	0.0491048	0.0713718	0.0595358	0.117346	0.21529
médicaments	0.0280523	0.00678352	0.00622838	0.00953176	0.0165589	0.0188568	0.0269957	0.0310402	0.0290331	0.0186371	0.0161813	0.0123607	0.0139129	0.0363047	0.0536637	0.0377877	0.0457628	0.0516771	0.063513	0.0825173	0.0471368	0.0634192	0.036445	0.0404546	0.0241179	0.03257	0.0297503	0.0226477	0.0207643	0.014753	0.0149803	0.012457	0.00764613	0.00371072	0.00272579	0.00189467	0.00165054	0.00296289	0.00303466	0.00163114	0.00242587	0.00205835	0.00249386	0.0028702
contre	0.0604928	0.0268407	0.0160883	0.0175908	0.0131806	0.00947091	0.0129515	0.0132398	0.0145898	0.0132878	0.013829	0.0192801	0.0276116	0.022831	0.0723891	0.035833	0.0436849	0.028213	0.0527875	0.0650077	0.0420273	0.0300233	0.0235951	0.0201086	0.0208912	0.0128258	0.013612	0.0127567	0.0101642	0.00961423	0.0106485	0.010054	0.00857468	0.0108457	0.0135041	0.0120553	0.00917323	0.0169038	0.0181065	0.0147383	0.0198903	0.0219858	0.034506	0.0241951
les	0.0681801	0.0376374	0.026476	0.0194887	0.0120939	0.0116396	0.00933284	0.0122393	0.0105393	0.0123782	0.00992976	0.0124746	0.0202579	0.0230991	0.0300387	0.0169845	0.0147083	0.0259111	0.0340586	0.0598784	0.0554166	0.0353681	0.043481	0.0325906	0.0394561	0.0232686	0.0150618	0.0108466	0.0122727	0.0213855	0.0247919	0.0309855	0.0291911	0.020444	0.0202117	0.0172673	0.011633	0.0163183	0.0101258	0.011756	0.0159013	0.0136159	0.00987496	0.0113893
maux	0.0295539	0.0150434	0.0101027	0.0113159	0.0106433	0.00823052	0.0118705	0.0273904	0.0170346	0.0105566	0.00739162	0.00776327	0.011792	0.00943835	0.0266258	0.0148183	0.0135247	0.0104309	0.0293433	0.0444882	0.0474866	0.0280611	0.048497	0.0599382	0.0445205	0.0449016	0.0316764	0.0270846	0.0271243	0.0283016	0.0355975	0.032386	0.0457047	0.0233515	0.019419	0.0161286	0.0132668	0.0153059	0.01746	0.0130578	0.0173583	0.0130871	0.0100059	0.0129207
de	0.0232503	0.0158824	0.00843959	0.00854699	0.00524574	0.00427904	0.00415769	0.00341828	0.00397375	0.00482712	0.00419535	0.0062358	0.00416349	0.00422854	0.00416059	0.00336067	0.00322912	0.00331988	0.00367392	0.00506205	0.00667288	0.00338846	0.00534353	0.00430381	0.00545608	0.00410821	0.00478808	0.0048112	0.00654364	0.00988448	0.0115857	0.0111898	0.0222476	0.0206981	0.0430099	0.0520763	0.0473582	0.0727901	0.090658	0.0913754	0.113301	0.109077	0.0646228	0.0710595
têtes	0.0257173	0.0146527	0.010378	0.0106872	0.0070428	0.00562591	0.00595371	0.00575198	0.00475986	0.00404568	0.00307445	0.00705674	0.00731636	0.00597429	0.00676963	0.00481553	0.00451733	0.00413264	0.0117682	0.0195721	0.0214276	0.00960064	0.0162815	0.0164832	0.0260991	0.0235617	0.0317215	0.0437736	0.040853	0.0538877	0.0567753	0.0542325	0.0671808	0.050329	0.0485784	0.0478006	0.036953	0.041906	0.030261	0.0230268	0.0268641	0.0238034	0.0186236	0.0203636
ceux-là	0.0369495	0.0151992	0.0112916	0.0111745	0.0108102	0.00622648	0.00793654	0.00823962	0.00524944	0.00409022	0.00403211	0.0059194	0.00781165	0.0140695	0.0148767	0.0112408	0.00839192	0.0059475	0.0173321	0.0209719	0.0203495	0.0151039	0.014273	0.0151549	0.0291159	0.024214	0.0294931	0.0294492	0.0307509	0.0338774	0.0293096	0.0362955	0.0448342	0.040658	0.0455395	0.0374268	0.0299929	0.0383542	0.0411352	0.0366515	0.0490796	0.0318505	0.0341481	0.0351817
