 	a66	a87	a23	a87	a23	a30	a53	a15	a79	a7	a56	a62	a88	a75	a25	a56	a90	a93	a75	a85	a47	a36	a2	a57	a87	a23	a40	a37	a88	a0	a75	a5	a12	a62	a88	a24	a31	a21	a5	a37	a75	a36	a2	a57	a13	a54	a5	a36	a18	a71	a93	a70	a94	a96	a66	a50	a18	a27	a82	a87	</S>
quand	0.0117743	0.0141638	0.0106962	0.0095664	0.0117716	0.0149528	0.0119828	0.0268895	0.00709361	0.0122831	0.0191759	0.021333	0.0400638	0.0522292	0.0354508	0.0388298	0.0372761	0.0242416	0.0268194	0.038385	0.0419646	0.0235709	0.0267779	0.0326594	0.0467775	0.0257802	0.0204919	0.00797507	0.00756701	0.0111059	0.00650614	0.0112389	0.00701634	0.0119944	0.0148288	0.0093385	0.0160025	0.0138241	0.0114008	0.00821276	0.00590926	0.00481493	0.00669127	0.00699231	0.00775499	0.00765796	0.00768962	0.0102103	0.0150305	0.0115161	0.00508409	0.00711572	0.00529621	0.00779566	0.00679804	0.00710988	0.00668867	0.00854233	0.0094037	0.00984107	0.0220451
j'	0.0049809	0.0039969	0.00482374	0.00699055	0.00515468	0.00554772	0.00561868	0.00775074	0.0194481	0.0195255	0.0244519	0.0233381	0.0212398	0.0145947	0.0142843	0.0189488	0.0267327	0.0288448	0.0225755	0.0254623	0.0267098	0.0173669	0.0207491	0.0204094	0.0220891	0.0171754	0.0214079	0.0144561	0.0101593	0.0123721	0.0162108	0.0123849	0.0119138	0.0116342	0.015882	0.0244335	0.0202532	0.011212	0.0161684	0.0200107	0.0204817	0.0131471	0.00649439	0.0126851	0.0147093	0.0187939	0.0143821	0.0150155	0.0103853	0.00952875	0.00654343	0.0152929	0.0246708	0.0239529	0.0251373	0.0200353	0.0302596	0.0235933	0.0183442	0.017795	0.0114433
irai	0.00567615	0.00476113	0.00353432	0.00296968	0.00229861	0.00172081	0.00287387	0.00157199	0.00346006	0.00615413	0.00922008	0.0148171	0.0291902	0.0194147	0.0398542	0.0274981	0.0313061	0.0253549	0.0190001	0.0260703	0.0178807	0.024162	0.0349373	0.0362678	0.0321301	0.0407811	0.100048	0.0542016	0.0289921	0.0217583	0.0341767	0.0199881	0.0158079	0.0125607	0.0167598	0.0122594	0.0152591	0.0102374	0.0229169	0.0312206	0.0194277	0.0106346	0.00685239	0.00529723	0.0053143	0.00230121	0.00292	0.00150425	0.00364458	0.00143016	0.0014754	0.00258905	0.00367253	0.00463233	0.00715277	0.00524199	0.0146798	0.0113496	0.0103571	0.0116509	0.00877984
en	0.0799423	0.0293311	0.0177522	0.0198817	0.0130963	0.0116865	0.0121873	0.0135849	0.00400168	0.00326883	0.00807071	0.00392872	0.00915776	0.00705024	0.0131288	0.00582548	0.00601884	0.00659826	0.0161353	0.0110381	0.0096546	0.00583486	0.00978841	0.00652552	0.00696713	0.00684405	0.0121973	0.00769477	0.00740669	0.00743864	0.0113272	0.0107039	0.00920198	0.0123556	0.0162347	0.0152236	0.0142269	0.021448	0.0157472	0.0163916	0.0142518	0.0137964	0.0156492	0.0177592	0.0174192	0.0143986	0.0221015	0.019983	0.0259136	0.016523	0.0265685	0.0137984	0.0161322	0.0304669	0.0323497	0.0200368	0.0371367	0.0274351	0.0387836	0.0296643	0.0349349
ville	0.0132399	0.0118615	0.00718178	0.0108656	0.0119183	0.00919149	0.00913023	0.0118222	0.0127683	0.0170176	0.0121046	0.0220286	0.0105811	0.00917142	0.0167787	0.00913661	0.00697621	0.00898435	0.0127709	0.00782984	0.0143998	0.00599096	0.011911	0.0115202	0.0214694	0.0413721	0.0226332	0.0422387	0.0327396	0.0606969	0.045866	0.0292567	0.034762	0.0252582	0.0245423	0.0242204	0.0212156	0.0248422	0.0307395	0.025453	0.0232175	0.0155802	0.0141578	0.0148207	0.0140524	0.0146614	0.00955319	0.00835897	0.00719733	0.00513484	0.00809844	0.00713266	0.00487499	0.0076607	0.00886629	0.00719749	0.00679568	0.0070788	0.0111754	0.0110601	0.0108382
j'	0.009376	0.00510166	0.00313548	0.00173404	0.000794697	0.00133735	0.00233028	0.00282473	0.00760537	0.0078785	0.00766855	0.0125048	0.0169589	0.0129803	0.0224814	0.0233457	0.0206124	0.0210794	0.0158294	0.0269734	0.0303594	0.0345216	0.0274495	0.0236662	0.0388705	0.044748	0.0246932	0.0282293	0.0227289	0.0298105	0.0321132	0.0363368	0.0257035	0.0327873	0.03634	0.0314845	0.0596985	0.040932	0.041563	0.0210056	0.0075517	0.0056858	0.00355391	0.00726527	0.0149548	0.00896526	0.00687111	0.00780381	0.00841903	0.00489171	0.00254062	0.0021238	0.00183708	0.00272553	0.00348538	0.00271306	0.00387706	0.00457362	0.0057542	0.00603488	0.00277817
accepterai	0.0210484	0.0145269	0.0101062	0.00703713	0.00203374	0.00194609	0.00301428	0.00243156	0.0056577	0.00709199	0.0109425	0.0111332	0.0145812	0.0140343	0.018816	0.0141855	0.0110183	0.00764594	0.0071335	0.00908614	0.0108025	0.0139292	0.0188211	0.0161307	0.0183476	0.0307276	0.024468	0.0222901	0.0183966	0.0153338	0.024921	0.0264052	0.0207456	0.0241116	0.0304669	0.0285632	0.039087	0.0300862	0.0361718	0.0331417	0.0209394	0.014836	0.00987005	0.0174391	0.0290387	0.0209072	0.020721	0.0177445	0.0190572	0.0110975	0.00881772	0.00688335	0.00831481	0.00954499	0.0103946	0.0100636	0.00998799	0.0171486	0.022223	0.0242994	0.0142536
n'	0.0270362	0.0173629	0.0121712	0.0111464	0.00388505	0.00220409	0.00295675	0.0020634	0.00272624	0.0033838	0.010314	0.00845999	0.0114987	0.0117077	0.0141915	0.0109072	0.010178	0.00781946	0.00777026	0.00631923	0.00744656	0.00635269	0.00743612	0.0103923	0.0100828	0.0144867	0.0150866	0.030498	0.0192545	0.0116595	0.0291275	0.033612	0.0299013	0.0285304	0.0351384	0.0243199	0.0283978	0.0261422	0.0186233	0.0193782	0.0133644	0.0134761	0.00732807	0.0152098	0.020371	0.0195838	0.0199233	0.0182777	0.0316662	0.0226921	0.016252	0.0190288	0.013936	0.0248276	0.0171945	0.0279824	0.0219559	0.026301	0.0224988	0.0239968	0.0141651
importe	0.00968528	0.00902061	0.00714938	0.00604	0.0054207	0.00441473	0.00358552	0.00349698	0.00315904	0.00536046	0.00776798	0.00530938	0.00814536	0.00804428	0.00604585	0.00738878	0.00746682	0.0056413	0.00505665	0.00716164	0.00953628	0.0115096	0.0120879	0.016933	0.0123687	0.0116485	0.0110085	0.0180706	0.0169394	0.0147255	0.0258603	0.0346314	0.0310292	0.0322157	0.0287156	0.0178268	0.0165813	0.015955	0.0170575	0.0188462	0.013115	0.0107063	0.00849813	0.0140593	0.0147533	0.0123928	0.0107421	0.0118774	0.0158057	0.0118275	0.010508	0.0128788	0.0124983	0.0224882	0.0220296	0.0399171	0.0499212	0.060069	0.0484223	0.0444408	0.0541415
quel	0.0172069	0.0119493	0.00978997	0.00976135	0.00638336	0.00553735	0.00317	0.00467811	0.00408523	0.00491642	0.0148969	0.0124275	0.0180193	0.0116844	0.018984	0.0167012	0.0229688	0.0168376	0.0180093	0.0121371	0.0157949	0.0129948	0.0138655	0.0223323	0.015011	0.0144099	0.0149179	0.0301181	0.0241937	0.0178802	0.0230964	0.0211381	0.0180298	0.0172978	0.0182188	0.0177197	0.0191078	0.0143592	0.0122651	0.0135819	0.012502	0.014829	0.0100499	0.0182492	0.0208982	0.0186324	0.0205381	0.0171338	0.0231865	0.0221422	0.0209602	0.0233668	0.0128624	0.0216627	0.014765	0.0303393	0.0156071	0.0176494	0.0221234	0.0236945	0.0223309
