 	a66	a87	a10	a40	a92	a37	a61	a34	a44	a98	a47	a36	a37	a53	a90	a98	a47	a36	a0	a11	a62	a96	a62	a31	a75	a6	a37	a18	a12	a96	a54	a36	a11	a24	a71	a9	a97	a87	a97	</S>
les	0.0616712	0.0663101	0.0783356	0.0569459	0.0983965	0.148297	0.0836745	0.0709579	0.020759	0.0115518	0.0145549	0.00766894	0.00332004	0.00409193	0.00626485	0.00456449	0.00428647	0.00610313	0.0059252	0.00734213	0.0070141	0.006249	0.00869406	0.0157957	0.013638	0.0107606	0.0115001	0.0121617	0.00565874	0.0128028	0.0109225	0.00677903	0.00714897	0.00721988	0.00789653	0.00956454	0.0125636	0.0153577	0.0160249	0.0412266
femmes	0.00137857	0.00232561	0.00332924	0.00753137	0.0248192	0.0218368	0.0411207	0.0679841	0.0845826	0.145155	0.147353	0.115673	0.0499238	0.0566888	0.0374215	0.0435055	0.0482996	0.0363874	0.0190323	0.00960923	0.00653405	0.00541945	0.00348654	0.00477645	0.00121756	0.000970021	0.00109453	0.000444922	0.000626472	0.000720081	0.000924368	0.000852486	0.000990571	0.000596877	0.0013174	0.000732892	0.00111807	0.000714904	0.00200904	0.00149589
percent	0.0134707	0.0136473	0.0193443	0.0165395	0.0290326	0.0266545	0.041445	0.0667289	0.0539249	0.0887814	0.105865	0.101309	0.0598233	0.046469	0.0444934	0.0320978	0.0554083	0.0260334	0.0260733	0.0148143	0.0113968	0.00960603	0.0128606	0.0076085	0.00941231	0.00773191	0.00485127	0.00299585	0.00184303	0.00417973	0.00357617	0.00245823	0.00239778	0.0029016	0.00572703	0.00561597	0.008199	0.00393086	0.00618113	0.00456957
les	0.0194523	0.00905779	0.00517849	0.00473258	0.0177779	0.0286768	0.0199691	0.0307351	0.0355845	0.0563933	0.0486659	0.0538025	0.0358445	0.0229646	0.0198008	0.0286842	0.0226301	0.02758	0.0262308	0.0254752	0.0218927	0.0295249	0.0274208	0.0334161	0.0226844	0.0130878	0.0141848	0.0140043	0.0138767	0.0139589	0.0165852	0.0191008	0.0219606	0.036603	0.0339264	0.0298777	0.0230897	0.0232209	0.0322188	0.0201294
oreilles	0.0240618	0.00781327	0.00451622	0.0025019	0.00252911	0.00418467	0.00464949	0.00586073	0.0153341	0.0219932	0.0247354	0.0302388	0.0361481	0.0311853	0.0434335	0.0525547	0.0409782	0.0277437	0.0328535	0.0481477	0.0556714	0.0734302	0.0577068	0.0804142	0.0657436	0.0417856	0.0307513	0.0246373	0.0104722	0.0110706	0.0112733	0.00495554	0.00529869	0.00539498	0.0103968	0.00937062	0.0118713	0.010823	0.00975667	0.0077123
pour	0.0647096	0.0222112	0.011979	0.00912668	0.00912256	0.0106987	0.0113893	0.0217285	0.0262925	0.0499302	0.0651444	0.0518429	0.0354346	0.0373244	0.04197	0.0296813	0.0253235	0.0213743	0.0159075	0.0245728	0.0311642	0.0234278	0.0263003	0.0461272	0.0405038	0.0288074	0.0302691	0.0218497	0.0153002	0.018118	0.0153438	0.00494802	0.00574693	0.00603673	0.0168388	0.0170073	0.0204545	0.0139069	0.0151929	0.0168927
porter	0.0460557	0.0146601	0.0076518	0.00351527	0.00397746	0.0038825	0.002574	0.00642238	0.0174815	0.0299696	0.0354394	0.034559	0.0396786	0.0267664	0.0305479	0.0209916	0.0214981	0.0176592	0.0237929	0.0237994	0.0227726	0.0248148	0.0154747	0.0210034	0.0273494	0.016519	0.0161031	0.0151114	0.0617423	0.0480793	0.0393007	0.041661	0.0304473	0.024383	0.0587772	0.0456563	0.0341096	0.0160483	0.0254161	0.00430796
les	0.0791066	0.0197699	0.00681529	0.00265707	0.00149269	0.000999404	0.00057349	0.00198855	0.00820221	0.0117781	0.0139509	0.0160314	0.0237683	0.0186875	0.0192342	0.0158565	0.0109535	0.00687807	0.00790142	0.0117721	0.0140606	0.0155672	0.0091367	0.0171063	0.0224372	0.0137318	0.00986131	0.0122245	0.0438547	0.0306029	0.0319908	0.0546824	0.0691095	0.0607036	0.0833904	0.0723981	0.0654778	0.0356904	0.0493029	0.0102537
boucles	0.0734187	0.0272713	0.0154929	0.00950633	0.00531761	0.00552749	0.00133947	0.00538097	0.0128914	0.0171148	0.0254718	0.0176905	0.0307429	0.0203055	0.0184081	0.0179885	0.0109603	0.00750579	0.00676644	0.010607	0.0133767	0.0114625	0.0123713	0.015822	0.0248465	0.0190798	0.0120925	0.0164614	0.0385389	0.0198928	0.0396586	0.0391339	0.0589016	0.0443721	0.0645873	0.0570114	0.0626359	0.042643	0.0508184	0.0165853
</S>	0.0865437	0.0282016	0.0144496	0.00778432	0.00781347	0.00444776	0.00317603	0.00823924	0.00892256	0.00785274	0.00975578	0.00731298	0.00632258	0.00642821	0.00636911	0.00488604	0.00427147	0.00411301	0.00221929	0.00219917	0.00208227	0.00153005	0.00288918	0.00540593	0.0097154	0.00977308	0.0091605	0.0143921	0.0222744	0.0153331	0.0251882	0.0260911	0.0558252	0.0453173	0.10387	0.0907009	0.108111	0.086271	0.100759	0.0340017
