 	a66	a87	a23	a44	a58	a53	a15	a69	a79	a25	a79	a56	a34	a93	a94	a90	a25	a79	a7	a37	a12	a43	a0	a9	a10	a87	a23	a99	a97	</S>
il	0.0509596	0.0749358	0.090992	0.150527	0.110209	0.0547589	0.0418147	0.0288216	0.0333181	0.0407854	0.0307401	0.0166125	0.00625071	0.00540275	0.00463545	0.00416405	0.00292125	0.00306193	0.00854206	0.0155318	0.0163022	0.018597	0.0176561	0.0190075	0.0110867	0.00934234	0.0181973	0.0206749	0.0184358	0.0757153
faut	0.0167229	0.0111377	0.0143518	0.017868	0.0273563	0.0226548	0.038731	0.0904109	0.0995884	0.054716	0.035256	0.0485596	0.0506263	0.054169	0.0164263	0.0156533	0.0111156	0.014077	0.0218849	0.0217871	0.0359434	0.0404178	0.0220833	0.0301102	0.0318949	0.0317915	0.032768	0.0300359	0.0321179	0.0297445
que	0.0624038	0.0251265	0.0221659	0.0199119	0.0182113	0.0124332	0.00981282	0.00868588	0.0139908	0.025404	0.0183305	0.0179886	0.0281244	0.0258993	0.0141953	0.025365	0.0285953	0.0152103	0.00875554	0.009263	0.0141422	0.0179341	0.0191134	0.0367552	0.0681998	0.0723078	0.0831927	0.0574319	0.123747	0.0973029
tu	0.0565632	0.0510575	0.038693	0.0286336	0.0261748	0.0142303	0.0121796	0.00740109	0.0101371	0.03028	0.0303041	0.056207	0.0632516	0.0588267	0.0445937	0.0513566	0.035928	0.0296822	0.0342188	0.0196773	0.0264988	0.0278148	0.0234204	0.0229443	0.0326806	0.0217752	0.0296123	0.0342604	0.0482318	0.0333653
passes	0.0773398	0.0548018	0.0459949	0.0342924	0.0400976	0.0268622	0.0125266	0.0108527	0.0152089	0.0253683	0.0279903	0.056816	0.0555255	0.052636	0.0469341	0.0553572	0.0671135	0.0369915	0.0360802	0.0185837	0.0173731	0.0136843	0.0110012	0.0167092	0.0223763	0.0207423	0.0240052	0.016656	0.0384184	0.0216608
la	0.139421	0.0789795	0.0562434	0.0298504	0.0174307	0.0134219	0.00883615	0.00464297	0.00521595	0.00911232	0.0107959	0.0128438	0.0196346	0.0198963	0.0224793	0.0267277	0.037427	0.0290899	0.0343425	0.0349646	0.039039	0.0366843	0.0399569	0.0348289	0.0392043	0.0230276	0.0506341	0.0422565	0.0390424	0.0439706
nuit	0.160981	0.105459	0.0768869	0.0459276	0.0300738	0.0155751	0.0121955	0.00805341	0.0193009	0.0207005	0.0283697	0.0110657	0.00850914	0.0048908	0.0058189	0.0113091	0.0200001	0.0217995	0.0261486	0.0246312	0.0281774	0.0240705	0.0372233	0.0333353	0.0289298	0.0339447	0.0391161	0.0317809	0.0344049	0.0513207
chez	0.101787	0.0643182	0.0503386	0.0343382	0.0336362	0.0060892	0.00280859	0.00418858	0.00527292	0.0130518	0.0243978	0.0129122	0.010026	0.00641092	0.00563235	0.0106134	0.0104741	0.0155981	0.0212976	0.0208879	0.031614	0.0176179	0.0338645	0.0353144	0.0398365	0.0704194	0.0516627	0.0430559	0.0725079	0.150027
nous	0.0489531	0.0488263	0.0503621	0.038222	0.0285166	0.00750873	0.00296868	0.00368095	0.00361063	0.00913077	0.0157617	0.0138662	0.0154271	0.0107153	0.00742106	0.00874587	0.0112355	0.0105916	0.0143478	0.0153532	0.0331425	0.0209084	0.0330178	0.0598936	0.0506262	0.0796581	0.074919	0.0594641	0.0953684	0.127757
</S>	0.0447124	0.0343065	0.0301715	0.0168059	0.0151959	0.00533583	0.00253802	0.00286521	0.00237695	0.00484475	0.0089104	0.0126266	0.0245897	0.0220978	0.0139956	0.0144312	0.0162209	0.017393	0.0277401	0.0268632	0.0362946	0.0238357	0.0403703	0.0508594	0.0552939	0.0954342	0.0625531	0.0498353	0.088581	0.152921
