 	a87	a23	a83	a75	a92	a43	a0	a75	a44	a90	a98	a85	a73	a44	a15	a94	a76	a98	a44	a26	a11	a56	a96	a66	a9	a87	a23	a87	a97	a87	a23	a38	</S>
l'	0.0640526	0.0693201	0.0349519	0.0282334	0.0225327	0.0218326	0.0265628	0.0216639	0.0359576	0.0205418	0.00958671	0.0070667	0.00704188	0.00716329	0.00718884	0.0103053	0.0135085	0.0126097	0.0189902	0.0271008	0.0391077	0.027226	0.0286807	0.0382683	0.0419608	0.0424598	0.041745	0.0349217	0.0431655	0.0259938	0.0520807	0.0355046	0.0826738
oiseau	0.0109888	0.0129961	0.0115844	0.0133873	0.0115096	0.0374861	0.0400749	0.124449	0.0590518	0.0971055	0.0956186	0.0549482	0.0202154	0.0141	0.012124	0.0208395	0.0164165	0.0214929	0.0411099	0.0698223	0.0385671	0.0223613	0.0100188	0.0159372	0.0105008	0.0113451	0.0106388	0.0124925	0.0158467	0.017032	0.0154021	0.0209825	0.0135545
est	0.0249695	0.0185879	0.0251564	0.0259707	0.0251057	0.0270693	0.0230242	0.0227608	0.0273538	0.0124351	0.0326904	0.0282175	0.0153529	0.0275132	0.0339072	0.0294769	0.0242996	0.0117336	0.0073512	0.00925391	0.0132172	0.0226579	0.0304414	0.0313755	0.0261669	0.0350314	0.039047	0.0402237	0.0468046	0.0629364	0.0571453	0.0748688	0.067854
en	0.00269496	0.00185812	0.00168439	0.00253833	0.00335982	0.00215378	0.00323803	0.00224054	0.00251156	0.00247225	0.00637311	0.0316235	0.0661091	0.123575	0.104004	0.0832058	0.138913	0.126907	0.0782366	0.0220492	0.0110731	0.01085	0.0121453	0.0141864	0.0213289	0.0191432	0.0245599	0.0157789	0.0121553	0.015464	0.0158223	0.0125821	0.00916251
train	0.0114707	0.0146108	0.0141165	0.0132061	0.0103888	0.00953774	0.013436	0.00535741	0.00736832	0.00900523	0.0136006	0.0289717	0.0646844	0.0624894	0.0730601	0.0969798	0.137703	0.153284	0.109172	0.0506072	0.015326	0.0109346	0.00983298	0.00695291	0.00708456	0.00567226	0.00700428	0.00547092	0.0042545	0.00527678	0.0080846	0.00730905	0.00774665
de	0.0698964	0.045188	0.042919	0.0437852	0.0295386	0.0182002	0.0161391	0.0123696	0.0126744	0.00773214	0.00627829	0.00639722	0.00580975	0.00426356	0.00247856	0.0020558	0.00215454	0.0028777	0.00570374	0.0156235	0.0243653	0.0215001	0.0364431	0.0336545	0.03084	0.0594673	0.0557077	0.0618085	0.0628262	0.0861706	0.0545815	0.0596682	0.0608819
faire	0.0632645	0.0468057	0.0449555	0.0451889	0.0421997	0.0396328	0.0570457	0.0269934	0.023287	0.0146093	0.0198098	0.0217501	0.0439572	0.0349674	0.0521977	0.0791553	0.0583703	0.0390775	0.03095	0.0249149	0.0217147	0.0122629	0.0250254	0.0217286	0.0126053	0.0157069	0.0136984	0.0143412	0.01054	0.0169823	0.0100566	0.00959937	0.00660561
son	0.0346177	0.0213996	0.024278	0.0227822	0.0219787	0.0176528	0.0206584	0.0152731	0.0156845	0.0143298	0.0144721	0.0145633	0.0227947	0.0250068	0.0265616	0.0369966	0.072052	0.0777829	0.0476233	0.0512357	0.0438135	0.0258389	0.0484813	0.0349398	0.0260636	0.0347559	0.0230181	0.028272	0.0258211	0.0329003	0.0280073	0.0218597	0.0284849
nid	0.0330665	0.0215581	0.0226389	0.020882	0.0201413	0.0215238	0.0276161	0.0209483	0.0192458	0.0146372	0.0145322	0.0147074	0.0134479	0.0188283	0.0169979	0.0227071	0.0550469	0.0554132	0.0398032	0.0442432	0.0478215	0.0275215	0.0400721	0.0366728	0.0304092	0.0370605	0.0346053	0.0355353	0.0293692	0.0443262	0.0476531	0.0349327	0.036035
</S>	0.0324504	0.0242497	0.0203645	0.0171768	0.016066	0.0199832	0.0277955	0.0197767	0.0208767	0.0130534	0.00925478	0.00553226	0.00744545	0.0200582	0.0246263	0.0394481	0.0692202	0.0453944	0.0230312	0.0250878	0.0325188	0.0202154	0.0272232	0.02076	0.0200446	0.030246	0.0360504	0.0390555	0.0375693	0.0607756	0.0666625	0.047347	0.08064
