 	a66	a87	a23	a83	a70	a93	a4	a13	a11	a47	a12	a62	a70	a90	a25	a92	a56	a75	a92	a56	a90	a56	a92	a37	a47	a62	a88	a9	a99	a87	a23	a99	a87	</S>
je	0.033065	0.0462323	0.0238441	0.0408888	0.048958	0.0221581	0.0187949	0.0112498	0.018615	0.0127554	0.0203402	0.041706	0.0332324	0.0342479	0.0610948	0.0252836	0.0324421	0.0275344	0.0200415	0.0250079	0.026946	0.0326802	0.025696	0.0252184	0.0283622	0.0425198	0.0233736	0.026107	0.0282027	0.024425	0.0326549	0.0253776	0.0239792	0.0369652
vais	0.0250384	0.0203938	0.0271988	0.0198856	0.0515894	0.024887	0.0383909	0.0162033	0.0349101	0.0335729	0.0337933	0.0152312	0.0322962	0.040656	0.0218096	0.0681041	0.0402956	0.054683	0.0439231	0.030493	0.0328042	0.0237175	0.0327122	0.0269463	0.0303404	0.0157512	0.017945	0.0200534	0.0212553	0.0194598	0.0193934	0.0217973	0.0190955	0.0253732
couper	0.0201278	0.0237215	0.0104599	0.015145	0.021068	0.0267761	0.0516607	0.0461028	0.0488236	0.0585893	0.0409974	0.0266685	0.0307242	0.0199742	0.0129387	0.0197792	0.0141861	0.0126983	0.0140932	0.0145187	0.0210733	0.0196706	0.0227148	0.0193731	0.0166996	0.0212926	0.0184819	0.0271584	0.0362915	0.0393545	0.0483751	0.0444766	0.0655185	0.0704662
cet	0.0531627	0.0382398	0.0164682	0.0166785	0.0156591	0.0189783	0.035672	0.0181972	0.0356068	0.0538613	0.0421296	0.0383878	0.0309574	0.037515	0.0274582	0.0577284	0.0385519	0.0284307	0.0265403	0.019674	0.0222572	0.0196271	0.0203439	0.0196379	0.0222337	0.0252394	0.0198769	0.0148924	0.0313793	0.0285763	0.0268684	0.0270004	0.0372386	0.0349314
arbre	0.0394696	0.017908	0.0259444	0.0210227	0.00796789	0.0185217	0.0147664	0.0339935	0.0157249	0.0219489	0.0294913	0.026463	0.0191364	0.0203819	0.0156289	0.0229364	0.0155658	0.0160609	0.0220787	0.0272186	0.036306	0.0436831	0.0607696	0.0693849	0.0590168	0.0721449	0.0286526	0.0337983	0.0259114	0.0302765	0.0304981	0.026789	0.0326773	0.0178613
qui	0.0773318	0.0433899	0.0334918	0.028843	0.0169041	0.024397	0.0229476	0.0195436	0.0139999	0.0191165	0.0129865	0.0117317	0.00887375	0.0125711	0.00874927	0.00807108	0.00563846	0.010258	0.00928166	0.0106777	0.0131382	0.0134119	0.0231959	0.0278911	0.0417614	0.0736744	0.0400964	0.0492444	0.0591835	0.0434555	0.0451429	0.0609745	0.0546509	0.0553743
est	0.0276341	0.0133727	0.00969282	0.00504765	0.011784	0.00798991	0.0107307	0.00601993	0.00556531	0.00998243	0.00454262	0.00510086	0.00437325	0.00431388	0.00292327	0.00532159	0.00502502	0.00466154	0.00405796	0.00340712	0.00915677	0.0127596	0.0193319	0.0304481	0.056072	0.0985996	0.0635134	0.0812482	0.0992201	0.0789592	0.0644845	0.0889777	0.0835186	0.0621637
derrière	0.0428809	0.0388506	0.0302699	0.0300341	0.0452936	0.037788	0.0245116	0.0259414	0.0197783	0.0190827	0.0110417	0.0128706	0.00747807	0.00731335	0.00971288	0.00911661	0.00899569	0.0087565	0.00905413	0.00816604	0.0134552	0.0132306	0.0125182	0.0182037	0.0144511	0.0266129	0.0230586	0.0306896	0.060101	0.0561029	0.058717	0.0738269	0.0761102	0.115986
la	0.0340083	0.0241924	0.0130933	0.00935721	0.0237024	0.00673547	0.00412072	0.00240792	0.00222997	0.00420097	0.00448575	0.00559003	0.00668685	0.00594472	0.00729705	0.00598594	0.00798145	0.00898675	0.00920486	0.0095101	0.0149034	0.0119105	0.0133059	0.023676	0.0322544	0.0434698	0.0502972	0.0679437	0.0932804	0.0904503	0.0810455	0.0992749	0.0815994	0.100867
maison	0.0349986	0.0180195	0.0180148	0.0118236	0.012094	0.0112714	0.00941737	0.00604657	0.00653935	0.0102413	0.0133669	0.0123558	0.00988084	0.00796497	0.00920906	0.00658968	0.00931223	0.00919708	0.00834726	0.00835525	0.0160737	0.0164892	0.0188434	0.024769	0.0280875	0.0427956	0.0432134	0.0732467	0.0718965	0.103566	0.0881985	0.0893126	0.0895402	0.060922
</S>	0.0151937	0.00743698	0.00296517	0.0025303	0.00460362	0.00300626	0.00158878	0.0017953	0.00162152	0.00185747	0.00110689	0.00170202	0.00144148	0.00169535	0.00148287	0.00191253	0.00212423	0.00225301	0.00205471	0.00196176	0.00632295	0.0117785	0.022132	0.0314206	0.0406634	0.0678936	0.0670608	0.0886078	0.111182	0.113208	0.1142	0.103799	0.0826136	0.078784
