 	a23	a85	a87	a23	a40	a44	a27	a38	a26	a24	a96	a69	a90	a25	a41	a32	a38	a75	a76	a90	a38	a75	a41	a94	a98	a73	a58	a98	a41	a36	a94	a66	a25	a3	a87	</S>
c'	0.0430077	0.123342	0.111619	0.124399	0.0938018	0.0684656	0.0507816	0.0361875	0.0298202	0.0110632	0.00959467	0.0147452	0.0108146	0.0180141	0.0184278	0.0138057	0.0144277	0.0116991	0.00956902	0.00905532	0.00861851	0.00974406	0.0109532	0.0118409	0.0105226	0.0073949	0.0164954	0.00966481	0.0104701	0.0221493	0.00812923	0.00943245	0.00984226	0.00744875	0.00941325	0.0152402
est	0.00701634	0.00762843	0.00443897	0.00500411	0.0151923	0.0260737	0.0166838	0.012941	0.00891046	0.00717313	0.00760008	0.0190393	0.0193539	0.0264772	0.0288454	0.0216136	0.0158241	0.00848996	0.0110789	0.00523698	0.0109125	0.0124967	0.0162789	0.0165682	0.0143176	0.0507011	0.036126	0.0492079	0.0578466	0.0565298	0.0619599	0.0969359	0.0880762	0.080836	0.0606372	0.0159476
un	0.0386164	0.0192026	0.0175392	0.0138285	0.0111388	0.00620899	0.0100649	0.00925215	0.00502102	0.00819356	0.00902693	0.0189582	0.00924326	0.0175784	0.0111154	0.0114629	0.0126039	0.0123091	0.0126277	0.00937802	0.00930879	0.00848014	0.00931418	0.0142376	0.0092445	0.0140256	0.0179037	0.0181737	0.0360761	0.0415085	0.0561993	0.09717	0.0727615	0.106117	0.118203	0.107907
homme	0.0143178	0.0162498	0.00958867	0.0192437	0.0312848	0.0911624	0.0799814	0.0397791	0.0798276	0.0788057	0.0717265	0.0534557	0.0507732	0.035758	0.0433167	0.0397127	0.0329775	0.0160739	0.030951	0.0136336	0.0246257	0.0191488	0.0125725	0.0104806	0.0124245	0.00742231	0.00748656	0.00657104	0.00936276	0.00785038	0.00962704	0.00537752	0.00442625	0.00545535	0.00403826	0.00451059
très	0.0519391	0.00982882	0.00313706	0.0034737	0.00682487	0.0143583	0.0175481	0.0116614	0.0102791	0.00847042	0.0106485	0.0150551	0.0143808	0.00979501	0.00722415	0.00616398	0.00501838	0.00369167	0.0049922	0.00196122	0.00417352	0.00783255	0.0121429	0.022197	0.0245506	0.0172708	0.0173617	0.0263623	0.0344682	0.0545917	0.05761	0.0989766	0.140112	0.132957	0.10805	0.0248905
bienfaisant	0.111	0.0637434	0.0293103	0.0314537	0.0211849	0.0442939	0.0312804	0.019912	0.0270054	0.0255134	0.023549	0.0325394	0.0302136	0.0400073	0.0248546	0.036519	0.01896	0.0111271	0.0165069	0.00663059	0.0096031	0.00808444	0.00810561	0.00927851	0.0132372	0.010787	0.01121	0.0124309	0.0184006	0.0201045	0.0218342	0.0315124	0.0477572	0.0511423	0.0391068	0.0418004
envers	0.017405	0.00867076	0.00921446	0.00687196	0.00491149	0.00552499	0.0047682	0.0055896	0.00617711	0.00619385	0.005687	0.0069613	0.00792788	0.00715522	0.00664873	0.00764601	0.0111569	0.0052625	0.0143077	0.0088798	0.0127691	0.0131177	0.0117592	0.011304	0.0125324	0.0136671	0.0234146	0.0455399	0.0665415	0.076588	0.078303	0.0990925	0.101267	0.118305	0.0898901	0.0689483
les	0.047829	0.022379	0.021003	0.0181334	0.0193351	0.0102455	0.00677273	0.0115855	0.00584727	0.00576279	0.00533155	0.00511367	0.00738484	0.00947229	0.0130679	0.016747	0.0143249	0.0199714	0.0172195	0.0159671	0.0154515	0.0105357	0.0108238	0.00863325	0.0119532	0.0114837	0.0164746	0.0227513	0.0458147	0.0465551	0.0561685	0.0650018	0.0826179	0.086209	0.08519	0.130843
gens	0.068088	0.0258013	0.0268461	0.0177057	0.0173078	0.0113033	0.0151713	0.01942	0.0123469	0.0122821	0.0094269	0.00784498	0.00637344	0.00559777	0.00559773	0.00616417	0.0106172	0.00444196	0.0129689	0.0094895	0.0118216	0.0112336	0.012751	0.00900998	0.00944833	0.0140018	0.0277642	0.0354063	0.0565959	0.0626201	0.0477958	0.0524413	0.0590685	0.071667	0.0782778	0.135302
</S>	0.0369117	0.0134894	0.0136304	0.0108366	0.00931005	0.00679431	0.00893202	0.0120191	0.00849709	0.00701502	0.00551516	0.00643175	0.00547246	0.00455951	0.00327795	0.00399824	0.00589375	0.00164686	0.00628188	0.00321151	0.00572998	0.0058147	0.00965958	0.00881266	0.00851613	0.00907954	0.0213332	0.0294427	0.0595543	0.0925196	0.0685398	0.0777609	0.0857779	0.0984677	0.105875	0.139392
