 	a66	a87	a23	a79	a58	a4	a50	a98	a50	a70	a54	a73	a32	a54	a73	a44	a70	a93	a54	a73	a69	a15	a56	a70	a13	a93	a70	a99	a24	a62	a70	a90	a44	a70	a66	a44	a26	a82	a9	a87	a23	a87	a23	a87	</S>
il	0.026776	0.0416435	0.0354843	0.0469352	0.03559	0.0167645	0.017176	0.0407405	0.0192361	0.0238838	0.0199422	0.0275133	0.0182587	0.0114233	0.00917908	0.0117344	0.00499745	0.00591511	0.00665395	0.00578676	0.00570359	0.0223741	0.0248366	0.0327499	0.0341642	0.0638713	0.059431	0.0196263	0.00630471	0.00300272	0.00432384	0.00535757	0.00614824	0.00453721	0.0097663	0.022879	0.0310532	0.0222285	0.0190645	0.0149023	0.0218217	0.0232952	0.0366975	0.0251838	0.0550426
m'	0.00890729	0.00918354	0.012002	0.0211912	0.032911	0.0466459	0.0352255	0.0359992	0.0250712	0.0313082	0.0161225	0.0122261	0.0136222	0.0235284	0.0383171	0.0357573	0.034689	0.0342771	0.0317803	0.0396519	0.0222347	0.0362357	0.035305	0.0361929	0.0304533	0.0150954	0.012436	0.0147194	0.0158719	0.0114231	0.0185847	0.015646	0.0138404	0.0147939	0.0150191	0.0140216	0.0108072	0.0221436	0.0185181	0.0158347	0.0178433	0.0146342	0.0137	0.0137046	0.0125244
a	0.0145766	0.00980612	0.00746295	0.0098192	0.0209305	0.0192268	0.0297098	0.0356284	0.0222662	0.0483999	0.0329193	0.0303741	0.0321196	0.0476448	0.053399	0.0989883	0.0825926	0.0314644	0.0322206	0.0398698	0.0219691	0.01905	0.0326316	0.0203179	0.018714	0.00524467	0.00498895	0.00394568	0.00413372	0.0042586	0.00643658	0.00662079	0.00559313	0.00477282	0.00396721	0.0082588	0.00927372	0.0108632	0.0112367	0.0121279	0.0163977	0.016408	0.0121484	0.0149085	0.0263135
demandé	0.0629809	0.0569588	0.0463904	0.0205183	0.0122448	0.011007	0.0242352	0.0168868	0.0184516	0.0105005	0.00982887	0.0121052	0.011664	0.00941201	0.0162661	0.0107598	0.0183559	0.0173705	0.0176918	0.0210249	0.028014	0.0408722	0.0194676	0.0447101	0.025679	0.0380963	0.0435336	0.0401775	0.0458842	0.0618021	0.0362215	0.0314027	0.0164164	0.0142237	0.0180207	0.0107024	0.00621822	0.00839562	0.00763507	0.00575166	0.00478961	0.00347032	0.00424355	0.00322791	0.0163909
de	0.045968	0.0173133	0.0124377	0.014781	0.0155124	0.0165135	0.0139841	0.026983	0.0126536	0.0296453	0.0226099	0.0335622	0.0390879	0.0351113	0.0263228	0.0294111	0.0287328	0.0250127	0.0207294	0.023646	0.0333669	0.0154838	0.0245016	0.0186446	0.0134161	0.0131215	0.00834223	0.00585722	0.007515	0.00672078	0.00814563	0.00419191	0.0117703	0.00827463	0.0193146	0.0193224	0.015196	0.03671	0.0319108	0.0271131	0.037473	0.0359086	0.0257256	0.0333201	0.0486355
le	0.030587	0.0185044	0.00953084	0.0109338	0.00880884	0.00865379	0.0111102	0.015292	0.0200401	0.0188285	0.0194103	0.0352913	0.0408997	0.0583737	0.0770419	0.100918	0.0961378	0.0564984	0.0333875	0.0239127	0.0220955	0.00888475	0.0136481	0.0106601	0.00940151	0.00965962	0.0073509	0.00692161	0.00815764	0.00460978	0.00587117	0.00583643	0.00949456	0.00637214	0.0100846	0.0149222	0.0204966	0.017958	0.0158368	0.0142557	0.0181781	0.0160728	0.0193686	0.0141005	0.0156021
dédommager	0.0182523	0.00824142	0.00301887	0.00301028	0.00492658	0.00425404	0.00827809	0.0137291	0.049441	0.0323237	0.0482281	0.0682642	0.103928	0.102144	0.100335	0.0845701	0.0687284	0.0434328	0.0229942	0.0184635	0.0257651	0.014174	0.0128321	0.0140233	0.00965818	0.00489457	0.00538981	0.00434502	0.00516903	0.0028941	0.0030055	0.00174433	0.00393251	0.00229613	0.00340765	0.0055983	0.00681502	0.0111111	0.00744502	0.00798844	0.0112121	0.00948276	0.00753791	0.00697459	0.00573955
pour	0.0658936	0.0454561	0.0180194	0.0293178	0.0386227	0.017293	0.0138485	0.0360869	0.0173217	0.0231839	0.0251413	0.0308412	0.0406464	0.0305987	0.0225222	0.0218264	0.0114647	0.0110369	0.00940256	0.00699345	0.00573664	0.0134645	0.00600402	0.0134269	0.016571	0.0120016	0.0301436	0.0384508	0.0258789	0.0187624	0.0163633	0.0116322	0.0183202	0.01032	0.012185	0.00859898	0.010599	0.0173988	0.0129157	0.0198818	0.030097	0.0352602	0.0380419	0.0357264	0.0267017
son	0.0335023	0.0138706	0.00839671	0.0136169	0.0131508	0.00731847	0.00715136	0.0149998	0.0205612	0.0192529	0.0214471	0.0206491	0.0332801	0.0348852	0.0352918	0.0302344	0.0264802	0.0221172	0.0184035	0.0141492	0.0129269	0.033677	0.0153841	0.0244928	0.0245014	0.0197073	0.0294156	0.0253847	0.0364806	0.0293443	0.0323435	0.0165962	0.0435029	0.0212366	0.0227008	0.0157044	0.0146415	0.0266966	0.0174677	0.0249342	0.0278834	0.024151	0.018907	0.0183701	0.0147904
assiette	0.0226479	0.0127832	0.0134457	0.0192588	0.00878138	0.00448741	0.00322447	0.00655511	0.0118723	0.0131036	0.0124839	0.013204	0.027563	0.0288408	0.0373398	0.030777	0.0332604	0.0293928	0.0242613	0.0176305	0.0164828	0.032385	0.0211262	0.0196842	0.0217125	0.0133994	0.0172295	0.00917845	0.015143	0.0109132	0.0123585	0.0100983	0.0229282	0.0151594	0.0199031	0.0229653	0.0272411	0.0470607	0.0352661	0.03853	0.059291	0.0504275	0.0337599	0.0341976	0.0226456
