 	a66	a87	a23	a83	a9	a24	a62	a21	a96	a93	a44	a61	a12	a62	a21	a85	a47	a36	a2	a84	a10	a11	a96	a75	a92	a56	a92	a75	a92	a36	a23	a34	a96	a75	a6	a36	a0	a21	a92	a21	a5	a23	a12	a96	a83	a18	a38	a27	a25	a87	a23	a87	</S>
des	0.0426065	0.0697756	0.0412179	0.03986	0.042767	0.0505785	0.0460817	0.0585434	0.0281817	0.0288957	0.0299754	0.0278114	0.0345005	0.0354283	0.0185894	0.0132052	0.0109454	0.0132292	0.0072786	0.00867782	0.00764468	0.011696	0.0134946	0.00815889	0.00802783	0.00910424	0.00769853	0.00605844	0.00812188	0.00771503	0.0044209	0.00370277	0.00647846	0.00604399	0.00726033	0.012556	0.0120519	0.00569357	0.00875883	0.0152398	0.00695562	0.00616072	0.0191556	0.0142755	0.00920973	0.0137375	0.011601	0.0109362	0.0139943	0.0132907	0.0160508	0.01601	0.0305463
applaudissements	0.00161705	0.00160815	0.00349419	0.00412822	0.00297169	0.0057189	0.00613406	0.00862087	0.0170895	0.0111538	0.0330414	0.0786337	0.0352611	0.0478472	0.0849693	0.224441	0.0562215	0.0939536	0.0305491	0.0393723	0.0182524	0.0213429	0.0160894	0.00814132	0.0136594	0.00928953	0.0149869	0.0138589	0.0298735	0.0109618	0.00631134	0.00696694	0.00569993	0.00792283	0.00285549	0.00566287	0.00263344	0.00261813	0.00254026	0.00199003	0.00167616	0.00111396	0.000856455	0.00145691	0.00112728	0.000701308	0.000820165	0.000343112	0.000472208	0.000780628	0.000757599	0.000720976	0.000689549
sont	0.013876	0.0101979	0.00871084	0.0122199	0.0105759	0.00877295	0.00730316	0.0133074	0.0178511	0.0183266	0.0260447	0.0260338	0.0314405	0.0457812	0.0861973	0.0895723	0.0486663	0.050739	0.030696	0.0280631	0.0228613	0.0307155	0.0313804	0.024678	0.0269495	0.0215894	0.0231491	0.0229944	0.0287063	0.0228941	0.0155704	0.0191335	0.0312055	0.0145153	0.00774153	0.0118004	0.00826108	0.006504	0.00448703	0.00628013	0.0022902	0.00284136	0.00319269	0.00270298	0.0034279	0.00356068	0.00196132	0.00189411	0.00155317	0.00272061	0.00340004	0.00283724	0.00182483
en	0.0195142	0.0155642	0.0112219	0.00954735	0.0109833	0.0349497	0.0173853	0.0282418	0.0148749	0.0417884	0.0254529	0.0243851	0.0321879	0.0201319	0.0186769	0.00746364	0.0164776	0.0140303	0.00981475	0.0178002	0.0194488	0.0166705	0.0143699	0.0189351	0.0168179	0.0163907	0.0158652	0.0213476	0.0221339	0.0147581	0.0144612	0.0160545	0.0186944	0.0138045	0.0146418	0.0220372	0.0211017	0.0121667	0.00959676	0.0163664	0.0105986	0.0129953	0.0153273	0.0200258	0.0233441	0.0308425	0.0264339	0.0298012	0.0314815	0.0217122	0.0197116	0.0219612	0.00960976
train	0.0189732	0.0209444	0.0108204	0.00829062	0.00869246	0.0175611	0.0120491	0.00729927	0.00442424	0.00874455	0.00887391	0.00490391	0.0111074	0.00560141	0.00535173	0.0016047	0.00655965	0.00636207	0.00317148	0.0118327	0.0149558	0.0161417	0.0274216	0.0360862	0.0536345	0.0406586	0.0516932	0.0571437	0.0459011	0.0316408	0.027227	0.0265004	0.034638	0.0339072	0.0335356	0.0588283	0.0402202	0.0229411	0.0195799	0.0231823	0.00977657	0.0110948	0.0136363	0.0110654	0.0100066	0.00872275	0.00709094	0.00631916	0.0114264	0.00916056	0.00924944	0.00870661	0.00473901
d'	0.0177609	0.00724066	0.00427265	0.00496442	0.00679381	0.00311577	0.00767768	0.00506393	0.00583358	0.0107136	0.0130773	0.0172537	0.0253981	0.0442737	0.0347866	0.0583446	0.0596317	0.0790694	0.0557833	0.11316	0.0574485	0.0750976	0.050023	0.0455374	0.0233008	0.030395	0.0149083	0.0151989	0.0149139	0.0117117	0.00554786	0.00701085	0.00789321	0.00342977	0.00154526	0.00310659	0.00221252	0.00168262	0.00267265	0.0034034	0.00197421	0.00212762	0.00292072	0.00313723	0.00237618	0.00288035	0.00263609	0.00282469	0.00334803	0.00614586	0.00638201	0.00475841	0.00723318
éclater	0.00433498	0.00252824	0.00139448	0.000928072	0.0023137	0.00111844	0.00201973	0.00114807	0.00168421	0.00183573	0.00445411	0.00408846	0.00335348	0.00758991	0.00618558	0.00881893	0.0139505	0.0159086	0.0113365	0.028592	0.0229395	0.0428354	0.0353023	0.055029	0.0626218	0.102945	0.0740866	0.0876029	0.0677833	0.0552406	0.0376142	0.0454665	0.0479192	0.027121	0.0189674	0.0240376	0.0164691	0.0138974	0.00868028	0.00503984	0.00305699	0.00227064	0.0027888	0.00251746	0.00142476	0.00120061	0.00128058	0.000798494	0.00109197	0.00183438	0.00318873	0.00203213	0.00133132
parce	0.0244707	0.015333	0.0137687	0.00841617	0.0131264	0.00850725	0.0107576	0.0123004	0.00985813	0.0101404	0.0119876	0.0153731	0.01284	0.0151775	0.0221338	0.0289748	0.0360496	0.0379759	0.0272359	0.0525929	0.0472304	0.0572397	0.0421588	0.0537555	0.0480075	0.0462797	0.0349478	0.0355567	0.0238383	0.0139935	0.00817894	0.0152043	0.0153745	0.00873314	0.00716169	0.0115866	0.0117565	0.00916637	0.00901255	0.011208	0.00910635	0.00842962	0.0104155	0.0101401	0.00730575	0.00809009	0.00876382	0.00751519	0.00832199	0.00658314	0.00726931	0.00657851	0.00407039
que	0.0308706	0.0155846	0.0166227	0.0116702	0.0096434	0.00986975	0.00874493	0.0132057	0.0111694	0.0108883	0.00866709	0.0127792	0.00953415	0.00980421	0.0177819	0.0368432	0.0298765	0.0539458	0.0213402	0.0540662	0.0526376	0.065924	0.0401635	0.0519408	0.0484135	0.0358853	0.0173819	0.0198623	0.0115373	0.010941	0.00533321	0.00637235	0.00809289	0.00340047	0.00263025	0.006206	0.00500123	0.00766541	0.00785821	0.0140567	0.0116298	0.0135694	0.0220141	0.0221682	0.0125811	0.0171475	0.0148771	0.0116654	0.0134346	0.0127374	0.0131022	0.0127759	0.00808537
le	0.0322948	0.018862	0.0147544	0.0111211	0.00973731	0.0112506	0.00875613	0.010965	0.00846408	0.00969235	0.00645121	0.0099823	0.00654251	0.00798236	0.01343	0.0240114	0.0218624	0.0475333	0.0158724	0.0452644	0.0428039	0.0485891	0.0350881	0.0380614	0.0361724	0.0328352	0.0194993	0.0195752	0.0116416	0.0115856	0.00714128	0.00669309	0.00972655	0.00478698	0.00326073	0.00707875	0.00725323	0.0119089	0.0156775	0.0206112	0.0172283	0.0180631	0.0222033	0.0251863	0.0235157	0.0295841	0.0225526	0.0188237	0.0200082	0.0212043	0.0246475	0.0234083	0.0087546
