 	a87	a10	a97	a30	a53	a98	a41	a66	a61	a21	a75	a85	a47	a44	a38	a11	a90	a92	a85	a11	a75	a70	a35	a98	a47	a44	a57	a40	a98	a15	a44	a93	a13	a98	a47	a41	a26	a57	a10	a50	a88	a61	a36	a2	a57	a87	a23	a87	a97	a99	a97	</S>
il	0.017079	0.0208248	0.0211543	0.0209079	0.0327931	0.0189709	0.0148436	0.0325934	0.0219968	0.0330274	0.0547697	0.0463358	0.0414601	0.0482702	0.0392889	0.0532178	0.0382905	0.0315829	0.0380535	0.0209862	0.0137389	0.0100856	0.00840594	0.0108905	0.0120528	0.00876512	0.00670605	0.0058728	0.00908369	0.00804079	0.00804679	0.0103064	0.0280498	0.00868232	0.0122789	0.0129295	0.00735086	0.0112722	0.0109015	0.00807384	0.0100616	0.0119954	0.014617	0.0147138	0.0109345	0.0130245	0.0109712	0.0101548	0.0115285	0.011884	0.00932297	0.0128105
était	0.00670317	0.00431349	0.00579244	0.0107833	0.0139985	0.0116711	0.0260035	0.018115	0.0198054	0.0267872	0.0213355	0.0128481	0.0209181	0.012789	0.0156114	0.0185117	0.0189283	0.0215537	0.0278108	0.0373048	0.0309199	0.0306592	0.0332779	0.0267533	0.0217929	0.0151135	0.0159218	0.0355736	0.0193282	0.0110796	0.0121539	0.0154429	0.0111554	0.00919396	0.0077018	0.00534045	0.00754754	0.0069921	0.0111363	0.0128856	0.0207963	0.0293818	0.0324537	0.0347149	0.0320163	0.0293692	0.0269588	0.0356713	0.0277045	0.0160793	0.0175999	0.00569963
en	0.0150233	0.00848211	0.00671867	0.005062	0.00320951	0.00365079	0.0119778	0.00843799	0.0117426	0.0231997	0.0186761	0.0211253	0.0178094	0.0111879	0.0146611	0.0202713	0.0166297	0.0243077	0.0299369	0.0329794	0.0363739	0.0303314	0.0295581	0.0293758	0.0271555	0.0288436	0.0252743	0.0171715	0.0137846	0.00580823	0.00586893	0.00796626	0.00327178	0.00816107	0.00673118	0.0139654	0.0103665	0.0086141	0.0138163	0.0119885	0.0103802	0.0219061	0.020738	0.0176306	0.0196431	0.0260564	0.02079	0.0311197	0.045477	0.0413434	0.0480293	0.0573699
train	0.0142611	0.0179093	0.0226326	0.0198835	0.0139154	0.0201055	0.0333628	0.0275697	0.0286276	0.0456345	0.0305578	0.0112493	0.00965599	0.0120976	0.0121584	0.00473484	0.0107324	0.00733348	0.0114736	0.0114243	0.0156033	0.0159365	0.0213179	0.0256543	0.0216695	0.0266907	0.0242467	0.0232261	0.0244683	0.0213973	0.0385251	0.0384066	0.0139836	0.0234528	0.0259584	0.0215727	0.0217974	0.0404308	0.022356	0.0133757	0.0142387	0.0197392	0.0150562	0.0140077	0.0132898	0.0112571	0.0126526	0.0121078	0.00790153	0.010642	0.00732634	0.0163915
d'	0.0467376	0.0164881	0.0147056	0.0126074	0.00579186	0.00522873	0.00857526	0.00695308	0.00923869	0.0289627	0.0379881	0.0252089	0.0309707	0.0279129	0.0372683	0.0434505	0.0449329	0.0536429	0.0616753	0.0586544	0.0620033	0.0560643	0.0416849	0.0347585	0.0230462	0.017778	0.023922	0.00777708	0.00935999	0.0099796	0.00570676	0.0108201	0.00951314	0.00514707	0.00334878	0.00576816	0.00533158	0.00403287	0.00605578	0.00322551	0.00200261	0.00342458	0.00383276	0.00269098	0.00278289	0.00475609	0.00336392	0.00613541	0.0113243	0.00806214	0.0173649	0.0119419
entasser	0.0348379	0.00533418	0.0033535	0.00483958	0.00264663	0.00166391	0.00459877	0.00214705	0.00768854	0.0140696	0.0104211	0.00566902	0.018176	0.0106744	0.0188049	0.0250398	0.0275888	0.0375716	0.044202	0.0540129	0.0413206	0.0630389	0.0970743	0.0889585	0.033524	0.0671326	0.0618225	0.0571838	0.0280834	0.0221193	0.020598	0.0210769	0.0104384	0.00768956	0.00438868	0.00685513	0.00810461	0.00269303	0.00196302	0.00377106	0.00327033	0.00210968	0.00138125	0.00176187	0.00135862	0.00162967	0.00115788	0.000940522	0.00145906	0.00094602	0.00182838	0.000980173
les	0.0509268	0.0177266	0.00880898	0.00347407	0.00225138	0.00200386	0.00391489	0.00212634	0.00319744	0.00560755	0.00647349	0.00775947	0.00658494	0.00426137	0.0046221	0.00741117	0.011101	0.0153652	0.0143649	0.0214017	0.0268828	0.0352429	0.0391564	0.0449909	0.0518349	0.0630098	0.0581987	0.0177607	0.0125755	0.0059075	0.00410239	0.00731594	0.00574379	0.0247418	0.018883	0.0283552	0.0396176	0.013744	0.0187632	0.0357615	0.0276078	0.0383715	0.0228232	0.0407652	0.0208637	0.0216418	0.0169868	0.0150947	0.0144237	0.011012	0.0131519	0.00528572
poissons	0.0309085	0.00891602	0.00719816	0.00265409	0.00116197	0.00116249	0.00213794	0.0017318	0.00219287	0.00439088	0.00636945	0.00431437	0.00626226	0.00474867	0.00591952	0.0073005	0.0115929	0.0174572	0.0166365	0.0226509	0.0258121	0.0368682	0.0328317	0.0446761	0.0518769	0.0467165	0.0560782	0.0175725	0.0128194	0.00677299	0.00454333	0.0073932	0.00743722	0.0103471	0.010386	0.0126844	0.0171547	0.0102144	0.0188665	0.0479555	0.0314113	0.0378447	0.0357504	0.0495318	0.0283607	0.0288532	0.0232335	0.028294	0.0284142	0.0197913	0.0276672	0.0161338
pour	0.0196475	0.0166342	0.0201199	0.013504	0.00855691	0.00759902	0.00520912	0.00510766	0.00540174	0.00731265	0.00924517	0.00587604	0.0140666	0.0136084	0.015526	0.0159581	0.0195288	0.0260621	0.0199004	0.0246502	0.024928	0.0312106	0.0222784	0.0194869	0.0248697	0.0260002	0.0194752	0.0113256	0.0132582	0.00957094	0.0074078	0.00893235	0.0200877	0.0124393	0.015089	0.0159949	0.0137066	0.0117948	0.014482	0.0131761	0.00952	0.0140369	0.022319	0.0231687	0.0156432	0.0207823	0.0183939	0.0322923	0.0474249	0.0375068	0.0726528	0.0772303
les	0.0155967	0.0133973	0.0177823	0.00945537	0.00532443	0.0040666	0.00330482	0.00440751	0.00444526	0.00701629	0.00885986	0.0064078	0.0105254	0.0103455	0.0106253	0.0109956	0.012429	0.01466	0.0134858	0.0151196	0.0183263	0.0216134	0.0164048	0.0178724	0.0210651	0.0242537	0.0191211	0.0103193	0.0120006	0.00918469	0.00538055	0.00595956	0.0176101	0.0103786	0.0164979	0.0174215	0.0140856	0.0162355	0.0305974	0.0230262	0.0136339	0.0237591	0.0311518	0.0271599	0.0234069	0.0317459	0.0308177	0.0456174	0.0571617	0.0451604	0.0645438	0.0802369
