 	a66	a87	a23	a99	a40	a6	a0	a43	a88	a71	a0	a24	a9	a38	a90	a15	a79	a56	a75	a92	a15	a7	a44	a57	a82	a99	a87	a23	a99	a38	a11	a90	a79	a36	a94	a90	a98	a5	a21	a85	a6	a37	a54	a36	a2	a57	a87	a23	a40	a7	a26	a53	a15	a20	a15	a7	a47	a36	a2	a57	a87	a40	a47	a36	a26	a57	a87	a23	a87	</S>
maman	0.0241871	0.0303176	0.024894	0.0411714	0.023167	0.0175474	0.0185931	0.0364127	0.031478	0.0593997	0.0406457	0.0369722	0.0271123	0.0195221	0.0184694	0.0225231	0.0230043	0.0315367	0.0182339	0.0126371	0.0213358	0.0200914	0.0218815	0.0215122	0.0182959	0.0179044	0.00881969	0.0073706	0.00842615	0.010771	0.00763135	0.00979756	0.00950857	0.00656473	0.00695522	0.00723277	0.00567105	0.00590112	0.00661777	0.00655884	0.00541196	0.00385701	0.00433463	0.00554439	0.0155217	0.0109158	0.0135842	0.0123733	0.00435267	0.0102277	0.0087831	0.0117164	0.0141311	0.00738946	0.00983287	0.00658819	0.00507597	0.00485123	0.00522114	0.00593532	0.00410013	0.00436048	0.00242644	0.00429188	0.00603287	0.0034019	0.00409901	0.00318228	0.00305534	0.012729
nous	0.00667258	0.0114506	0.0266853	0.0320227	0.0248882	0.0148049	0.0140122	0.00936894	0.011335	0.0108541	0.00526673	0.0310515	0.0200574	0.0420774	0.0355032	0.0193923	0.0159886	0.018644	0.0152166	0.0138562	0.0119917	0.00727722	0.00761699	0.00696032	0.00685971	0.00984444	0.0129122	0.011059	0.00967752	0.00850397	0.0158477	0.00931008	0.0107186	0.0092899	0.0158705	0.0164979	0.017443	0.0157404	0.0147399	0.0180278	0.0147458	0.0170595	0.0156665	0.0124586	0.0133757	0.0151784	0.0144958	0.0114584	0.012973	0.0320401	0.0345176	0.0216968	0.0203563	0.0102637	0.0115078	0.0126626	0.00781492	0.0117233	0.00964671	0.0100912	0.00962439	0.0032881	0.0024663	0.00486364	0.00311551	0.00273045	0.00865176	0.00955753	0.0122943	0.0183378
a	0.0327734	0.00786413	0.0154698	0.0105404	0.0271895	0.0161076	0.00673278	0.00468431	0.00609532	0.00881491	0.0132444	0.0742411	0.041826	0.040408	0.0186379	0.0113545	0.0169835	0.0138439	0.017778	0.0131276	0.00900154	0.00769809	0.00614889	0.0117145	0.00804033	0.00868286	0.0133072	0.0124619	0.0140313	0.014198	0.0269852	0.0125616	0.0141522	0.0113336	0.0217406	0.0181542	0.0301747	0.0157065	0.0193413	0.0146338	0.0181386	0.0179205	0.0158506	0.0188987	0.0212477	0.0252377	0.0135895	0.0196229	0.00693882	0.0159446	0.0196583	0.00883445	0.00816288	0.0046756	0.00202122	0.00212444	0.00194427	0.00213538	0.000862193	0.00234888	0.00133815	0.000688115	0.00144965	0.00377656	0.0029562	0.00910673	0.0133937	0.0102971	0.0205763	0.0224746
laissé	0.0250099	0.0156206	0.0101112	0.012385	0.0119532	0.0163632	0.0340228	0.025918	0.0202374	0.0165313	0.026858	0.0406975	0.0286539	0.035152	0.0165533	0.0187673	0.017416	0.0143731	0.0190041	0.00873331	0.00841743	0.0115689	0.00847972	0.00747079	0.00795294	0.00907683	0.00784401	0.00669788	0.00891739	0.00908447	0.0074182	0.00778243	0.0058005	0.00624123	0.00599442	0.00694564	0.00520771	0.005442	0.00915773	0.008632	0.00755127	0.00655627	0.00931523	0.015597	0.0114522	0.016092	0.0193913	0.0201041	0.0186536	0.0174918	0.00979995	0.00778042	0.0158489	0.0181779	0.0139006	0.00852012	0.0155181	0.0177231	0.01471	0.019087	0.00933334	0.0116332	0.0115387	0.012972	0.0183355	0.0198807	0.0225248	0.0155392	0.014157	0.0123217
du	0.0125402	0.00763365	0.00729073	0.00731813	0.00622807	0.0066459	0.00907647	0.0100605	0.00970671	0.0100416	0.0150269	0.0189992	0.0292495	0.0376901	0.0321793	0.0457218	0.0260816	0.0288255	0.0227646	0.0220862	0.0268141	0.0250058	0.0148584	0.0137101	0.0105218	0.0183685	0.0117842	0.0130141	0.0160959	0.0137443	0.0155757	0.0122331	0.00901359	0.011399	0.013781	0.020551	0.0128539	0.0132326	0.0293112	0.0185198	0.0138887	0.0141064	0.020219	0.0216019	0.0153318	0.0209191	0.019618	0.0164903	0.0148228	0.00916451	0.0075276	0.00891003	0.00757686	0.00681026	0.00488025	0.00219568	0.00265077	0.00324507	0.00319521	0.00287515	0.00212797	0.0031551	0.00513548	0.00887903	0.00944947	0.0120562	0.0113256	0.0128311	0.0146036	0.0188523
manioc	0.0116751	0.00744627	0.00849486	0.00553427	0.0105101	0.00948788	0.0164629	0.0163592	0.0130829	0.0283095	0.0207003	0.0142479	0.0182301	0.0215545	0.0290822	0.0359873	0.0377925	0.0469361	0.0365002	0.0215769	0.0131997	0.0303303	0.0133726	0.0201446	0.0290999	0.0203251	0.0157483	0.0248745	0.0248561	0.0257412	0.0214435	0.0220818	0.0148572	0.0129372	0.0191339	0.0157362	0.0102657	0.00930215	0.0223314	0.0150196	0.0132616	0.00799978	0.0153799	0.0181202	0.0228002	0.0255144	0.0302042	0.0208956	0.00916546	0.00608194	0.00220948	0.00160665	0.00194557	0.00247793	0.00359096	0.00275727	0.00205104	0.00283814	0.00209552	0.000862031	0.000579781	0.000821952	0.000679494	0.00151939	0.00137249	0.00242475	0.00279145	0.00364113	0.0019206	0.00161891
un	0.0119197	0.00710282	0.00616672	0.00592291	0.00180783	0.00113372	0.000977368	0.00135079	0.000676314	0.00162033	0.00438021	0.00715832	0.0112032	0.0120068	0.0162274	0.0156523	0.0202473	0.0237611	0.0184425	0.0226707	0.0295908	0.0225583	0.0205829	0.0240806	0.0146089	0.0249515	0.0286142	0.0227665	0.0245934	0.0214228	0.0326211	0.0219468	0.0179692	0.0254929	0.0466494	0.0478024	0.0356741	0.0464404	0.0410148	0.0312454	0.0236631	0.0251251	0.0338389	0.0247567	0.0193412	0.0219445	0.0159466	0.0164342	0.0108327	0.0107797	0.00288791	0.00198154	0.00124117	0.00107209	0.000471269	0.00021827	0.000189473	0.00042935	0.000542116	0.000454004	0.000424676	0.000680149	0.000474283	0.00136162	0.00120039	0.00121012	0.00216935	0.00379445	0.0034974	0.00198288
morceau	0.00831415	0.00439738	0.00401977	0.00500727	0.0016329	0.00251708	0.00246238	0.00246505	0.00204674	0.00345677	0.00859263	0.00859927	0.00899491	0.00915058	0.0110392	0.016532	0.0206051	0.0218239	0.0245927	0.0258717	0.0409442	0.0351302	0.0303219	0.0242889	0.0165298	0.046471	0.0195296	0.0311478	0.0323202	0.0273821	0.03285	0.0239426	0.023814	0.0329882	0.0571392	0.0563359	0.0239939	0.0324721	0.0425151	0.0133052	0.0123229	0.0122891	0.0212251	0.0178487	0.012023	0.0131933	0.00815493	0.0103302	0.00735056	0.00923869	0.00330494	0.00275621	0.00341389	0.00275188	0.00155354	0.000871244	0.00118363	0.00166992	0.00121545	0.000999272	0.000884207	0.000291695	0.000198184	0.000740691	0.000515929	0.00105839	0.00279789	0.0050631	0.00334669	0.00586364
pour	0.0138658	0.0040314	0.00334781	0.00305205	0.0022956	0.0014019	0.000999271	0.00113285	0.000779109	0.00142467	0.00384565	0.00489568	0.00988219	0.010782	0.0159496	0.0100733	0.00845166	0.0168164	0.0102977	0.0176803	0.0267449	0.0174466	0.0190149	0.0208508	0.0139994	0.0268979	0.0347719	0.0299906	0.0272585	0.0315354	0.0384429	0.0346532	0.0280467	0.0379324	0.0440495	0.0525866	0.0399748	0.0534015	0.0521995	0.0195262	0.0286753	0.0297623	0.031497	0.0158319	0.00642017	0.00833265	0.00270087	0.00487277	0.00552409	0.00469854	0.00367917	0.00477816	0.00371775	0.00341893	0.00109794	0.0007828	0.000915844	0.000900426	0.00172232	0.00148673	0.000901065	0.000665705	0.000461283	0.00169647	0.00134529	0.00289624	0.00641175	0.011048	0.0163182	0.00711111
moi	0.0201516	0.00549911	0.00438798	0.00430724	0.00289255	0.00218484	0.00174952	0.00224469	0.00173024	0.00237069	0.00462626	0.00453221	0.00670927	0.00749563	0.0119807	0.00743489	0.00548808	0.0143888	0.00760792	0.0117786	0.0181658	0.0138534	0.0126665	0.0151398	0.0136749	0.0202678	0.0225194	0.0238898	0.0230582	0.0233128	0.0225589	0.0247588	0.022818	0.0305159	0.0258646	0.0323991	0.0257323	0.0282837	0.0305658	0.0165831	0.0254117	0.0232742	0.0284114	0.0170823	0.00829684	0.00975813	0.00413238	0.00743725	0.010862	0.00859314	0.00726993	0.0103401	0.00906483	0.0113134	0.00328976	0.00451323	0.00411895	0.00678121	0.00986312	0.0104475	0.00647684	0.00377881	0.00275995	0.00936234	0.00578611	0.0151589	0.0252961	0.0292452	0.0690877	0.0365973
