 	a79	a41	a66	a38	a24	a9	a10	a40	a30	a35	a57	a40	a30	a35	a14	a35	a30	a35	a14	a73	a20	a14	a41	a26	a35	a94	a70	a93	a70	a98	a14	a35	a66	a75	a41	a24	a41	a76	a98	a41	a56	a98	a41	a44	a57	a97	a53	a76	a73	a84	a57	a87	a23	a87	a23	a87	a23	a87	a23	a87	a23	a87	a23	a87	</S>
c'	0.0256974	0.0285779	0.0131818	0.0109401	0.0115803	0.015365	0.0173726	0.020631	0.0150454	0.0185009	0.0118399	0.0152178	0.00888625	0.0159295	0.0199163	0.0160579	0.0380069	0.0147757	0.0192875	0.0111428	0.0166479	0.030229	0.0331287	0.0297602	0.0321278	0.0320327	0.0560959	0.0418415	0.0611399	0.031403	0.023517	0.0293257	0.0135501	0.00654087	0.00547144	0.00435741	0.0066657	0.00591168	0.00715261	0.00805578	0.00387974	0.00365533	0.00271555	0.00263847	0.00248533	0.0042476	0.0036685	0.00311648	0.00129718	0.00185188	0.00661197	0.00313454	0.00781001	0.00436744	0.0141223	0.00570701	0.011542	0.0084805	0.0136388	0.012922	0.0119182	0.0110913	0.00864157	0.011601	0.0159474
est	0.00375427	0.00640902	0.00915346	0.0221326	0.0193751	0.00924517	0.0158481	0.012639	0.00901289	0.00550379	0.00404832	0.01458	0.00529446	0.00804869	0.00671017	0.0157213	0.0156067	0.0141724	0.00746735	0.016894	0.0166447	0.0182085	0.00888351	0.00898928	0.00766813	0.00775781	0.00476974	0.00864887	0.00811893	0.0157028	0.0102587	0.0185714	0.0111609	0.0118337	0.00734155	0.0129759	0.00730171	0.0112956	0.00553731	0.00345007	0.002987	0.00316009	0.00326326	0.0024286	0.00266226	0.00574781	0.00762914	0.00967126	0.0125401	0.0245094	0.0244487	0.0236718	0.0310623	0.0339109	0.0255733	0.0347964	0.0319827	0.0394285	0.0278114	0.0319286	0.0314676	0.0316414	0.0527054	0.0540032	0.024233
l'	0.00849679	0.0110703	0.0127957	0.0150317	0.0152893	0.0118495	0.00833298	0.00759968	0.0115599	0.00179039	0.00785657	0.0108297	0.00811637	0.0109697	0.00485135	0.0044742	0.0042392	0.00510132	0.00274967	0.00346451	0.00268631	0.00323541	0.00347611	0.00446267	0.00309126	0.00429563	0.00322521	0.00771928	0.0066757	0.0115784	0.00954171	0.00954746	0.0115882	0.0099891	0.0147315	0.0145248	0.00913468	0.0230452	0.0189041	0.00849342	0.00784687	0.0101041	0.0064161	0.00806009	0.00660033	0.010161	0.00854554	0.0165764	0.00821577	0.00451331	0.00982381	0.00875236	0.00997239	0.00505653	0.0103844	0.00613842	0.0105153	0.0138598	0.0329223	0.035613	0.0619199	0.0770453	0.101488	0.105945	0.0771087
amant	0.00251575	0.00134718	0.00150863	0.00198241	0.001756	0.00300509	0.00379139	0.00241699	0.0106832	0.0278533	0.0265425	0.0267461	0.0266019	0.0158711	0.0347469	0.016411	0.0162158	0.0196635	0.0148868	0.0115782	0.00484425	0.00490512	0.00470393	0.00709665	0.00520434	0.00457482	0.00688684	0.00346609	0.00510642	0.00141643	0.00114651	0.00221904	0.0022734	0.00474588	0.00520919	0.0135657	0.0183722	0.0103189	0.0122775	0.0378013	0.0471159	0.0437441	0.0312071	0.0427464	0.0346675	0.0457015	0.0353899	0.0459895	0.0434897	0.0402176	0.0255272	0.0212403	0.0138687	0.00954409	0.0193089	0.0104368	0.0171077	0.0147905	0.00820407	0.00653635	0.00524221	0.00398245	0.0055906	0.00402893	0.00206363
de	0.0266475	0.0271611	0.02883	0.0197764	0.0123301	0.0121027	0.0161543	0.0105231	0.0141151	0.00789298	0.00994417	0.0162973	0.00765317	0.00927262	0.0138005	0.00838994	0.0251709	0.0126843	0.00840787	0.0101498	0.00867114	0.0126678	0.0272901	0.023726	0.0305165	0.0474398	0.0450715	0.0617343	0.0564422	0.0396955	0.0328558	0.0316189	0.0177877	0.0141667	0.0120738	0.0159324	0.0185655	0.0143762	0.0140959	0.0107941	0.00390069	0.00811828	0.00392811	0.00388576	0.00654976	0.00751634	0.00586619	0.00527332	0.00477226	0.00379379	0.00613133	0.00613112	0.00626781	0.00607773	0.00645912	0.00599374	0.0068332	0.00705847	0.00708452	0.00654756	0.00681539	0.00911367	0.0102572	0.0155967	0.00720236
sa	0.0367709	0.0175775	0.0163911	0.0110602	0.0103198	0.0100006	0.00896556	0.00806917	0.017408	0.00792309	0.0182134	0.0142164	0.00883526	0.0106944	0.00796445	0.0128082	0.0119236	0.0149445	0.00539702	0.0105599	0.00491687	0.0132078	0.0277247	0.0396881	0.0394172	0.0417004	0.0256275	0.0284809	0.0272215	0.0241439	0.0158755	0.0170041	0.0138184	0.011189	0.00923283	0.00894274	0.0116293	0.0178295	0.0150431	0.0136506	0.0113525	0.0177876	0.019712	0.0182146	0.0225548	0.0269722	0.023859	0.0151112	0.0219798	0.0166874	0.0136372	0.01336	0.00779768	0.00827043	0.0105571	0.00665696	0.00931436	0.0110156	0.00770056	0.00946759	0.00675481	0.00683501	0.00953801	0.00969277	0.00878375
fille	0.020519	0.011109	0.0117334	0.0118431	0.00957467	0.0087717	0.00690637	0.00964498	0.00862835	0.0150418	0.0132441	0.0157272	0.0102563	0.00745584	0.0154769	0.0145114	0.0105772	0.0162688	0.0100797	0.0203722	0.0132519	0.0161226	0.0210457	0.0338383	0.0427443	0.0213266	0.0328386	0.0219439	0.031464	0.0148873	0.0139081	0.0104928	0.0147969	0.014345	0.0115119	0.0131096	0.0276155	0.0191869	0.0163173	0.0246352	0.024708	0.0323388	0.0225995	0.0297219	0.0158823	0.0124537	0.0194056	0.0106362	0.0150374	0.0142168	0.0108174	0.0140983	0.00658806	0.00878339	0.00756487	0.00712759	0.00975092	0.00844544	0.00704983	0.0094929	0.00830371	0.0081284	0.00653013	0.00843042	0.0187641
qu'	0.0138668	0.00814357	0.00644864	0.00583193	0.00634179	0.00855664	0.00845761	0.00499939	0.00864257	0.00776537	0.0108853	0.0080521	0.00817107	0.00844568	0.0125337	0.0172957	0.0175851	0.0289268	0.0299565	0.0515275	0.0303346	0.056738	0.0679385	0.0571891	0.0610177	0.0328397	0.0357124	0.0239122	0.0375711	0.0171536	0.0145906	0.0162511	0.0124379	0.0104743	0.0121207	0.0100735	0.00964867	0.0112556	0.0118329	0.015364	0.0111109	0.0116947	0.00856568	0.0102803	0.00617468	0.00603564	0.00729023	0.00592732	0.00553759	0.00381901	0.00524284	0.00470179	0.00267024	0.00273056	0.00410458	0.00270103	0.00536917	0.00482175	0.00370977	0.00800701	0.00693147	0.00762594	0.00606196	0.0123959	0.0296002
il	0.0443895	0.0325169	0.0203955	0.0173873	0.0133187	0.0206348	0.0183757	0.0178475	0.0240748	0.0166708	0.0263486	0.0236982	0.011286	0.0165448	0.0169627	0.0317824	0.0380777	0.0485691	0.0249909	0.0159599	0.00946218	0.0168516	0.0235997	0.0165045	0.0190335	0.0139391	0.0189226	0.0136657	0.0211332	0.017877	0.0195209	0.0158902	0.0182185	0.0139036	0.0119617	0.00735419	0.00600318	0.00874729	0.0116764	0.00785624	0.00395685	0.00481189	0.00535915	0.00494903	0.00475305	0.00529844	0.00679448	0.00428635	0.00457523	0.00248304	0.00368368	0.00428353	0.00492859	0.00298078	0.00505088	0.0029298	0.00568162	0.00721195	0.00756573	0.0143645	0.0158425	0.0176686	0.0147064	0.0238922	0.0499886
a	0.0159119	0.0136643	0.0120386	0.0131354	0.0189586	0.0180777	0.0188614	0.0163506	0.0153922	0.0130312	0.0263465	0.0204827	0.0165482	0.0271761	0.0205928	0.039975	0.0460906	0.0382537	0.0302834	0.0251004	0.0148907	0.024339	0.0357007	0.030139	0.0258691	0.0179246	0.0185311	0.0148527	0.0175088	0.0181857	0.0113653	0.0125747	0.00952599	0.00604569	0.0066594	0.00715886	0.00778307	0.00964379	0.0096358	0.0119781	0.0101712	0.0104619	0.00896961	0.0134098	0.0114314	0.011662	0.0117105	0.0103063	0.010508	0.00590052	0.00615633	0.00601777	0.00684744	0.00340798	0.00481842	0.00420822	0.00677758	0.0076998	0.0070962	0.0140889	0.0125811	0.011163	0.00950025	0.0153581	0.0231642
