 	a66	a87	a23	a12	a18	a31	a88	a31	a43	a75	a90	a69	a90	a56	a94	a54	a47	a36	a2	a57	a87	a23	a99	a83	a0	a47	a21	a12	a18	a47	a88	a75	a85	a6	a98	a47	a6	a36	a47	a0	a24	a9	a87	a23	a54	a36	a37	a79	a69	a90	a79	a7	a32	a54	a37	a94	a13	a57	a82	a87	a23	a87	a23	a87	</S>
quand	0.062844	0.0831831	0.0691354	0.0325064	0.0175883	0.0139385	0.0251493	0.00674405	0.015	0.0152933	0.0178706	0.0111451	0.0145218	0.0188874	0.0180299	0.019492	0.0106207	0.0129882	0.0118941	0.00937621	0.0109806	0.00694597	0.0095863	0.0119206	0.00954327	0.012861	0.0128459	0.0142877	0.0142831	0.0100022	0.00959155	0.00782328	0.0141758	0.0081415	0.0111413	0.00813449	0.0149757	0.0103327	0.0195706	0.0176603	0.0171988	0.0202475	0.0205358	0.0131811	0.00916717	0.00950515	0.00509516	0.00389298	0.0029991	0.00670232	0.00805359	0.00416911	0.00962484	0.00792312	0.00855895	0.00744965	0.0112602	0.0206579	0.0116574	0.00881578	0.0129285	0.00841528	0.0119799	0.0188215	0.0201468
nous	0.00761691	0.0118739	0.0163547	0.0162595	0.0129103	0.019703	0.0124966	0.0256149	0.0105648	0.0135963	0.0107917	0.0201727	0.0192826	0.0146007	0.0168019	0.027534	0.0233014	0.0154506	0.0262308	0.0327372	0.0188761	0.0164442	0.0135421	0.0140701	0.0144322	0.0291273	0.0192474	0.0251122	0.0212313	0.0306822	0.0230209	0.0372535	0.0424778	0.0229394	0.0326106	0.0171485	0.0125875	0.018076	0.0173279	0.0107686	0.00779927	0.00663829	0.00996041	0.00628097	0.0101218	0.00631116	0.00678314	0.00499939	0.00859162	0.00550561	0.00561936	0.00872548	0.00640552	0.00719558	0.0119901	0.00770101	0.0106169	0.00540453	0.011969	0.0106465	0.0118152	0.00888048	0.00848152	0.0106806	0.0100063
étions	0.0263676	0.00720336	0.00628458	0.00472867	0.00836059	0.00737531	0.00607548	0.0142336	0.00683497	0.00655483	0.00665341	0.0117352	0.0132031	0.018896	0.00695705	0.0218407	0.0162599	0.0104546	0.0112211	0.0224321	0.0130364	0.0118528	0.0284739	0.024336	0.0115709	0.0287055	0.0201184	0.0249917	0.0292141	0.0422959	0.0157403	0.0307757	0.0239191	0.0221445	0.0265655	0.014008	0.0228566	0.0267843	0.047256	0.0305893	0.0260323	0.0274112	0.0307538	0.0385476	0.0325272	0.0127412	0.0213409	0.00910529	0.00736311	0.00303026	0.00565557	0.00334899	0.00302738	0.00475141	0.00313895	0.00200712	0.00258921	0.00212103	0.00352601	0.00379467	0.00459736	0.00548456	0.00425595	0.00853026	0.00541158
au	0.0559914	0.0212602	0.0107585	0.00571635	0.00293242	0.00255753	0.00376476	0.00188	0.00424844	0.00320699	0.00796754	0.00703745	0.00868424	0.0114513	0.0157446	0.0166703	0.0095441	0.0137258	0.00978964	0.0119776	0.0101207	0.00728573	0.0137202	0.0077228	0.00531476	0.00842235	0.00844099	0.00899939	0.0123906	0.0101673	0.00559793	0.00532297	0.0081208	0.00784486	0.00721787	0.00672563	0.0224541	0.0160013	0.0272741	0.0249753	0.0462734	0.0407386	0.044035	0.0366922	0.0229967	0.0334979	0.0222691	0.017498	0.0151763	0.0134188	0.0198665	0.0173037	0.02329	0.0158581	0.0169454	0.015673	0.0110735	0.00754014	0.0203594	0.0195965	0.0180981	0.0200823	0.017633	0.0148681	0.0201872
ruisseau	0.0298045	0.0211087	0.00946764	0.00668987	0.00279415	0.00261266	0.00620964	0.00165679	0.0111614	0.00808868	0.0228821	0.0186896	0.0240455	0.0409832	0.0271148	0.0289116	0.0200604	0.0228579	0.0104323	0.0118282	0.00824245	0.00858692	0.01605	0.01817	0.00331633	0.00449084	0.0105004	0.0103025	0.0129105	0.0137527	0.0146292	0.00916917	0.00948096	0.0349802	0.00944061	0.0177625	0.0375901	0.0295071	0.0305279	0.0499489	0.041471	0.0443349	0.0320532	0.0364299	0.026425	0.0300852	0.0267876	0.0236066	0.0160347	0.00842681	0.00958807	0.00279093	0.00286998	0.00264731	0.00190627	0.00170834	0.00146461	0.00128673	0.000985976	0.00197734	0.00165169	0.00276229	0.00173603	0.00211735	0.00209309
vouma	0.0330225	0.0411994	0.023975	0.0161012	0.00418948	0.00390722	0.00518625	0.00354657	0.0168815	0.0126653	0.0230316	0.0275497	0.0398647	0.0402026	0.0390281	0.0383493	0.0197853	0.0160406	0.0181215	0.0224647	0.010979	0.0214885	0.0180192	0.0290598	0.0147594	0.0214358	0.0127614	0.012751	0.0129994	0.0184604	0.0141106	0.0129624	0.0160396	0.0293057	0.0107793	0.0394663	0.0191441	0.0147078	0.0121023	0.0414982	0.0236117	0.0353707	0.0126245	0.0203452	0.0127657	0.0112537	0.00870229	0.00784245	0.0082018	0.00713271	0.00525342	0.00386065	0.00398886	0.0028034	0.000635009	0.000802457	0.000527366	0.000760763	0.000310553	0.000672458	0.00067857	0.000753322	0.000524523	0.000750539	0.00188471
nous	0.0231809	0.0183642	0.0119341	0.0119171	0.00742142	0.0108148	0.0085185	0.0124823	0.00741971	0.0149424	0.0153257	0.0187825	0.0180648	0.0121553	0.0105598	0.0245932	0.0308409	0.0180361	0.0260158	0.0576138	0.0394002	0.0372834	0.0278313	0.0341278	0.0309538	0.0526664	0.0426475	0.0319503	0.0313709	0.0392165	0.0156023	0.0189784	0.023254	0.0187878	0.0187625	0.0275268	0.0135519	0.0114949	0.0216027	0.0195451	0.0160646	0.0125384	0.0097618	0.0038978	0.00354737	0.000903908	0.00238936	0.000799585	0.00165508	0.00259194	0.00115563	0.00168279	0.00156344	0.00173175	0.00103258	0.00129455	0.00105062	0.00169133	0.00134272	0.00239322	0.00223856	0.00308701	0.0021186	0.0036669	0.00426278
avons	0.0254744	0.0188108	0.0127283	0.012204	0.00869711	0.00832292	0.00535175	0.00330772	0.00496053	0.0099923	0.0147685	0.0148093	0.0219233	0.0208619	0.0187414	0.0231327	0.0222253	0.0131087	0.0151942	0.0254771	0.0244051	0.0271173	0.0303649	0.0307208	0.022655	0.0258238	0.0242263	0.0260063	0.0223104	0.0306129	0.0271507	0.0181425	0.0245436	0.0239675	0.0198203	0.0331164	0.0279199	0.023653	0.0182759	0.0225077	0.0147588	0.0136588	0.0161845	0.0111869	0.0111461	0.0062595	0.00594398	0.00381677	0.00645992	0.00871064	0.00672535	0.00270496	0.00239282	0.00395525	0.000860607	0.00156418	0.0030612	0.00516833	0.00180007	0.00959012	0.00933628	0.0107518	0.0130853	0.0118917	0.0155533
vu	0.0488913	0.0312765	0.0184246	0.0119263	0.00735209	0.00335519	0.00221636	0.00104786	0.00206417	0.00368682	0.00490638	0.00549099	0.00766567	0.00848081	0.0156052	0.00882213	0.00968488	0.00685801	0.0119648	0.0157117	0.0193576	0.0266532	0.0294997	0.0335524	0.028599	0.0332628	0.0250646	0.0259652	0.0204825	0.0292411	0.0253708	0.0141852	0.0256819	0.0196905	0.0163876	0.0267735	0.0244523	0.0214483	0.0235643	0.0312461	0.0294831	0.0281675	0.0273295	0.0215212	0.019841	0.0136975	0.0133784	0.0108066	0.0101767	0.00714297	0.0088798	0.00671375	0.00692817	0.00932953	0.00405448	0.00495777	0.00417439	0.00887014	0.00264131	0.00557806	0.00450941	0.00523781	0.00560565	0.00481137	0.0102535
de	0.0338048	0.0183466	0.0151905	0.0110392	0.0110117	0.00504614	0.00394679	0.00354574	0.00294801	0.00900725	0.00596771	0.0071238	0.00963838	0.011213	0.0202564	0.0097993	0.0182112	0.0175615	0.0196465	0.0172727	0.0222838	0.0241738	0.0352386	0.0232472	0.0183701	0.0289093	0.022765	0.0235276	0.0175782	0.0350705	0.0171804	0.0222427	0.0212871	0.0213939	0.0230757	0.0237446	0.0280385	0.027006	0.025783	0.0280732	0.0216227	0.0168863	0.0195897	0.014619	0.0151586	0.00830626	0.0115192	0.00845222	0.0109856	0.0102625	0.00638239	0.00863252	0.00837149	0.0121874	0.00735876	0.00653588	0.00738512	0.00899817	0.00562633	0.00695694	0.00715387	0.00785841	0.00812217	0.00926631	0.0121959
