 	a66	a87	a23	a87	a23	a87	a23	a99	a87	a23	a87	a23	a99	a50	a83	a24	a11	a90	a13	a50	a88	a62	a12	a70	a54	a0	a11	a54	a20	a7	a58	a4	a93	a70	a62	a12	a5	a41	a26	a41	a26	a54	a41	a56	a96	a70	a11	a90	a69	a70	a44	a93	a44	a13	a27	a26	a57	a97	a87	a97	a10	a9	a10	a9	a10	a87	a97	a10	a97	a87	</S>
mon	0.0687739	0.036939	0.0430046	0.0151426	0.0148305	0.0102439	0.010067	0.00825368	0.00868193	0.00719446	0.0147361	0.00504468	0.00741654	0.00939182	0.0070097	0.00671807	0.00460219	0.00476076	0.00476701	0.00488713	0.00934696	0.0141363	0.0122872	0.00940022	0.0198801	0.012657	0.0109851	0.0075104	0.00473871	0.0055261	0.00998619	0.00950564	0.018396	0.0092465	0.0160058	0.0126663	0.0103794	0.0129883	0.0148278	0.0138291	0.00820662	0.0109635	0.0109075	0.0109949	0.0181931	0.0127882	0.0261758	0.0335687	0.0206971	0.0319488	0.0121586	0.0270513	0.00619	0.00638821	0.0098956	0.00603097	0.00798403	0.00549912	0.00923743	0.0149784	0.0132524	0.014493	0.0133395	0.0104828	0.0139931	0.010526	0.01529	0.0127968	0.0200317	0.0160794	0.043093
fils	0.00501668	0.00276369	0.00473833	0.00299209	0.00307867	0.00443583	0.00326894	0.00421649	0.00668434	0.0095783	0.00599735	0.00714815	0.00418475	0.00238417	0.0119712	0.0069257	0.0141137	0.0190025	0.0356458	0.033954	0.0215109	0.029413	0.0345561	0.0171486	0.0662318	0.0147504	0.113018	0.0967639	0.0837391	0.0271477	0.0281763	0.00960553	0.00855666	0.00853804	0.0118213	0.010858	0.0103919	0.00796314	0.0111152	0.0110341	0.0124476	0.0067887	0.00710905	0.00719122	0.0110373	0.0106115	0.0184842	0.0216018	0.00822812	0.00951362	0.00885661	0.0138211	0.00879319	0.00996424	0.00813192	0.00472537	0.00231483	0.00251372	0.00404448	0.00103528	0.001118	0.00065801	0.000660612	0.000932717	0.000915619	0.000726787	0.000907247	0.000963954	0.00115439	0.0025438	0.00176494
est	0.00583572	0.00667417	0.00581059	0.00504312	0.00804591	0.00618652	0.00768061	0.00874722	0.0111138	0.00662391	0.0109511	0.00749188	0.00548505	0.00764604	0.00704927	0.00773918	0.00490044	0.0127554	0.0215215	0.026792	0.0189498	0.0143888	0.0228312	0.0138439	0.0146017	0.0297889	0.0367556	0.0243833	0.0466133	0.0581085	0.0225755	0.0441107	0.0214298	0.0250871	0.0262909	0.0366254	0.0263735	0.0404481	0.0245216	0.0367248	0.0457061	0.0287303	0.0324496	0.0173905	0.0112948	0.0110269	0.00643765	0.0039024	0.00387177	0.00185499	0.00258103	0.00235803	0.00178504	0.00115904	0.00088981	0.00206629	0.00168746	0.00174157	0.00390245	0.00405901	0.00291331	0.00282343	0.00381318	0.00268131	0.00271171	0.0052451	0.00494118	0.00488087	0.00536959	0.00780735	0.00337255
tenu	0.0146385	0.0138894	0.0114325	0.0110209	0.00681458	0.00850483	0.00509934	0.0103455	0.00634201	0.0125043	0.00809462	0.00879773	0.0110681	0.00510242	0.00456375	0.00518962	0.00684579	0.00610643	0.00647535	0.00519629	0.0056854	0.00524732	0.00895498	0.00905316	0.00546081	0.00933821	0.0173317	0.0238746	0.0279399	0.0103352	0.0246779	0.0306044	0.0331207	0.0161778	0.0252232	0.0340843	0.0345077	0.0277039	0.0580108	0.041928	0.0320693	0.0316471	0.0254505	0.0268041	0.0244024	0.020488	0.0245327	0.0168854	0.0142735	0.0191043	0.0116865	0.0145619	0.0128567	0.00989638	0.0133722	0.0120671	0.00473418	0.00580192	0.00739872	0.00317508	0.00186037	0.00178671	0.00182225	0.00366998	0.00404762	0.00406344	0.00691698	0.00510021	0.00542351	0.00454407	0.0122648
responsable	0.0116742	0.0102284	0.0102755	0.00744311	0.00785885	0.0132312	0.00994239	0.0137656	0.0156199	0.0145291	0.0116526	0.01136	0.015136	0.0107014	0.0107802	0.012278	0.00824194	0.00808625	0.011636	0.015169	0.0309835	0.023551	0.0259453	0.0303507	0.0268073	0.0213576	0.0204843	0.0274756	0.0287563	0.0187907	0.024414	0.0329468	0.0302468	0.0316101	0.0221194	0.0226652	0.0212301	0.0212601	0.0264514	0.0223045	0.0122139	0.0198444	0.0171317	0.0141467	0.00998925	0.00533674	0.00434838	0.00352513	0.00459707	0.00288915	0.00342516	0.00424208	0.00701368	0.00431003	0.00680201	0.00603009	0.0052725	0.00610377	0.00652987	0.00661192	0.00488247	0.0048909	0.00680297	0.009611	0.011126	0.0112321	0.0134674	0.0108545	0.00964496	0.00805528	0.0197086
pour	0.00979796	0.0108131	0.00608126	0.0061463	0.00466712	0.0041443	0.00412495	0.00526155	0.00754056	0.00869709	0.0100158	0.00908613	0.012481	0.00672502	0.00870265	0.00762186	0.00510171	0.00818854	0.0129404	0.0174041	0.0319772	0.0470731	0.0337431	0.0442617	0.0325876	0.040355	0.017342	0.0158677	0.0160718	0.0216312	0.0346463	0.0286445	0.0333598	0.0270287	0.0270183	0.0259651	0.0209664	0.0235474	0.0215132	0.0247476	0.0188961	0.0237634	0.0231122	0.0152232	0.014635	0.00838072	0.00868528	0.00456528	0.00614558	0.00585415	0.00335489	0.00676352	0.00287208	0.00333051	0.00354861	0.00562978	0.00437644	0.0040103	0.00726821	0.00595896	0.00527842	0.00447454	0.00647302	0.00757375	0.00851115	0.0120318	0.0130556	0.00982624	0.00929814	0.0065786	0.00663531
tout	0.0211465	0.0202387	0.0115503	0.0115683	0.00766226	0.0066839	0.00541062	0.00714307	0.00814434	0.00951972	0.0137448	0.00700337	0.00907305	0.004284	0.00852856	0.0055085	0.00309314	0.00545991	0.0111128	0.011783	0.0147108	0.0188745	0.0196228	0.0255251	0.0128348	0.0276264	0.0216354	0.019978	0.0278132	0.0245355	0.0176616	0.0227742	0.0186199	0.0219625	0.02163	0.0157736	0.0212965	0.0251579	0.0260436	0.017329	0.0177581	0.0218291	0.0214263	0.017199	0.0145132	0.0133096	0.0131672	0.00993452	0.0137753	0.014988	0.0120528	0.0139297	0.00644478	0.0087446	0.00869348	0.0159031	0.0161956	0.0108539	0.0144362	0.0128069	0.00809124	0.0093932	0.00875818	0.0100233	0.00994519	0.0120676	0.0124516	0.0128579	0.0110716	0.0104405	0.0068745
ce	0.0374339	0.0286659	0.0255078	0.0155191	0.0116206	0.00848706	0.00808884	0.00944912	0.0119958	0.00960445	0.0137021	0.00734989	0.00784696	0.00668607	0.00718085	0.00610648	0.00221027	0.00908887	0.00949564	0.011098	0.0147405	0.019485	0.0217336	0.0289091	0.0123709	0.0296095	0.0264189	0.0188572	0.0251228	0.0317747	0.017221	0.0288305	0.0178222	0.0202061	0.0237347	0.0144067	0.0201274	0.0249176	0.0162339	0.0109839	0.0104656	0.0182976	0.0146911	0.00820601	0.0076365	0.00739026	0.00672137	0.00515544	0.00717142	0.00989026	0.00896784	0.0108429	0.00630972	0.0104001	0.00759879	0.0160909	0.0227439	0.0126499	0.0158104	0.0124115	0.00594387	0.00954607	0.00567763	0.00990893	0.00866316	0.0121099	0.0109205	0.0126175	0.0134727	0.0154298	0.00561443
qui	0.0388723	0.0172537	0.0149624	0.00683582	0.00431854	0.00417445	0.00191081	0.0042254	0.00527313	0.00762708	0.00625099	0.00718422	0.00854224	0.00763051	0.00494765	0.00797884	0.00323073	0.00880647	0.00823286	0.00761969	0.010246	0.0115922	0.0127855	0.0175111	0.005073	0.0150062	0.016817	0.0124208	0.0179663	0.011862	0.0255181	0.0260706	0.0249443	0.0325906	0.0308389	0.018809	0.0292457	0.026227	0.033086	0.0228628	0.0171133	0.0241764	0.0234617	0.0196377	0.017408	0.0162044	0.015168	0.0109394	0.0141336	0.0147923	0.0119077	0.0181605	0.010078	0.0162026	0.0127808	0.0156238	0.0231267	0.00879537	0.0145253	0.0101002	0.00470614	0.00788574	0.00473132	0.00925213	0.0105665	0.00994894	0.0093187	0.00996432	0.0144099	0.0142328	0.0132968
se	0.0159765	0.0124398	0.0105132	0.00788703	0.00661521	0.00552893	0.00425324	0.00371677	0.00521172	0.00475588	0.00588	0.00359716	0.004511	0.00395564	0.00629698	0.0049558	0.00258876	0.00572006	0.0110538	0.0109376	0.0178457	0.0309185	0.0218845	0.0195233	0.0156875	0.0241467	0.0227337	0.015657	0.0163431	0.022281	0.0351953	0.0325466	0.0327539	0.0251776	0.0314156	0.0193719	0.0236799	0.029357	0.0254459	0.0165027	0.00951574	0.0265796	0.0157199	0.00764305	0.00819198	0.00636297	0.009704	0.00598353	0.00805234	0.0103062	0.00634764	0.00951754	0.00584007	0.00698575	0.00660766	0.00952097	0.00917308	0.0045922	0.00801525	0.00999816	0.00652007	0.00725773	0.00834158	0.00773722	0.0134732	0.015795	0.0206355	0.0269045	0.0297424	0.0350515	0.0290211
