 	a23	a30	a20	a30	a94	a11	a10	a94	a76	a90	a25	a79	a90	a98	a61	a41	a14	a35	a76	a94	a32	a75	a14	a35	a57	a38	a14	a35	a98	a83	a9	a87	a23	a38	a94	a76	a90	a38	a76	a32	a24	a9	a87	</S>
il	0.0185741	0.0341157	0.124877	0.144139	0.0635885	0.0970243	0.0315633	0.0506412	0.0180586	0.0395923	0.0248843	0.0229011	0.0109296	0.00899442	0.00511339	0.00654436	0.0108389	0.0100262	0.0149526	0.0138317	0.0109508	0.0169398	0.0143079	0.0102805	0.0123335	0.0105609	0.00936615	0.00673	0.00638688	0.00891586	0.00958584	0.01692	0.00538673	0.00628797	0.00733096	0.00501299	0.012131	0.0124732	0.0105301	0.0113486	0.0139653	0.00979809	0.0072589	0.0140083
a	0.00180002	0.00234606	0.00368866	0.00696181	0.0209174	0.0513602	0.0412121	0.0479503	0.0390499	0.0386878	0.0347084	0.0247564	0.0112982	0.0118142	0.0100801	0.00957167	0.00910048	0.00991021	0.0127706	0.0279908	0.026698	0.0292129	0.0273053	0.0267959	0.0426882	0.0290395	0.034814	0.0239286	0.0198391	0.0184592	0.0262925	0.0173544	0.0253435	0.0165004	0.0150022	0.0172162	0.0161955	0.0166952	0.0152558	0.0252063	0.0244444	0.0285557	0.0384937	0.0226885
payé	0.00737236	0.00707486	0.00793344	0.010116	0.0341709	0.0257982	0.0284856	0.0292584	0.0237011	0.0292288	0.0269002	0.0158378	0.00481191	0.00562944	0.00308533	0.00189447	0.00312194	0.00329662	0.00349684	0.00394454	0.00589008	0.0056256	0.00702434	0.00593342	0.00684285	0.00772236	0.00519403	0.00598786	0.00540501	0.00391598	0.00466749	0.0080585	0.018567	0.0369399	0.0518432	0.049853	0.0585924	0.0512294	0.0546062	0.0531855	0.0580912	0.0596414	0.0649507	0.0950738
cinq	0.0422613	0.0705604	0.0238336	0.0495428	0.0606194	0.0548241	0.0493461	0.0205555	0.0272569	0.0235999	0.017131	0.0128349	0.0165782	0.0177751	0.0307673	0.0191724	0.0268105	0.0326436	0.0398411	0.0285002	0.0404304	0.0282658	0.0295486	0.0158984	0.0198481	0.0134166	0.0138333	0.0139485	0.015195	0.0233409	0.0176261	0.0265626	0.0153225	0.0207436	0.00482951	0.00509395	0.00390892	0.00298635	0.0035608	0.00337337	0.00367947	0.00419749	0.00377614	0.0061594
cabris	0.0385981	0.0231258	0.017454	0.022966	0.0401153	0.0606898	0.0314498	0.0296761	0.0195391	0.0141049	0.00979575	0.01001	0.0127024	0.0200638	0.0269576	0.0233572	0.0247912	0.0355359	0.0329482	0.0389269	0.0365866	0.0396341	0.0359683	0.0205202	0.025254	0.0221883	0.0264973	0.0204943	0.0152519	0.0162985	0.0122503	0.0117014	0.0130428	0.0184942	0.0156502	0.0140909	0.0134268	0.0129737	0.012923	0.0133014	0.0141676	0.0150601	0.0144289	0.0269874
au	0.0463588	0.0521656	0.0626241	0.0544385	0.0443464	0.0725981	0.0348284	0.0283136	0.0185897	0.0239018	0.0255475	0.0276094	0.0257637	0.0233589	0.0260694	0.028149	0.018259	0.0138016	0.0151381	0.0151739	0.0091336	0.0138204	0.0160877	0.0140731	0.00555573	0.012756	0.00652375	0.00858531	0.0067631	0.00526008	0.00597651	0.00760372	0.00962309	0.0220379	0.0193343	0.0215799	0.024635	0.0198525	0.018472	0.0156001	0.0209955	0.019109	0.0199651	0.0196213
chef	0.0457569	0.0636222	0.0400814	0.0306414	0.027722	0.0397676	0.023698	0.028901	0.0223838	0.0274985	0.0223837	0.0224915	0.0189055	0.0184004	0.0259683	0.0315564	0.0239498	0.0201327	0.0185533	0.0199166	0.0150683	0.0177508	0.0151354	0.011096	0.00744904	0.00833928	0.00781362	0.00901521	0.00760732	0.0043688	0.00632052	0.00602235	0.00983354	0.0104731	0.0275851	0.0200544	0.0228091	0.0355623	0.0533375	0.0313919	0.0258619	0.0308833	0.0231074	0.0207829
pour	0.0464877	0.0202226	0.0132023	0.0336439	0.047039	0.0503916	0.0361352	0.0225361	0.0263734	0.0153877	0.0128248	0.0122617	0.00684755	0.0141493	0.0233507	0.0177181	0.0179031	0.0262345	0.0273045	0.0371675	0.0188701	0.0252882	0.0252222	0.00889185	0.00624471	0.00496717	0.00541049	0.00504165	0.00262194	0.00407657	0.00446932	0.00542703	0.00692576	0.0094944	0.020259	0.0144201	0.0185889	0.0248629	0.02499	0.0282809	0.0293073	0.0301338	0.0378477	0.131177
l'	0.0322049	0.0202931	0.0139033	0.0238476	0.0312551	0.033216	0.0258925	0.0168439	0.024942	0.0126601	0.00655478	0.007539	0.00643366	0.0122388	0.0149022	0.0162997	0.019969	0.0203087	0.0276529	0.029007	0.0176405	0.0294999	0.0152857	0.00755326	0.00659711	0.00458191	0.00592168	0.00646917	0.00457131	0.00482845	0.00782696	0.00970197	0.0104683	0.0164115	0.0426923	0.0240435	0.0317933	0.0448565	0.0426246	0.0421425	0.0394887	0.0328555	0.0401952	0.115986
adultère	0.0204115	0.0328792	0.048406	0.0278598	0.0278693	0.0295887	0.0310334	0.0220578	0.0256008	0.0218042	0.0169012	0.0174305	0.020679	0.0297256	0.0281203	0.0275684	0.0198929	0.011423	0.0176534	0.0175251	0.00940233	0.0142719	0.0139688	0.00893722	0.00671177	0.00601868	0.00688531	0.0059209	0.00663518	0.00665347	0.00746444	0.00804056	0.00776601	0.014055	0.0216619	0.0257562	0.0309475	0.0436041	0.0395356	0.046694	0.0442949	0.0460597	0.0403869	0.0438976
