 	a66	a87	a23	a10	a87	a23	a18	a38	a90	a93	a70	a62	a21	a12	a18	a93	a62	a70	a93	a98	a15	a7	a26	a57	a87	a23	a97	a99	a50	a62	a47	a31	a0	a62	a47	a21	a92	a90	a98	a85	a75	a47	a61	a88	a9	a87	a23	a40	a37	a6	a5	a62	a47	a90	a92	a37	a11	a90	a25	a69	a26	a57	a87	a23	a87	</S>
la	0.0271392	0.0417701	0.0274451	0.0467126	0.0427701	0.0281222	0.0290206	0.0465677	0.0327857	0.0215527	0.0141952	0.0265139	0.0303438	0.0188884	0.0139929	0.0143093	0.0128335	0.0128385	0.0176157	0.0213407	0.0131336	0.0108814	0.0154611	0.0131408	0.0233086	0.0190533	0.00999731	0.0230797	0.0159086	0.010872	0.0160659	0.0106741	0.00918948	0.0140357	0.00919943	0.00862365	0.00854371	0.00900699	0.0106182	0.0105659	0.0146522	0.00856371	0.00896399	0.010953	0.00937088	0.00848635	0.00972723	0.016112	0.00772981	0.00817747	0.00400406	0.00603682	0.00691054	0.00917581	0.00551887	0.00640356	0.0110606	0.00659278	0.00615691	0.00585033	0.00774847	0.00648682	0.00471742	0.00548746	0.00679208	0.0102035
manière	0.00440969	0.00940181	0.00785122	0.00868124	0.00936735	0.0137255	0.00655151	0.017941	0.0173786	0.0235164	0.0495224	0.0729367	0.0714	0.121067	0.140649	0.0538787	0.0233461	0.0264976	0.0403234	0.0469645	0.0269412	0.017165	0.0221168	0.0120114	0.00760919	0.00732797	0.0054068	0.0021088	0.00100657	0.00474849	0.00263613	0.00525416	0.0107626	0.00389725	0.0157387	0.00592586	0.00584292	0.00253571	0.00273423	0.00587284	0.00139194	0.00452407	0.00302613	0.00356242	0.00128302	0.002329	0.00192211	0.00196235	0.00193532	0.00591031	0.00526457	0.00947114	0.00453525	0.00335211	0.00360664	0.00397045	0.00219791	0.00148503	0.0014688	0.00105894	0.000287361	0.000344897	0.000518839	0.000457182	0.000689615	0.000391708
dont	0.0420397	0.0349791	0.0316433	0.022788	0.0166313	0.0144639	0.00715668	0.012986	0.0134984	0.0148658	0.0216259	0.0141531	0.0176861	0.0239561	0.0225297	0.0143485	0.0292464	0.0117551	0.0103211	0.0150748	0.0142684	0.0296689	0.0212226	0.0184302	0.00905241	0.0152214	0.0130416	0.00810513	0.0102911	0.019159	0.0181648	0.0232334	0.0286291	0.0247732	0.0566503	0.0261019	0.038503	0.0329805	0.0276412	0.0364049	0.0108032	0.00644237	0.003188	0.0058537	0.00260266	0.00646887	0.00579235	0.00371711	0.00391099	0.00560567	0.00301249	0.00775362	0.00733699	0.00390879	0.00523163	0.00799603	0.00472701	0.0044092	0.00478878	0.00604256	0.00130516	0.00212696	0.00298192	0.00386979	0.0109605	0.00587165
il	0.0135371	0.0147915	0.00909958	0.00548435	0.00361378	0.00287543	0.00239939	0.00654599	0.00601054	0.00566676	0.0081519	0.0114265	0.0077926	0.00505662	0.0132084	0.0150419	0.0118972	0.00997654	0.013262	0.0250266	0.0221034	0.0333009	0.031387	0.0201685	0.0134446	0.0194653	0.0287903	0.0174394	0.023922	0.0375722	0.0469454	0.0221942	0.0394995	0.0328803	0.0143808	0.0180771	0.0221947	0.0249455	0.0130979	0.0141848	0.0082298	0.00719938	0.0101875	0.00692986	0.00223092	0.00663886	0.00629394	0.0110571	0.0176513	0.0166618	0.0100354	0.0384366	0.0246872	0.0206959	0.0210374	0.0140841	0.0167379	0.0078982	0.00707622	0.0120307	0.00483526	0.00862146	0.00727683	0.00685366	0.014607	0.00514708
s'	0.0445942	0.0149563	0.00928243	0.0117964	0.00822722	0.0141073	0.00494735	0.00817797	0.0136637	0.00690837	0.0110755	0.00745049	0.0067365	0.00784898	0.0137528	0.0196076	0.0248885	0.0277935	0.0211044	0.0122706	0.0142913	0.0268164	0.0194287	0.0218776	0.0128204	0.0162464	0.00914585	0.0112908	0.0123384	0.00947299	0.0136296	0.00745266	0.00553128	0.00632939	0.0048839	0.00307275	0.00461161	0.0108768	0.00961248	0.0172174	0.0151289	0.026233	0.0389862	0.0433209	0.0232395	0.02412	0.0153853	0.0144046	0.010716	0.0137201	0.0116891	0.0222922	0.0132951	0.0145922	0.0147979	0.00990702	0.00676729	0.00576799	0.00843336	0.0139541	0.0130889	0.0127849	0.0179609	0.0180348	0.0278307	0.0374121
est	0.0248185	0.0147288	0.00972362	0.00853081	0.0137202	0.0165368	0.00689814	0.00970698	0.00910075	0.0049272	0.00557821	0.00481513	0.00884927	0.00912748	0.0093343	0.00750268	0.0170318	0.0140928	0.00803928	0.00753857	0.00864652	0.0184716	0.0248743	0.024047	0.0114382	0.0184619	0.0191027	0.0299201	0.0246888	0.021434	0.0251189	0.0240295	0.0158972	0.0112707	0.00715709	0.00423292	0.00572843	0.0119	0.00890912	0.0081614	0.00867722	0.00987483	0.0114685	0.0137693	0.0158953	0.0120609	0.0158677	0.0173946	0.0188318	0.0175865	0.0183289	0.0272898	0.031944	0.0329169	0.0206362	0.0209329	0.0273538	0.019359	0.0156397	0.0206828	0.0139535	0.0184468	0.0155909	0.00930962	0.0143834	0.0177135
calmé	0.016132	0.0120148	0.0107699	0.00900807	0.0148976	0.0131069	0.00636493	0.0076845	0.00600341	0.00481491	0.00310625	0.00361506	0.0080469	0.010965	0.0109794	0.00818783	0.0118434	0.0106678	0.00562629	0.00564445	0.00710317	0.0139551	0.0180707	0.0174848	0.00826937	0.0117551	0.0176227	0.0198622	0.0209668	0.0218849	0.0243865	0.0209552	0.0225241	0.0147685	0.0106809	0.010902	0.0107204	0.0237482	0.0144718	0.0095065	0.00831572	0.00949642	0.0101919	0.0119298	0.0116242	0.0126891	0.0152106	0.014295	0.0183899	0.0154589	0.0201449	0.0224752	0.0357198	0.0292877	0.0295113	0.0207453	0.0205	0.0170964	0.0152507	0.0196007	0.0159028	0.0199564	0.0279981	0.0247916	0.0263798	0.027919
montre	0.0140758	0.0109642	0.0101286	0.013719	0.0200522	0.0171164	0.00893505	0.0104251	0.00844125	0.00384385	0.0027649	0.00187409	0.00471308	0.00592562	0.0086667	0.00712419	0.0155887	0.00959818	0.00569826	0.00438079	0.0129375	0.0182458	0.0169255	0.0243394	0.0110224	0.0174914	0.0292443	0.028184	0.0338446	0.0267436	0.025119	0.0230802	0.0230492	0.0169291	0.012188	0.00920486	0.00957823	0.016876	0.0138651	0.00657159	0.00664424	0.0052418	0.00448541	0.00558329	0.00735686	0.00648623	0.00891099	0.0086987	0.00752638	0.00747108	0.0082032	0.00911007	0.0174869	0.0156232	0.0173728	0.0215858	0.0200675	0.0217346	0.0264113	0.029021	0.0299428	0.0283344	0.0292381	0.0260876	0.0320557	0.0398442
qu'	0.00985625	0.0109959	0.00785449	0.00821185	0.00658807	0.00451344	0.00313856	0.00553586	0.00697877	0.00757082	0.0133344	0.0110918	0.0136799	0.0184176	0.0119095	0.0131464	0.0187721	0.0222778	0.0232146	0.0131622	0.0199423	0.0126491	0.012226	0.0191516	0.0193953	0.0224494	0.0234316	0.0324162	0.0334638	0.0245556	0.0207162	0.0223344	0.0165739	0.0161376	0.0100758	0.00684848	0.00617956	0.00962183	0.00994086	0.00665548	0.00955716	0.0056546	0.00574749	0.00692612	0.0131272	0.00577904	0.00905063	0.00898684	0.00295563	0.00343316	0.00462871	0.00362659	0.00705815	0.0156697	0.0107779	0.0283506	0.0345913	0.0350655	0.0334579	0.0326699	0.0329089	0.0234279	0.0193406	0.0182456	0.0240531	0.0298944
il	0.00698788	0.0094801	0.00749543	0.00804231	0.00692199	0.00486711	0.00336464	0.00685538	0.00927074	0.00852117	0.0160899	0.0117266	0.0183914	0.0260889	0.0220274	0.0212843	0.0251141	0.0244541	0.0183427	0.0134959	0.0295349	0.0185942	0.0179051	0.0246268	0.0209781	0.0233141	0.0287997	0.0291119	0.0333344	0.024382	0.02364	0.0232438	0.014949	0.0163022	0.0102862	0.00698115	0.0086877	0.0107412	0.0128355	0.0116433	0.0153593	0.0105649	0.0110404	0.00961063	0.0189775	0.00856584	0.0112744	0.0131954	0.00780203	0.00740389	0.00853727	0.0062835	0.00873164	0.0145663	0.0124452	0.0141472	0.0209549	0.0190391	0.0130418	0.0177215	0.0207607	0.0101347	0.0107211	0.0119997	0.0129021	0.0255053
