 	a66	a87	a23	a87	a23	a18	a53	a90	a56	a96	a12	a62	a21	a92	a98	a92	a85	a92	a56	a44	a56	a44	a96	a93	a70	a13	a62	a88	a61	a5	a36	a2	a57	a87	a23	a87	</S>
la	0.0434429	0.0371783	0.0361253	0.0246563	0.0409874	0.0463742	0.0317889	0.0378714	0.0531556	0.0601319	0.0358518	0.0271325	0.0194122	0.0173117	0.0177734	0.0241498	0.0231417	0.0240129	0.017454	0.0133231	0.0125879	0.0176112	0.0214192	0.0171869	0.0143461	0.0136183	0.0158804	0.0358894	0.0358433	0.0178071	0.0221593	0.0104144	0.0149957	0.017713	0.0183255	0.0185324	0.0643945
manière	0.00508621	0.00574359	0.0059159	0.0056439	0.012673	0.0313272	0.0252774	0.079925	0.107848	0.0479775	0.0815315	0.0602056	0.0737401	0.0673649	0.0696255	0.0703073	0.0468124	0.0326003	0.0381682	0.0216928	0.0126119	0.0154091	0.0114867	0.0133844	0.0154509	0.00720045	0.00672667	0.00507366	0.00618052	0.00194026	0.00295387	0.0012654	0.00129499	0.0021534	0.00239816	0.00359703	0.00140641
de	0.0547755	0.0535367	0.0410148	0.0249416	0.0415664	0.0420887	0.0344796	0.0392947	0.0336989	0.013043	0.0260602	0.0398105	0.0234586	0.0410907	0.0378876	0.0219522	0.0184049	0.0145955	0.012022	0.00794714	0.00750963	0.00606452	0.00951904	0.0122532	0.0090974	0.00735344	0.00920506	0.00535134	0.0114373	0.016814	0.0129523	0.0417649	0.0443836	0.0358187	0.0606297	0.0716558	0.0165207
marcher	0.0620941	0.0354717	0.0213576	0.0130902	0.0126321	0.0159715	0.0191219	0.0130629	0.00891159	0.0170202	0.0113	0.0329786	0.021678	0.042921	0.0782655	0.0546848	0.0408589	0.0270783	0.0252876	0.0367133	0.0504598	0.0281836	0.0296307	0.0162718	0.0178532	0.00968546	0.0127897	0.0115294	0.0221534	0.0301765	0.0138116	0.0245759	0.0340163	0.0329198	0.0325376	0.0358148	0.00709066
à	0.0499694	0.0294912	0.0201942	0.00781111	0.00808169	0.0176719	0.0188714	0.00749488	0.0150746	0.0382682	0.0357817	0.0653781	0.0382353	0.0445871	0.0450551	0.0442716	0.0680464	0.0701074	0.0635947	0.0553859	0.0402142	0.0137223	0.0207976	0.0120061	0.0149118	0.00580548	0.00608348	0.00390088	0.00353932	0.0132002	0.00637204	0.0118088	0.0129013	0.0214789	0.0206766	0.0310383	0.0181706
quatre	0.0812707	0.0373751	0.0284188	0.0113755	0.00907219	0.010865	0.0141275	0.00686822	0.0111051	0.02437	0.0350488	0.0458814	0.0348544	0.0485178	0.0303658	0.031498	0.0382619	0.0239753	0.0185533	0.0181323	0.0158175	0.0119616	0.0198021	0.0176558	0.0163987	0.0122407	0.00976218	0.00781565	0.0101159	0.0192456	0.0170202	0.0447942	0.0393827	0.047999	0.0544873	0.0393786	0.0561851
pattes	0.0804212	0.0439566	0.0382668	0.0222892	0.0167661	0.0202711	0.0273151	0.0173834	0.0225324	0.0290906	0.0318296	0.0351705	0.0224334	0.0325738	0.0284701	0.0270887	0.0369679	0.0293908	0.0225833	0.020738	0.0134525	0.0069895	0.00646091	0.00681886	0.00342737	0.00419968	0.00311468	0.00378169	0.00576681	0.0237423	0.0136084	0.0522176	0.0546903	0.0513191	0.0559477	0.040391	0.0485331
de	0.0346493	0.0229113	0.0177368	0.0115058	0.0090399	0.00698791	0.0101434	0.00367986	0.00471384	0.0071894	0.00646378	0.00691088	0.0058967	0.00927543	0.00793765	0.00834349	0.00917322	0.0106283	0.0111576	0.0146061	0.01699	0.0105082	0.0200017	0.0117157	0.00906697	0.014849	0.0153582	0.014728	0.0195823	0.0769291	0.0404941	0.0669981	0.096389	0.0965866	0.087039	0.0846368	0.0991765
cet	0.0320775	0.0208849	0.0150874	0.0102773	0.00900835	0.00719552	0.00961829	0.00438957	0.00611456	0.00967151	0.00661422	0.00563941	0.00467914	0.00934948	0.00792755	0.00930678	0.0116123	0.0153378	0.0147244	0.0183499	0.0199559	0.0188736	0.0279032	0.0166367	0.0128814	0.0211588	0.0273763	0.0547469	0.0455754	0.0734233	0.0557364	0.0633717	0.0775456	0.076755	0.0627131	0.0664563	0.0510247
enfant	0.0316311	0.0209251	0.0216286	0.0182672	0.021953	0.0182697	0.0190974	0.018561	0.0171396	0.0163856	0.013887	0.00891348	0.00737841	0.0141176	0.0141768	0.0136154	0.0129574	0.0103279	0.0116239	0.0164944	0.0174045	0.0111415	0.0142557	0.00762703	0.0070626	0.00588355	0.00688215	0.018365	0.0205963	0.0455976	0.0457879	0.054068	0.108164	0.0903662	0.0804986	0.0935866	0.0453628
est	0.0334672	0.0300405	0.0326593	0.0290393	0.0365673	0.0330214	0.0277537	0.0256445	0.0261039	0.0238543	0.0165184	0.0114728	0.0108631	0.0133662	0.0109796	0.00999258	0.00930844	0.00744685	0.00756571	0.00934422	0.0111889	0.00835611	0.0166618	0.0111031	0.00739003	0.00979061	0.00932956	0.0222127	0.0312585	0.0444942	0.0378488	0.0267551	0.0614933	0.0570804	0.0636912	0.066961	0.109375
très	0.0386147	0.0371479	0.0405426	0.0391754	0.0420555	0.0376463	0.0404338	0.0389667	0.0393796	0.037811	0.0304999	0.028772	0.0225656	0.020887	0.0226245	0.0191316	0.017947	0.0161101	0.0159858	0.015391	0.0175722	0.0129448	0.0201978	0.0108656	0.0109393	0.00739394	0.00716208	0.00941052	0.0109926	0.0234875	0.0136463	0.0205037	0.0310468	0.0354477	0.0404273	0.0516729	0.0746008
lente	0.0335392	0.0363789	0.0450553	0.0462057	0.0520625	0.0507245	0.0494383	0.0442719	0.0446595	0.0323986	0.0242869	0.0176321	0.0181102	0.0251628	0.0284835	0.0269159	0.0223433	0.0259048	0.0257296	0.0229975	0.024644	0.0280179	0.0198718	0.0192861	0.0174175	0.0145661	0.0110486	0.00596978	0.00747026	0.0152018	0.0114815	0.0140672	0.0189773	0.023361	0.0310289	0.0318765	0.0334127
