 	a23	a87	a9	a83	a34	a61	a83	a34	a56	a34	a62	a0	a75	a85	a0	a75	a85	a61	a75	a85	a61	a62	a83	a25	a10	a87	a23	a87	</S>
il	0.156579	0.210588	0.128943	0.102759	0.0775433	0.0538156	0.0355157	0.0359065	0.0185134	0.00897947	0.00452773	0.00330489	0.00255305	0.00202526	0.00223139	0.00338966	0.00421285	0.00653483	0.0107293	0.00966599	0.0111454	0.00913463	0.0100827	0.00783942	0.0129166	0.0134111	0.0112247	0.0131931	0.0327336
y	0.0149461	0.0172633	0.0198471	0.0256165	0.0409435	0.0503626	0.0543689	0.057653	0.0669449	0.02415	0.0167408	0.0141405	0.0174679	0.0457498	0.0282476	0.0233705	0.0176787	0.0228536	0.0161736	0.0229653	0.023664	0.0224301	0.0374023	0.0351189	0.0320391	0.0558438	0.0467027	0.094822	0.0544931
a	0.0456859	0.0250935	0.0244258	0.0148742	0.0138675	0.0159507	0.0140167	0.0130316	0.00949037	0.0112826	0.0130105	0.0111703	0.00739658	0.0337905	0.0136649	0.0211711	0.0139203	0.0179605	0.0179927	0.0211517	0.0201285	0.0272835	0.0370556	0.0616791	0.0834834	0.0925841	0.0983225	0.124837	0.0956787
des	0.0674346	0.0517652	0.0540514	0.0390519	0.0403788	0.0380914	0.0446592	0.0580485	0.0305835	0.0550649	0.0847581	0.11402	0.0804825	0.0374496	0.01588	0.00847454	0.0112988	0.00763605	0.0135889	0.0142795	0.0140315	0.0103743	0.0122675	0.0125725	0.00999368	0.0165904	0.0157666	0.0171326	0.0242737
nappes	0.10426	0.0604583	0.0466717	0.0484287	0.0362313	0.039246	0.0478785	0.0334986	0.0259729	0.0458804	0.0458802	0.0571171	0.0698011	0.0327969	0.0171572	0.0120474	0.0163733	0.00966259	0.0126741	0.0242909	0.023657	0.0201001	0.0149521	0.031723	0.0274488	0.0258598	0.0251799	0.0246297	0.0201218
de	0.0554361	0.0615384	0.047915	0.0422811	0.0331973	0.0401111	0.0334537	0.0275185	0.0220212	0.0336188	0.0211954	0.0138291	0.0152228	0.0170508	0.0204287	0.0108175	0.0175282	0.0138947	0.0268919	0.0396941	0.0457233	0.0380263	0.0354157	0.0560686	0.042967	0.036057	0.0447021	0.0441181	0.0632776
brume	0.0560538	0.0490808	0.0429432	0.0346379	0.0286444	0.0335444	0.0251279	0.0236852	0.0195275	0.0197504	0.0157927	0.00909584	0.00760367	0.0144626	0.0155057	0.0147683	0.0221295	0.0258625	0.052165	0.0435822	0.0495715	0.0443582	0.053384	0.0481206	0.0418293	0.0398451	0.0456336	0.0617075	0.0615868
sur	0.0792734	0.0363641	0.0391501	0.0252396	0.0260004	0.0196674	0.0149932	0.0152569	0.0125696	0.0146332	0.0108507	0.0068153	0.00478269	0.00659221	0.00745646	0.00517067	0.00465448	0.00619238	0.0112505	0.012819	0.0201015	0.0254506	0.0307028	0.0533603	0.0649517	0.0858467	0.103609	0.14007	0.116176
le	0.0540843	0.0349007	0.0366302	0.0264964	0.0238071	0.0199813	0.0146174	0.0154122	0.0117833	0.0138909	0.0100369	0.00592771	0.00478778	0.00743838	0.0100254	0.0075583	0.0106337	0.0134975	0.0239752	0.0216664	0.0331138	0.0343544	0.0378968	0.052518	0.0566591	0.0913466	0.104632	0.106525	0.115803
fleuve	0.0631772	0.030106	0.0360565	0.0201524	0.0213882	0.0143016	0.0150623	0.0146361	0.0146228	0.0109151	0.0108598	0.00967817	0.00661372	0.0106146	0.0185722	0.0250408	0.0229576	0.0204744	0.0217501	0.0268905	0.0344404	0.0412056	0.034889	0.0489467	0.0726754	0.0591234	0.0669322	0.091805	0.136112
</S>	0.046681	0.0177775	0.015149	0.00789549	0.00758227	0.00527911	0.0045308	0.00553489	0.00431727	0.00474922	0.00334917	0.00199583	0.00193271	0.00245636	0.00486602	0.00607258	0.00554429	0.00624331	0.0115565	0.0133125	0.0280401	0.0362007	0.0513878	0.0522811	0.0741853	0.082116	0.0875728	0.194532	0.216858
