 	a66	a87	a23	a99	a30	a93	a70	a75	a85	a6	a5	a37	a26	a75	a21	a5	a75	a6	a36	a2	a57	a87	a23	a87	a23	a87	a23	a87	</S>
dans	0.028042	0.045768	0.0292396	0.0472305	0.0236891	0.0185237	0.0162167	0.0230847	0.0430454	0.0333601	0.0385347	0.041595	0.0497385	0.0312161	0.0514489	0.0419956	0.0597867	0.0348928	0.0265568	0.024398	0.0342668	0.0507444	0.0398036	0.0319047	0.0169625	0.0198777	0.0326647	0.0219129	0.0434997
le	0.0228091	0.0189409	0.0203155	0.0154747	0.0116628	0.0116776	0.0186087	0.0208104	0.0238285	0.0297637	0.0304263	0.0324327	0.0353069	0.0283531	0.0286597	0.0261562	0.0252401	0.0346606	0.0516927	0.0429752	0.0497219	0.0329579	0.0486038	0.059022	0.0525807	0.0676006	0.0613096	0.0600245	0.0383836
district	0.156771	0.115998	0.0710248	0.106347	0.0860161	0.0937611	0.0592863	0.0310637	0.0117688	0.0248212	0.0272104	0.038311	0.0230931	0.0171932	0.0110952	0.0216675	0.00915835	0.012134	0.00811693	0.00488481	0.00917727	0.00741756	0.0111963	0.0121941	0.00759174	0.00716205	0.00811195	0.00383066	0.0035957
de	0.0361805	0.0632788	0.0345275	0.0509978	0.0510888	0.0422209	0.0503303	0.0295481	0.0187558	0.0311788	0.0154338	0.0111225	0.0131156	0.0144651	0.0208627	0.018868	0.024642	0.0363307	0.0288395	0.0249147	0.0340275	0.0219673	0.0303215	0.0451172	0.0633308	0.0494088	0.0412413	0.0488697	0.0490139
boundji	0.114765	0.0776191	0.0774819	0.0553854	0.0636642	0.0488172	0.0562661	0.0755633	0.028722	0.0280591	0.0235523	0.0303149	0.0257997	0.0245793	0.0220912	0.0193639	0.0138574	0.0162593	0.0134904	0.0107764	0.0177454	0.00993766	0.0178137	0.0104584	0.0129404	0.018504	0.0268388	0.02293	0.0364037
on	0.0499364	0.0224719	0.0168545	0.0144125	0.0123127	0.0146224	0.0160054	0.0275704	0.0217136	0.0245431	0.0233796	0.0241803	0.0244316	0.0359987	0.0494804	0.0623687	0.0622154	0.0746999	0.081297	0.0641769	0.0649083	0.0400922	0.0339776	0.0332103	0.018485	0.0217988	0.0261722	0.0116132	0.0270714
ne	0.0454113	0.0305262	0.0202389	0.015173	0.0153895	0.0153691	0.0271771	0.0272157	0.0146045	0.0170887	0.0127127	0.015769	0.0134498	0.0197723	0.0254614	0.032117	0.0289224	0.0408216	0.0752138	0.0576221	0.0611803	0.0291691	0.0295017	0.0471461	0.0436568	0.0566938	0.0666055	0.0608351	0.0551551
trouve	0.0680364	0.0592779	0.026092	0.0229505	0.0186385	0.0251548	0.0524969	0.04494	0.0266501	0.0226247	0.0116844	0.0112476	0.00601947	0.00538378	0.00848379	0.0125479	0.0140789	0.0347112	0.0334067	0.0201796	0.0374521	0.0260038	0.0466694	0.0478732	0.0591685	0.0516579	0.0585975	0.0702669	0.0777055
plus	0.048316	0.0607015	0.0471707	0.0453888	0.0277066	0.0255815	0.0416804	0.0555136	0.080967	0.0324825	0.0191465	0.0209484	0.013355	0.0127489	0.0146582	0.0164046	0.0197034	0.026445	0.032523	0.021738	0.0349144	0.0359081	0.0306615	0.0323667	0.0313521	0.0256066	0.0487506	0.0388643	0.0583961
de	0.0340169	0.028226	0.0164277	0.016589	0.00827637	0.0123249	0.0333283	0.0496607	0.113503	0.0538156	0.0355052	0.0254148	0.0190282	0.0237315	0.022115	0.0229268	0.0378781	0.022487	0.0290545	0.0297542	0.0372257	0.0392553	0.0260551	0.0320741	0.0320827	0.028144	0.043196	0.0436961	0.0842072
lieu	0.0456225	0.0281804	0.0178105	0.014127	0.0096036	0.00797851	0.0172336	0.0219154	0.0825565	0.030517	0.0204942	0.0154333	0.0158436	0.0191539	0.0191659	0.0185983	0.0291805	0.0318159	0.0340478	0.0369605	0.0502196	0.0459982	0.0315512	0.0418356	0.0450864	0.0440212	0.0538874	0.0577653	0.113396
sacré	0.0273426	0.0198211	0.00952826	0.00750295	0.00387181	0.00540751	0.0109194	0.0139534	0.0721872	0.025187	0.0201319	0.0193	0.0207695	0.0222355	0.0215935	0.0187168	0.0235377	0.0305147	0.0395166	0.0390358	0.0524643	0.0430023	0.0332012	0.0470587	0.0537698	0.0494893	0.0549462	0.0646954	0.1503
kwebhe	0.0207765	0.0190537	0.0178183	0.0126294	0.0100836	0.00894895	0.0118934	0.0158062	0.0355434	0.014149	0.0112449	0.0105605	0.0155833	0.0253943	0.0412174	0.0439365	0.0445586	0.0488497	0.0439182	0.0339056	0.0495344	0.0573192	0.0452221	0.045591	0.0527727	0.0441266	0.0623036	0.0670978	0.0901613
</S>	0.0200646	0.0245379	0.0206646	0.0172882	0.0116621	0.00860407	0.0115013	0.0165722	0.0300235	0.0136948	0.0108003	0.0128324	0.015021	0.0198263	0.0338111	0.039014	0.0351873	0.0516836	0.040867	0.0413493	0.0580728	0.0695161	0.0561121	0.0447911	0.0589502	0.0437707	0.0592821	0.0709214	0.0635779
