 	a66	a87	a23	a40	a37	a21	a85	a47	a36	a37	a56	a75	a85	a6	a98	a47	a79	a47	a36	a37	a70	a66	a13	a99	a87	a23	a97	a99	a87	</S>
toutes	0.0394616	0.0417158	0.0307823	0.0394368	0.0570883	0.109158	0.0932963	0.0960067	0.0748307	0.0693538	0.0412865	0.0254635	0.0155905	0.0263492	0.0260455	0.00990645	0.0116857	0.0145453	0.0129213	0.0110463	0.00748966	0.0114209	0.014447	0.0158195	0.010362	0.012794	0.0112983	0.0159441	0.00931041	0.045144
les	0.0257632	0.0422711	0.0217504	0.0323394	0.0588237	0.0563681	0.120821	0.119727	0.0988466	0.0599174	0.0298413	0.0358785	0.0323582	0.0243173	0.0139574	0.017274	0.0127594	0.00890597	0.0177412	0.0142113	0.0157445	0.0141953	0.0140288	0.00850121	0.0104791	0.0118779	0.0222409	0.0132572	0.0281233	0.0176796
maisons	0.0098639	0.00588651	0.00724061	0.0169983	0.0470905	0.0333183	0.0659578	0.108264	0.0903258	0.137733	0.0680207	0.0622942	0.038445	0.0434895	0.0196468	0.0135277	0.00997744	0.00643557	0.0125344	0.011841	0.0167891	0.0195545	0.0175442	0.0118033	0.0221873	0.0242557	0.0301226	0.0209659	0.0222178	0.00566919
de	0.0338647	0.013096	0.0123966	0.011047	0.0397925	0.0302504	0.0433701	0.0423427	0.0474028	0.0565255	0.0529691	0.0315122	0.0291958	0.0153546	0.00986858	0.0146567	0.0126698	0.0163741	0.0161061	0.0173783	0.0314102	0.0331014	0.01943	0.0307683	0.0540932	0.051637	0.0479086	0.0576818	0.0542062	0.0735898
ce	0.0402693	0.0156809	0.0156001	0.00658985	0.0110362	0.0251017	0.0189143	0.0252375	0.0425904	0.0321242	0.0187343	0.0239081	0.0301892	0.0344045	0.0491063	0.0427992	0.0461387	0.023431	0.024665	0.0271196	0.0336946	0.0213404	0.0176818	0.0265613	0.0266589	0.0287095	0.0631915	0.058109	0.0679268	0.102486
village	0.0321285	0.0422802	0.0292327	0.0251247	0.0463455	0.0688953	0.0573253	0.0597647	0.0547253	0.0639171	0.0331759	0.0490538	0.0341279	0.0485533	0.0524539	0.04282	0.0393309	0.0151013	0.0187767	0.0123536	0.02254	0.0294061	0.0196095	0.0163883	0.0127998	0.0145944	0.0100637	0.0116377	0.00619382	0.03128
sont	0.100326	0.0763229	0.0264606	0.013745	0.0205718	0.0261371	0.0187833	0.0227997	0.0231146	0.0168495	0.030134	0.0605554	0.0357195	0.0254579	0.0327368	0.0219783	0.0126963	0.0120637	0.0231327	0.0133863	0.0170371	0.0775905	0.026682	0.0385156	0.0540044	0.043676	0.0326372	0.0386902	0.0272083	0.0309875
devenues	0.0233986	0.0218378	0.0122672	0.00861427	0.0108531	0.0107926	0.010973	0.00980664	0.0110127	0.00826137	0.0105946	0.0229474	0.0293094	0.0491697	0.0523509	0.0486909	0.0411938	0.0218634	0.0379649	0.0301503	0.0510268	0.065721	0.0498256	0.0488526	0.0677451	0.0563905	0.0503976	0.0600623	0.0375758	0.04035
délabrées	0.0438893	0.0317441	0.0161172	0.00962904	0.0120303	0.00898484	0.00889099	0.00813214	0.0101379	0.00814993	0.0140458	0.0188073	0.01833	0.0258357	0.0238419	0.024912	0.0179609	0.0157394	0.0279155	0.0293582	0.0471584	0.0560604	0.0265417	0.0431723	0.0921739	0.0825305	0.0683375	0.0878725	0.0751658	0.0465346
</S>	0.0401694	0.0356292	0.013881	0.00567353	0.00808646	0.0076767	0.00790726	0.00701089	0.0109842	0.00746992	0.0173026	0.0139148	0.0140674	0.0190014	0.018835	0.0200276	0.0175463	0.017465	0.0185732	0.0164922	0.0252912	0.0274635	0.0208088	0.0561635	0.0848713	0.0697358	0.0764217	0.102582	0.0964544	0.122493
