 	a66	a82	a9	a62	a83	a90	a25	a92	a24	a61	a24	a61	a11	a56	a61	a31	a43	a75	a85	a98	a92	a75	a56	a75	a34	a93	a70	a13	a18	a13	a9	a38	a9	a82	a3	a38	a97	a9	</S>
la	0.088917	0.0790118	0.0955551	0.0684208	0.0368884	0.0337015	0.0312522	0.0160976	0.0101015	0.0125104	0.0101098	0.00838855	0.00624878	0.0126625	0.0144291	0.019729	0.015014	0.0204632	0.0164088	0.0158201	0.0111168	0.014419	0.0110764	0.00904455	0.0144202	0.00774481	0.0125729	0.0218066	0.0145204	0.018291	0.0241638	0.0244846	0.0245087	0.0273667	0.0290729	0.0266211	0.0228991	0.0126914	0.061449
maladie	0.0011431	0.0111973	0.0203564	0.0311298	0.0340136	0.0363606	0.0335929	0.0260229	0.0312362	0.0266109	0.0379891	0.0529984	0.0404362	0.0433692	0.0421375	0.0486984	0.0488612	0.0425601	0.048971	0.0564792	0.0565312	0.0471334	0.0372297	0.030317	0.0220983	0.017718	0.0138056	0.0156743	0.0105013	0.00728176	0.00621831	0.00148826	0.00154854	0.00153217	0.00348649	0.0028936	0.0033896	0.00213877	0.00484977
a	0.0361909	0.0340138	0.0285811	0.0444027	0.0502722	0.0277499	0.0245783	0.0304559	0.0300872	0.0440442	0.043825	0.0693478	0.0512798	0.0555228	0.0456917	0.0297052	0.0308962	0.0221664	0.021337	0.0300899	0.0341084	0.0215538	0.0102567	0.013847	0.00656812	0.00331394	0.00285147	0.00253002	0.00227366	0.00256803	0.00270737	0.00382438	0.00401967	0.00365345	0.00914826	0.017496	0.0174899	0.0608405	0.0307115
fait	0.0331001	0.0171761	0.00978384	0.0114286	0.00777264	0.00494291	0.00437867	0.00632036	0.00693641	0.00962421	0.00942096	0.0174724	0.015103	0.0168286	0.0132041	0.0121725	0.00884165	0.00607492	0.0085806	0.0102689	0.0179218	0.0175604	0.0199845	0.0273061	0.019285	0.0107237	0.00991392	0.00984354	0.0208261	0.0140037	0.0189576	0.0178648	0.0183952	0.0245947	0.0843964	0.0637318	0.0715258	0.128489	0.175244
perdre	0.0340346	0.0317497	0.0210371	0.014114	0.0277436	0.0222982	0.0236173	0.031551	0.0307266	0.0499022	0.0367007	0.028131	0.0240644	0.0177244	0.0204335	0.0201883	0.0168762	0.0282113	0.0335826	0.0459355	0.0457798	0.0461204	0.0426559	0.0286856	0.0217185	0.0220308	0.0172668	0.0137973	0.0113937	0.0114516	0.00457814	0.00802524	0.00757639	0.0118749	0.0214571	0.016245	0.0331959	0.0305889	0.0469361
la	0.0463144	0.0203678	0.0163557	0.0227206	0.0318927	0.0193434	0.0217036	0.0324258	0.0312753	0.0605754	0.0405722	0.0210723	0.0220143	0.0117674	0.0160015	0.0108198	0.00815687	0.0110563	0.01138	0.0132155	0.0148187	0.0170623	0.0141355	0.011771	0.0106119	0.00616687	0.00751581	0.004794	0.00892163	0.00681	0.00356313	0.00611679	0.016086	0.0111402	0.0325987	0.0469527	0.0697011	0.120148	0.122055
mémoire	0.0401324	0.0233156	0.0131579	0.0136533	0.0242934	0.0200419	0.0293695	0.0389695	0.0503991	0.062623	0.0532478	0.0445767	0.0504467	0.0259054	0.0265014	0.017363	0.0111479	0.0178849	0.0118296	0.0171034	0.018266	0.0165313	0.0136964	0.0133958	0.0104294	0.00530025	0.0198499	0.00557596	0.0061128	0.00727084	0.0029958	0.0084467	0.0102729	0.0267013	0.027069	0.0371305	0.0463982	0.086998	0.0455965
à	0.0809968	0.0407316	0.0248167	0.0302992	0.0402648	0.0303867	0.0303057	0.0306014	0.0258543	0.0481243	0.0320472	0.0183582	0.0205711	0.00736001	0.00919222	0.00757324	0.00675813	0.0117138	0.0114914	0.0144502	0.0189878	0.0176167	0.0158233	0.0259326	0.0182885	0.0141929	0.01385	0.0086048	0.00788938	0.00850923	0.00745081	0.00995519	0.0136683	0.0142535	0.022046	0.0327226	0.0449806	0.106523	0.0768077
cette	0.0463859	0.0222977	0.0108501	0.0108114	0.0247024	0.013064	0.0106245	0.0133842	0.0156104	0.0282235	0.0242511	0.022941	0.0230515	0.0223046	0.0263459	0.0172586	0.0182061	0.0184799	0.0177575	0.0204925	0.0229872	0.0256604	0.0172651	0.0249526	0.0272425	0.0177415	0.019563	0.0170302	0.012399	0.01567	0.00789657	0.0176998	0.0176567	0.0594101	0.0515369	0.0566308	0.0664837	0.075154	0.039977
fille	0.0343502	0.0296829	0.0278435	0.033013	0.0425165	0.040565	0.0439854	0.0382253	0.0292228	0.0283262	0.0210878	0.0181569	0.0179398	0.0111073	0.0195095	0.0192097	0.0182002	0.0265334	0.021864	0.0236863	0.019153	0.014267	0.00962494	0.0170485	0.00829031	0.00946972	0.00819495	0.00601273	0.00774924	0.0086052	0.0148319	0.0199364	0.031913	0.0377074	0.0417451	0.0374766	0.0369199	0.070656	0.0553724
</S>	0.0542376	0.0276632	0.0199089	0.0133023	0.0171699	0.0119232	0.0108264	0.0106643	0.00990194	0.0187172	0.0131455	0.00818655	0.00873913	0.00398986	0.00609834	0.0055566	0.00494521	0.00862995	0.00944599	0.0107014	0.0105413	0.00940816	0.013292	0.0150671	0.0123919	0.0105692	0.00891169	0.00731669	0.0114137	0.0126152	0.0088559	0.0174919	0.0339284	0.0383095	0.0599142	0.0616701	0.0831963	0.119809	0.191545
