 	a66	a10	a87	a40	a79	a44	a90	a92	a75	a85	a47	a36	a98	a85	a47	a41	a75	a61	a62	a34	a98	a47	a92	a75	a47	a36	a2	a57	a87	a97	a99	a97	a87	a97	a23	a99	a87	</S>
les	0.0595353	0.085457	0.0504973	0.0984045	0.0579629	0.0697687	0.0746553	0.0782055	0.0475584	0.0394533	0.0256943	0.0196161	0.013698	0.0153755	0.00914548	0.0079245	0.00905774	0.0147426	0.00890987	0.0164367	0.0177793	0.0217603	0.010393	0.0101242	0.00782227	0.0118478	0.0103789	0.00646812	0.0055861	0.00496977	0.00702079	0.0059753	0.00628097	0.00859782	0.00808302	0.0131355	0.0101588	0.031519
chèvres	0.00227721	0.00406604	0.00631163	0.00530972	0.0193785	0.033048	0.0497476	0.122013	0.103837	0.125387	0.0777183	0.0907327	0.0643482	0.0827967	0.0422731	0.073259	0.0392213	0.0187459	0.0148691	0.00522309	0.00179641	0.00154085	0.00247354	0.000941392	0.0015618	0.00147148	0.000885753	0.000782765	0.000795656	0.000713795	0.000411649	0.000476982	0.000402325	0.000333308	0.00133433	0.00128559	0.00143769	0.000791261
ont	0.0357397	0.0415946	0.0116596	0.0195489	0.0228481	0.0199675	0.0124499	0.0213695	0.0149231	0.0421303	0.0338523	0.0223273	0.0218652	0.0270452	0.0178906	0.0123124	0.0119022	0.0170235	0.00827868	0.0109606	0.020765	0.0311397	0.0246751	0.0207103	0.0312812	0.0475122	0.045171	0.0253158	0.024031	0.021636	0.0163448	0.0416496	0.0401475	0.0289959	0.0415378	0.0325538	0.0556244	0.0252199
cassé	0.0108435	0.00903151	0.0076611	0.0163674	0.0166523	0.0171016	0.0109247	0.0166237	0.0142769	0.0204903	0.0184883	0.0293633	0.0267172	0.0358854	0.043268	0.0522717	0.0595534	0.0373892	0.057398	0.023043	0.0121057	0.00904757	0.0107784	0.0177607	0.0139943	0.0303251	0.0187774	0.0171997	0.0263223	0.0432433	0.0233728	0.0369092	0.0478907	0.0439867	0.0306027	0.0496834	0.0252416	0.019408
l'	0.0413497	0.0277634	0.0150309	0.022616	0.0224316	0.0189597	0.024916	0.0340237	0.038128	0.0409416	0.0266523	0.0395947	0.0274038	0.0277142	0.0248226	0.0274773	0.0352072	0.0186304	0.0266808	0.015934	0.0119186	0.0173654	0.0162394	0.0183723	0.0103974	0.0161156	0.0163019	0.0121155	0.0172234	0.0191939	0.0180634	0.0176676	0.0331398	0.0437576	0.0302174	0.0632265	0.0216337	0.0607726
enclos	0.0273038	0.0157106	0.0127909	0.0178307	0.025334	0.0285399	0.0314563	0.032722	0.0429412	0.0355528	0.0399569	0.04733	0.0291726	0.0345412	0.0216168	0.0268183	0.0264769	0.0195183	0.0340676	0.0294821	0.027152	0.0383486	0.0372986	0.047562	0.0264329	0.0339018	0.0192494	0.0160297	0.0186491	0.0127787	0.0134457	0.0139965	0.0168804	0.0163474	0.0167492	0.0228592	0.0193074	0.0238484
de	0.0537339	0.0500442	0.03007	0.0145817	0.0109973	0.0114905	0.0151891	0.0322006	0.0376365	0.0701023	0.0295959	0.0171247	0.024892	0.00745948	0.00858871	0.00524641	0.0131063	0.00859171	0.013716	0.0227481	0.0156854	0.00982804	0.00868856	0.0113146	0.0203287	0.0132357	0.0115881	0.0116201	0.0201532	0.0110658	0.0139042	0.0265559	0.0282338	0.0312597	0.0453984	0.0543763	0.0772008	0.112447
la	0.0230655	0.0113475	0.00679901	0.00610427	0.0032295	0.00376935	0.00382327	0.00625099	0.0115794	0.022276	0.0127602	0.0145923	0.0194076	0.014251	0.0187226	0.0223973	0.031068	0.0269063	0.0262709	0.0460296	0.0419401	0.0432079	0.0473356	0.0457193	0.0374874	0.0313654	0.0476225	0.0377609	0.0263169	0.0367031	0.0241285	0.0505616	0.0237765	0.03694	0.0288028	0.0287266	0.0524583	0.028496
parcelle	0.0177129	0.00996472	0.00642191	0.00523415	0.00341395	0.00431	0.00459467	0.00611175	0.00908393	0.0104478	0.00469868	0.00639246	0.00724317	0.0100208	0.012177	0.0184857	0.0242775	0.0255967	0.0249682	0.0357903	0.0265671	0.0282594	0.038925	0.0434867	0.0307648	0.042153	0.046932	0.0355986	0.0249605	0.0300212	0.0286492	0.0598543	0.0326179	0.038836	0.063352	0.0622106	0.0868815	0.0329841
</S>	0.0573819	0.0335884	0.0196692	0.00707751	0.00463572	0.0035044	0.0034675	0.00526795	0.00591269	0.0122024	0.00617111	0.00613142	0.0090783	0.00579291	0.0067037	0.00465916	0.00985102	0.0137927	0.00760775	0.0168884	0.0169227	0.0181531	0.011567	0.0101601	0.0134779	0.0188867	0.0187031	0.0187871	0.0178859	0.016234	0.017833	0.0313268	0.0279675	0.0540046	0.0617724	0.0999515	0.11443	0.192553
