 	a66	a87	a23	a87	a23	a83	a54	a6	a21	a47	a21	a85	a5	a61	a21	a41	a18	a88	a71	a38	a4	a57	a82	a11	a10	a87	a23	a10	a87	</S>
l'	0.0459985	0.0510997	0.0627853	0.0447533	0.0455791	0.0519753	0.0319894	0.0284371	0.0491092	0.0323135	0.039473	0.0402619	0.0296466	0.0151157	0.00987015	0.0181373	0.0276368	0.0254133	0.0276477	0.0276611	0.0362834	0.031545	0.0174913	0.0236956	0.0196543	0.0198115	0.0294885	0.0341919	0.0323395	0.0505951
enfant	0.0182165	0.0178669	0.0196389	0.0244126	0.0554944	0.0413085	0.0897003	0.087872	0.0792933	0.111247	0.0901869	0.033781	0.0299075	0.0385424	0.046316	0.0245646	0.027474	0.0255445	0.0245113	0.0121359	0.00953727	0.0106714	0.00465197	0.00872902	0.00750308	0.00622842	0.0163122	0.00917449	0.022773	0.00640493
qui	0.0884524	0.0423963	0.0540626	0.0477075	0.0520986	0.0480591	0.0350194	0.0567611	0.0809372	0.0573058	0.0375589	0.0286282	0.0242946	0.0111922	0.00502216	0.00477178	0.00489049	0.00568516	0.00573305	0.0117489	0.018174	0.0217667	0.0207916	0.0316944	0.0242918	0.0359147	0.0419958	0.029841	0.0575092	0.0156954
était	0.0648023	0.031762	0.0324157	0.0203715	0.0171743	0.0110515	0.0101277	0.0216841	0.0455523	0.0613307	0.0615345	0.0659147	0.0528807	0.0392785	0.0145855	0.0121794	0.0124304	0.00702673	0.00744968	0.0096478	0.00913236	0.0135622	0.0235215	0.0274403	0.0394167	0.043245	0.0466572	0.0641495	0.0507819	0.0828933
en	0.070886	0.0457773	0.0576232	0.041858	0.0279332	0.0217317	0.0179343	0.0156573	0.0141688	0.036427	0.0656874	0.0906715	0.0939663	0.0489442	0.0274452	0.016951	0.0206041	0.0108217	0.00796363	0.00975878	0.00713357	0.0105278	0.00977617	0.0246193	0.031464	0.0119617	0.0260327	0.0348518	0.0281972	0.0726251
train	0.0316915	0.02439	0.0298897	0.0236679	0.0191708	0.0194486	0.0160821	0.0182298	0.0193635	0.0419927	0.0520012	0.114847	0.117699	0.0775178	0.05668	0.0442499	0.0334129	0.0429946	0.0208262	0.0171107	0.0192287	0.00890601	0.0158159	0.0243021	0.0130441	0.0212038	0.0185562	0.0178375	0.0172904	0.0225501
de	0.0654874	0.0409385	0.0504195	0.0289051	0.0334137	0.0217356	0.0112016	0.0177521	0.0510724	0.049728	0.0327676	0.0445893	0.0268703	0.0172378	0.0220799	0.0280138	0.0138049	0.0248022	0.0283165	0.0205099	0.0264941	0.03214	0.0511907	0.0317519	0.024281	0.0506678	0.0453638	0.04068	0.045952	0.0218329
pleurer	0.0284188	0.01801	0.0221409	0.0122628	0.0112793	0.00935029	0.0126708	0.0133044	0.0405207	0.0593678	0.0376572	0.0645459	0.0396192	0.0466933	0.0477243	0.0512654	0.0545572	0.0496815	0.0369911	0.0413471	0.0317416	0.0311935	0.0299364	0.0376834	0.031783	0.0293563	0.0315262	0.0322467	0.032513	0.014612
s'	0.0238797	0.0149454	0.0163937	0.010232	0.0114423	0.0117544	0.00857955	0.00699836	0.016145	0.0232834	0.0209119	0.018148	0.0145594	0.010584	0.0122842	0.0136631	0.0226171	0.0208715	0.0145071	0.0197355	0.0184767	0.0224157	0.0417848	0.0567689	0.0551284	0.109002	0.104589	0.096858	0.087701	0.09574
est	0.0283144	0.0252917	0.0249414	0.0161029	0.0186125	0.0174208	0.0117693	0.00889575	0.0150156	0.0220621	0.0272573	0.0276119	0.021693	0.0159	0.0165783	0.0153459	0.0199527	0.021079	0.016242	0.0207325	0.0198143	0.0249534	0.0381437	0.0623183	0.0526094	0.0707012	0.0774754	0.0727336	0.0760165	0.114415
calmé	0.0179131	0.0131583	0.0136292	0.00980224	0.0107717	0.0123452	0.0100668	0.00686833	0.00622733	0.0127586	0.0168876	0.0286174	0.0358332	0.0292527	0.0241691	0.0323939	0.021088	0.0245961	0.0177544	0.0179567	0.0179495	0.0211126	0.0362173	0.0660051	0.0566483	0.0713505	0.0687221	0.0739337	0.0643302	0.161641
</S>	0.0173723	0.0156161	0.0165519	0.0138087	0.0154213	0.0143439	0.012783	0.00866043	0.00720551	0.00585484	0.00973671	0.0134229	0.0173246	0.0163125	0.0207299	0.0261936	0.0195406	0.0234881	0.0248739	0.0201256	0.0246634	0.0305382	0.0598274	0.0709399	0.0681969	0.0923135	0.0832657	0.0832534	0.0692689	0.0983664
