 	a66	a87	a23	a50	a62	a96	a88	a43	a75	a56	a44	a98	a15	a73	a44	a93	a56	a75	a25	a15	a7	a44	a13	a57	a30	a13	a99	a87	a23	a10	a50	a62	a31	a88	a62	a21	a85	a47	a36	a56	a93	a70	a13	a71	a3	a87	a23	a87	a23	a87	a97	a87	</S>
j'	0.0482498	0.079573	0.0555802	0.0332485	0.0448453	0.0365329	0.0227364	0.00757129	0.00988614	0.00849789	0.00900574	0.0116078	0.016964	0.0187038	0.0179168	0.0186371	0.0225035	0.0156673	0.0162408	0.0251723	0.0279166	0.0245112	0.0197959	0.0166111	0.0135141	0.0147208	0.0127186	0.0177567	0.0215251	0.0179655	0.0115008	0.0111911	0.0193178	0.00897771	0.0272247	0.0177681	0.0178496	0.0120398	0.00882028	0.00801864	0.0114519	0.0098387	0.0127859	0.0114962	0.0127141	0.00787615	0.00819731	0.00888732	0.00988261	0.0128288	0.01588	0.0127134	0.016563
ai	0.0220088	0.01308	0.0164854	0.0215013	0.0164727	0.0232234	0.0322896	0.054118	0.0306729	0.0420145	0.0427242	0.0261095	0.0357251	0.0207629	0.0205468	0.0202141	0.0181778	0.0166181	0.0185056	0.0148623	0.017195	0.0192201	0.0166041	0.0215239	0.027137	0.0257663	0.0237357	0.0135254	0.0122505	0.0101891	0.0117825	0.0101043	0.00473225	0.00793039	0.00864355	0.0102466	0.0110189	0.00957191	0.00881943	0.00956827	0.01029	0.0114797	0.0173278	0.0195078	0.0126568	0.0187028	0.0168778	0.0181286	0.0160161	0.0143251	0.0157003	0.0177337	0.0255753
fini	0.0406536	0.0125116	0.00995016	0.0114627	0.0123209	0.00935588	0.00390715	0.0184754	0.0126778	0.0151973	0.0255389	0.0208181	0.0105046	0.0235046	0.0246249	0.0310488	0.0294026	0.029857	0.0326505	0.0192296	0.0342856	0.0521157	0.0220153	0.0307035	0.066847	0.0493672	0.0471124	0.0235748	0.0169871	0.0110874	0.0104112	0.0101284	0.00528501	0.00302632	0.00523222	0.00746318	0.00981225	0.00682631	0.0042157	0.00513017	0.00414354	0.00649747	0.00826262	0.0135761	0.0126208	0.0131396	0.0137543	0.0189925	0.0204687	0.0175987	0.015212	0.0201297	0.0202853
par	0.0414832	0.0195141	0.00887352	0.00729558	0.00534483	0.00712458	0.00270186	0.00370582	0.00416489	0.00237388	0.00507163	0.00923052	0.00743575	0.0116744	0.0143389	0.0278052	0.0115948	0.0241925	0.0247071	0.0180731	0.0179185	0.039679	0.0192048	0.0135304	0.0296183	0.0322181	0.0229658	0.0279011	0.0207997	0.0146691	0.0107517	0.0186567	0.0136496	0.0149387	0.0206566	0.0147188	0.0200014	0.017381	0.00994183	0.0130235	0.0221696	0.0127986	0.0304733	0.0289677	0.0190838	0.0208775	0.0276703	0.0364445	0.0286438	0.0282764	0.0362596	0.0407646	0.0186398
dormir	0.0223077	0.00886832	0.00676817	0.00391332	0.00396563	0.00301119	0.000936352	0.00227087	0.0017933	0.00161965	0.00554353	0.00982303	0.00787067	0.023876	0.0168741	0.0292617	0.0476358	0.0414967	0.0673314	0.0518089	0.0432243	0.0519366	0.0344946	0.0349438	0.0494597	0.0468311	0.0373125	0.0260286	0.0266475	0.0276109	0.0110788	0.0138263	0.0194778	0.010892	0.0103873	0.011498	0.0169591	0.0135549	0.00995122	0.0163417	0.0110184	0.00874616	0.0101999	0.0108082	0.00892147	0.0121742	0.0120227	0.0132377	0.00721842	0.00930164	0.00732284	0.0134329	0.00616209
dans	0.0111849	0.00518261	0.00421249	0.00166763	0.00187904	0.00194563	0.00113981	0.00145779	0.00164462	0.00213128	0.00494755	0.0102733	0.00877074	0.0310821	0.0203762	0.0472444	0.0367895	0.0556437	0.0603248	0.050067	0.0540123	0.0773005	0.0470113	0.0395499	0.0421051	0.0449048	0.0345263	0.0338914	0.0324574	0.0348683	0.0140851	0.0256654	0.0204195	0.014302	0.012817	0.00980538	0.0114847	0.0119941	0.0134922	0.0122059	0.00586553	0.0067126	0.00520019	0.00210857	0.00243592	0.00200579	0.00330141	0.00294141	0.00410531	0.00445061	0.00741367	0.00655999	0.0020354
la	0.0249887	0.00658901	0.00589077	0.003443	0.00381559	0.00309963	0.00125609	0.00319071	0.00460353	0.00401644	0.0127956	0.0264104	0.0227776	0.0471047	0.0398698	0.0596227	0.0399687	0.0623976	0.0609791	0.0542401	0.04985	0.0823276	0.0427652	0.0240429	0.0213449	0.0190644	0.0170712	0.0137846	0.015417	0.0160285	0.00815128	0.017562	0.00830558	0.00813583	0.00923971	0.00625065	0.00735946	0.00590368	0.00705798	0.00723289	0.00737463	0.0100146	0.0134231	0.00686972	0.00703982	0.00933429	0.0117008	0.00884135	0.0120276	0.00925122	0.00979309	0.0154496	0.00492517
cuisine	0.0310785	0.00870118	0.00664372	0.00263044	0.00244683	0.00105296	0.000617578	0.00092846	0.00131972	0.00211267	0.00541452	0.0175898	0.00598653	0.052283	0.0189973	0.0346379	0.044926	0.0409295	0.0547863	0.0552873	0.0446859	0.0663322	0.0372382	0.034013	0.043932	0.039212	0.0310017	0.031216	0.0240086	0.0212122	0.00892809	0.0164538	0.00940352	0.00650419	0.00579124	0.00371309	0.00519667	0.00462181	0.00895486	0.0120272	0.0130018	0.0144633	0.0110729	0.00577765	0.0100045	0.00694806	0.0111838	0.00935791	0.0160187	0.0156721	0.017316	0.0163846	0.00998208
puisque	0.0426982	0.0238758	0.0226228	0.0120032	0.012748	0.00440243	0.00263578	0.00522285	0.00832544	0.00617724	0.0156996	0.0336556	0.0190337	0.0633062	0.034762	0.0284596	0.0502186	0.0278158	0.0416939	0.051256	0.038297	0.0432987	0.0291543	0.0235521	0.0275168	0.0186761	0.0138818	0.0164029	0.010955	0.00916528	0.00486765	0.0071802	0.00474644	0.00383157	0.00338525	0.00268175	0.00334058	0.0024258	0.00595733	0.00778849	0.00803556	0.00881429	0.00352339	0.00204297	0.0069091	0.00511002	0.00828676	0.0123044	0.0210172	0.0186456	0.0224705	0.0314989	0.0676235
j'	0.0410751	0.0259175	0.0165639	0.00875139	0.0146276	0.0102374	0.00545087	0.00706269	0.00934597	0.00563617	0.00751473	0.00973645	0.0127702	0.0265336	0.0376981	0.0340262	0.0544504	0.0579311	0.0533292	0.0688413	0.0860179	0.0561851	0.0321775	0.0178091	0.0171583	0.0144619	0.00852051	0.00881802	0.0105754	0.0100308	0.00472786	0.00725279	0.00536053	0.00313785	0.00683444	0.00933254	0.0192753	0.00831582	0.00752955	0.00889242	0.0120943	0.00998088	0.00933043	0.00602719	0.0101122	0.00628245	0.00852063	0.0115118	0.0137064	0.0163366	0.0140896	0.0221484	0.00994574
