 	a66	a87	a23	a87	a23	a87	a23	a30	a13	a53	a93	a70	a75	a5	a43	a75	a92	a12	a62	a50	a88	a9	a38	a90	a56	a92	a98	a25	a69	a58	a4	a13	a3	a99	a97	a87	a23	a87	a97	</S>
le	0.026652	0.0479383	0.0676161	0.0734371	0.0364833	0.0454542	0.055424	0.0464916	0.0409274	0.0359803	0.025385	0.0489143	0.0492004	0.0233385	0.0227178	0.0164813	0.0138348	0.0154007	0.0116639	0.00871912	0.00622389	0.0132368	0.00620377	0.00863679	0.00730644	0.00437505	0.00888457	0.0105381	0.00837594	0.00952378	0.0172517	0.0195641	0.0244359	0.0137712	0.0201816	0.0194278	0.0232621	0.0204671	0.0210425	0.0252307
chef	0.00865111	0.0232018	0.0235696	0.0221371	0.0224929	0.0227233	0.0302018	0.0149412	0.0313808	0.0599186	0.0514435	0.100961	0.0567387	0.0387366	0.0560676	0.0484245	0.0504035	0.0619415	0.0670156	0.0488662	0.0455533	0.0350592	0.0255764	0.00965139	0.00713975	0.0124364	0.00523764	0.00410759	0.00416897	0.0029426	0.00281651	0.00187858	0.000535667	0.000211495	0.000195173	0.000365249	0.000377136	0.000400274	0.00099997	0.000529396
a	0.0121101	0.0153284	0.01477	0.0144473	0.0159766	0.0167546	0.0153349	0.00416085	0.0169456	0.0391617	0.0375096	0.0646854	0.0983791	0.105184	0.0968658	0.0990316	0.0661689	0.0576928	0.0615212	0.0429289	0.0273245	0.0244025	0.0143287	0.00895327	0.00482304	0.00422339	0.00229513	0.00364133	0.00151677	0.000988792	0.00125655	0.0014092	0.000995742	0.000439476	0.000477592	0.00126843	0.001707	0.000944649	0.00312181	0.000924938
décidé	0.00511531	0.00617595	0.00797789	0.00685282	0.0119251	0.0256027	0.0218569	0.0158061	0.0150659	0.0234465	0.0167562	0.0450727	0.0394909	0.122235	0.0746632	0.115837	0.092124	0.094871	0.0567662	0.0442298	0.035656	0.028572	0.0230696	0.00579556	0.00889842	0.00398574	0.00348411	0.00445451	0.00445723	0.00366265	0.0051545	0.00352454	0.00336068	0.00327919	0.00314996	0.0028501	0.00326881	0.00392706	0.0038238	0.00375391
de	0.0605011	0.0438412	0.0282402	0.034728	0.0202377	0.0284948	0.0203875	0.0221763	0.0283767	0.0367571	0.0527223	0.0449603	0.0549418	0.0694956	0.0747879	0.0613633	0.0327152	0.0238836	0.0196249	0.0134607	0.0139971	0.00546249	0.00688375	0.00918149	0.00490035	0.00374427	0.00341022	0.00654402	0.00532205	0.00712542	0.00995973	0.00768041	0.0112734	0.0146036	0.0164695	0.0198548	0.0176781	0.0147896	0.0179827	0.0314408
le	0.0375826	0.0283012	0.0199689	0.0184759	0.0119838	0.0111925	0.0101421	0.0101956	0.0157742	0.0135123	0.0528327	0.043608	0.0589162	0.0693307	0.0429123	0.069484	0.049868	0.0408134	0.0438585	0.0359348	0.0340899	0.0217221	0.0245831	0.0227174	0.0153259	0.013396	0.00982699	0.0205218	0.00823992	0.00560734	0.0117333	0.00930473	0.0105623	0.0100805	0.00524693	0.00890515	0.0198648	0.0129819	0.0132213	0.0373808
chasser	0.0110715	0.00836517	0.00806505	0.00741891	0.00703094	0.00721231	0.00653879	0.00743174	0.00784661	0.00802315	0.0122844	0.0253403	0.0246344	0.0463354	0.049207	0.0534068	0.0490262	0.0354145	0.063257	0.0459576	0.0551097	0.0213579	0.0261163	0.0173342	0.0150567	0.0162238	0.0142799	0.0182326	0.0173097	0.0183209	0.026523	0.0286119	0.0239011	0.0300382	0.0203011	0.0359371	0.0408207	0.0299538	0.0330019	0.0277016
du	0.0395265	0.0209206	0.0202576	0.0189621	0.018612	0.0231079	0.0152149	0.0171999	0.0302985	0.0227072	0.0351451	0.0262447	0.0248792	0.0287329	0.0341565	0.0295441	0.023411	0.0255709	0.054363	0.0238397	0.0133699	0.012223	0.0135951	0.0103559	0.013674	0.0203672	0.0129717	0.0116219	0.0114934	0.0110945	0.0276954	0.0196914	0.0281225	0.0386899	0.0305395	0.0399965	0.0484623	0.0230849	0.0264612	0.0537956
village	0.0269737	0.0185891	0.0184832	0.0237584	0.0267361	0.0303898	0.0199553	0.0226878	0.0193741	0.0203396	0.0129973	0.0222736	0.0150676	0.0218257	0.0480478	0.027631	0.0405797	0.0406337	0.0820793	0.0365	0.0297423	0.0237094	0.0283065	0.0197468	0.0245653	0.0242187	0.0137858	0.0208439	0.0112707	0.0160036	0.0337124	0.0209914	0.0196421	0.0221206	0.0234442	0.0190275	0.0207312	0.0165448	0.0168914	0.0197783
</S>	0.0400823	0.0295425	0.0256575	0.0236927	0.012266	0.0131483	0.0093368	0.0104591	0.00984503	0.0150196	0.0123741	0.0328004	0.0278578	0.015743	0.0311302	0.0215862	0.0172373	0.0212702	0.0229826	0.0157937	0.00993048	0.0127157	0.0103723	0.00945354	0.0107804	0.00652713	0.00789285	0.00578009	0.0058682	0.00750498	0.0228407	0.0228224	0.0373111	0.0314468	0.0569347	0.0661203	0.0477967	0.0522714	0.0430361	0.124769
