 	a66	a87	a97	a99	a38	a62	a12	a96	a62	a21	a12	a56	a96	a90	a98	a15	a79	a75	a6	a36	a11	a75	a5	a18	a47	a31	a0	a61	a0	a62	a90	a69	a4	a11	a18	a71	a3	a97	a87	a97	a87	a97	a99	a97	</S>
cette	0.0546561	0.0490392	0.0468844	0.0294903	0.0253575	0.0274071	0.0261759	0.0247098	0.0205665	0.0105946	0.0119628	0.0124778	0.0116179	0.0257691	0.0308144	0.0258217	0.0319114	0.0420671	0.0318332	0.0301257	0.0561818	0.023351	0.0116204	0.0231461	0.0183963	0.0353535	0.0187345	0.0205728	0.037436	0.0156248	0.0114135	0.0100537	0.0114996	0.0100454	0.00706389	0.00777465	0.00801586	0.0085941	0.00965629	0.0129329	0.00926834	0.0120634	0.015742	0.0138096	0.0223669
marmite	0.00191843	0.00211727	0.0032419	0.00155864	0.00404677	0.00606171	0.00624611	0.0156147	0.0152951	0.0154974	0.0130725	0.0305381	0.0337174	0.0979721	0.101008	0.18748	0.127457	0.0855703	0.0478615	0.0382386	0.0202796	0.0151828	0.017119	0.0174493	0.0162889	0.0110376	0.0163239	0.0112384	0.00803935	0.00454121	0.0055265	0.00450249	0.00252544	0.00122674	0.00106077	0.000700617	0.000818805	0.000711947	0.000789471	0.000997702	0.00134539	0.000951482	0.00159548	0.00228839	0.00294561
est	0.0231655	0.0154432	0.0229098	0.0174081	0.0212292	0.0173158	0.0257122	0.0361053	0.0343588	0.0290909	0.0354813	0.0276115	0.0495754	0.0612797	0.0645874	0.0684697	0.0548557	0.0292514	0.010892	0.00886226	0.0024754	0.00517183	0.00869307	0.00294836	0.00675435	0.00467195	0.00847664	0.0053439	0.00370012	0.00327497	0.00471832	0.00488823	0.00593845	0.00659878	0.00781131	0.0155485	0.0164714	0.021104	0.0141743	0.0246799	0.0260075	0.0308591	0.0319649	0.0555385	0.0285812
devenue	0.032142	0.0176271	0.0251286	0.0181342	0.0161122	0.00758643	0.0163191	0.00666942	0.00602148	0.00806207	0.00778911	0.00467402	0.00435176	0.00409792	0.00669088	0.0103462	0.0143504	0.0240329	0.0168371	0.0133344	0.0135224	0.0212124	0.0146081	0.0225458	0.0203652	0.0262974	0.0228293	0.0260295	0.0181424	0.0381128	0.0414288	0.0151059	0.026993	0.0227337	0.0232901	0.0213953	0.0329534	0.0247132	0.047337	0.0314522	0.0425719	0.0437799	0.0450984	0.0302009	0.0669733
propre	0.092709	0.0388259	0.040005	0.0422176	0.0295572	0.0177552	0.0300367	0.0326305	0.0353161	0.0369061	0.0238197	0.0114635	0.0118826	0.0169522	0.017461	0.0118787	0.0170775	0.0145593	0.00740517	0.00543586	0.0103598	0.00832722	0.00599246	0.00816914	0.00672478	0.0104081	0.00978136	0.00780687	0.00651898	0.00965271	0.00873387	0.0116438	0.0314476	0.0355394	0.0198202	0.0160955	0.0213573	0.0220292	0.0205696	0.0184976	0.0169301	0.0280477	0.0309951	0.0280197	0.0726372
depuis	0.0675937	0.0298899	0.0273874	0.0343458	0.0344821	0.0233415	0.018591	0.0304854	0.0362466	0.0364107	0.0315445	0.0372148	0.0407357	0.0489276	0.0438703	0.0353124	0.0409627	0.041702	0.0201321	0.0150548	0.0160887	0.0133503	0.00938913	0.00702848	0.0102637	0.00671917	0.00733209	0.00564476	0.00425738	0.00359264	0.0063387	0.00894035	0.00923268	0.0141016	0.0112683	0.0124653	0.0196483	0.0203534	0.0155586	0.0153058	0.0167881	0.0185547	0.016691	0.018761	0.018095
que	0.0341408	0.0242258	0.0313184	0.0253286	0.0201878	0.0169881	0.017644	0.0190568	0.0208967	0.0203392	0.0202721	0.0233169	0.0263804	0.0282886	0.027162	0.0321646	0.0382301	0.0382425	0.0162347	0.0124524	0.0120284	0.011024	0.009504	0.00989023	0.0128061	0.0141183	0.0168525	0.0136479	0.00616985	0.00528844	0.00758347	0.0109893	0.0107085	0.011556	0.0102452	0.0159084	0.0307215	0.0304632	0.0195531	0.0297204	0.03648	0.0389575	0.0442748	0.0484776	0.0501607
je	0.0374764	0.0315902	0.0219386	0.0150734	0.00634279	0.00394527	0.00565341	0.00612768	0.0092797	0.00699344	0.0102727	0.010961	0.0122671	0.016555	0.0232667	0.0200075	0.0280697	0.0291225	0.0151656	0.0114272	0.014076	0.0154396	0.0132005	0.0168357	0.0186	0.0271718	0.0267719	0.0268778	0.0191602	0.0120221	0.0213489	0.0248963	0.0303554	0.0385485	0.0381963	0.0421822	0.0465601	0.0368914	0.0314075	0.0400482	0.0359653	0.0321624	0.0326986	0.0283831	0.00866423
l'	0.0143554	0.0128178	0.01241	0.00656562	0.00552783	0.00397023	0.00397162	0.00648363	0.00767622	0.00534299	0.00861077	0.014608	0.0153595	0.0212518	0.0271166	0.0293605	0.0438117	0.0420019	0.0124185	0.0218399	0.0226952	0.0132445	0.00815947	0.0131559	0.0114626	0.0182864	0.0196967	0.0171909	0.0169649	0.0121477	0.0126239	0.0122055	0.0102253	0.025888	0.0222209	0.0280289	0.0380421	0.0406113	0.0418014	0.0592175	0.0593272	0.0507312	0.0427751	0.0576178	0.0301795
ai	0.0208737	0.0185947	0.017054	0.0131483	0.012041	0.00916591	0.00975365	0.0115776	0.0119224	0.010213	0.0144883	0.0171806	0.0169024	0.0243056	0.023171	0.0310292	0.0389584	0.0397276	0.0179317	0.0165163	0.0142962	0.0117762	0.00884179	0.0093123	0.0100393	0.0122238	0.0100334	0.0102813	0.0128617	0.0102161	0.00664036	0.0084553	0.00651534	0.0152196	0.0148389	0.0233761	0.0319205	0.0326695	0.0241881	0.0447455	0.0438593	0.0529934	0.0506989	0.0792164	0.0802253
