 	a85	a66	a87	a23	a87	a23	a79	a57	a82	a44	a57	a4	a13	a93	a56	a62	a70	a44	a54	a79	a37	a75	a92	a44	a79	a37	a66	a61	a12	a56	a69	a44	a58	a11	a12	a18	a13	a57	a3	a87	a23	a87	</S>
le	0.0291335	0.0380615	0.0175125	0.0128588	0.0134166	0.0136184	0.0105209	0.0205048	0.0409812	0.0530368	0.035042	0.0441429	0.055727	0.0862584	0.0648971	0.0449622	0.0468296	0.0271513	0.0167871	0.0133183	0.0116619	0.0103265	0.0124405	0.00928269	0.0095494	0.00692705	0.00625604	0.00672055	0.00578419	0.00703341	0.0085417	0.0140403	0.0128209	0.02008	0.0161815	0.0226284	0.0254818	0.0217506	0.0199544	0.0152641	0.0161812	0.0110156	0.0253164
vent	0.00403719	0.00854231	0.00845601	0.00703386	0.0185998	0.0193585	0.0173154	0.0392225	0.0286824	0.0215012	0.0273444	0.0890401	0.0493534	0.0614716	0.135575	0.0597433	0.0418512	0.0406113	0.0563364	0.0344072	0.0412445	0.0267908	0.0290059	0.0231748	0.0165099	0.013462	0.00874316	0.00882069	0.00954677	0.00963684	0.00845867	0.00418164	0.00630373	0.00424134	0.0024406	0.00161652	0.00219192	0.00239803	0.00209204	0.00167116	0.00266732	0.00317519	0.00314277
a	0.0155899	0.0285089	0.0220612	0.0218498	0.0268222	0.0167751	0.0326119	0.0238774	0.0180642	0.0125916	0.0292201	0.0326915	0.0535157	0.0694097	0.0580246	0.0885238	0.0560453	0.0418251	0.0634173	0.0357235	0.0361758	0.019028	0.0270046	0.0203784	0.0261479	0.0256134	0.0172255	0.0108182	0.00892571	0.00851052	0.00685042	0.00824858	0.00612459	0.00662163	0.00626033	0.00127862	0.00290407	0.0025566	0.00156268	0.00124069	0.0031341	0.00485772	0.00138326
emporté	0.0206772	0.0186572	0.0100865	0.0068375	0.0106931	0.011919	0.00965231	0.00640906	0.00766282	0.0101312	0.0111673	0.0133576	0.00732654	0.0137199	0.0211005	0.0343703	0.0413913	0.0346125	0.0599527	0.0523645	0.0958508	0.0639373	0.0718973	0.0816514	0.0896544	0.0402597	0.0259639	0.0288653	0.017592	0.00750208	0.00400724	0.0036145	0.00802872	0.00998761	0.00500819	0.00568017	0.00510072	0.00466625	0.00556023	0.00640377	0.0052909	0.00448809	0.00690016
la	0.0171714	0.0193656	0.0188601	0.0138069	0.0166227	0.0483283	0.0380933	0.0486486	0.0579466	0.084958	0.0926549	0.0709101	0.042943	0.026686	0.0221633	0.0325523	0.0267737	0.0260908	0.0262618	0.0250983	0.031867	0.0278167	0.0195957	0.021627	0.0124075	0.0060234	0.00582238	0.00781504	0.00733487	0.00637993	0.00641782	0.00867732	0.00949909	0.0148397	0.00817342	0.00882544	0.00698903	0.0048052	0.0061711	0.00524592	0.00462336	0.00471889	0.00838875
toiture	0.0162777	0.0178299	0.0135519	0.0117149	0.0259594	0.0551684	0.0756663	0.062102	0.0622644	0.0395285	0.0801155	0.0920321	0.0846272	0.0347046	0.0181499	0.0296771	0.0150963	0.0207331	0.0163306	0.0117214	0.0164375	0.012783	0.0118961	0.014964	0.00944941	0.0097715	0.00869561	0.00840351	0.00961095	0.00987446	0.0138922	0.00873162	0.0165508	0.0124541	0.00865937	0.00621521	0.00619848	0.00466078	0.00612463	0.00401159	0.00645296	0.00550184	0.00540894
de	0.0235905	0.0296405	0.0220601	0.0151182	0.0188431	0.0222078	0.0367219	0.0440558	0.0372164	0.075454	0.0770814	0.0513595	0.0875067	0.05644	0.0382998	0.0439787	0.0452013	0.0333073	0.0119605	0.0118678	0.00809107	0.00673846	0.00600234	0.00577564	0.00379917	0.00186626	0.00196608	0.00228758	0.00303262	0.00437579	0.00542747	0.0110613	0.00799043	0.0111061	0.0126631	0.0111144	0.0113328	0.0120091	0.0186085	0.0154485	0.0166358	0.0163351	0.0244209
la	0.0309044	0.0245868	0.0203735	0.012617	0.0101944	0.0133017	0.0136823	0.00797114	0.0102244	0.0183782	0.0137623	0.0110803	0.0106841	0.0155742	0.0261843	0.0483953	0.0378275	0.0389494	0.0282417	0.0224151	0.017804	0.0133874	0.0115706	0.0103648	0.0115935	0.0114998	0.0117745	0.0104317	0.0148108	0.0158132	0.0198577	0.0304877	0.0290598	0.026512	0.0420705	0.0241991	0.0288489	0.0310751	0.0448375	0.0384569	0.0371004	0.0383908	0.064705
maison	0.0214258	0.0182135	0.0162529	0.0133843	0.0122743	0.017418	0.0237294	0.0146233	0.0203477	0.026493	0.00812769	0.00843515	0.00901272	0.00930138	0.0119023	0.0177235	0.0211775	0.0181051	0.0142765	0.0139923	0.0122421	0.0100293	0.0098917	0.0106543	0.0167461	0.0161412	0.0168954	0.021057	0.0176662	0.0116031	0.0103366	0.0135062	0.0246227	0.0341945	0.0425043	0.043301	0.0527468	0.0462871	0.07164	0.0514435	0.0589342	0.0500372	0.0413033
du	0.0241846	0.032789	0.0377026	0.027914	0.0384734	0.0653522	0.0369731	0.0486139	0.0575497	0.0543226	0.0227567	0.0252149	0.0275725	0.0294762	0.0311965	0.027564	0.0412597	0.0276191	0.0148634	0.0135738	0.00927461	0.00790129	0.00685466	0.00674825	0.00636515	0.00572623	0.00395393	0.00450561	0.00438892	0.00420465	0.00387124	0.00690508	0.00771836	0.0143384	0.0146666	0.013695	0.0148811	0.016401	0.0326212	0.0262333	0.0254195	0.0238935	0.0544606
