 	a66	a87	a10	a87	a97	a87	a99	a54	a73	a79	a54	a79	a7	a75	a73	a79	a44	a56	a12	a96	a70	a90	a69	a58	a54	a37	a44	a54	a36	a2	a11	a62	a96	a62	a50	a75	a47	a7	a37	a12	a96	a70	a96	a98	a71	a25	a87	a23	a87	a23	a97	a87	a23	a87	a23	a87	</S>
quand	0.0169985	0.0146336	0.0150032	0.0160881	0.0175312	0.0147604	0.0108679	0.00778877	0.0132536	0.0214048	0.0232476	0.0452815	0.0552861	0.03213	0.0407209	0.105992	0.0370799	0.0304303	0.0273288	0.0340404	0.0244122	0.025791	0.0241741	0.02886	0.0172663	0.0227348	0.025124	0.0109083	0.0182881	0.00818428	0.00586918	0.00598855	0.00925448	0.00956646	0.0149841	0.0131075	0.00879854	0.00569408	0.00580988	0.00859867	0.00576841	0.00814033	0.0070283	0.00684656	0.00675673	0.00836402	0.00548604	0.00681054	0.00582792	0.00576001	0.00435289	0.00653832	0.00600926	0.00675346	0.00879097	0.00680218	0.020682
ils	0.0138881	0.0102623	0.00953119	0.00817565	0.00602216	0.0080143	0.00835324	0.0103449	0.0241357	0.0212219	0.0269192	0.0303864	0.0379082	0.0211537	0.0385525	0.0365984	0.0479366	0.0644931	0.0317225	0.0315415	0.0258618	0.0271411	0.0225601	0.0243971	0.0238301	0.0164793	0.01957	0.0165926	0.0181182	0.0147496	0.00623024	0.00412037	0.00680761	0.00502654	0.0074532	0.0103882	0.00754701	0.011822	0.00686486	0.00658019	0.0172594	0.0153873	0.0151539	0.021173	0.0158902	0.0170927	0.0105595	0.0122607	0.0219943	0.00625194	0.0135097	0.0084582	0.00905471	0.0127961	0.0111058	0.0129258	0.00982495
ont	0.0210513	0.0087175	0.00911292	0.0064999	0.00792544	0.00638377	0.00881553	0.00859558	0.0145571	0.0207769	0.0345359	0.0476186	0.0181709	0.0277727	0.0158578	0.0121436	0.0418295	0.0587825	0.0334995	0.0341553	0.0178489	0.0180327	0.0186901	0.0129362	0.0255217	0.0145803	0.0224719	0.0256509	0.0297808	0.0305035	0.0276398	0.0248382	0.0218443	0.0134985	0.011365	0.00878487	0.0105153	0.00809675	0.0116754	0.00870845	0.00710015	0.00831943	0.0152294	0.010895	0.00942545	0.0115772	0.00649231	0.00860074	0.00821274	0.00362576	0.0156174	0.012445	0.011164	0.0170597	0.0196685	0.0215006	0.013281
vu	0.0292657	0.0275944	0.0293867	0.0184608	0.0207182	0.019083	0.0163086	0.0162176	0.00923805	0.0061904	0.00569712	0.00637988	0.00795641	0.00889506	0.00764346	0.00640202	0.00323335	0.00589698	0.00380926	0.00729072	0.0049772	0.010077	0.0130141	0.0138822	0.0161312	0.0147125	0.0157285	0.0144878	0.0158714	0.0162471	0.017075	0.0203998	0.0195536	0.0220453	0.0245979	0.0213496	0.0299166	0.0245948	0.0201253	0.0286598	0.0331055	0.0239178	0.0268714	0.0124555	0.0287726	0.0168344	0.0116827	0.0151896	0.0194367	0.0206242	0.0281863	0.0398306	0.0226814	0.0167103	0.0204995	0.0181976	0.0258898
un	0.0319389	0.0227748	0.0236573	0.0134177	0.0148916	0.00756912	0.00702189	0.006747	0.00632916	0.00657549	0.00892415	0.00744483	0.00562456	0.0125683	0.00924075	0.0059203	0.00380332	0.0108843	0.00613245	0.0100205	0.00718628	0.0221719	0.02995	0.0284105	0.0314761	0.0281617	0.0248321	0.016206	0.0129185	0.010535	0.0149175	0.0148754	0.0132702	0.0185878	0.024059	0.0160247	0.0223177	0.0145298	0.00908192	0.0177299	0.018591	0.0141333	0.0182594	0.0155401	0.0256776	0.0228975	0.0178714	0.0198025	0.0197435	0.0209703	0.0327557	0.044881	0.0334311	0.0303021	0.027895	0.0234063	0.0151136
voyageur	0.0361043	0.0300471	0.0259337	0.020198	0.0279245	0.0208473	0.0217166	0.0195422	0.0146538	0.0185184	0.0145595	0.0129536	0.0107648	0.0190643	0.0155813	0.0102139	0.0100072	0.0339251	0.0130918	0.0112763	0.0115006	0.0243462	0.0243534	0.0239339	0.0273555	0.0328707	0.0288061	0.0230899	0.0273853	0.0362911	0.0476257	0.0517935	0.0361207	0.0337555	0.0325221	0.0196287	0.0184483	0.0151635	0.00815055	0.00694659	0.00426838	0.00523832	0.00626323	0.00511418	0.00490642	0.0031641	0.0066269	0.00467097	0.00329236	0.00712386	0.00290093	0.0047238	0.00494003	0.00489524	0.00459598	0.00324122	0.00702269
qui	0.0295508	0.0204078	0.0163898	0.0139927	0.00787045	0.00845909	0.00755738	0.00740611	0.0101178	0.00776356	0.00832382	0.0100077	0.00575281	0.00873887	0.0125012	0.00840793	0.0214586	0.0643277	0.0273385	0.0497928	0.053895	0.0777166	0.0843597	0.0603939	0.0611629	0.0352159	0.0285774	0.0150538	0.0151216	0.0116963	0.0107816	0.00770035	0.00795549	0.00300563	0.00272358	0.00303939	0.00400209	0.00386128	0.00333193	0.00587771	0.00405769	0.00629585	0.0067964	0.00595609	0.00860881	0.0081341	0.00936912	0.00794063	0.0083494	0.0104636	0.00914628	0.0132867	0.0126559	0.0131121	0.0109215	0.0144355	0.00883285
s'	0.0374004	0.0270349	0.0245205	0.0226276	0.0114549	0.0113857	0.00669248	0.00630415	0.0099452	0.00520178	0.0065172	0.010556	0.00467204	0.00597704	0.00478662	0.00828163	0.0134705	0.025349	0.0211041	0.0369201	0.0361241	0.0530167	0.0645898	0.0353484	0.0515428	0.0266147	0.0224016	0.0109026	0.0133033	0.00885725	0.00585804	0.0036882	0.00393091	0.00146555	0.00151367	0.00275302	0.00300433	0.00382007	0.00440138	0.0157628	0.00821501	0.00970759	0.0102378	0.0113443	0.0141837	0.0222317	0.0208111	0.0190771	0.0142802	0.0203532	0.0190007	0.0234463	0.0243559	0.0248652	0.0281496	0.035493	0.0251463
avançait	0.0325868	0.0185003	0.0198282	0.0176974	0.0149331	0.0122442	0.0066941	0.00635591	0.0105228	0.00407548	0.0036311	0.00366735	0.00196808	0.00387024	0.00311308	0.00586916	0.00738049	0.0153308	0.0146938	0.0181033	0.0175733	0.0403632	0.0472861	0.0470424	0.0717535	0.0502487	0.044003	0.0385873	0.0281201	0.0187553	0.019122	0.0139811	0.015565	0.00738916	0.0069514	0.00832835	0.00740382	0.00695517	0.00623053	0.0122216	0.00739358	0.00800681	0.0108778	0.00933077	0.00764189	0.0110644	0.00977088	0.00995645	0.00599494	0.0127472	0.00969592	0.0154718	0.0191322	0.0232361	0.0292204	0.0354965	0.0460157
enveloppé	0.0232137	0.013448	0.0141646	0.013805	0.0154844	0.00848826	0.00633481	0.00760167	0.0151488	0.0111871	0.012029	0.00895793	0.00567428	0.00861926	0.0111699	0.0168028	0.0203818	0.018502	0.0256295	0.0207515	0.0200992	0.0319659	0.0409002	0.0544756	0.0684064	0.0596416	0.0462361	0.04019	0.0253089	0.0127989	0.0141802	0.0129271	0.0142187	0.0113488	0.0155331	0.013258	0.00976811	0.007325	0.00561777	0.00927581	0.00773631	0.00941158	0.00985254	0.00940507	0.00779622	0.00831723	0.0092927	0.00733749	0.00490101	0.0100408	0.00548126	0.00818882	0.00925604	0.0143468	0.02665	0.0370934	0.0240232
