 	a23	a53	a20	a73	a47	a92	a44	a26	a75	a21	a5	a36	a25	a92	a56	a66	a71	a83	a66	a93	a4	a93	a4	a57	a3	a87	a23	a87	</S>
si	0.0651775	0.0664295	0.118913	0.0986099	0.0984336	0.0574224	0.0524018	0.0386111	0.0580729	0.0346743	0.0400309	0.0252913	0.00834181	0.00912487	0.0128193	0.0093389	0.00228046	0.00565786	0.00259773	0.00345215	0.00371235	0.0024958	0.00265601	0.00460748	0.0138021	0.0367455	0.0362387	0.0342328	0.0578273
tu	0.00952488	0.00953211	0.0108526	0.0185671	0.0543307	0.0461444	0.04118	0.0198276	0.031599	0.0119815	0.0238695	0.0132772	0.00684525	0.0160215	0.0506004	0.0594907	0.0490143	0.0319538	0.0234041	0.0263552	0.0315768	0.0317238	0.0307268	0.0373699	0.0265472	0.0730273	0.0589659	0.0830977	0.0725928
abandonnes	0.0475206	0.0447026	0.0117447	0.0301634	0.0355812	0.0429096	0.0179077	0.00759577	0.0155283	0.00836243	0.0180195	0.0135435	0.00382297	0.00908496	0.016107	0.0146894	0.0235543	0.0147509	0.0075994	0.00362081	0.00473306	0.012128	0.0142956	0.0304509	0.0460026	0.0767259	0.0562558	0.116951	0.255648
tes	0.0762046	0.0481841	0.0165458	0.0124923	0.00961714	0.0129589	0.0235668	0.032928	0.025311	0.0209885	0.0308171	0.0163419	0.0119963	0.0195723	0.0135188	0.0117105	0.0164	0.00961049	0.0220738	0.0227395	0.0384748	0.07997	0.0722905	0.0776427	0.0392018	0.0601275	0.0399456	0.0439415	0.0948279
études	0.0495553	0.0256432	0.020933	0.0158634	0.0197269	0.0179322	0.0192563	0.0161228	0.0153927	0.0172767	0.0102013	0.00660469	0.00820511	0.00985061	0.0157829	0.0159505	0.0219788	0.021608	0.014552	0.0232986	0.0328779	0.0484772	0.040568	0.0498129	0.0449841	0.0638494	0.104041	0.117559	0.132096
tant	0.0575059	0.0626806	0.0303622	0.0831125	0.0586334	0.0628713	0.0278507	0.036191	0.0256203	0.0109013	0.0078255	0.00519255	0.00377644	0.0115925	0.0123849	0.00729515	0.0117876	0.0191707	0.0178518	0.0278241	0.034355	0.0311899	0.0143288	0.0180185	0.0371577	0.0506035	0.056121	0.0855742	0.0922212
pis	0.0635649	0.0483673	0.0128099	0.019861	0.0193234	0.026126	0.00932619	0.00625019	0.00639088	0.00378889	0.00688775	0.00303973	0.00106046	0.00150519	0.006096	0.00755558	0.0110221	0.0160882	0.0160424	0.02816	0.0294413	0.0436787	0.0359471	0.0422327	0.0655952	0.0878519	0.105076	0.142948	0.133963
pour	0.0258093	0.0174308	0.00414404	0.0112767	0.0116722	0.0129314	0.00671973	0.00598837	0.00477412	0.00250124	0.0036215	0.00175969	0.000581264	0.000586008	0.00192188	0.00288288	0.0028842	0.00966337	0.0107777	0.0410985	0.0495274	0.0769594	0.0593641	0.0583791	0.088252	0.100318	0.164292	0.127812	0.0960712
toi	0.10366	0.0721091	0.0131427	0.0257968	0.0219542	0.0211424	0.0112499	0.00999331	0.00937789	0.00604375	0.00626838	0.00457801	0.00180071	0.00257135	0.0098387	0.00960688	0.00770196	0.0165385	0.0197746	0.0281002	0.0521808	0.0507973	0.0317901	0.0242276	0.0506162	0.0486465	0.0854468	0.119691	0.135355
</S>	0.081628	0.0878632	0.0228333	0.0423486	0.0375495	0.0263444	0.0120319	0.0104926	0.00728164	0.00505769	0.00485074	0.00451031	0.00220833	0.00293386	0.00576006	0.00463384	0.00467091	0.00747878	0.00774877	0.011508	0.0254879	0.036894	0.0310831	0.0313739	0.0639449	0.0586281	0.0803778	0.102092	0.180383
