 	a66	a87	a23	a99	a20	a36	a37	a61	a83	a54	a15	a79	a15	a6	a21	a5	a21	a12	a96	a94	a58	a82	a87	a23	a50	a62	a5	a37	a18	a11	a70	a88	a83	a93	a62	a88	a0	a70	a13	a50	a88	a0	a75	a79	a96	a90	a93	a70	a13	a50	a83	a9	a87	a10	a87	a23	a87	</S>
ce	0.0190322	0.0385929	0.0212244	0.0276517	0.031358	0.0186558	0.0160496	0.0178688	0.0395854	0.0406665	0.0342004	0.0396848	0.0144068	0.0130918	0.00941923	0.00830208	0.0090762	0.00755445	0.00735352	0.00911829	0.00548479	0.00697605	0.00696748	0.0112693	0.00983931	0.00847524	0.0108458	0.00913834	0.0124286	0.0124664	0.0217925	0.0308693	0.0206847	0.0406676	0.0320093	0.0248039	0.0402963	0.0399706	0.0333796	0.0327482	0.0210804	0.020899	0.0159881	0.0184572	0.00622452	0.00539162	0.00429734	0.00514853	0.00634188	0.0065351	0.00440108	0.00430617	0.00611603	0.00541526	0.00586319	0.00671229	0.00662412	0.0161919
jeune	0.00149326	0.00315465	0.00642317	0.0272148	0.0430654	0.0798383	0.0693567	0.0829497	0.133727	0.060124	0.117202	0.0638108	0.0325842	0.0374947	0.0169626	0.0290505	0.00975125	0.01248	0.00927584	0.0146145	0.00947298	0.0114948	0.0091308	0.00874758	0.0104622	0.00665329	0.00834119	0.00740387	0.011147	0.00854343	0.0118823	0.00431214	0.00488225	0.0041625	0.00410878	0.00310577	0.00254312	0.00248097	0.00204676	0.00130753	0.00143121	0.00167434	0.00181224	0.00117552	0.00152122	0.00174522	0.00099984	0.000599905	0.000543221	0.000539194	0.000419479	0.000413725	0.000439712	0.000382014	0.00043331	0.000586709	0.000755241	0.00172571
garçon	0.00623336	0.00557466	0.00740166	0.00981311	0.0150395	0.0560318	0.0581461	0.0945814	0.0737015	0.0534225	0.0747001	0.0350585	0.0614926	0.0739184	0.0350814	0.0333274	0.0158634	0.0205105	0.0211187	0.016423	0.0214758	0.018176	0.0149122	0.0168062	0.0179067	0.0177344	0.017699	0.0134328	0.0200099	0.00990531	0.00962365	0.00831647	0.00410785	0.00194243	0.00272762	0.00269488	0.00160973	0.00133462	0.000780797	0.000749784	0.000961645	0.000778141	0.000857461	0.000796097	0.00196456	0.000806669	0.000807216	0.000803742	0.00156005	0.000758699	0.00298008	0.00175705	0.00202919	0.00158711	0.00202017	0.0032755	0.00392418	0.00294665
est	0.0285558	0.00616831	0.00530557	0.00212142	0.00230486	0.00459287	0.0043898	0.0066548	0.0125833	0.0170846	0.0210853	0.0187669	0.0138329	0.0177333	0.0118869	0.015465	0.0126631	0.0249319	0.0264152	0.026113	0.0378627	0.0217489	0.0145109	0.0150667	0.013446	0.0238623	0.0142581	0.0173272	0.0075208	0.013394	0.0122189	0.0214248	0.0244777	0.033311	0.0355785	0.0512032	0.0314117	0.0262042	0.0181152	0.0291279	0.036341	0.0445286	0.0168291	0.029348	0.0256603	0.0118151	0.00957929	0.00489369	0.0090894	0.0066814	0.00524258	0.00766102	0.00561498	0.00939381	0.00917275	0.00676429	0.00752991	0.0131289
avare	0.0171568	0.00932041	0.0106685	0.00598736	0.00596558	0.00764788	0.00371972	0.00386539	0.00425825	0.00504299	0.0101863	0.00926321	0.0118455	0.0143229	0.0208464	0.0251292	0.0301902	0.0556046	0.0397252	0.0329223	0.0759325	0.0520856	0.0546372	0.0501244	0.0457647	0.0343067	0.0197971	0.0369007	0.017039	0.0229777	0.0148824	0.014204	0.0182754	0.0185042	0.0144308	0.0215886	0.0157887	0.0166498	0.0148302	0.0151951	0.0121045	0.0101758	0.0062303	0.00896176	0.00484068	0.00565932	0.00290471	0.00426576	0.00480691	0.003126	0.00542318	0.00467964	0.00496116	0.00362577	0.00454662	0.00560473	0.00661638	0.00388329
si	0.00600235	0.00363076	0.00308633	0.00200282	0.00210952	0.00261101	0.00324335	0.00425388	0.00776273	0.0124849	0.0143662	0.0182397	0.0346521	0.0354028	0.0419867	0.0446342	0.0505745	0.0449024	0.0438914	0.0424473	0.0330857	0.0329635	0.0283029	0.0317028	0.0329358	0.0371372	0.0309406	0.0336678	0.0252222	0.0261023	0.027949	0.0225847	0.0224306	0.0237863	0.0187512	0.0157221	0.0157333	0.00946253	0.00554145	0.0084529	0.00777995	0.00652151	0.00570072	0.00547371	0.00486764	0.00271947	0.00289793	0.00357953	0.00468833	0.0038894	0.00600091	0.00562637	0.00560247	0.00590638	0.00659478	0.0056002	0.00572081	0.01007
bien	0.0112331	0.00783699	0.00764483	0.00575654	0.00646143	0.00437954	0.0065288	0.00850409	0.014986	0.0190519	0.0180616	0.0232428	0.031957	0.0268337	0.0306892	0.0312694	0.0337631	0.0367131	0.037406	0.034044	0.0344858	0.0282618	0.0239426	0.0266513	0.026	0.0337451	0.0271576	0.026731	0.0201149	0.0200827	0.0242592	0.0318598	0.019581	0.0118713	0.0133362	0.0122606	0.0109548	0.00993012	0.00830726	0.0103826	0.00909583	0.0065783	0.00832542	0.0129658	0.0115629	0.00592532	0.00650168	0.00942806	0.00821479	0.00444427	0.0123086	0.00989702	0.0090072	0.00933843	0.0111978	0.0120208	0.013051	0.023858
que	0.00622435	0.00301571	0.00296767	0.00113634	0.00121538	0.000824505	0.00122778	0.00225913	0.00404921	0.00828828	0.00895289	0.0116547	0.0207473	0.0088593	0.0139773	0.0147125	0.0222991	0.0443389	0.0465363	0.0479025	0.0529843	0.0528502	0.046992	0.0576756	0.0600423	0.0691127	0.0480546	0.0532493	0.0356716	0.0362406	0.0382492	0.0436843	0.0285779	0.00788271	0.0156194	0.0103539	0.00763584	0.00597031	0.00339905	0.00570463	0.00398265	0.00277098	0.00353119	0.00504924	0.0050758	0.00196838	0.00127608	0.00192108	0.00207812	0.000797899	0.00332829	0.00198155	0.00158237	0.001511	0.00205721	0.00329016	0.00327335	0.00338487
tous	0.0103355	0.0080745	0.00585866	0.00637205	0.00567747	0.00484492	0.00606508	0.00686654	0.00986584	0.0116624	0.0136455	0.0176626	0.0216597	0.0145872	0.0217739	0.016394	0.0238056	0.0309958	0.0404367	0.0353386	0.0338297	0.0456592	0.0436486	0.0528609	0.0505251	0.052405	0.0476947	0.0426134	0.0365845	0.021216	0.0326279	0.0301852	0.0193525	0.0186152	0.0167847	0.00937014	0.0135733	0.00567431	0.00317085	0.00650736	0.00301952	0.00435789	0.00328285	0.00560795	0.00501754	0.00308214	0.00172299	0.00449021	0.00429443	0.00305299	0.00839208	0.00716352	0.00659648	0.00697812	0.00979138	0.00891746	0.00994167	0.00947004
ses	0.0167519	0.0186822	0.0138215	0.00733971	0.00611664	0.00317515	0.00379536	0.00299138	0.007372	0.0060067	0.00852794	0.00942745	0.015496	0.0102297	0.0166094	0.0118639	0.0180351	0.0263381	0.0282913	0.0234556	0.0267431	0.0320668	0.0313726	0.0399564	0.0359075	0.0362411	0.0301913	0.029372	0.0229497	0.0143741	0.0274431	0.0282698	0.0191714	0.0298055	0.025604	0.0148004	0.0198721	0.0089517	0.00566085	0.0110696	0.00729439	0.0101439	0.00736445	0.0141508	0.0106837	0.00919914	0.00523219	0.0106639	0.00869083	0.0061977	0.0107373	0.014457	0.0127536	0.0177618	0.0199024	0.0178431	0.0284442	0.0443294
parents	0.0185716	0.0204033	0.0132939	0.00782636	0.00728774	0.00454756	0.00513329	0.00362255	0.00639728	0.0060895	0.00567861	0.00580217	0.0155125	0.0148243	0.0202796	0.0134057	0.0159058	0.0160179	0.0163118	0.017034	0.0158962	0.0186466	0.0213309	0.0242722	0.0245176	0.0244016	0.022537	0.0236851	0.0172072	0.0132983	0.0148692	0.0154883	0.0113232	0.0164029	0.0159756	0.0117426	0.0148468	0.0097264	0.00837822	0.0140799	0.0121012	0.0165476	0.013059	0.0167247	0.0152568	0.0152252	0.0115269	0.0152174	0.0176008	0.0139676	0.0151852	0.0218738	0.0259078	0.0333135	0.037026	0.027277	0.0356913	0.083927
murmurent	0.0115489	0.0103543	0.00661041	0.0063843	0.00696771	0.00997471	0.00899815	0.00793429	0.0088635	0.0089571	0.00877283	0.0106938	0.0254188	0.0344565	0.0442901	0.0237606	0.0279277	0.0274368	0.0258861	0.0248193	0.0224848	0.0231831	0.0255158	0.0246806	0.0214577	0.0256339	0.0230849	0.0204085	0.0149541	0.0132286	0.0130623	0.0121944	0.00877855	0.0141079	0.013796	0.00853961	0.0123093	0.0107633	0.00860118	0.0115455	0.00967058	0.00974097	0.00699154	0.0120686	0.00914075	0.00892751	0.00739055	0.0123051	0.0131289	0.00909311	0.0171322	0.0201191	0.0192495	0.0272422	0.0336853	0.0273264	0.0294262	0.0589756
contre	0.0152306	0.0132702	0.00967111	0.00991927	0.0118787	0.0182988	0.0148175	0.0137025	0.0162078	0.0149331	0.0224212	0.0205279	0.0292483	0.0374063	0.0400852	0.0174444	0.0174396	0.0171417	0.0139967	0.015124	0.0113229	0.0136436	0.0177838	0.0229558	0.0239291	0.0197459	0.0225529	0.0239781	0.0195447	0.0200288	0.017558	0.0175624	0.0125899	0.0149373	0.0160219	0.0109444	0.0151315	0.012304	0.0109371	0.0109784	0.00840008	0.00877715	0.00583372	0.0107499	0.00682547	0.00879689	0.00677021	0.0114372	0.012713	0.00841924	0.016381	0.0162585	0.0181861	0.0254466	0.0335276	0.0267968	0.031655	0.0398098
lui	0.0289158	0.0159411	0.00964326	0.00917266	0.00792523	0.00759782	0.0068749	0.00457072	0.00384288	0.00401731	0.00481472	0.00442416	0.0177834	0.0169619	0.0207773	0.0133828	0.0191677	0.0170658	0.0157745	0.0143566	0.0147312	0.0112812	0.0145474	0.0120164	0.0117631	0.0148557	0.0125761	0.0199145	0.00965745	0.0102487	0.00475559	0.00656642	0.0064743	0.00898473	0.0110426	0.00787112	0.00933321	0.00968701	0.00969687	0.0181968	0.0239857	0.028011	0.0253101	0.0207212	0.0223831	0.0185869	0.0283671	0.0191116	0.017551	0.018809	0.0245261	0.0282213	0.0339017	0.0368521	0.0465314	0.0326702	0.047543	0.0597065
</S>	0.0252167	0.0205827	0.0165828	0.0188938	0.015213	0.0123041	0.0120127	0.0105207	0.00963694	0.00926363	0.00758621	0.00922647	0.0138878	0.0122625	0.012237	0.00788502	0.00956627	0.00913677	0.0102914	0.0107097	0.00962062	0.0102584	0.0122843	0.0148745	0.0169176	0.016098	0.0178876	0.0213674	0.0177433	0.0197608	0.0194138	0.0213043	0.0194214	0.0216791	0.0199577	0.0170512	0.0193572	0.0150869	0.0128548	0.0167305	0.0144481	0.0220356	0.0158834	0.0238918	0.0219434	0.0191092	0.0190034	0.019177	0.0140928	0.0191633	0.0224045	0.0219744	0.0291113	0.0245904	0.02813	0.0217736	0.0306196	0.0399625
