 	a23	a83	a94	a76	a25	a56	a31	a61	a31	a88	a9	a53	a90	a56	a0	a75	a56	a96	a90	a96	a62	a70	a90	a75	a34	a75	a6	a7	a26	a57	a87	</S>
le	0.0912029	0.0932157	0.0638004	0.0437608	0.0387169	0.0301917	0.0348167	0.0257203	0.0157664	0.0158806	0.00990695	0.0270825	0.00943477	0.0118353	0.00834504	0.00980136	0.0205068	0.0107902	0.00874409	0.0272152	0.0224416	0.0256233	0.0653705	0.041244	0.0333347	0.0261527	0.0503713	0.0254654	0.0173893	0.0323314	0.0227563	0.0407851
panier	0.00194855	0.0184205	0.0533155	0.0612484	0.0718364	0.073093	0.0780592	0.100208	0.070046	0.0594827	0.0524192	0.0830726	0.0460007	0.0351028	0.0327743	0.0280124	0.0226074	0.0320226	0.0270969	0.0192045	0.00797949	0.00511438	0.00416536	0.00254366	0.00103328	0.00109526	0.00196071	0.00107351	0.000928329	0.00263904	0.00423403	0.00126128
que	0.0274033	0.0391741	0.0694074	0.0816875	0.0893631	0.123806	0.108173	0.0470587	0.0578237	0.0317149	0.0242484	0.0366572	0.0390349	0.0244877	0.0288364	0.0318901	0.00911479	0.0141244	0.00818095	0.0065393	0.00424611	0.00783188	0.00837818	0.00652658	0.00498543	0.00525638	0.0115225	0.00600803	0.00922154	0.0143652	0.017112	0.0058199
j'	0.0499596	0.0275521	0.0357161	0.0327194	0.0326746	0.0337922	0.0224673	0.0155435	0.0177232	0.0154591	0.00698592	0.00981254	0.00577055	0.00568937	0.00940179	0.0161679	0.00909356	0.0171824	0.0147341	0.0164987	0.0290565	0.0492482	0.0515427	0.027379	0.0413063	0.0560119	0.036395	0.0486906	0.0640381	0.0540212	0.0936066	0.0537604
avais	0.0595928	0.0260261	0.0265545	0.0179911	0.0153445	0.012475	0.0201015	0.0140863	0.0185988	0.0178629	0.0131073	0.0079906	0.0149139	0.00870184	0.0142045	0.0153531	0.0113938	0.0209796	0.00740819	0.00861888	0.0186311	0.0183583	0.0208599	0.0333692	0.0515929	0.0432243	0.0711618	0.088915	0.0460746	0.0625391	0.0782471	0.115722
laissé	0.0444528	0.0204369	0.0342885	0.0312762	0.0240703	0.0185009	0.018241	0.0183291	0.0206624	0.0304705	0.0222359	0.0199151	0.0131369	0.0123996	0.0156272	0.0181735	0.0361194	0.0307022	0.0121151	0.0171253	0.0211048	0.0268078	0.0545845	0.0446908	0.0304763	0.035362	0.0455156	0.0214542	0.0397356	0.0324659	0.0324511	0.157073
sur	0.0565813	0.0166695	0.037745	0.0352633	0.0370739	0.0229906	0.0184941	0.00882917	0.00735501	0.00931322	0.0102298	0.0104104	0.0104339	0.0110548	0.0169126	0.0163139	0.0171649	0.0157482	0.0134219	0.0151015	0.0203478	0.0155783	0.0180686	0.0347107	0.0563027	0.0725948	0.0753044	0.0507433	0.0700471	0.0455109	0.0439977	0.109686
la	0.048628	0.0287407	0.0193669	0.00997894	0.00710726	0.00505659	0.00339894	0.00319319	0.00356093	0.00283075	0.00238432	0.00444069	0.00392583	0.00326075	0.0051609	0.00687579	0.0109546	0.0131077	0.00740165	0.0140597	0.00936899	0.0092223	0.0121656	0.0379155	0.0579064	0.0714767	0.143591	0.104899	0.142123	0.0737265	0.0732026	0.0609678
termitière	0.038246	0.014481	0.0175025	0.0103771	0.0125581	0.00948549	0.00662876	0.00567666	0.00975349	0.0051746	0.00443395	0.00722367	0.00560673	0.00464083	0.00571744	0.00785596	0.0081506	0.0133742	0.007318	0.013889	0.0108856	0.00424499	0.00398153	0.0160809	0.0524376	0.08642	0.154135	0.102537	0.104284	0.0881121	0.087268	0.0815196
a	0.0462673	0.0496511	0.0634813	0.0533881	0.0533581	0.0294024	0.0330722	0.0331186	0.0460351	0.0249642	0.0207611	0.0199981	0.0150882	0.0189206	0.0231606	0.0273046	0.0294031	0.0295876	0.0156827	0.0296125	0.016769	0.00918581	0.0117748	0.029389	0.0351627	0.0330328	0.0430956	0.0313283	0.0306372	0.0243509	0.027478	0.0455382
dégringolé	0.0489733	0.0323698	0.0346504	0.027438	0.033859	0.0194072	0.0270879	0.0192925	0.0231287	0.015502	0.0129962	0.00864866	0.0059194	0.00572844	0.0109566	0.0126828	0.0109315	0.020679	0.0144271	0.0260607	0.0231872	0.0183181	0.01339	0.024275	0.0406711	0.0460174	0.0472301	0.0473017	0.0548415	0.0549427	0.0727499	0.146336
</S>	0.0365617	0.0152363	0.0111503	0.00803674	0.00624024	0.00340341	0.00289232	0.00220417	0.00243736	0.00204142	0.00209791	0.0027633	0.00235405	0.00211013	0.0031471	0.00399842	0.00578458	0.00541013	0.00473084	0.0120559	0.0182504	0.0161302	0.0195915	0.0297923	0.0664034	0.0978067	0.121844	0.083953	0.13248	0.0670496	0.077433	0.13461
