 	a66	a87	a23	a53	a7	a37	a36	a37	a61	a31	a0	a75	a5	a36	a27	a12	a62	a88	a62	a88	a94	a54	a6	a36	a26	a9	a87	a23	a87	</S>
l'	0.0835722	0.0570627	0.0490992	0.0722638	0.0797452	0.091204	0.0631192	0.0347792	0.0169785	0.0114958	0.00995901	0.0108781	0.0109943	0.00590203	0.00573228	0.00442598	0.00344728	0.00464029	0.00921182	0.0144073	0.0222527	0.0225725	0.0312025	0.0587709	0.0503711	0.0408255	0.0424982	0.034079	0.0306012	0.0279081
enfant	0.00576445	0.0141671	0.0684988	0.124299	0.178981	0.186025	0.120148	0.042501	0.0214669	0.0317706	0.0120404	0.0466459	0.0435912	0.0231865	0.0166338	0.0144614	0.00452729	0.00412247	0.00450549	0.00504985	0.00535397	0.00206573	0.00161566	0.00217286	0.0026447	0.00437374	0.00280053	0.00318908	0.00630974	0.00108834
s'	0.0569112	0.0688317	0.0482977	0.0483314	0.0552796	0.0769887	0.103517	0.0681217	0.029401	0.0141275	0.00627069	0.0393143	0.0423597	0.0464057	0.0224294	0.0284151	0.010397	0.0148958	0.0119469	0.01542	0.0126699	0.0178647	0.0166425	0.020331	0.0188294	0.0163446	0.0162433	0.0285802	0.0374252	0.00740758
est	0.0308931	0.0168633	0.00756438	0.0073461	0.00704472	0.00924085	0.0126442	0.0252707	0.0321621	0.0267129	0.0234947	0.0366624	0.0235043	0.0217441	0.0127663	0.0161778	0.0116854	0.0301673	0.0259633	0.0541949	0.0398344	0.0486218	0.0750414	0.0559101	0.0512866	0.0471449	0.0450523	0.0560816	0.0611565	0.0877675
accroupi	0.0278148	0.0418983	0.026694	0.0211831	0.022457	0.0213176	0.0154986	0.019307	0.0201783	0.0420374	0.0364977	0.0584732	0.066033	0.0687856	0.0735043	0.0835356	0.0866285	0.0683018	0.040754	0.0360273	0.0155522	0.0135349	0.00923902	0.00747583	0.0080941	0.00969976	0.0130076	0.0133844	0.00972154	0.0233636
pour	0.0315191	0.0234373	0.00853775	0.00599983	0.00872038	0.0174269	0.0169705	0.0200489	0.0426323	0.0447532	0.0286742	0.0323477	0.0146992	0.0155583	0.0105133	0.00840799	0.00940453	0.018101	0.0161492	0.0380941	0.0468833	0.0369556	0.0375512	0.0653163	0.0683187	0.047739	0.0526661	0.0544022	0.041861	0.136311
faire	0.0247567	0.0263849	0.0167611	0.0138638	0.0191033	0.0327179	0.0488813	0.0406817	0.0546135	0.0358659	0.0275673	0.0480495	0.0206223	0.0169405	0.0137078	0.0145903	0.0115156	0.0161132	0.0176289	0.0230377	0.0263859	0.0271994	0.0412284	0.0482817	0.049402	0.0416493	0.033703	0.0418782	0.0562108	0.110658
des	0.0212287	0.0249374	0.0193428	0.0120174	0.015101	0.0247717	0.0176856	0.0248609	0.0350669	0.0315502	0.0285891	0.0559386	0.027308	0.0235904	0.020593	0.0200688	0.0143696	0.0149692	0.0152028	0.0206217	0.0245864	0.0260644	0.0438679	0.0626589	0.0598314	0.0466166	0.0423395	0.0513689	0.0608743	0.113978
selles	0.0101888	0.00750968	0.00476516	0.00362625	0.00388046	0.00430788	0.00258564	0.00460894	0.0111094	0.0184088	0.0160538	0.0167035	0.0120588	0.0117701	0.0158301	0.00926262	0.0124721	0.0125168	0.0182816	0.0153334	0.0260908	0.0300011	0.0492227	0.123335	0.116129	0.0806685	0.137181	0.0673602	0.0886933	0.0700446
</S>	0.0186351	0.0105647	0.00460149	0.00183866	0.00224344	0.00279382	0.00111551	0.00479359	0.0100189	0.0158472	0.0155882	0.0110391	0.00869991	0.00834563	0.00628347	0.00543466	0.00664931	0.0108323	0.0128185	0.0161111	0.0321612	0.0313069	0.0467452	0.106432	0.0737106	0.0841433	0.0877953	0.0974303	0.081727	0.184294
