 	a23	a79	a20	a35	a24	a25	a38	a14	a35	a30	a44	a57	a38	a73	a94	a76	a94	a35	a24	a35	a73	a76	a90	a69	a58	a82	a87	</S>
il	0.0461389	0.0839028	0.114238	0.121634	0.0627268	0.0314192	0.0333726	0.0234776	0.0172733	0.0170982	0.0194697	0.0118397	0.0073563	0.00998575	0.0130108	0.0113802	0.0143294	0.0153126	0.0202883	0.0185164	0.0216485	0.0285207	0.0471997	0.0403365	0.046122	0.0365093	0.0358013	0.0510907
a	0.00608119	0.0106279	0.0260229	0.0337809	0.0278657	0.0303143	0.0387651	0.0299096	0.0299544	0.0289632	0.0688841	0.0629266	0.07252	0.026369	0.0135251	0.00928404	0.0104876	0.0118645	0.0189656	0.0348888	0.0330127	0.0442701	0.0609518	0.0662833	0.0544626	0.0511191	0.0632385	0.0346613
mis	0.0120874	0.0138102	0.0162621	0.0246124	0.0491437	0.0534551	0.0560131	0.0329596	0.0263372	0.0162557	0.0189522	0.0174664	0.00991015	0.00379185	0.00222562	0.0021033	0.00215547	0.00514954	0.00523377	0.0136528	0.0389007	0.0438769	0.0876664	0.0948602	0.0874427	0.0780846	0.0977125	0.0898785
un	0.0748851	0.0854791	0.0818762	0.0495368	0.0426771	0.0268685	0.0245782	0.0204949	0.059252	0.051722	0.0612093	0.0368658	0.0191201	0.0182381	0.043684	0.0717647	0.0568534	0.0358053	0.0365092	0.014801	0.00884267	0.00789787	0.00712326	0.00872729	0.0133123	0.0076185	0.0119625	0.0222947
appât	0.0529572	0.0311535	0.0333207	0.0997301	0.138234	0.116348	0.0605712	0.0481448	0.0202454	0.0262236	0.0249507	0.0348743	0.0250198	0.0176274	0.020439	0.0213234	0.0202056	0.0215283	0.0269044	0.01657	0.0122463	0.0113907	0.0132409	0.0192615	0.0227335	0.0252417	0.0201103	0.0194032
au	0.0882827	0.0889419	0.0526723	0.0736493	0.0623737	0.0920081	0.0519021	0.046491	0.0336577	0.0294269	0.0230586	0.0348072	0.0279556	0.0274553	0.0297509	0.0295597	0.030776	0.0381483	0.0288143	0.0119097	0.00906272	0.0083469	0.0100864	0.0143122	0.0158933	0.0156883	0.0119454	0.0130234
bout	0.0389092	0.0208856	0.0165742	0.0151523	0.0247251	0.026606	0.0264159	0.0148958	0.00673947	0.00691123	0.0118602	0.0185564	0.0443886	0.0621861	0.105386	0.0923392	0.12531	0.0598035	0.0410196	0.0280231	0.0363384	0.0296195	0.0214719	0.0270931	0.0337089	0.0294537	0.0210357	0.0145911
de	0.0762377	0.0315293	0.022008	0.0118024	0.0217896	0.0153101	0.0169319	0.00734545	0.00343144	0.00319167	0.00276765	0.00539923	0.0057688	0.00640415	0.0165375	0.0194615	0.0142412	0.018715	0.0233127	0.0220321	0.0205839	0.0510673	0.081663	0.108601	0.128204	0.0863344	0.0790197	0.100309
sa	0.0544119	0.0219644	0.016283	0.00915613	0.016555	0.00848266	0.00680279	0.00502247	0.00232206	0.0028498	0.00212535	0.00568873	0.00716344	0.00587001	0.0141486	0.0171801	0.0182317	0.0191308	0.0254663	0.0419905	0.0381503	0.0595169	0.0921665	0.13712	0.0906347	0.066006	0.106621	0.108939
ligne	0.0308722	0.0249444	0.0235049	0.0251937	0.0464866	0.0429036	0.0285922	0.029501	0.0151992	0.0127699	0.0063153	0.00819057	0.00730195	0.00593792	0.0114309	0.0173644	0.0430036	0.0537391	0.092283	0.0927099	0.0600739	0.0368728	0.0386549	0.0540498	0.0357773	0.026549	0.0458307	0.0839473
</S>	0.0145687	0.00485557	0.00667368	0.0119298	0.02409	0.00821297	0.00747801	0.00601483	0.00222409	0.00315415	0.00276816	0.00437483	0.00310279	0.00227275	0.00303024	0.00278807	0.00329458	0.00651463	0.00843214	0.0194323	0.0209222	0.0471001	0.135563	0.111962	0.169841	0.125719	0.130206	0.113475
