 	a66	a87	a23	a97	a79	a37	a18	a88	a70	a66	a38	a47	a96	a54	a36	a2	a57	a40	a36	a26	a18	a62	a94	a13	a53	a7	a40	a7	a2	a57	a87	a23	a87	</S>
un	0.0310505	0.0526401	0.0505307	0.0478055	0.0464355	0.0506882	0.0457554	0.0322303	0.0269681	0.0148656	0.0159549	0.015239	0.0189317	0.015383	0.0184758	0.0188008	0.0196362	0.0195776	0.0099982	0.00974667	0.0103747	0.0172213	0.010226	0.0290571	0.0288999	0.0249403	0.0333903	0.0472663	0.0292113	0.0395484	0.0271669	0.0448365	0.0333526	0.0637946
enfant	0.00752449	0.0143349	0.017677	0.0285534	0.0395116	0.0408132	0.031387	0.0416086	0.0219363	0.0185134	0.0325089	0.0517378	0.0776905	0.0415555	0.0580315	0.0873987	0.0464279	0.0370055	0.0289282	0.0535955	0.0610287	0.0290125	0.0271599	0.0134921	0.011144	0.0111267	0.00434079	0.00417327	0.011378	0.00528181	0.00737435	0.0104807	0.0130543	0.0142129
avide	0.0411207	0.0401024	0.064035	0.0640433	0.0407921	0.0392656	0.0571079	0.0487621	0.0354815	0.0317671	0.0216267	0.0372192	0.0339588	0.024913	0.0383148	0.0262359	0.0118942	0.011734	0.00990503	0.00882668	0.00535473	0.00626791	0.00858696	0.0204805	0.0284862	0.0229656	0.0126576	0.0186302	0.0296803	0.0241536	0.0371512	0.0282635	0.0477475	0.0224682
n'	0.066656	0.0273469	0.0451025	0.0393682	0.0160917	0.0093712	0.0191151	0.0140927	0.0305879	0.0100548	0.0156649	0.0112399	0.00949757	0.00536601	0.00848113	0.0128521	0.0148855	0.0225558	0.0223601	0.0178632	0.0161349	0.0139972	0.0148424	0.0229821	0.0399899	0.0364076	0.0490712	0.0344152	0.0327666	0.0476424	0.0668006	0.0690158	0.0382106	0.0991703
a	0.0226059	0.0224998	0.0230067	0.0392405	0.0304797	0.0347245	0.0417333	0.0235486	0.0275392	0.0289655	0.0270404	0.0478023	0.046719	0.062729	0.0642051	0.0488776	0.0356462	0.0350876	0.0147924	0.010551	0.00696615	0.0130414	0.0126841	0.0177548	0.0309789	0.0344339	0.0318409	0.0306081	0.0286043	0.0231396	0.0246211	0.0218452	0.0139262	0.021761
pas	0.0252321	0.0262605	0.0277121	0.0343085	0.0344571	0.0277865	0.0246053	0.017856	0.0254997	0.0184471	0.0225001	0.0206232	0.0168406	0.0261641	0.0249365	0.0237372	0.0247124	0.034488	0.0242556	0.016198	0.0194712	0.0202892	0.0278433	0.0533826	0.041303	0.0371752	0.0740096	0.0417549	0.0329264	0.0406869	0.0336028	0.0297754	0.0237931	0.0273658
peur	0.031726	0.0212378	0.0194689	0.0270922	0.0261013	0.0256784	0.0240089	0.0177788	0.0293542	0.0188157	0.0240197	0.0193668	0.0153675	0.0199351	0.0194347	0.0180808	0.0181212	0.0213832	0.0146407	0.00593569	0.00800417	0.00891161	0.0132141	0.027993	0.0443973	0.0561412	0.103317	0.0684043	0.0495817	0.0533279	0.0524019	0.0386028	0.0249514	0.0332043
du	0.025982	0.0249344	0.027676	0.0432067	0.0408339	0.039552	0.0391117	0.0387229	0.0522258	0.0279907	0.0417405	0.0337636	0.0335251	0.0372064	0.0510459	0.0477401	0.0419569	0.0490477	0.0254	0.0167483	0.0154305	0.0135518	0.0149359	0.0190594	0.0190637	0.0238951	0.0257024	0.0206599	0.0200881	0.0168722	0.0200057	0.0160354	0.0176957	0.0185935
feu	0.0353604	0.0222945	0.0194683	0.0194862	0.0144465	0.0102912	0.00878785	0.0136239	0.0234756	0.015107	0.0163002	0.0122206	0.0131939	0.0137176	0.0149096	0.0163566	0.0126492	0.0175384	0.0199654	0.0175255	0.0157638	0.0127342	0.0121051	0.0389415	0.0395421	0.0547924	0.0565473	0.0511891	0.0579606	0.0451865	0.0738506	0.0596995	0.0685962	0.0763726
</S>	0.0337438	0.0329231	0.0261512	0.0268739	0.0172422	0.0144898	0.00951478	0.00832132	0.015399	0.00943663	0.0103174	0.00750948	0.00528283	0.00596696	0.00762156	0.00772253	0.0071871	0.00866059	0.009823	0.00483768	0.00484631	0.00580371	0.00671148	0.0149151	0.0246856	0.0547721	0.0724149	0.109063	0.0775789	0.0826002	0.0656985	0.0686147	0.0588673	0.0844031
