 	a66	a87	a23	a18	a9	a38	a11	a96	a12	a47	a96	a98	a92	a5	a12	a75	a92	a5	a12	a75	a92	a25	a69	a90	a69	a58	a82	a87	a23	a3	a97	</S>
la	0.0598702	0.0934399	0.0665841	0.0563229	0.0500837	0.0353907	0.0309925	0.0152905	0.0142767	0.0221249	0.0184446	0.0205506	0.011041	0.0102539	0.0144278	0.0167255	0.0166252	0.0195344	0.0161621	0.0158945	0.0148909	0.0514603	0.0318513	0.0416123	0.0364607	0.0397427	0.0335361	0.0273978	0.0248361	0.0293659	0.0231411	0.0416692
mouche	0.00092154	0.00267936	0.0068298	0.00645919	0.0240693	0.0275893	0.0412403	0.0322906	0.055682	0.0465385	0.0423682	0.0527622	0.066565	0.0620364	0.112423	0.110026	0.117439	0.0825836	0.0336476	0.0231539	0.00948974	0.00750093	0.00571799	0.00342667	0.00349154	0.00464736	0.00218144	0.00453395	0.00237296	0.00195656	0.00558993	0.00178598
ituna	0.0190437	0.00912637	0.0126129	0.014729	0.0177584	0.0162659	0.0254588	0.028509	0.0449007	0.0441857	0.0507503	0.063279	0.0500201	0.0470546	0.0489679	0.0484063	0.031864	0.0707315	0.0617229	0.0837902	0.0370305	0.0211239	0.0261446	0.0149783	0.0118312	0.0127335	0.0114404	0.0169338	0.0143369	0.0135973	0.0171876	0.0134849
m'	0.0722775	0.0570267	0.0734144	0.04273	0.0687886	0.0658547	0.0662919	0.0450475	0.039856	0.044536	0.0546114	0.0362489	0.0310857	0.0189746	0.0170515	0.0197712	0.0224049	0.0200722	0.0368511	0.0277383	0.032418	0.0173894	0.0102648	0.00826851	0.00963785	0.0080592	0.0111891	0.0102588	0.00973118	0.00730095	0.0083751	0.00647389
a	0.0370866	0.0272743	0.0324583	0.0362275	0.0278297	0.0252158	0.024601	0.0289981	0.0269103	0.0237166	0.0251781	0.0316791	0.0548776	0.0597076	0.0478603	0.032556	0.0371142	0.0323902	0.0286268	0.0192015	0.0217733	0.0169483	0.0249738	0.0119436	0.0272447	0.0188202	0.0277523	0.0351537	0.0468863	0.0415961	0.0304021	0.0369959
piqué	0.0701955	0.0552642	0.061078	0.0572334	0.0436891	0.0430045	0.0374378	0.043929	0.0271022	0.024557	0.0247039	0.0343649	0.0311459	0.021437	0.014456	0.0113239	0.0112695	0.0148111	0.0146143	0.0130777	0.0170976	0.0175904	0.0199771	0.0269965	0.0237297	0.0241289	0.0279798	0.0265728	0.0366492	0.0284642	0.0296671	0.066452
dans	0.0449405	0.0348185	0.0379373	0.0363819	0.0345367	0.0310755	0.0317017	0.0347659	0.0277914	0.0243928	0.0121604	0.0166207	0.0127735	0.00801063	0.00650393	0.00574992	0.00842122	0.0114217	0.0104034	0.0127521	0.0167168	0.0197549	0.0313645	0.0308668	0.0334296	0.0361663	0.05346	0.0520786	0.0644997	0.0660501	0.0697407	0.0827125
le	0.0498258	0.0327047	0.0449882	0.0310329	0.0360164	0.0322944	0.0351808	0.0414064	0.0387014	0.0272141	0.0212565	0.0231136	0.0246194	0.0165525	0.0128208	0.00840687	0.0121128	0.0154957	0.0156358	0.0162506	0.0177664	0.0126668	0.0217768	0.0192556	0.029278	0.0266221	0.0339173	0.0490984	0.0505387	0.0579684	0.0697403	0.0757416
dos	0.0385653	0.024068	0.0226974	0.0141897	0.0138921	0.0105556	0.0109463	0.0158007	0.0177663	0.0202417	0.0147217	0.0244498	0.0226858	0.0159455	0.0195384	0.0163873	0.0218165	0.0232175	0.0186234	0.0204729	0.0210353	0.0273221	0.0409735	0.0269489	0.0464723	0.0449739	0.0510718	0.0791315	0.065572	0.0817492	0.0782116	0.0499561
</S>	0.0729517	0.0656148	0.0596642	0.04212	0.0300813	0.016676	0.0112687	0.00729285	0.00784629	0.0117786	0.00375774	0.0105789	0.00652501	0.00400577	0.00449884	0.00418167	0.0110245	0.01127	0.00956844	0.0144547	0.014508	0.0278833	0.024201	0.0177908	0.0332379	0.0306673	0.0497649	0.0506567	0.0621766	0.0729385	0.0931628	0.117852
