 	a15	a66	a87	a23	a99	a40	a37	a36	a7	a27	a13	a70	a44	a54	a44	a70	a83	a9	a53	a4	a44	a4	a70	a93	a70	a53	a4	a53	a7	a44	a83	a9	a71	a9	a99	a87	a23	a87	</S>
ngala	0.0312806	0.0337619	0.0303888	0.0282413	0.0309514	0.0387599	0.0435896	0.0465272	0.0393409	0.0551198	0.0241349	0.0154101	0.0301196	0.016581	0.014929	0.00984027	0.00915824	0.0132406	0.0176258	0.018285	0.0217108	0.0331484	0.0403539	0.0388425	0.0269091	0.0281322	0.0276495	0.0254883	0.0327935	0.0232345	0.0262222	0.0171263	0.0175991	0.012323	0.0119406	0.0175319	0.0130172	0.0122424	0.0264485
a	0.0501065	0.035696	0.0200514	0.026344	0.0219429	0.0356319	0.0390251	0.041576	0.027686	0.0266805	0.0226338	0.0164289	0.0242707	0.0210897	0.0172308	0.0167645	0.0247513	0.0153192	0.00827802	0.0154319	0.0168837	0.0145741	0.0157169	0.0138393	0.0142186	0.0171033	0.0174186	0.0169356	0.0220715	0.0193132	0.018727	0.0264638	0.0259906	0.039909	0.0398452	0.0372544	0.0464033	0.0463681	0.0440246
calé	0.123345	0.0452197	0.0250736	0.038416	0.0320439	0.0517872	0.0477316	0.0271374	0.0240932	0.0263512	0.0221274	0.0240357	0.027582	0.0303326	0.0286019	0.0213162	0.0283914	0.025951	0.0131416	0.0177359	0.0100251	0.00623959	0.00654307	0.0135046	0.00621965	0.00271103	0.00535363	0.00359429	0.00347402	0.00593374	0.00768196	0.0160235	0.0182533	0.0276125	0.0336218	0.0281011	0.0327044	0.0463453	0.0456425
avec	0.04589	0.0205111	0.00704319	0.00681899	0.00481886	0.0031069	0.00445616	0.00639752	0.0077163	0.0176667	0.0157679	0.024159	0.0341301	0.0447903	0.0411663	0.0296298	0.0368718	0.0324864	0.012247	0.0197892	0.0284434	0.0358011	0.0386733	0.0323298	0.0233139	0.0200823	0.0183568	0.012573	0.00949434	0.00719364	0.0184141	0.0276301	0.0232586	0.0365562	0.0434791	0.0408985	0.0467751	0.0430265	0.0782368
une	0.0620754	0.0335695	0.00981742	0.00655297	0.00537811	0.00405998	0.00680488	0.0131365	0.0147344	0.0207975	0.0247794	0.0421858	0.0556945	0.0634521	0.0374732	0.0354922	0.0388709	0.0311113	0.00787248	0.0159259	0.0224298	0.0183036	0.0235558	0.02289	0.0158822	0.00839156	0.0130534	0.0116706	0.0111985	0.026307	0.0248246	0.0276466	0.0200981	0.0257788	0.0331655	0.0371489	0.0453948	0.0465739	0.0359018
pierre	0.104429	0.0602149	0.0317314	0.0184798	0.0187388	0.0110271	0.0169852	0.021537	0.0180448	0.0169352	0.0157518	0.0167838	0.0205108	0.046127	0.0309982	0.034651	0.058952	0.0577274	0.0148617	0.01763	0.0132537	0.0129679	0.00921926	0.00962504	0.0100114	0.00623009	0.00911702	0.00493635	0.0126457	0.00736679	0.0184105	0.0235816	0.0283288	0.0353625	0.0408688	0.0389977	0.030021	0.0249355	0.0320031
son	0.131298	0.0493803	0.0317661	0.0387921	0.0483042	0.0244198	0.0237969	0.0182246	0.0119483	0.0110382	0.00896931	0.0109551	0.019193	0.0297842	0.0230564	0.0264412	0.0301429	0.0353306	0.0148361	0.0143077	0.0168349	0.0108419	0.0111361	0.0207557	0.00897733	0.00931559	0.0134155	0.00475506	0.00823325	0.00995239	0.0179677	0.0191184	0.0264004	0.0319672	0.0326538	0.0435414	0.040542	0.0480114	0.023595
panier	0.0511423	0.0181409	0.0101829	0.0104704	0.00863507	0.00562603	0.00662005	0.00604413	0.00603541	0.00644135	0.00478397	0.00622453	0.00879748	0.0166069	0.013617	0.0152023	0.0202474	0.0233308	0.0134844	0.0142303	0.0105946	0.0163125	0.0184851	0.0208913	0.0118239	0.0236302	0.0281983	0.00689751	0.0178567	0.0205639	0.0430736	0.0394437	0.0750352	0.0917826	0.0812828	0.068715	0.0611215	0.0617473	0.0366805
de	0.077154	0.0289147	0.0139663	0.0149185	0.0120544	0.00729776	0.00649419	0.00471133	0.00423167	0.00473086	0.00520191	0.00585587	0.00646964	0.00924035	0.00740456	0.0121121	0.0178913	0.0215999	0.00970067	0.00920704	0.0128727	0.0125808	0.0129484	0.0138912	0.00982744	0.00758725	0.0181965	0.0090535	0.00778438	0.0165627	0.0200582	0.0161388	0.0533718	0.0522927	0.0759973	0.103991	0.104995	0.114659	0.0580338
manioc	0.0418938	0.0163955	0.00816618	0.00726204	0.00454472	0.00237643	0.00255921	0.00290269	0.00354682	0.00311704	0.00358265	0.00585115	0.00663127	0.0084419	0.0066762	0.00978244	0.0113605	0.0114379	0.00642762	0.00843224	0.0123392	0.0100864	0.0149826	0.0151741	0.0107819	0.00901274	0.0208226	0.0111429	0.0138952	0.0310982	0.0284351	0.0240794	0.063159	0.0661195	0.0856488	0.114498	0.11078	0.109878	0.0766779
