 	a85	a66	a87	a23	a12	a18	a21	a12	a47	a31	a47	a21	a5	a23	a75	a85	a92	a85	a6	a36	a6	a36	a2	a57	a87	a23	a87	</S>
cette	0.0590872	0.0422155	0.0361524	0.0291577	0.0412114	0.0427457	0.0385502	0.0381548	0.0431544	0.0320008	0.0291332	0.0360533	0.0243507	0.0226659	0.0516972	0.03219	0.0421726	0.0443365	0.0512878	0.062066	0.028379	0.0359273	0.0220429	0.0200164	0.0170777	0.0202826	0.0217424	0.0361483
manière	0.009961	0.0146088	0.017446	0.0244125	0.0379454	0.0477194	0.0384752	0.0451742	0.10566	0.0534941	0.25049	0.0371315	0.119615	0.0982179	0.027924	0.00284458	0.0190669	0.00515766	0.00184353	0.00166532	0.00179886	0.00150817	0.000383687	0.00159553	0.00806865	0.00520236	0.0181425	0.00444688
d'	0.0653947	0.0314064	0.017444	0.0177776	0.0119944	0.0242116	0.0304423	0.0355363	0.0366115	0.0357465	0.0471289	0.0331089	0.0102147	0.0120882	0.0226376	0.0214216	0.017462	0.0348466	0.0300575	0.0286062	0.0602181	0.065972	0.0583971	0.0603999	0.0533887	0.0343268	0.0731815	0.0299784
écrire	0.0285794	0.0440236	0.0237678	0.0129903	0.011265	0.0115807	0.0143112	0.0368244	0.0393746	0.0874291	0.144205	0.260171	0.0806209	0.0375217	0.0189352	0.013503	0.00859864	0.00972943	0.0102109	0.00843012	0.0108295	0.00616714	0.012141	0.00882732	0.0120747	0.0148719	0.0197647	0.0132515
n'	0.0480577	0.0643804	0.0581194	0.0327765	0.0426814	0.0751133	0.0680587	0.109604	0.0630579	0.0790971	0.0562751	0.108814	0.0448992	0.0294703	0.0191033	0.0045901	0.00333635	0.00431642	0.00463679	0.00280023	0.00506106	0.00692891	0.00610864	0.00557378	0.00618709	0.0102463	0.0160555	0.0246509
est	0.0456612	0.0240256	0.0380048	0.0332082	0.0299043	0.0344227	0.0257455	0.0415856	0.0309295	0.0410578	0.0335589	0.0235616	0.0393206	0.0200771	0.0205662	0.0273666	0.0241477	0.0350558	0.0444848	0.0334619	0.0540475	0.0614472	0.0283556	0.0305958	0.0324231	0.031688	0.0229992	0.092297
pas	0.0475152	0.0327641	0.0416925	0.0339347	0.0355328	0.0402512	0.0281302	0.0397352	0.0280505	0.0332407	0.0453275	0.0482457	0.0356989	0.0279127	0.0206855	0.0239925	0.0179046	0.0212072	0.0266347	0.0286045	0.0467223	0.0415541	0.0421018	0.0354125	0.039171	0.0256757	0.0281006	0.0842009
de	0.0479316	0.0359252	0.0233083	0.0155216	0.0121163	0.0111839	0.0104303	0.0111416	0.00798004	0.0107432	0.00709263	0.00832142	0.00607055	0.0107878	0.0210624	0.0210587	0.0180417	0.0316073	0.0384024	0.0420509	0.0692039	0.0818633	0.06615	0.0863827	0.10566	0.0554456	0.0450218	0.099495
mon	0.0326434	0.02148	0.0170162	0.0145955	0.0130266	0.0112859	0.00975048	0.0105736	0.0093694	0.0112555	0.00812793	0.009214	0.00798208	0.0138071	0.0247255	0.0299206	0.0275823	0.0367835	0.0505709	0.0571485	0.0811472	0.0702263	0.0754294	0.089122	0.0880553	0.0545157	0.0451976	0.0794477
père	0.044779	0.0296324	0.0184924	0.0142701	0.0147968	0.0107605	0.0117011	0.0142749	0.0153343	0.0177124	0.0149542	0.0171463	0.0151757	0.0237998	0.0310446	0.0346949	0.0299445	0.0358486	0.0398475	0.0660399	0.0636264	0.0370128	0.0534676	0.0602721	0.0669247	0.0630937	0.0511805	0.104173
</S>	0.0389729	0.0203494	0.0124694	0.0100877	0.00785134	0.00421344	0.00313191	0.00359995	0.00403174	0.00522057	0.00404007	0.00661791	0.00637828	0.017927	0.0267822	0.0232369	0.0369476	0.0460133	0.0654358	0.0957716	0.083727	0.0516365	0.0666065	0.0501188	0.0602799	0.0561431	0.0518704	0.140539
