 	a87	a23	a87	a10	a87	a99	a62	a96	a61	a47	a88	a24	a21	a5	a37	a98	a85	a5	a85	a5	a27	a38	a25	a94	a76	a69	a58	a53	a69	a58	a82	a87	a23	a9	a87	</S>
l'	0.0470752	0.0435956	0.0228817	0.0160407	0.0134124	0.0111867	0.0122769	0.0188765	0.0143361	0.00962781	0.00840648	0.0096519	0.0095752	0.0117403	0.0127303	0.0143207	0.016215	0.0144281	0.0186262	0.0412232	0.0692343	0.0490698	0.075411	0.0790807	0.0587471	0.0395891	0.0251434	0.0203505	0.0406761	0.0364012	0.0280885	0.0194603	0.0148754	0.0206521	0.0157474	0.0412461
antilope	0.00704287	0.00629573	0.00856086	0.00703455	0.0137544	0.00947231	0.033802	0.0392691	0.0177545	0.0233195	0.0156858	0.0297227	0.0194841	0.0216558	0.0091261	0.0367394	0.0301891	0.0254327	0.037188	0.0200459	0.0393302	0.0474271	0.0342552	0.0570945	0.0380215	0.0481004	0.0313687	0.0130821	0.0262432	0.0194509	0.0102516	0.0140987	0.0338229	0.0544077	0.048477	0.072993
noire	0.0192523	0.010783	0.0185085	0.0196744	0.0277173	0.0289589	0.0435079	0.039298	0.027935	0.0316928	0.0189441	0.0271556	0.0316382	0.0125106	0.00406293	0.00369201	0.00277156	0.00578821	0.00475419	0.00268932	0.0108687	0.0111093	0.0061888	0.00685768	0.0100547	0.0118638	0.028133	0.0139571	0.037035	0.0304838	0.0251594	0.0490044	0.0712484	0.11475	0.0875261	0.104424
a	0.0472656	0.031352	0.0386662	0.0373751	0.0317399	0.0389832	0.0377811	0.0160991	0.0324601	0.0546603	0.0216666	0.0201192	0.0305099	0.0279083	0.0454793	0.0127563	0.0260183	0.044917	0.0298202	0.022942	0.0251036	0.0217985	0.0193908	0.0153859	0.0152025	0.0183832	0.0220415	0.0211957	0.0171027	0.015208	0.0120679	0.0204885	0.0291552	0.0229703	0.0273507	0.0486354
une	0.0563674	0.0393678	0.0408778	0.039215	0.0298266	0.025131	0.0239218	0.0250182	0.0334588	0.0449673	0.0733191	0.0358657	0.035901	0.0256613	0.0176096	0.0259195	0.0195233	0.0122997	0.0200101	0.0123684	0.0126959	0.0130073	0.0174626	0.0158598	0.0247998	0.0163794	0.0222152	0.0151674	0.020189	0.0151064	0.0173635	0.0262678	0.0275146	0.0248144	0.0244383	0.0700894
tâche	0.0292767	0.0210876	0.0227269	0.0268644	0.0252448	0.0338087	0.0331068	0.0579209	0.0613267	0.0813834	0.0690768	0.0615646	0.0519685	0.0434882	0.0153643	0.0106389	0.00609776	0.00521965	0.0067351	0.0065419	0.00906594	0.0132622	0.0091232	0.0110947	0.00868723	0.0129466	0.0145601	0.0111083	0.0208945	0.00944188	0.0164911	0.0425444	0.0411994	0.0320418	0.0283217	0.0497741
jaune	0.0983718	0.0511006	0.0278067	0.0218577	0.0150787	0.0107351	0.0104968	0.00907223	0.00754756	0.0096294	0.0160572	0.0118289	0.0131741	0.0182307	0.00998745	0.00540944	0.00403843	0.00386087	0.00290407	0.00639319	0.0132153	0.0178619	0.0119975	0.0242388	0.0177461	0.0228123	0.0234884	0.0374382	0.0375996	0.0390168	0.0854882	0.0684932	0.0616611	0.0649813	0.0376922	0.0826882
au	0.0560922	0.0377648	0.0317711	0.0271341	0.0187099	0.0186627	0.0326372	0.0422608	0.027623	0.0350758	0.0263951	0.0325245	0.0384242	0.0302031	0.0185528	0.00696094	0.00457998	0.00888583	0.00517465	0.010615	0.0129629	0.018026	0.00991155	0.0182215	0.0125485	0.0207534	0.0205076	0.016475	0.0257679	0.0244157	0.0475452	0.0362688	0.0632134	0.0671594	0.0384061	0.0577693
niveau	0.0277021	0.0208011	0.0133275	0.0126969	0.00978944	0.01715	0.0168191	0.025085	0.032694	0.0629465	0.0483362	0.0580783	0.0561547	0.067031	0.056405	0.0291539	0.0223587	0.0215628	0.0211273	0.0220707	0.0206493	0.0242181	0.0203289	0.0207079	0.0134604	0.0145483	0.0146998	0.0124078	0.0202644	0.0121797	0.0223819	0.0381176	0.0366149	0.0260362	0.0202066	0.0418879
de	0.0474387	0.037836	0.0282387	0.026226	0.0220362	0.0178978	0.0326691	0.0240474	0.0224587	0.0299867	0.0264919	0.0220036	0.0256424	0.0306981	0.0121976	0.00797531	0.00605052	0.00715351	0.00745797	0.00582603	0.0123212	0.0153717	0.012301	0.0145098	0.0104768	0.0131014	0.0130121	0.00873872	0.0211343	0.0219159	0.0369192	0.055327	0.0756681	0.0665616	0.0498502	0.132459
