 	a66	a87	a23	a53	a44	a54	a5	a36	a61	a43	a47	a31	a88	a53	a90	a92	a85	a47	a36	a2	a57	a87	a23	a87	a23	a99	a97	</S>
le	0.0954915	0.0755135	0.0582352	0.0551142	0.0387269	0.0224741	0.0341063	0.0274709	0.0177914	0.0137008	0.0202753	0.00965249	0.0112439	0.012935	0.0180787	0.0195812	0.0165053	0.0200821	0.0316588	0.026255	0.0460984	0.0328455	0.0412999	0.0411389	0.0410057	0.0537483	0.0580165	0.0609539
village	0.00128976	0.00682022	0.0162223	0.0444005	0.134358	0.383445	0.170084	0.131014	0.0599524	0.0140185	0.0147974	0.00551561	0.0044201	0.00212847	0.00161452	0.00177229	0.000502308	0.00110256	0.000429759	0.00048569	0.000596448	0.00035982	0.000779477	0.000554929	0.000593034	0.000677295	0.000769721	0.00129697
tsongo	0.0613591	0.16148	0.183328	0.108809	0.0511653	0.0895577	0.09997	0.0796271	0.0377854	0.00810369	0.00771588	0.00293642	0.00630121	0.00414762	0.0039167	0.00315683	0.00407185	0.0092436	0.00544094	0.00448562	0.0065344	0.00444612	0.00838936	0.0152433	0.00936606	0.0107359	0.00602481	0.00665715
est	0.0766354	0.030872	0.0239812	0.0311983	0.024396	0.0168661	0.0196637	0.0279216	0.0478727	0.106817	0.0907655	0.0749285	0.0782117	0.017972	0.0221861	0.0207407	0.0152427	0.0221848	0.0201342	0.0213104	0.0251093	0.0194397	0.0182223	0.0228593	0.02525	0.0313734	0.0256114	0.0422336
situé	0.0645364	0.0390392	0.0225551	0.00869057	0.00992734	0.00889613	0.0144176	0.0148977	0.0283483	0.0331235	0.041328	0.035138	0.0282876	0.0251885	0.0324667	0.042144	0.0934134	0.0607685	0.0792226	0.0356552	0.033672	0.0325344	0.0252019	0.0235904	0.0312103	0.0282979	0.0501927	0.0572562
dans	0.0481256	0.0212337	0.00692654	0.00337058	0.00418783	0.00682726	0.00840525	0.00661713	0.0116091	0.0132914	0.0117204	0.0165029	0.0111814	0.0188968	0.0251061	0.0335713	0.0475231	0.0618045	0.0763284	0.0932843	0.080454	0.0655624	0.0500864	0.0486811	0.0572393	0.0504482	0.0581697	0.0628452
une	0.0793102	0.0265221	0.0160451	0.00811524	0.00543115	0.00436133	0.00427938	0.00279764	0.00320122	0.00264437	0.00289307	0.00482711	0.00450448	0.0088266	0.0151705	0.0232472	0.0333186	0.0599185	0.0540882	0.0483479	0.0674911	0.0619411	0.0647105	0.0840569	0.0725523	0.0844478	0.0771072	0.0798433
chaine	0.0643907	0.0182935	0.00719871	0.002992	0.00276428	0.00248802	0.00447926	0.00704572	0.00640121	0.00513416	0.00482393	0.00580005	0.0113283	0.0168541	0.020171	0.0173314	0.0782311	0.0400036	0.0855759	0.0898053	0.0637027	0.0733168	0.0608769	0.0557777	0.0588309	0.0645965	0.0541215	0.0776649
de	0.0505551	0.055801	0.0382448	0.0135065	0.0144281	0.013122	0.0286959	0.0244149	0.0316751	0.00717783	0.00977542	0.0112473	0.0182856	0.0169298	0.0153209	0.0120238	0.0341117	0.0427768	0.0475799	0.0618957	0.0587519	0.0484606	0.0514485	0.0584688	0.0488637	0.0575163	0.0536632	0.0752591
collines	0.0657497	0.0447939	0.0247788	0.0101861	0.0107928	0.0115659	0.024203	0.0165187	0.0170898	0.00580805	0.00668129	0.00527199	0.010481	0.00759374	0.00862458	0.00933883	0.0302275	0.0459112	0.0284658	0.0292104	0.0511249	0.0300894	0.0738655	0.0913572	0.0749849	0.0906956	0.0743716	0.100218
</S>	0.0719477	0.0535002	0.0330382	0.0118223	0.0135583	0.0163056	0.0207079	0.0167766	0.0179297	0.00723672	0.0107829	0.00952448	0.0109267	0.0105702	0.0142133	0.0151949	0.019388	0.0546599	0.0263347	0.0330355	0.0585486	0.0276694	0.0710801	0.0765965	0.0713648	0.0734278	0.0744818	0.079377
