 	a66	a87	a23	a54	a6	a47	a6	a37	a26	a43	a11	a75	a47	a0	a54	a37	a61	a88	a71	a9	a87	a23	a10	a87	</S>
les	0.0445787	0.0904851	0.0604068	0.0672312	0.104295	0.116301	0.106949	0.0498851	0.0181623	0.008515	0.00931639	0.00752332	0.00378783	0.00657902	0.0135986	0.0107835	0.0197974	0.0202037	0.0221807	0.0239442	0.0268879	0.030078	0.0431315	0.0301851	0.065194
enfants	0.00986961	0.0118819	0.0164573	0.0482357	0.126643	0.12545	0.141794	0.0932019	0.149823	0.0571616	0.0521564	0.0364094	0.019057	0.0122772	0.0278594	0.00939583	0.00564575	0.00195197	0.00126738	0.00159451	0.00648069	0.0123749	0.00931213	0.0190964	0.00460354
ont	0.0562408	0.0429498	0.0311407	0.0388764	0.0333126	0.0210268	0.0184512	0.0169818	0.0191504	0.012012	0.0209388	0.0556769	0.0614974	0.0587568	0.0601968	0.0352485	0.0207819	0.00997985	0.00956902	0.0165703	0.0764329	0.0902521	0.0727371	0.102557	0.0186621
renversé	0.0184773	0.0149848	0.00900871	0.00827194	0.00798426	0.0216795	0.0139979	0.0164558	0.0414289	0.102702	0.159241	0.195625	0.0869119	0.0679036	0.0478347	0.0302995	0.0220738	0.0193254	0.0140625	0.0214062	0.0184892	0.0155421	0.0102818	0.0107623	0.0252493
de	0.0805693	0.0333728	0.015308	0.013225	0.00698649	0.016783	0.0269365	0.063297	0.0656387	0.0628774	0.0428476	0.0346938	0.0310886	0.0307583	0.0208299	0.0340177	0.0245349	0.0323614	0.0223862	0.0449684	0.0577287	0.031701	0.0491493	0.0287123	0.129227
l'	0.0318359	0.0089337	0.00430345	0.00672038	0.00889014	0.0176773	0.0168871	0.0395521	0.0387244	0.0332993	0.0283994	0.0262802	0.0395703	0.0744743	0.0594273	0.0696541	0.0397472	0.0470672	0.047846	0.0789363	0.0737786	0.0546366	0.0635232	0.0312103	0.0586254
eau	0.0287097	0.0118118	0.00594823	0.00613964	0.00421888	0.00678381	0.0051101	0.0133497	0.0156533	0.0284559	0.0250174	0.0312274	0.03961	0.089151	0.0657446	0.117437	0.0746156	0.0752308	0.0684452	0.0530894	0.0575829	0.0508098	0.0500535	0.0487176	0.0270872
dans	0.0881301	0.0259684	0.00831699	0.00583111	0.00326424	0.00364485	0.00548498	0.00750964	0.0114135	0.0118142	0.00908261	0.0117151	0.0213762	0.0421907	0.0264103	0.0330605	0.0446056	0.0485719	0.0255724	0.0358878	0.0613153	0.0791344	0.105422	0.10993	0.174347
la	0.0559278	0.0237983	0.0134719	0.00703877	0.00256622	0.00201629	0.00145216	0.00414373	0.00841336	0.0112674	0.0102529	0.00963399	0.0127126	0.0192653	0.0120628	0.0161813	0.0295144	0.0375437	0.0484711	0.0806452	0.0862449	0.116726	0.0898782	0.104047	0.196724
maison	0.028267	0.0262627	0.022264	0.0167295	0.00454414	0.00250024	0.00213528	0.00511474	0.014425	0.0236518	0.0211587	0.0166798	0.0260257	0.0397887	0.0344653	0.0488209	0.0531277	0.0403943	0.0432297	0.0695459	0.0788584	0.115093	0.0726477	0.0905437	0.103726
</S>	0.027015	0.0152314	0.0112091	0.00784029	0.00228164	0.00201224	0.00157451	0.00249404	0.00599174	0.00674091	0.0123438	0.010341	0.0123043	0.0293089	0.0266547	0.0438044	0.0555543	0.0481853	0.0451816	0.0694577	0.123357	0.100059	0.17251	0.0962766	0.0722713
