 	a66	a10	a87	a23	a83	a9	a53	a90	a25	a69	a94	a47	a31	a47	a34	a56	a96	a34	a47	a21	a5	a61	a96	a88	a0	a56	a34	a21	a41	a27	a25	a87	a23	a87	</S>
le	0.0361989	0.0404122	0.0537119	0.0553368	0.0596558	0.0676832	0.0698612	0.0709206	0.0489627	0.0188557	0.0361974	0.0127317	0.00960906	0.0112905	0.0130963	0.0108351	0.0120502	0.0203903	0.0124753	0.0114242	0.00960304	0.0139457	0.0155542	0.020239	0.0238254	0.0118382	0.0172858	0.0194441	0.0100342	0.0153708	0.025129	0.0187943	0.0252382	0.0211591	0.0808402
manioc	0.00298046	0.00582355	0.0125014	0.0298941	0.0766913	0.0763578	0.0579896	0.135079	0.053594	0.0797495	0.106865	0.113587	0.069479	0.0505609	0.0270081	0.0248053	0.0194247	0.0132417	0.0122489	0.00609562	0.00652918	0.00414457	0.00213827	0.00141288	0.00160109	0.000819969	0.000801727	0.000804285	0.000516999	0.000998207	0.00100093	0.000858913	0.0010661	0.00237833	0.000950485
que	0.0138744	0.0319073	0.0353551	0.0432351	0.0513435	0.0338609	0.0264838	0.0454229	0.0814495	0.0576998	0.0833699	0.133297	0.0936022	0.0635271	0.0627249	0.0462044	0.0297641	0.0156552	0.010155	0.00684554	0.00410986	0.00344563	0.0040784	0.00121017	0.00247916	0.00121559	0.00251658	0.00186367	0.000893541	0.00187538	0.00181247	0.00308924	0.00240374	0.0015064	0.0017221
tu	0.116181	0.0950814	0.0611304	0.0430375	0.0387081	0.0304155	0.0242475	0.0143364	0.0237645	0.0112516	0.0148609	0.0102473	0.0102141	0.0150361	0.0140664	0.0129224	0.0110975	0.0238029	0.0211342	0.0114208	0.00945459	0.00942969	0.00807303	0.00662283	0.0110399	0.0133732	0.0207722	0.0161444	0.0254877	0.022032	0.0313278	0.0413315	0.0428731	0.0571702	0.0819114
as	0.0649413	0.0506338	0.0333707	0.0241923	0.0224266	0.0220809	0.0281434	0.0295412	0.042231	0.0563532	0.0586004	0.0422733	0.0365852	0.0479942	0.032802	0.0320108	0.0291487	0.0496554	0.0461045	0.0521054	0.0355549	0.0227426	0.0203124	0.00468576	0.00900363	0.00585156	0.00920568	0.0093061	0.00401395	0.00759706	0.00820121	0.0143564	0.0127831	0.01792	0.0172713
abondonné	0.0324404	0.0326169	0.0265523	0.0224702	0.0284018	0.0301284	0.0306993	0.0291355	0.0179132	0.0419817	0.0160164	0.0136011	0.0241585	0.0392166	0.0433741	0.0392912	0.0310854	0.036172	0.0269226	0.027564	0.0279458	0.0204877	0.0249351	0.0231463	0.0246179	0.0269439	0.0333308	0.0286456	0.0235193	0.0219386	0.0264097	0.0389852	0.0340626	0.0256441	0.0296458
au	0.0427398	0.0249163	0.0193503	0.0134796	0.00926133	0.01251	0.0144258	0.00810224	0.0125754	0.00654242	0.00727029	0.00694762	0.00688635	0.0078502	0.00594825	0.0111854	0.0110487	0.0281742	0.0204204	0.021206	0.0117848	0.0164323	0.0178154	0.018453	0.0178627	0.0376275	0.061124	0.0700943	0.0705472	0.0656355	0.0620222	0.0638236	0.0718583	0.0734275	0.0506512
feu	0.029188	0.0247966	0.0201811	0.0173226	0.0158055	0.0148345	0.0114117	0.00701984	0.00832687	0.0096564	0.00788173	0.0072008	0.00843543	0.0131862	0.0148447	0.0122802	0.0156716	0.0245397	0.0176315	0.0241432	0.0295481	0.0230306	0.0312056	0.0279161	0.0365025	0.0459824	0.0511502	0.0487698	0.0603646	0.0778384	0.0700479	0.063111	0.0488322	0.0469144	0.0344279
est	0.0367017	0.0304499	0.0242601	0.0238144	0.0224758	0.0343874	0.0332481	0.0184155	0.0264676	0.014372	0.0176513	0.0200208	0.023152	0.02359	0.0199652	0.0194458	0.0211248	0.0185898	0.0193315	0.030046	0.0203203	0.0158454	0.0255681	0.0343961	0.0369347	0.0355441	0.0333108	0.0510954	0.0391194	0.0472435	0.0453119	0.0511967	0.0372372	0.0366979	0.0126688
déjà	0.0327752	0.0314085	0.0337789	0.0352371	0.0464716	0.0660252	0.0458846	0.0361085	0.0240939	0.0253844	0.0173794	0.023227	0.0320048	0.0294356	0.0254022	0.0261522	0.0234714	0.0187955	0.0202668	0.0220768	0.0164246	0.0163581	0.0142123	0.0107171	0.0206664	0.016891	0.0228809	0.032911	0.0197871	0.0288045	0.0329541	0.0409223	0.0394541	0.0375491	0.0340877
trop	0.0386297	0.0400029	0.0424569	0.0429491	0.0541266	0.0672432	0.0427387	0.0347842	0.0197416	0.0233644	0.017201	0.0196043	0.0283295	0.0290941	0.0270668	0.0284921	0.0261392	0.0248938	0.0237863	0.0224572	0.0181272	0.0150212	0.0120246	0.0118267	0.0169204	0.0147383	0.0224193	0.0257717	0.0249537	0.0259104	0.0320408	0.0320393	0.0303531	0.0331708	0.031581
cuit	0.025377	0.0219195	0.029221	0.0272947	0.0352249	0.0401434	0.0423518	0.0356914	0.0317344	0.019001	0.0187452	0.00990473	0.00772867	0.0080478	0.00769713	0.00778278	0.00812607	0.0114728	0.00885027	0.0136103	0.00999355	0.00750018	0.0163383	0.0155695	0.0236305	0.0208281	0.0332554	0.0386666	0.0270893	0.0416422	0.063481	0.0500922	0.0438555	0.0545395	0.143593
</S>	0.0200487	0.015345	0.0203872	0.0185612	0.0306916	0.0332204	0.031322	0.029829	0.030177	0.0184566	0.0128626	0.00779199	0.00713073	0.00730564	0.00656371	0.0059551	0.00584449	0.00643028	0.00612146	0.0112227	0.00804183	0.00682451	0.00760198	0.0080821	0.0150989	0.0127368	0.0375905	0.0470506	0.0198665	0.0399669	0.0769655	0.0723046	0.0725238	0.0799128	0.170165
