 	a23	a83	a0	a75	a70	a34	a75	a34	a66	a0	a83	a61	a75	a98	a92	a7	a26	a75	a47	a2	a57	a87	a23	a87	</S>
on	0.193349	0.135363	0.110214	0.081191	0.0419567	0.0547045	0.0295633	0.0281967	0.0161977	0.00817657	0.00525343	0.00615978	0.00447652	0.00617125	0.00844626	0.0107618	0.0256818	0.0464384	0.0293592	0.0250945	0.027948	0.0186373	0.0262177	0.0189255	0.0415156
a	0.0139855	0.0155913	0.0271103	0.0353617	0.0614489	0.104285	0.0555086	0.0402894	0.0319722	0.0209235	0.0100322	0.014616	0.0116105	0.0277594	0.0142333	0.0281293	0.0549466	0.0754243	0.0643627	0.0754345	0.0512721	0.0489315	0.0455079	0.0461919	0.0250718
entendu	0.0113977	0.0127472	0.0137399	0.00946088	0.014769	0.0187964	0.0155846	0.0165156	0.00770969	0.011021	0.00314455	0.00498672	0.0166744	0.0292119	0.0479486	0.0482748	0.0453291	0.0939277	0.0847913	0.0614141	0.105306	0.100996	0.071426	0.0844056	0.0704216
le	0.0976918	0.0663166	0.0801002	0.0876929	0.0824977	0.0854421	0.0350516	0.0445554	0.0299883	0.0284936	0.0143162	0.0134991	0.0127197	0.0188005	0.0153272	0.0163713	0.0126045	0.0205941	0.0236848	0.022685	0.0293939	0.0347552	0.0316074	0.0281794	0.0676316
bruit	0.129974	0.0715721	0.0714282	0.0996507	0.0850106	0.0430583	0.0457692	0.0528009	0.0715691	0.0730801	0.0250341	0.0372333	0.0289517	0.0189138	0.0144641	0.0138648	0.00848538	0.00977498	0.0199969	0.0164781	0.016725	0.0101485	0.00691016	0.0185839	0.0105222
d'	0.117348	0.0874366	0.0834417	0.077559	0.0518012	0.0727609	0.0670785	0.0864145	0.038495	0.0262404	0.00418049	0.00356107	0.00583024	0.00929298	0.0114423	0.0116517	0.0108096	0.0154981	0.0245437	0.0261446	0.0233806	0.0305145	0.0311584	0.0208009	0.0626156
un	0.0893067	0.0641055	0.0674382	0.0770701	0.0528498	0.0575526	0.0476045	0.0259265	0.0203434	0.0131296	0.00464063	0.00858616	0.00645216	0.0158238	0.0227782	0.0384	0.0267516	0.0255344	0.0426859	0.0479777	0.0459038	0.0448532	0.051234	0.0350067	0.0680447
coup	0.0804268	0.0492128	0.0392732	0.030198	0.0167233	0.0229258	0.0351065	0.0369199	0.0461334	0.0411745	0.0121094	0.00998585	0.0125158	0.0155561	0.0207393	0.0253461	0.0406367	0.0505225	0.0722188	0.0656023	0.0690343	0.0580828	0.0496995	0.0501458	0.0497105
de	0.0671551	0.0539094	0.0252107	0.0287049	0.0150662	0.013425	0.00455942	0.00253125	0.00298876	0.00425824	0.00280609	0.00608928	0.00227433	0.0129394	0.0216379	0.0497855	0.0506394	0.0723805	0.0918364	0.085985	0.0868267	0.074866	0.0719413	0.0876329	0.0645502
fusil	0.0687493	0.0389496	0.0366944	0.0478902	0.0387819	0.021849	0.0237116	0.0224319	0.0176388	0.0149441	0.00599852	0.0120111	0.0196139	0.0359907	0.0346836	0.0299723	0.0313568	0.0478931	0.0701557	0.0528799	0.0666334	0.0640398	0.0457521	0.077058	0.0743201
</S>	0.0419367	0.0241139	0.0148449	0.0117039	0.00957076	0.00703037	0.00381182	0.00308637	0.00440695	0.00626896	0.00212336	0.00377786	0.00819692	0.0144453	0.0260263	0.032603	0.0565603	0.0682617	0.0769587	0.0525963	0.0885234	0.0903077	0.0615335	0.121449	0.169862
