 	a66	a87	a23	a38	a53	a15	a79	a90	a79	a56	a32	a90	a79	a44	a79	a94	a54	a6	a37	a54	a7	a53	a4	a58	a69	a58	a84	a87	</S>
même	0.0338865	0.0504105	0.0331161	0.0498777	0.0372172	0.0405757	0.0416356	0.0385428	0.0518064	0.0254509	0.0178296	0.0115304	0.0139674	0.0128061	0.0170381	0.00910832	0.0120902	0.0162088	0.0179316	0.0167449	0.0211296	0.0327423	0.0541147	0.0882815	0.0498858	0.0448254	0.0374218	0.0406144	0.0832098
s'	0.0215654	0.0120474	0.0127064	0.0119221	0.0141216	0.0143997	0.0189514	0.0293269	0.02331	0.0430376	0.0325708	0.0443243	0.0280677	0.0202362	0.0226201	0.0214169	0.0219113	0.0310568	0.0433742	0.0750945	0.0828029	0.0552693	0.0424201	0.0434954	0.0417819	0.0458199	0.0416756	0.0553458	0.0493278
il	0.0848351	0.0324348	0.0277253	0.02991	0.0276592	0.0120248	0.00846511	0.00784035	0.0167183	0.0617956	0.0350477	0.0402761	0.0267677	0.0209189	0.0241878	0.00759756	0.0102362	0.00999489	0.00818023	0.0161612	0.0332155	0.0336032	0.036098	0.0527304	0.0500108	0.069049	0.0538545	0.0648879	0.0977739
pleut	0.0655844	0.0587729	0.053665	0.0445161	0.0357587	0.0566566	0.0224867	0.0235321	0.0313253	0.0328323	0.0623151	0.0300919	0.0498651	0.0502128	0.0393972	0.0331427	0.026176	0.0170704	0.0149896	0.0115933	0.0183917	0.0246596	0.0304246	0.0278327	0.0328244	0.0172096	0.0264359	0.012935	0.0493023
j'	0.181849	0.0712473	0.0524226	0.0366986	0.0305633	0.0180222	0.0190402	0.0163653	0.0250942	0.0396639	0.0372818	0.032547	0.0573668	0.0308667	0.0327208	0.0169886	0.0174068	0.0129632	0.00718961	0.00775725	0.0137366	0.0257075	0.0285398	0.0358727	0.0325569	0.0285569	0.0289775	0.028818	0.0331792
irai	0.0940137	0.0506001	0.0281005	0.0178485	0.0143745	0.010679	0.0119177	0.018747	0.0212545	0.0264743	0.0348332	0.045895	0.0483058	0.049999	0.0418849	0.0340983	0.0428503	0.0428291	0.0332226	0.0372017	0.0449247	0.0511052	0.0435827	0.0327153	0.024118	0.0158228	0.0202992	0.0219055	0.0403966
en	0.0469129	0.0276571	0.0226092	0.0131792	0.00916929	0.005118	0.00265417	0.00289739	0.00871623	0.0251924	0.0161007	0.0228739	0.00506728	0.0062077	0.00931195	0.00651863	0.00764535	0.0283573	0.0441995	0.0475245	0.0740153	0.0614776	0.0317745	0.0787651	0.0736129	0.0841782	0.0834907	0.0814913	0.0732819
forêt	0.025989	0.0351909	0.0322261	0.0383252	0.0313217	0.0158425	0.0071023	0.0104823	0.0226709	0.0408515	0.0391986	0.0380122	0.0127519	0.0148914	0.0192597	0.0188965	0.0181799	0.0286158	0.0427927	0.0343916	0.0309018	0.033137	0.0319143	0.0695984	0.0538138	0.0659414	0.0527248	0.0623022	0.0726739
aujourd'	0.0269482	0.0318839	0.0286099	0.0399913	0.0297505	0.0173788	0.0114132	0.0211347	0.0521887	0.0505706	0.0399988	0.0426126	0.0176676	0.0190603	0.0289172	0.0174862	0.0172355	0.0254813	0.0330756	0.0255235	0.0325034	0.0349783	0.0320903	0.0517988	0.0424337	0.0594289	0.05052	0.0562266	0.0630916
hui	0.0266008	0.0162667	0.0180401	0.0152634	0.0111112	0.00977122	0.00746045	0.010244	0.027351	0.0427913	0.0353577	0.0383791	0.0416747	0.0417856	0.067382	0.0505564	0.0432241	0.0574283	0.0519206	0.0481596	0.050937	0.050365	0.0433165	0.0198117	0.0219018	0.041186	0.0391022	0.0465797	0.0260317
</S>	0.0501441	0.0230158	0.0150031	0.0119591	0.00699928	0.00334599	0.00158642	0.00143855	0.00718433	0.00973015	0.00564342	0.00644423	0.00206872	0.00244543	0.00415229	0.00291879	0.00330951	0.0195118	0.0189332	0.0177045	0.0656998	0.0823015	0.10231	0.110596	0.0770375	0.0794581	0.0747861	0.0779795	0.116294
