 	a10	a87	a99	a83	a93	a90	a25	a56	a47	a62	a88	a62	a47	a61	a31	a0	a47	a35	a38	a93	a13	a9	a3	a82	a97	a87	a23	a87	a85	</S>
le	0.0868596	0.0992714	0.0817061	0.0363931	0.042147	0.0264845	0.0157272	0.0191569	0.0410195	0.0271223	0.014155	0.00854675	0.00611712	0.00294384	0.00228687	0.00256287	0.00328664	0.00685386	0.0122451	0.0246988	0.0489228	0.0579405	0.0348151	0.0399261	0.0277583	0.0273683	0.0357097	0.033345	0.0413527	0.0932768
ciel	0.0111757	0.0270628	0.0449704	0.0831179	0.0937113	0.120262	0.16194	0.0722959	0.0966341	0.0691306	0.0513766	0.025519	0.00837567	0.0118064	0.00962268	0.0187772	0.0243707	0.0225777	0.0142954	0.0025123	0.00294656	0.00216587	0.00285516	0.00427605	0.00652786	0.00396133	0.00206524	0.00120106	0.00279017	0.00167597
est	0.0561979	0.0413145	0.043148	0.0530589	0.0613536	0.0525854	0.0565456	0.085403	0.0521135	0.0204219	0.014541	0.0202402	0.0283946	0.0325651	0.0218601	0.037357	0.0137967	0.00863196	0.0121606	0.0102221	0.0151933	0.0270394	0.029893	0.0330701	0.0480719	0.0427648	0.0323544	0.0122103	0.0264925	0.0109982
devenu	0.0221283	0.0124799	0.00952731	0.0124194	0.0174834	0.0365559	0.0721343	0.0860805	0.0783355	0.0573311	0.0302937	0.0271336	0.0547126	0.0401811	0.0196512	0.0208698	0.027061	0.0461956	0.0794587	0.0267217	0.0279364	0.0187017	0.0233992	0.0211771	0.0264002	0.0258875	0.0195479	0.0239381	0.019934	0.0163231
noir	0.0245444	0.0187062	0.0201665	0.0181205	0.0135188	0.0177615	0.0190532	0.0254889	0.0336252	0.0627097	0.0587864	0.0389415	0.0443008	0.0612359	0.0369919	0.0670575	0.0816693	0.0650116	0.056779	0.0477224	0.0422034	0.0315063	0.0167126	0.0118326	0.00871696	0.0189728	0.0140724	0.0167094	0.0132166	0.0138657
à	0.0576775	0.0342402	0.0354992	0.0262005	0.0232145	0.0159913	0.0109019	0.0113554	0.0305648	0.0445133	0.0220114	0.0130282	0.0100752	0.00493755	0.00316524	0.00350852	0.00807563	0.0140458	0.0377938	0.0264708	0.0258876	0.0188632	0.044515	0.0374597	0.0494646	0.0494929	0.060815	0.0714679	0.102719	0.106044
cause	0.0349783	0.0201515	0.0157506	0.0181032	0.0133752	0.00879626	0.0120847	0.0118051	0.0228658	0.0269152	0.0125521	0.00791888	0.00262197	0.00313628	0.00415637	0.00432797	0.00802639	0.0160259	0.0171311	0.021055	0.0143967	0.0184871	0.0528526	0.0615766	0.0674767	0.0719488	0.101312	0.0819954	0.119928	0.128249
de	0.024361	0.0155894	0.0123972	0.0133443	0.0121879	0.0149435	0.0284288	0.0214737	0.0287972	0.0331294	0.0240022	0.0175675	0.0103856	0.00595031	0.00704751	0.00640497	0.0108227	0.0131701	0.0130009	0.0160389	0.0113925	0.0165237	0.0377275	0.0651363	0.0543701	0.0494434	0.094999	0.0733906	0.13651	0.131463
la	0.0397262	0.0249147	0.0183477	0.0158543	0.0103536	0.00935502	0.0249325	0.0253861	0.0220199	0.013717	0.0134086	0.00595993	0.00378057	0.00422213	0.00526418	0.00533836	0.00853032	0.0144523	0.0210672	0.0278043	0.0164462	0.0265807	0.0446369	0.0846249	0.0801807	0.0929883	0.0894562	0.102934	0.0929804	0.054737
pluie	0.0309931	0.0154314	0.00938629	0.00741388	0.00471376	0.00261853	0.00537211	0.00446446	0.00460935	0.00555349	0.00697567	0.00367547	0.00339466	0.00274264	0.00350543	0.00359914	0.00591933	0.0116862	0.0150626	0.0248941	0.0245891	0.0321747	0.0541776	0.0816987	0.0799399	0.0875158	0.120886	0.112391	0.144908	0.0897072
</S>	0.0167959	0.0109237	0.00926988	0.00837541	0.00698696	0.00553353	0.00498265	0.00678905	0.0057706	0.00688808	0.0103096	0.00773731	0.00515809	0.00495578	0.0063001	0.0100805	0.0152571	0.0231313	0.0180639	0.021285	0.0205867	0.0353325	0.0572763	0.0799571	0.0664265	0.0746198	0.0944661	0.113854	0.0967047	0.156182
