 	a66	a87	a10	a87	a23	a83	a88	a62	a12	a18	a24	a43	a24	a21	a12	a98	a85	a0	a43	a31	a88	a31	a24	a9	a10	a87	a23	a87	</S>
il	0.063086	0.0532226	0.052036	0.0370652	0.0482973	0.036977	0.0341095	0.0293856	0.0249951	0.0226554	0.0179073	0.0147616	0.00883898	0.00614446	0.00566857	0.0042744	0.00493554	0.00521651	0.00603554	0.0151253	0.0476309	0.0702491	0.0468395	0.0574179	0.0592364	0.0455668	0.0617999	0.0388732	0.0816486
y	0.0319167	0.0203768	0.0281058	0.0391167	0.0299371	0.0267328	0.0533421	0.0359568	0.038227	0.0307071	0.0636997	0.0570636	0.0489453	0.0456725	0.0475861	0.0349256	0.0407531	0.0292391	0.01752	0.0262422	0.0204549	0.022645	0.0188562	0.0154298	0.0324886	0.0283712	0.0258117	0.0436273	0.0462493
a	0.0213501	0.0185288	0.0247758	0.0303442	0.0281742	0.0348936	0.0407897	0.0532905	0.0485451	0.025469	0.0185605	0.0231482	0.0171414	0.0145493	0.0177182	0.0205688	0.0161375	0.0174526	0.0103713	0.0111271	0.0223592	0.0397822	0.0184444	0.0404841	0.11106	0.0546691	0.0447529	0.091053	0.0844591
plusieurs	0.114731	0.113307	0.09187	0.0949338	0.0571405	0.0452104	0.0510963	0.04255	0.0318584	0.0227896	0.0276672	0.0177631	0.0182547	0.0261612	0.036458	0.0257879	0.0225662	0.0150718	0.0155214	0.0166667	0.0100455	0.00646034	0.00935281	0.00959454	0.0104346	0.0163086	0.0137501	0.0154568	0.0211917
manières	0.0682435	0.0647262	0.0478903	0.0443014	0.0368247	0.0468037	0.0342645	0.0340379	0.0436354	0.0385748	0.0325901	0.0304139	0.0382558	0.0454276	0.0409443	0.0407214	0.0273263	0.029515	0.0151904	0.0271168	0.0153873	0.0148522	0.00664135	0.023126	0.0374618	0.0264987	0.0353521	0.0259673	0.0279092
de	0.238121	0.127063	0.0909288	0.0727181	0.0555503	0.0488822	0.011412	0.0170988	0.0101679	0.00730303	0.00620845	0.00687172	0.00642521	0.00553501	0.00450502	0.0066964	0.0114168	0.0150014	0.0280716	0.037413	0.0231555	0.0172308	0.0139576	0.0133842	0.0294465	0.0138572	0.0172497	0.0344785	0.0298498
faire	0.0557845	0.040003	0.0376244	0.0404017	0.0341127	0.0400512	0.052546	0.0373137	0.0486942	0.0294193	0.0213594	0.0249508	0.0168255	0.0132948	0.0116712	0.0151274	0.0141892	0.0109881	0.0183074	0.00947914	0.0262835	0.0390624	0.0230966	0.039347	0.0848021	0.0504617	0.0566116	0.0723391	0.0358524
couler	0.147368	0.0852205	0.0661542	0.0623519	0.0529734	0.0449109	0.0270218	0.0297751	0.0234212	0.0200703	0.0099436	0.00974971	0.0083105	0.00420678	0.00526715	0.00669432	0.0126421	0.0129174	0.0110319	0.0150654	0.0232944	0.0327025	0.0372767	0.0401805	0.04277	0.0319338	0.0400434	0.0546132	0.0420895
un	0.0683833	0.0343707	0.0193131	0.0161952	0.0131565	0.0142777	0.00836591	0.00934612	0.00785962	0.00879731	0.00641777	0.0118792	0.0122836	0.00567287	0.00582291	0.0105366	0.0210361	0.0221224	0.032935	0.0307122	0.0737881	0.0978137	0.0725785	0.0803921	0.0765698	0.0575904	0.0770167	0.0592717	0.0454952
bateau	0.0593064	0.0341601	0.0184935	0.0201021	0.0146318	0.0167071	0.0133381	0.00890141	0.0133271	0.0143828	0.00928548	0.0177272	0.0211423	0.0147479	0.0185773	0.0286401	0.0359165	0.0348969	0.0572939	0.0397517	0.0520699	0.06684	0.0362283	0.0635669	0.0779035	0.055177	0.0637645	0.0477693	0.0453511
à	0.0778365	0.0381196	0.0167109	0.0144716	0.00775876	0.00959704	0.00482705	0.00432906	0.00449754	0.00502606	0.00198516	0.00529184	0.00470042	0.00205254	0.00228824	0.00419219	0.0129714	0.0164656	0.0324114	0.0347806	0.0478968	0.0697316	0.0716294	0.0818472	0.113348	0.065374	0.0930019	0.0876129	0.0692448
pic	0.0584872	0.0422337	0.0231825	0.0218449	0.0136203	0.0146057	0.00755002	0.00714107	0.00672709	0.0069253	0.00390072	0.00777289	0.00683957	0.00319137	0.00239121	0.00409765	0.0139182	0.0158928	0.0234024	0.0286929	0.0394764	0.0494586	0.0520179	0.0880167	0.085842	0.0867037	0.106394	0.106897	0.0727767
</S>	0.0309801	0.0165085	0.0105238	0.00821478	0.00598257	0.00666859	0.00585148	0.00491271	0.00567932	0.00696569	0.005276	0.00655259	0.00723651	0.00489508	0.00530643	0.00693515	0.0143131	0.0121433	0.0310073	0.0339504	0.0431701	0.0589945	0.0745352	0.134773	0.0837638	0.0978681	0.100408	0.0903512	0.0862326
