 	a66	a87	a23	a87	a10	a87	a23	a50	a83	a71	a90	a15	a20	a56	a98	a47	a98	a47	a85	a6	a37	a21	a12	a31	a43	a24	a88	a21	a47	a21	a12	a96	a94	a37	a66	a82	a87	a23	a87	</S>
le	0.0236607	0.0274579	0.0174905	0.00715122	0.00594667	0.00719577	0.00957863	0.0108678	0.0350024	0.116142	0.103938	0.0804759	0.0556228	0.0839146	0.0656813	0.0256423	0.00926971	0.0113731	0.013837	0.016552	0.0178436	0.0199143	0.0270746	0.0202376	0.0181341	0.0135516	0.0179174	0.0111061	0.0145271	0.00972627	0.00875784	0.00725584	0.00676542	0.00994784	0.0120736	0.0102008	0.00846715	0.00777142	0.00728719	0.02464
manioc	0.000814806	0.0011553	0.00165362	0.0015163	0.00146995	0.00446788	0.0085608	0.0276817	0.0800212	0.166771	0.0792999	0.0723624	0.137078	0.122192	0.0843614	0.0193264	0.00951184	0.0161926	0.0254113	0.0359091	0.0375943	0.0253262	0.0143389	0.0115895	0.00751346	0.00233031	0.00136444	0.000763061	0.000745035	0.00036399	0.000320012	0.000217183	0.000223813	0.000228648	9.1529e-05	0.000134436	7.5091e-05	0.000283659	0.000508673	0.000230357
préparé	0.0682831	0.0380038	0.0442252	0.031445	0.0282338	0.0349839	0.0463031	0.0405278	0.0312086	0.0291357	0.0363412	0.0417975	0.0367459	0.042533	0.0550502	0.0422311	0.0256123	0.0127202	0.0379935	0.0385332	0.0408024	0.0353906	0.0233355	0.0162284	0.0150455	0.00972556	0.0149317	0.0123174	0.0125247	0.00666163	0.00419869	0.00416566	0.00491022	0.00731537	0.00179661	0.00410067	0.0042956	0.00632924	0.00914378	0.00487249
par	0.0305585	0.0211732	0.0234584	0.0194233	0.0124308	0.010507	0.0119206	0.01435	0.0178336	0.0223301	0.0180894	0.0110143	0.0110636	0.0103204	0.0099934	0.0356036	0.0388641	0.0242425	0.0317395	0.0542905	0.0324275	0.0205954	0.0182541	0.0146169	0.0194359	0.0147685	0.0129973	0.00808974	0.0107714	0.0153346	0.0181919	0.0346118	0.0273051	0.0378031	0.0282037	0.0291964	0.0440738	0.0623326	0.0673402	0.0544433
de	0.0338825	0.0148606	0.0242235	0.0142562	0.0135704	0.0159181	0.0136665	0.0168191	0.0083253	0.00684672	0.00567197	0.00271821	0.00440661	0.00963807	0.0193466	0.0387431	0.024488	0.023804	0.0282845	0.0395023	0.0298675	0.0271933	0.0179776	0.0159176	0.0152133	0.0134913	0.01545	0.0171752	0.0201616	0.0306869	0.048412	0.0521517	0.0377579	0.0456093	0.0581886	0.0594648	0.0532223	0.0301694	0.0233751	0.0295424
petits	0.068431	0.0262084	0.0331923	0.0160616	0.0124569	0.0197918	0.0211586	0.0151027	0.00860242	0.0094975	0.00982746	0.00693923	0.00828402	0.0142037	0.016854	0.0616649	0.0638815	0.0645634	0.0609217	0.0398555	0.0262375	0.0170637	0.0123592	0.0131746	0.0147777	0.0160927	0.0164211	0.0180415	0.0205425	0.0171413	0.0286778	0.0250877	0.0226985	0.0233285	0.0149211	0.0316245	0.0306862	0.0320902	0.022524	0.0190113
enfants	0.0558264	0.0146287	0.0207283	0.0177916	0.019802	0.0300406	0.0376503	0.0289036	0.0350915	0.0257604	0.0221085	0.0124463	0.0147791	0.0177544	0.0138801	0.0280149	0.0382361	0.016584	0.017118	0.0195939	0.0168281	0.0114078	0.0112559	0.0122388	0.0156991	0.019995	0.0263479	0.0335613	0.037684	0.0339097	0.0226832	0.0252615	0.031389	0.0264717	0.0399585	0.0461227	0.042538	0.0323465	0.0141461	0.0134166
provoque	0.0487732	0.0146995	0.0199736	0.00925172	0.00819936	0.011296	0.0135747	0.0159323	0.0148332	0.0136757	0.018604	0.0101479	0.00750974	0.0113539	0.0120271	0.0237007	0.0428344	0.0146084	0.0191036	0.0306356	0.0324612	0.0203688	0.018648	0.0254742	0.0314187	0.03955	0.0417229	0.0553401	0.0466919	0.0362879	0.0399192	0.0264199	0.0379413	0.0361554	0.0237439	0.0275315	0.0232633	0.0300705	0.0238436	0.0224131
des	0.0524182	0.0231757	0.0181928	0.00875322	0.0110294	0.0131662	0.0142657	0.0130281	0.00786375	0.00716941	0.00729445	0.00595258	0.00878092	0.0187587	0.0149978	0.0304488	0.0359636	0.0213202	0.0312739	0.0342494	0.0316803	0.0266431	0.021758	0.0191043	0.0180401	0.0258646	0.0314457	0.039101	0.0413731	0.020865	0.0424271	0.0295425	0.0429943	0.051153	0.0209325	0.04032	0.037182	0.0378776	0.0292009	0.0143923
nausées	0.0240545	0.0122654	0.014487	0.00734706	0.0080065	0.0103133	0.0108118	0.00914998	0.00833099	0.00830913	0.00673102	0.00495568	0.00583456	0.00931988	0.011418	0.02255	0.0387178	0.0260433	0.0440243	0.0478484	0.0365222	0.0225996	0.0137222	0.0128042	0.0205661	0.0324063	0.026901	0.0327642	0.0451306	0.022739	0.0388799	0.0268866	0.0420395	0.0443966	0.042314	0.0484538	0.0459624	0.0434708	0.0358398	0.0350825
</S>	0.0212541	0.0190867	0.0112781	0.00505144	0.00506071	0.00485542	0.00508479	0.00678294	0.00564086	0.00720839	0.00738307	0.00573089	0.00745329	0.0170847	0.0232621	0.0313662	0.0289447	0.021131	0.0304154	0.0301951	0.0313116	0.0275791	0.0236855	0.015202	0.0157473	0.0154436	0.0232607	0.0292549	0.0322859	0.0311489	0.0516513	0.0372191	0.0464836	0.0511537	0.0505793	0.0545275	0.0486087	0.0361279	0.0339118	0.0505479
