 	a66	a87	a23	a30	a70	a61	a62	a21	a85	a6	a37	a92	a98	a15	a79	a98	a85	a6	a36	a27	a61	a75	a92	a37	a92	a37	a75	a34	a92	a85	a6	a36	a75	a5	a36	a27	a82	a10	a97	a3	a97	a99	a87	</S>
ce	0.0442116	0.0531624	0.0299023	0.0296936	0.0460489	0.105207	0.0555242	0.0754611	0.0593026	0.067266	0.0287483	0.0292005	0.0438729	0.0274375	0.0100538	0.00729486	0.00686154	0.00969872	0.0146837	0.0235675	0.0146763	0.00737761	0.0117033	0.00996867	0.00739825	0.011137	0.00836976	0.0138554	0.00454289	0.00792721	0.00582412	0.00847258	0.0059314	0.00439579	0.00885563	0.00556319	0.00800894	0.00854912	0.00562621	0.00404414	0.00525341	0.0164694	0.0123406	0.0365099
piégeur	0.00253797	0.0021241	0.00432702	0.00567358	0.00613054	0.0120468	0.0245003	0.0129159	0.0362693	0.0759813	0.0645384	0.0898843	0.0915913	0.118967	0.0571829	0.0631322	0.0779122	0.0403467	0.020349	0.0153403	0.0122552	0.0224278	0.0252723	0.00910878	0.0210052	0.0216251	0.0181357	0.0154105	0.0115336	0.00634177	0.00385176	0.000797403	0.000134976	0.000382148	0.000126464	0.000339682	0.000455142	0.000459947	0.000121929	0.000251932	0.000751174	0.00198725	0.0038093	0.0016634
de	0.0142868	0.0131553	0.00762271	0.00970949	0.0132455	0.0153686	0.0130287	0.0192418	0.0163427	0.0114048	0.020622	0.0192355	0.0179363	0.0246716	0.0573306	0.0661818	0.0794186	0.125491	0.0745062	0.117412	0.0469744	0.0378831	0.00849834	0.00818077	0.0134286	0.00776313	0.00595075	0.00356592	0.00755431	0.00733062	0.00363893	0.00136153	0.0028516	0.0042692	0.00326475	0.00437257	0.00583773	0.00851551	0.00261836	0.00964846	0.0159065	0.0155213	0.0200739	0.0187771
hérissons	0.0644685	0.0408878	0.0145639	0.0106345	0.00455124	0.00332669	0.00540558	0.00619658	0.00866661	0.00939369	0.00865975	0.010665	0.0101608	0.00648633	0.0206993	0.022453	0.0190798	0.0508786	0.0579242	0.0666382	0.0560587	0.0318254	0.0296722	0.0387605	0.0333338	0.03213	0.0236668	0.0224034	0.0429623	0.0226924	0.0029518	0.0045806	0.00427434	0.00839675	0.00325651	0.00257619	0.0052054	0.00974738	0.00657077	0.0283016	0.0222315	0.047996	0.0308644	0.0478012
me	0.0415965	0.0400669	0.0197421	0.0179466	0.0113357	0.014412	0.0150308	0.0130201	0.0178637	0.0173481	0.0223359	0.0109069	0.0132753	0.012709	0.0388345	0.0427554	0.0449503	0.0748225	0.0572404	0.0444338	0.0289182	0.0211125	0.0275434	0.0377488	0.0263491	0.0249674	0.0155312	0.013145	0.0104918	0.014918	0.00232715	0.00536427	0.00519891	0.00916314	0.00689872	0.0051986	0.00373282	0.0078721	0.011412	0.0172439	0.0169499	0.034612	0.0322543	0.0504199
les	0.0247573	0.0197563	0.0139553	0.0147475	0.00666665	0.00456067	0.00566071	0.0084605	0.00580592	0.00653396	0.00828723	0.0125715	0.0119349	0.0178731	0.0381731	0.044786	0.0430802	0.0606462	0.0843165	0.0703108	0.048746	0.0455605	0.0319848	0.0354098	0.0297571	0.0278452	0.0201693	0.0202849	0.0213577	0.0157704	0.00530321	0.00693539	0.00601543	0.0103551	0.00774993	0.00561707	0.00598941	0.00892674	0.0161027	0.0277454	0.0245143	0.0271098	0.0221503	0.0257152
vend	0.0384192	0.0261495	0.0191405	0.0110623	0.00430709	0.00246498	0.00350225	0.00691658	0.00400535	0.00355247	0.00757509	0.00821112	0.00868332	0.0204643	0.0363307	0.042044	0.0455993	0.0454541	0.0563688	0.0307927	0.0361991	0.028346	0.068122	0.0456941	0.0275973	0.0316829	0.0271818	0.0253593	0.0262622	0.0153979	0.00656538	0.0159899	0.0133588	0.0097042	0.0140498	0.0132487	0.00955492	0.00895875	0.0156911	0.0322388	0.021987	0.0262569	0.0223929	0.0371166
si	0.0276229	0.0129775	0.0075018	0.00547561	0.00555571	0.00713123	0.00943427	0.012791	0.00858415	0.00906711	0.0142991	0.011249	0.0169519	0.0309092	0.0441309	0.061454	0.0533595	0.0642903	0.0768553	0.0331924	0.0291598	0.0168189	0.014509	0.0165477	0.0101624	0.019596	0.00628464	0.012461	0.00665601	0.00653526	0.00530701	0.0133687	0.0163778	0.0151527	0.0224602	0.019265	0.0204784	0.0149206	0.0293712	0.0468887	0.049555	0.0350557	0.0294493	0.030786
chers	0.0238483	0.0163576	0.00873841	0.00651501	0.00817561	0.0112103	0.014602	0.0121479	0.00971091	0.00977326	0.0127294	0.00830345	0.0136172	0.0172743	0.0343333	0.0383837	0.0324163	0.0430541	0.055964	0.0293179	0.0232208	0.0120103	0.0140802	0.0163687	0.0108378	0.0268035	0.0147111	0.0195209	0.0131969	0.00854672	0.0048867	0.0136495	0.014692	0.0186646	0.0164978	0.0206661	0.0193668	0.0119278	0.0284784	0.0443948	0.0673635	0.0617621	0.0579876	0.0538923
</S>	0.0240628	0.0167038	0.0128096	0.00824987	0.00738304	0.00827177	0.00944439	0.0103631	0.00511316	0.0053694	0.00570656	0.00383889	0.00636044	0.00904458	0.0166083	0.0226831	0.022833	0.0238532	0.0368934	0.027283	0.0211085	0.0182316	0.0170242	0.022348	0.00934364	0.0136643	0.0111092	0.0127292	0.0107344	0.0124171	0.00719818	0.0187874	0.0203511	0.0336792	0.0191655	0.0204381	0.0133316	0.0216992	0.0328148	0.0508728	0.0638937	0.0770043	0.0678606	0.121318
