 	a66	a87	a97	a99	a97	a57	a99	a97	a53	a69	a98	a85	a6	a36	a12	a5	a75	a5	a21	a43	a21	a12	a96	a88	a9	a10	a87	a23	a97	</S>
le	0.0217809	0.0386825	0.0433468	0.0419294	0.0283074	0.0372113	0.0334081	0.037317	0.0316437	0.0584845	0.0614488	0.0862948	0.0506219	0.0441142	0.0293046	0.0164931	0.0124693	0.00736363	0.00457289	0.00936156	0.0111286	0.0179823	0.0201247	0.0226891	0.0265083	0.033824	0.029032	0.0361794	0.0467322	0.061643
récolteur	0.00572406	0.0130015	0.0172304	0.0321072	0.0188935	0.0230015	0.0158973	0.0358436	0.0347606	0.0609474	0.13271	0.145869	0.191836	0.118049	0.0734159	0.032504	0.0216485	0.00753287	0.00953294	0.00285753	0.00166592	0.000825695	0.000387126	0.00059622	0.000138904	6.30015e-05	0.000290659	0.000182854	0.0016453	0.000841232
du	0.077074	0.0811552	0.0735703	0.0580654	0.0397553	0.0180025	0.0150425	0.0194572	0.0214594	0.0215125	0.0147183	0.0157877	0.024265	0.0648234	0.0907516	0.148175	0.130619	0.0380187	0.00875849	0.00773461	0.004795	0.00339015	0.00179055	0.0022889	0.0018353	0.00142735	0.00197244	0.00288567	0.00827667	0.00259141
vin	0.0647315	0.0255301	0.0109574	0.00891543	0.00880687	0.00640936	0.0048161	0.0039519	0.00858441	0.0281474	0.0332914	0.0401265	0.0376111	0.10659	0.195114	0.0793254	0.0383562	0.0387862	0.0576106	0.0256134	0.0114353	0.0204436	0.0101945	0.0109159	0.00888452	0.0185616	0.0149303	0.0276569	0.0443602	0.00934246
de	0.0828262	0.0774995	0.0951291	0.0722465	0.0931085	0.0886059	0.0597619	0.0315335	0.024515	0.0088105	0.00881581	0.0115143	0.0161613	0.0116225	0.012106	0.0288113	0.0138534	0.0179289	0.0141096	0.0234749	0.0542597	0.0230673	0.0134312	0.00598856	0.0145239	0.018462	0.00709848	0.0312194	0.0165685	0.0229464
palme	0.0472249	0.031874	0.0262627	0.0150666	0.0126008	0.00605517	0.00534596	0.00325783	0.00151732	0.000623537	0.000705271	0.00216865	0.00576405	0.00398428	0.00538449	0.00765396	0.00503733	0.00348259	0.00543612	0.0211196	0.0418023	0.0555905	0.0914634	0.0690727	0.107804	0.0881127	0.0562312	0.110778	0.056489	0.112091
traverse	0.0644718	0.051856	0.0398516	0.0241771	0.0207131	0.0127103	0.0133973	0.00991451	0.0049999	0.00195275	0.00302127	0.0143504	0.0264946	0.0190644	0.0245426	0.0240076	0.0154834	0.0135132	0.0244722	0.0185532	0.0343043	0.0202667	0.0321723	0.0283751	0.0572276	0.087694	0.0498957	0.0862428	0.0755334	0.100741
le	0.0678114	0.0370339	0.0259465	0.0219516	0.0211975	0.0184633	0.0173388	0.0141234	0.00873677	0.0030008	0.00290427	0.00791403	0.0124029	0.00504987	0.0131546	0.0184411	0.0145743	0.00860091	0.0132108	0.0124321	0.0188904	0.0257916	0.0450326	0.0484609	0.0911794	0.100631	0.0747687	0.0993456	0.0750224	0.0765893
fleuve	0.0200471	0.0196022	0.0202071	0.0236432	0.0225006	0.0365484	0.0353552	0.0287452	0.0206144	0.00669403	0.00457973	0.00389554	0.0108453	0.00795843	0.0242939	0.0502729	0.0711302	0.0681653	0.0407052	0.0438126	0.0490008	0.0393523	0.0427599	0.0556777	0.0666432	0.0599434	0.0356568	0.0392427	0.0295567	0.0225497
dans	0.0569372	0.0761226	0.0790449	0.0731814	0.0696044	0.075237	0.0787455	0.0564696	0.0331126	0.0151987	0.0126988	0.0148719	0.0136329	0.0115359	0.0118429	0.0182484	0.0109789	0.0097076	0.00591796	0.00454888	0.00810539	0.00466708	0.00790902	0.00883881	0.0138335	0.0188373	0.0245936	0.0426891	0.05616	0.0867284
sa	0.0563689	0.0634472	0.0510803	0.0408611	0.0350643	0.0185239	0.0160217	0.0161446	0.0118784	0.00913076	0.00786188	0.00863223	0.00468069	0.00584954	0.00589985	0.0105695	0.00729014	0.00501175	0.00289501	0.00470575	0.00872208	0.0104154	0.0191663	0.0302986	0.0413614	0.0415925	0.0744543	0.112978	0.109738	0.169356
pe	0.046296	0.0564326	0.0502102	0.0424683	0.0409802	0.0273431	0.021777	0.0151637	0.00827201	0.00270749	0.00231058	0.00799395	0.0212324	0.0181156	0.0188845	0.0282271	0.0175814	0.0171317	0.0210695	0.0174319	0.0236168	0.0153622	0.0210682	0.0215712	0.0249614	0.0290442	0.0556712	0.0841094	0.0897621	0.153204
tite	0.0494123	0.0476744	0.0378783	0.0420473	0.0419357	0.0341978	0.0314543	0.0293934	0.0240603	0.0150187	0.00850451	0.0183859	0.037177	0.0221972	0.0244729	0.0237064	0.0209497	0.015739	0.0212099	0.014588	0.0147464	0.0233435	0.026495	0.0347033	0.0425589	0.0310534	0.0517612	0.0565459	0.0618736	0.0969157
pirogue	0.0305145	0.0236146	0.0179929	0.0165539	0.0166425	0.0123089	0.0137302	0.0137293	0.0126258	0.00865768	0.0063746	0.0101562	0.0144003	0.0118829	0.0123584	0.01668	0.0153877	0.0152086	0.0168653	0.0261368	0.0324396	0.0521588	0.0647598	0.0691829	0.0759098	0.0728311	0.0742524	0.0768238	0.0779346	0.0918862
</S>	0.0326549	0.0386155	0.0369931	0.0335223	0.0352992	0.0237694	0.0241328	0.017899	0.0129477	0.00777778	0.00637271	0.0111902	0.0178891	0.0160908	0.0178087	0.0302648	0.0260286	0.0256622	0.0349027	0.042343	0.0423092	0.0486045	0.0502199	0.0505107	0.051156	0.0509931	0.0514126	0.0523055	0.0519541	0.05837
