 	a23	a85	a87	a23	a57	a20	a14	a0	a11	a30	a14	a41	a61	a34	a90	a93	a62	a24	a62	a75	a79	a15	a73	a2	a40	a54	a73	a2	a57	a87	a40	a73	a11	a54	a76	a94	a58	a57	a9	a38	a75	a41	a27	a40	a84	a4	a57	a3	a87	a38	a14	a73	a2	a57	a40	a30	a57	a87	</S>
il	0.015378	0.0201582	0.0170175	0.0192671	0.0268937	0.0247748	0.0390846	0.0243079	0.0331357	0.0630807	0.0771103	0.0932333	0.0598176	0.0435275	0.0342052	0.0513182	0.0416934	0.0236487	0.0160824	0.0130589	0.0118955	0.00634422	0.00627416	0.0133864	0.0119939	0.00546964	0.00314372	0.00645454	0.00550004	0.00641173	0.0021358	0.00367997	0.00426571	0.00430954	0.00329771	0.004282	0.00454392	0.00586038	0.00543628	0.00506744	0.00503291	0.00422781	0.00340241	0.0039242	0.00388911	0.00451121	0.00284602	0.00546846	0.00448036	0.00737485	0.00533249	0.00954517	0.00841729	0.00822878	0.00933246	0.0102082	0.00928534	0.0155568	0.0223897
n'	0.000909861	0.00115525	0.00169127	0.00154727	0.00218069	0.00349746	0.00787681	0.00669132	0.0111625	0.0103764	0.00804007	0.0084671	0.0130604	0.0133929	0.0146644	0.0243991	0.022527	0.0294575	0.0394811	0.0523803	0.0335265	0.0548255	0.0509735	0.0315958	0.0310592	0.0219954	0.020336	0.0304543	0.0212474	0.0168462	0.0260606	0.0265268	0.0303018	0.03123	0.0177454	0.0253478	0.0241656	0.0362418	0.0162009	0.0186316	0.0128185	0.00675923	0.00425889	0.00326221	0.00490799	0.00449896	0.00676078	0.00749402	0.00735422	0.00945028	0.00803578	0.0102074	0.0150539	0.00903412	0.00932761	0.00857579	0.0143444	0.0126511	0.00693388
a	0.0114137	0.00737407	0.0106484	0.00819913	0.00831868	0.00935304	0.0103859	0.0307628	0.0271917	0.027909	0.0233687	0.0223693	0.0240802	0.0204125	0.0163806	0.0333404	0.0167368	0.0489111	0.0261341	0.0202816	0.0226309	0.0106332	0.0354889	0.0145683	0.0256173	0.020442	0.0258037	0.0225689	0.014178	0.0112048	0.015272	0.0115193	0.0231738	0.0152115	0.00668286	0.0142983	0.0149346	0.0170933	0.0124709	0.012771	0.00746705	0.00894067	0.00754452	0.0083973	0.0117166	0.00438335	0.00499188	0.00692091	0.0047799	0.00599105	0.00859776	0.0069879	0.0192781	0.0132528	0.0331517	0.0140539	0.0251216	0.0322831	0.0260044
pas	0.0468992	0.0341259	0.0315148	0.0242783	0.0161552	0.0114721	0.0189238	0.0283326	0.0286386	0.017482	0.0177505	0.0101229	0.0195977	0.0185729	0.0151689	0.0434122	0.0207284	0.0387186	0.0293682	0.0323468	0.0279137	0.0346338	0.0209035	0.0171402	0.0304575	0.0249101	0.0257581	0.01784	0.0271904	0.0229287	0.0313067	0.0200381	0.0130151	0.00988581	0.0173779	0.00779668	0.00787599	0.00939649	0.00967087	0.0114172	0.0108676	0.00880992	0.00692896	0.00505067	0.0042703	0.00804305	0.00741111	0.00755197	0.00594671	0.00573168	0.00526958	0.00521673	0.00316418	0.00341915	0.00305026	0.0031804	0.00358682	0.00358586	0.00784834
encore	0.0337405	0.0215195	0.0214772	0.0153784	0.0145364	0.0130767	0.0131174	0.0155423	0.0196865	0.0167337	0.00901062	0.00998311	0.010451	0.0112114	0.0111413	0.0174614	0.0181172	0.0242554	0.016808	0.0155382	0.0134634	0.0137663	0.0144085	0.0127753	0.0235946	0.0175696	0.0171055	0.0171092	0.0271593	0.0270302	0.031318	0.0329761	0.0329858	0.0357152	0.0286609	0.0275203	0.0363644	0.0321768	0.016646	0.021575	0.0202478	0.0142131	0.0111584	0.00823061	0.00773032	0.010912	0.00968253	0.011982	0.0118299	0.0105461	0.0058524	0.00735186	0.00483981	0.00444392	0.00886005	0.00981511	0.00865756	0.01009	0.01485
de	0.0194064	0.0133448	0.0155671	0.0126089	0.0114962	0.0123486	0.0115656	0.0109838	0.00966208	0.00737142	0.00986771	0.014832	0.0140531	0.0122459	0.0137431	0.0143489	0.0132469	0.0121893	0.0114302	0.0117636	0.0126384	0.012631	0.0115051	0.0123448	0.013657	0.0169171	0.0221791	0.018213	0.0250268	0.0160755	0.017433	0.0184216	0.0191395	0.0198618	0.0187618	0.0199954	0.0217114	0.0222694	0.0146543	0.0177238	0.0158419	0.0136203	0.0126592	0.0126549	0.0141648	0.0138553	0.0169944	0.0182763	0.0166481	0.0165956	0.0207968	0.0196478	0.0236411	0.0267986	0.0376138	0.0255192	0.0276606	0.0303909	0.0333849
femme	0.0517747	0.0250144	0.0132224	0.0109888	0.0080424	0.00485086	0.00537443	0.00917319	0.0165767	0.0185771	0.024254	0.0178039	0.0175258	0.0185744	0.0226713	0.0335849	0.0175465	0.0166661	0.0154749	0.0120442	0.0202569	0.015324	0.0121753	0.0148876	0.0135207	0.0255916	0.0311833	0.0202541	0.0401773	0.0206713	0.0298919	0.0148291	0.014661	0.0131312	0.0147448	0.0124572	0.0151411	0.0140016	0.0130579	0.0143574	0.0135685	0.0133796	0.0198096	0.0262784	0.0228664	0.0202312	0.013428	0.0140612	0.0134707	0.0126259	0.00650629	0.00592874	0.0101032	0.0040057	0.00855408	0.0137256	0.0183181	0.0191103	0.013972
il	0.0475802	0.0162145	0.0150735	0.0086169	0.00520971	0.00297144	0.00327988	0.00436798	0.00572967	0.00590809	0.00626613	0.00633126	0.00549022	0.00542264	0.00537334	0.00899399	0.00797788	0.00787621	0.0156319	0.00983131	0.0163474	0.0204702	0.0165556	0.0220673	0.022166	0.0301411	0.0332785	0.0208461	0.0449267	0.018725	0.0381754	0.029937	0.0297601	0.0283951	0.0210314	0.0189554	0.0192892	0.0188435	0.015621	0.0124763	0.0105485	0.00883281	0.0108992	0.0146454	0.0191679	0.0187943	0.0117435	0.013898	0.0105828	0.00998465	0.00548755	0.00871321	0.0197113	0.0159524	0.02291	0.0315522	0.0382468	0.0316251	0.0245494
ne	0.0284996	0.0166515	0.0217784	0.0129746	0.00859681	0.00618394	0.0070089	0.00550072	0.00380713	0.00331321	0.00400754	0.00579631	0.0050379	0.00310975	0.00328804	0.00700288	0.00624336	0.00672645	0.00759571	0.00721469	0.0110332	0.0131591	0.0118288	0.0236448	0.0282723	0.0379429	0.0314508	0.0253459	0.0415895	0.0247015	0.0296533	0.0359506	0.0343502	0.0272006	0.0188776	0.0179493	0.0182801	0.0191878	0.0162939	0.0124213	0.0106361	0.00898324	0.00898269	0.0100975	0.0125944	0.0193562	0.0104383	0.0102267	0.0125058	0.0119264	0.00581297	0.0118121	0.0154439	0.0151217	0.0365818	0.0293953	0.0346668	0.0417526	0.0441945
connaît	0.0198639	0.0151288	0.0159838	0.0131866	0.00998683	0.00724565	0.00598478	0.00749245	0.00493123	0.00759578	0.00847164	0.0142555	0.00972431	0.00452095	0.00601793	0.00995476	0.0103202	0.00903219	0.00561852	0.00667495	0.00969841	0.0164212	0.0108516	0.0254905	0.0205711	0.0284415	0.0148958	0.0138171	0.01693	0.015646	0.0205389	0.0197843	0.0255331	0.0236393	0.0144673	0.0167412	0.021811	0.0220593	0.0172298	0.0116394	0.00979149	0.00868532	0.00930025	0.0112467	0.0119112	0.017619	0.0161566	0.0138847	0.0185468	0.0204989	0.0134125	0.0220567	0.0367012	0.0222767	0.0381098	0.0243435	0.0283748	0.0430136	0.0758726
