 	a66	a87	a23	a10	a87	a10	a50	a62	a61	a43	a56	a37	a21	a75	a43	a56	a96	a94	a93	a90	a25	a56	a98	a47	a36	a2	a75	a5	a23	a27	a44	a75	a5	a12	a75	a5	a36	a21	a12	a18	a25	a10	a87	a23	a87	</S>
la	0.0426441	0.0477483	0.0535705	0.0282104	0.0330646	0.0193146	0.0333238	0.0387297	0.0440042	0.0398116	0.0279508	0.0212361	0.0207277	0.0124189	0.0139559	0.00930133	0.0178123	0.00579468	0.00675134	0.00786102	0.00664625	0.0141513	0.00637496	0.00732119	0.00431124	0.00726739	0.00836527	0.0174688	0.0206333	0.0227948	0.023068	0.0201928	0.010313	0.0220082	0.0126043	0.0204237	0.0333346	0.0281761	0.0197101	0.0277721	0.0277959	0.011081	0.0212287	0.0170927	0.0241663	0.0414659
manière	0.00258834	0.00464588	0.00421503	0.00381864	0.00458179	0.00374618	0.00524748	0.00653351	0.00582159	0.00720663	0.0112579	0.010647	0.00676489	0.0128087	0.013006	0.0310481	0.029467	0.0615591	0.0805444	0.157672	0.232587	0.168005	0.0740273	0.0288451	0.0163922	0.0054887	0.00382688	0.00206179	0.00167081	0.000723898	0.000460255	0.000216613	0.000135174	0.000112954	0.000124121	0.000112886	0.000300052	0.00026422	0.000220081	0.000302927	0.000187051	0.000157156	0.000138829	0.000120959	0.000197338	0.000141187
dont	0.0497344	0.0769286	0.0331776	0.0256459	0.0246908	0.0309038	0.016246	0.0218581	0.0124881	0.0114198	0.0287367	0.0564746	0.0242447	0.0310307	0.0260463	0.0429085	0.0329004	0.103607	0.0374204	0.0411703	0.0362956	0.0164082	0.0156248	0.00787914	0.0249827	0.0128768	0.00663264	0.00304646	0.00692061	0.00490601	0.00589888	0.00587267	0.00280906	0.003955	0.00409204	0.00870583	0.0135395	0.00857669	0.00595081	0.00282178	0.0156241	0.0125584	0.0111803	0.00406999	0.0244151	0.00672477
il	0.018703	0.0190329	0.0103088	0.00684403	0.00780189	0.00891867	0.00691628	0.00474386	0.00732613	0.00629499	0.00626331	0.00804363	0.004281	0.00760003	0.00723001	0.00469093	0.00985286	0.0179318	0.0125504	0.0317384	0.0306292	0.0101759	0.0102978	0.00646789	0.0124103	0.0176423	0.0158746	0.0110632	0.0370379	0.0361536	0.0335957	0.0364412	0.0186555	0.0450471	0.0349521	0.0470405	0.0743578	0.0380653	0.026855	0.0225003	0.0272731	0.0375397	0.0355259	0.0370459	0.0683293	0.0219499
m'	0.0317631	0.0154521	0.0105274	0.00754409	0.0134733	0.0102183	0.0115332	0.0106526	0.00782486	0.0035044	0.00577596	0.00872829	0.00655782	0.00784323	0.021941	0.0116647	0.0203347	0.0737387	0.0274808	0.0221793	0.0395445	0.0178539	0.0173091	0.0151061	0.0186134	0.0292765	0.0361333	0.0415994	0.0405436	0.0325466	0.0239028	0.0408671	0.00780741	0.0206953	0.0122428	0.0127537	0.0162683	0.0185967	0.0185784	0.027553	0.0141669	0.034913	0.0288064	0.0316303	0.0450033	0.0289504
accuser	0.0328411	0.0239067	0.0155781	0.0148437	0.0215421	0.0221553	0.0205831	0.0155769	0.0171052	0.00302062	0.00454152	0.00952441	0.0153079	0.0108736	0.0195851	0.0125336	0.0116142	0.0210701	0.0163659	0.00816453	0.014635	0.0101238	0.00439064	0.0100566	0.0112592	0.017891	0.02016	0.0300757	0.0480002	0.030325	0.0271801	0.0572392	0.0158381	0.0290206	0.0242013	0.0226067	0.0388222	0.0300793	0.0264723	0.0463711	0.0298373	0.0255214	0.0296361	0.0296978	0.0284176	0.0254081
m'	0.0154706	0.0134321	0.00993058	0.00847286	0.0121119	0.0156304	0.0135835	0.0130084	0.0103855	0.0040845	0.0059778	0.00967137	0.0151839	0.0107879	0.0159522	0.0105823	0.0107667	0.0161501	0.0145597	0.00799045	0.0137865	0.00907212	0.0047363	0.00754505	0.00925019	0.0131273	0.0158682	0.017086	0.0430054	0.0418951	0.0415448	0.0791561	0.0429862	0.0433714	0.0280374	0.0450866	0.040662	0.0309835	0.0266947	0.0441804	0.0318147	0.0281121	0.0250831	0.0382192	0.0167396	0.0282234
a	0.00632296	0.0135322	0.00958642	0.00765885	0.00941926	0.0112107	0.00668349	0.00436154	0.00547933	0.00459729	0.00429995	0.00606236	0.00692013	0.00602122	0.00606109	0.00586879	0.00529394	0.00533492	0.00620829	0.00477473	0.00510509	0.00799963	0.00636177	0.00936592	0.0139345	0.0237762	0.0267324	0.0245498	0.0424537	0.0317031	0.0289037	0.0252646	0.0292082	0.0370311	0.0258231	0.0417677	0.0724445	0.0546885	0.0354979	0.0664153	0.0433728	0.0329268	0.0370983	0.0598535	0.0399658	0.0420586
énervé	0.0137798	0.0190831	0.0147612	0.0100669	0.0142532	0.0178145	0.00832702	0.00980949	0.0126872	0.00852111	0.0115111	0.0115398	0.0102219	0.0109307	0.0165411	0.0141523	0.0111624	0.0206898	0.0296007	0.0168246	0.023494	0.0294667	0.0145527	0.0218551	0.0263617	0.0335087	0.0236736	0.0286813	0.0415954	0.0424396	0.0258495	0.0217329	0.0182411	0.0364283	0.0141574	0.0274339	0.0224013	0.0172381	0.0137382	0.0421779	0.0183514	0.02258	0.014335	0.0416158	0.0339475	0.061865
</S>	0.0122271	0.01322	0.0113489	0.0096276	0.0116856	0.0105348	0.0116305	0.00992776	0.0116494	0.00950637	0.00823084	0.00926982	0.00935347	0.0110596	0.00782738	0.00949178	0.00925089	0.0102626	0.0163111	0.00855417	0.0105734	0.0116725	0.00576675	0.00770366	0.00956425	0.0112229	0.0142698	0.0176875	0.0268449	0.0242016	0.0273487	0.0267268	0.0249764	0.0280624	0.0279844	0.03411	0.0445503	0.0388678	0.0366673	0.0610567	0.0410261	0.0390592	0.0330221	0.0598959	0.0537384	0.0724302
