 	a87	a23	a62	a83	a18	a90	a25	a92	a21	a75	a41	a85	a43	a0	a24	a88	a61	a18	a61	a12	a34	a75	a85	a61	a75	a85	a36	a2	a57	a10	a87	a23	a87	a23	a87	</S>
la	0.0627216	0.0634581	0.0662292	0.0414735	0.0416289	0.0329173	0.027483	0.0273041	0.0265618	0.0213781	0.0236646	0.0309311	0.0253684	0.0185977	0.0168701	0.0129071	0.0136578	0.00870193	0.00865123	0.00574048	0.00712071	0.0128832	0.0151979	0.0159714	0.0189905	0.0222885	0.0234642	0.0154512	0.0211968	0.0167506	0.0253867	0.0301834	0.025229	0.0392713	0.0420203	0.0923481
maladie	0.00760694	0.0150833	0.0162993	0.0253446	0.0425398	0.0704637	0.0874009	0.116898	0.060814	0.0874176	0.100557	0.0804003	0.051589	0.0682457	0.0294649	0.0319248	0.0123809	0.0252347	0.0194301	0.018518	0.0131074	0.0080169	0.00259634	0.00173922	0.00160684	0.000611263	0.00116293	0.000311599	0.000295623	0.000244317	0.000479869	0.00060464	0.000356603	0.000306959	0.000500472	0.000445211
de	0.0458949	0.0421178	0.0447697	0.0365279	0.0537323	0.0687542	0.0643059	0.0696932	0.0573379	0.0773048	0.0938921	0.043379	0.0477178	0.0339446	0.0155584	0.0248121	0.0121284	0.0162686	0.0129506	0.0121424	0.0103478	0.00815403	0.00862023	0.00918714	0.0104563	0.00928465	0.0151757	0.00590771	0.00417931	0.00343007	0.00483092	0.00661868	0.0073538	0.00638211	0.0124157	0.00442305
mon	0.0603093	0.0452078	0.0371622	0.0312947	0.0361298	0.0328512	0.0293514	0.0309362	0.0292074	0.0417564	0.0794222	0.0371398	0.0361715	0.0160175	0.0119293	0.0305644	0.0150628	0.0189351	0.0197503	0.011772	0.018967	0.0190382	0.0149672	0.0188392	0.0168161	0.0128303	0.0215377	0.0243597	0.0190515	0.0289124	0.0139527	0.0200087	0.0281974	0.0241565	0.0229226	0.0444714
épouse	0.0543243	0.0495128	0.0283293	0.0373456	0.0174224	0.0184082	0.0254963	0.0301968	0.0281633	0.0551426	0.0719758	0.0972475	0.11921	0.0854848	0.059062	0.0255544	0.0281567	0.00982918	0.0121905	0.0109024	0.0100287	0.0091301	0.0126291	0.00898964	0.0062622	0.00839854	0.00266649	0.00357208	0.00441562	0.00404993	0.00443705	0.00663234	0.00750283	0.00907682	0.00851875	0.0297346
a	0.0295205	0.0235186	0.0201474	0.0213637	0.024079	0.0319025	0.044353	0.0496484	0.0235576	0.0219987	0.0261866	0.0259016	0.0263026	0.0124151	0.00834796	0.0119702	0.00657452	0.00656749	0.00716195	0.00390014	0.0116398	0.0106683	0.0194456	0.0169879	0.0229304	0.0554585	0.035354	0.0564369	0.0421274	0.0553852	0.0386591	0.0334289	0.0466	0.0337675	0.0372102	0.0584827
totalement	0.0211445	0.0213738	0.0155202	0.0181485	0.0175166	0.0226712	0.027109	0.0367219	0.0194332	0.0202871	0.0391346	0.0322902	0.0418152	0.0219442	0.0116858	0.0256782	0.0195526	0.0125046	0.0285138	0.0257901	0.0274197	0.0328055	0.0228765	0.0435973	0.0422238	0.0502915	0.0333249	0.0394921	0.0284626	0.0235013	0.0210225	0.0223635	0.0320569	0.0301907	0.0224744	0.0490613
dépassé	0.0238733	0.0250084	0.0154833	0.0153005	0.0131108	0.0134201	0.014324	0.0215266	0.016153	0.0167853	0.0198582	0.0272418	0.0313833	0.028059	0.0242088	0.0416452	0.0509796	0.0330805	0.0571536	0.0385208	0.0255055	0.036353	0.0161019	0.0336891	0.0367635	0.0517593	0.0360339	0.0339917	0.0317778	0.0257317	0.0198066	0.0207078	0.0199895	0.0187698	0.0214665	0.044436
mes	0.0278243	0.0182625	0.0104375	0.0134674	0.0055266	0.00528665	0.00871765	0.00500011	0.00419961	0.00453827	0.00401883	0.00540145	0.0112204	0.0112732	0.0118883	0.00978769	0.00983901	0.0127631	0.00863315	0.00699123	0.0124135	0.0153252	0.0193761	0.0271158	0.030049	0.0812214	0.0408639	0.0634103	0.064014	0.0675396	0.052601	0.0462662	0.0498024	0.0633823	0.0689705	0.102572
moyens	0.0311485	0.022477	0.0194898	0.0182576	0.0165032	0.0167504	0.0204838	0.0113188	0.00551494	0.00561303	0.00598084	0.00652525	0.00834247	0.0061035	0.00541403	0.00842422	0.00622119	0.00888389	0.00867527	0.00780086	0.0174175	0.0224577	0.0248441	0.0274426	0.0277598	0.0511605	0.0583248	0.0565021	0.0642654	0.0786173	0.060633	0.042249	0.0422893	0.0489966	0.0554429	0.0816689
</S>	0.0246413	0.0150023	0.015611	0.0113283	0.00657671	0.00527273	0.00427254	0.00186168	0.00135351	0.00185645	0.00103484	0.0020053	0.00262623	0.00237135	0.00229288	0.00255567	0.0017105	0.00345865	0.00222753	0.00192784	0.00776142	0.0123261	0.0194857	0.0249021	0.0374091	0.0566742	0.0586697	0.0923628	0.0781168	0.0799451	0.0711172	0.0589988	0.0783022	0.0671989	0.0636782	0.0830641
