 	a66	a10	a87	a10	a87	a83	a98	a47	a85	a79	a98	a47	a37	a5	a18	a44	a98	a47	a37	a85	a36	a27	a75	a61	a21	a24	a71	a62	a88	a83	a9	a99	a97	a87	a97	a3	</S>
cet	0.0225862	0.0218085	0.0217544	0.0159543	0.0133046	0.017627	0.0208773	0.0286753	0.0506717	0.0648119	0.0610829	0.0677453	0.0429926	0.0532167	0.0580845	0.0379937	0.0352084	0.0289804	0.0252743	0.0350353	0.0199476	0.0189572	0.00951964	0.0117228	0.0101415	0.0176223	0.0224055	0.0255333	0.0219975	0.0179538	0.0157648	0.0120533	0.0117079	0.0164209	0.0128481	0.00923298	0.0224855
enfant-là	0.00422587	0.00312154	0.00496374	0.00826327	0.00743189	0.030025	0.0547399	0.089894	0.173471	0.145239	0.168931	0.0432254	0.0712274	0.0541065	0.0361691	0.03596	0.0172101	0.00779162	0.00651853	0.00331956	0.00609635	0.00812599	0.00381286	0.00298311	0.00132608	0.00162822	0.00122471	0.000907821	0.00128643	0.00054867	0.000525997	0.000645704	0.000911026	0.000807715	0.0010594	0.0011076	0.00116846
s'	0.0594135	0.0298442	0.0522702	0.0546424	0.0660118	0.0765571	0.0380519	0.0657966	0.060301	0.0954201	0.108645	0.0387422	0.0326628	0.0337113	0.0127082	0.0176472	0.0120379	0.00634898	0.00446136	0.00181045	0.00618306	0.0183772	0.00744627	0.00373673	0.00340667	0.00330254	0.0044481	0.00532432	0.00839713	0.00384118	0.00476713	0.00636393	0.00446049	0.0120264	0.0089349	0.0264747	0.00542539
initie	0.0515993	0.0471538	0.0351407	0.0438351	0.0390277	0.0294763	0.0161239	0.0119196	0.0139056	0.0154161	0.0205956	0.0296004	0.0393363	0.0482442	0.033943	0.0234764	0.0204048	0.0344105	0.0379563	0.0621703	0.0291247	0.0214666	0.0264212	0.0253958	0.0194408	0.0242687	0.0149689	0.0157179	0.026041	0.0128075	0.0165557	0.0160308	0.0137951	0.0226065	0.0144696	0.0219654	0.0251878
à	0.0649265	0.0603843	0.0558859	0.0540368	0.0620666	0.0511015	0.0328685	0.0183819	0.0143252	0.0122821	0.0120542	0.0152356	0.012929	0.0143455	0.0127486	0.0115684	0.0116106	0.0143533	0.0176773	0.0205903	0.022581	0.0144968	0.0174832	0.0165033	0.0223695	0.0360882	0.0405014	0.0408707	0.0299007	0.0160133	0.0155142	0.0131709	0.0150535	0.0163553	0.0167863	0.0364159	0.0605236
la	0.0437712	0.0342641	0.0359086	0.0339898	0.0347151	0.0313322	0.0188482	0.0201817	0.0258034	0.0265935	0.0249996	0.0328827	0.028312	0.0217343	0.0254051	0.0230593	0.0183258	0.0202847	0.0156811	0.0127869	0.0169543	0.0242649	0.0234225	0.0216481	0.0195104	0.015984	0.0215374	0.0216819	0.0309574	0.0415555	0.043516	0.0232165	0.0270191	0.0297289	0.0251402	0.0345705	0.0504134
pratique	0.0462557	0.0378621	0.030448	0.0340809	0.0330112	0.052892	0.0346426	0.0396616	0.0367367	0.0366929	0.0393632	0.0343404	0.0509859	0.045819	0.04347	0.0238608	0.0149506	0.0128454	0.0154617	0.0131315	0.0121172	0.0150532	0.0130209	0.0119359	0.0108886	0.0135626	0.0158945	0.0192548	0.018731	0.0251414	0.0298525	0.0116737	0.0138572	0.0249834	0.0190613	0.0288239	0.0396356
du	0.0831398	0.0327447	0.0322256	0.0172025	0.0170665	0.0130186	0.00819279	0.0075765	0.00506247	0.00567915	0.00565853	0.00505327	0.00508745	0.00692741	0.00698492	0.0108993	0.0174219	0.0193931	0.0190392	0.0205054	0.0152219	0.0354785	0.0203492	0.0107085	0.0145222	0.0145899	0.0200786	0.0269413	0.0371445	0.0517762	0.0361642	0.0321616	0.0553387	0.0764788	0.0484603	0.0622787	0.103428
kyebé-kyebé	0.0535412	0.0413296	0.0306543	0.0230025	0.0213991	0.0259459	0.0221995	0.0210717	0.013363	0.0152404	0.0170508	0.00735731	0.0112546	0.00934049	0.00806031	0.011333	0.0145444	0.0117236	0.0119291	0.0121663	0.00839346	0.0124002	0.00921345	0.00768738	0.0091602	0.0110582	0.0143226	0.0253787	0.0348048	0.0681389	0.0664005	0.0591336	0.0452445	0.0718245	0.0595566	0.0479743	0.0668008
</S>	0.0683389	0.0453224	0.0318637	0.0186815	0.0174854	0.0214834	0.0171329	0.0170573	0.0157205	0.0129368	0.0157591	0.011438	0.00926614	0.0125361	0.0106575	0.0158184	0.0181959	0.0183392	0.02142	0.019978	0.0197814	0.0341578	0.0197562	0.013868	0.01813	0.0271049	0.0407825	0.0783526	0.0563884	0.0322471	0.0402743	0.0265928	0.0222952	0.0446442	0.0319151	0.0338318	0.0404466
