 	a23	a87	a23	a20	a73	a32	a11	a24	a43	a11	a24	a41	a12	a18	a71	a24	a41	a37	a90	a25	a21	a41	a35	a66	a20	a94	a76	a41	a24	a32	a25	a38	a76	a73	a84	a57	a87	a23	a54	a73	a94	a20	a73	a32	a75	a73	a20	a84	a87	</S>
il	0.0621295	0.0551096	0.0490143	0.14685	0.161307	0.063251	0.0477985	0.038892	0.0436448	0.0184829	0.0295942	0.00956167	0.0105683	0.00682569	0.00711468	0.00684757	0.00468521	0.00526878	0.0044898	0.00302362	0.00354159	0.00369105	0.00418315	0.00355921	0.00218385	0.00340639	0.00287108	0.00238813	0.00295825	0.00317275	0.00345112	0.00235097	0.00225358	0.00292224	0.00334761	0.00529352	0.00287067	0.00473814	0.00321454	0.00476688	0.00531386	0.0120704	0.0131773	0.00831244	0.0187644	0.0172686	0.0177078	0.023989	0.0199614	0.021811
a	0.00167765	0.00224758	0.00165331	0.00221791	0.0073206	0.0138624	0.0296238	0.0379127	0.0452431	0.0343428	0.0356393	0.0423923	0.0614468	0.0475676	0.044734	0.0458445	0.0145142	0.0219606	0.0219909	0.0129312	0.0192225	0.0182636	0.0285421	0.021869	0.00887931	0.017622	0.0126531	0.00848662	0.0201071	0.0126273	0.0130991	0.0153405	0.00897169	0.00527236	0.00680533	0.00791539	0.00884494	0.00857062	0.00769751	0.00959535	0.0207784	0.0255677	0.0185591	0.011729	0.0177418	0.0244424	0.0303593	0.019494	0.0217402	0.0240793
versé	0.0101176	0.0083361	0.0064811	0.00345496	0.0088023	0.0441951	0.0267022	0.0255385	0.0474608	0.049859	0.0652975	0.0900231	0.0651412	0.0437654	0.0327041	0.0297477	0.0100436	0.0102821	0.0115122	0.00237929	0.00480049	0.0038678	0.00725955	0.00458284	0.0020215	0.0048088	0.00272272	0.00321057	0.00581807	0.00369814	0.00443507	0.00341195	0.00145088	0.00148828	0.00320233	0.00166005	0.00347619	0.00267099	0.00279776	0.00419027	0.0074819	0.0158232	0.0209037	0.0296906	0.0315776	0.0371348	0.0399907	0.0465377	0.0584203	0.0490215
les	0.0418734	0.0194521	0.0106263	0.00896615	0.0326492	0.0755303	0.0620637	0.0506275	0.0287631	0.042814	0.0371493	0.0731291	0.0542045	0.0285458	0.0192544	0.0206261	0.0106395	0.016854	0.0204111	0.00717431	0.0138829	0.0221354	0.0275712	0.0196764	0.00775603	0.0136685	0.00967071	0.00944989	0.00915774	0.00709403	0.00611313	0.00622588	0.00903899	0.013697	0.015141	0.0214905	0.0187967	0.0145848	0.0213999	0.0144159	0.0103717	0.005083	0.00387508	0.00510992	0.00314124	0.00361196	0.00338479	0.00390801	0.00480065	0.0143931
arrhes	0.00536138	0.00453004	0.00209279	0.00596493	0.0131051	0.025693	0.0253337	0.018797	0.0210492	0.0315734	0.02628	0.0323372	0.0311563	0.0267696	0.0264935	0.0301124	0.0288568	0.0243796	0.0305491	0.0182096	0.0352815	0.0310751	0.0548343	0.0408338	0.0251449	0.0336709	0.0210673	0.0219019	0.0192593	0.0196243	0.0183231	0.0197511	0.0223651	0.0285398	0.0206001	0.0315878	0.0185516	0.0141776	0.0209005	0.0181329	0.0105748	0.00953365	0.00499475	0.00799258	0.00525626	0.00436084	0.0025382	0.0028502	0.00264105	0.00499
sur	0.0279734	0.0203415	0.0155222	0.011652	0.0230051	0.0588781	0.0624949	0.0400319	0.0312994	0.0317995	0.030963	0.0249541	0.0229933	0.0100797	0.0122187	0.0136656	0.0103504	0.0113347	0.014794	0.00997369	0.0131748	0.0201934	0.0241362	0.0185567	0.011473	0.022349	0.0147017	0.0161671	0.0158558	0.0118862	0.0135305	0.0175895	0.0224033	0.0270328	0.0133015	0.00947867	0.00548193	0.00703903	0.00840675	0.00980441	0.0114049	0.0176389	0.013443	0.0153319	0.0150442	0.0180543	0.0206863	0.0203961	0.0239378	0.0571755
la	0.0315742	0.0191534	0.0114284	0.00966701	0.0133743	0.0196373	0.0150341	0.0157376	0.01167	0.00830348	0.00727353	0.00816617	0.00444228	0.00587441	0.00593661	0.00596189	0.00786735	0.00727031	0.0134015	0.0119127	0.0171684	0.0151001	0.012876	0.015066	0.0161396	0.0151462	0.0192023	0.0274661	0.0222718	0.0185598	0.0127675	0.0150359	0.0124688	0.0124151	0.0126403	0.0221893	0.0242854	0.0400997	0.032732	0.0466643	0.029769	0.0240775	0.0238215	0.0157216	0.02512	0.0297084	0.0349284	0.0236043	0.0567818	0.0924863
dot	0.013095	0.0116005	0.00419276	0.00432425	0.00303566	0.00574076	0.00451782	0.00829628	0.00630375	0.00522185	0.00347465	0.00370331	0.00269532	0.00153709	0.0015739	0.00249681	0.00352174	0.00217087	0.00577662	0.0038696	0.0103616	0.0085763	0.00821496	0.00751776	0.00948826	0.0113021	0.0103573	0.0112731	0.00972787	0.0118112	0.00796185	0.0187069	0.0289136	0.0387693	0.0346034	0.0714539	0.0541811	0.120914	0.0896175	0.105753	0.063411	0.0347898	0.0234468	0.0207044	0.0234696	0.0186638	0.0155079	0.0125734	0.0126943	0.00808506
de	0.0220252	0.0256262	0.0149069	0.0194432	0.0215126	0.0410629	0.0153755	0.0167559	0.0100084	0.00976451	0.0093929	0.0105832	0.00945549	0.00676539	0.00994658	0.00831222	0.00545776	0.00688678	0.0128447	0.00469463	0.0108081	0.0225864	0.0233064	0.0226346	0.00665299	0.016826	0.0100614	0.0127543	0.0151997	0.00950973	0.00755205	0.00892424	0.0142239	0.0256023	0.0287205	0.0263844	0.0171759	0.0360353	0.027156	0.0339557	0.0205724	0.0285974	0.0224439	0.0191912	0.0267815	0.0371816	0.0314905	0.0274272	0.0231224	0.106301
sa	0.0205354	0.0223936	0.0106774	0.0145139	0.010256	0.0196927	0.00819878	0.0100164	0.00926058	0.00793747	0.00809799	0.00778677	0.00722938	0.00746964	0.0095087	0.00964494	0.00781826	0.0101481	0.0116836	0.0105887	0.0143419	0.0185765	0.0190452	0.0197854	0.0129987	0.0163274	0.0131541	0.0164628	0.0206361	0.0150871	0.012557	0.00904975	0.0114756	0.0201657	0.0202429	0.0296313	0.028921	0.0486162	0.0404099	0.0558661	0.0401167	0.0354725	0.0364743	0.0190288	0.0298805	0.0298093	0.030187	0.0311525	0.0381832	0.0428862
