 	a66	a87	a10	a87	a97	a79	a69	a4	a58	a56	a44	a75	a56	a34	a90	a69	a11	a62	a88	a71	a90	a92	a6	a36	a47	a21	a5	a43	a93	a70	a11	a88	a26	a82	a97	a87	a97	a87	a97	a23	a38	a37	</S>
le	0.0212144	0.0274984	0.0198807	0.0176101	0.0302373	0.0463457	0.0800799	0.0457789	0.0429713	0.0673725	0.0393385	0.0453699	0.0249251	0.0336286	0.023265	0.0147385	0.0130276	0.0102853	0.00944528	0.00747175	0.0063428	0.0065204	0.00491673	0.00534174	0.00657891	0.0106214	0.0155205	0.019851	0.0348191	0.031188	0.018941	0.0257814	0.0164449	0.0133389	0.0169433	0.0140375	0.0216034	0.0189631	0.0118099	0.0164558	0.0133597	0.0155768	0.0345594
vent	0.00352194	0.00896717	0.00764346	0.01301	0.0387547	0.0374504	0.0474246	0.0381243	0.0502867	0.0717427	0.0674088	0.0557391	0.0523618	0.0635675	0.0668643	0.0489116	0.0599638	0.0876245	0.0415092	0.0375305	0.0255577	0.00970406	0.0125393	0.0140383	0.00354986	0.00449552	0.00240126	0.0018401	0.00223069	0.00311731	0.00259063	0.00251329	0.00175084	0.0019822	0.00138648	0.00166476	0.00201314	0.0021115	0.0014172	0.000782195	0.00103997	0.00149962	0.00136689
fait	0.0163577	0.0127724	0.017406	0.0149921	0.0206311	0.0271863	0.0378639	0.0363599	0.0504259	0.0519551	0.0552751	0.0732376	0.0599281	0.058302	0.0268278	0.0272711	0.0429894	0.0257104	0.025715	0.0573648	0.0564534	0.0330377	0.0358101	0.0337381	0.0208523	0.0221153	0.00989737	0.00439327	0.00812344	0.0045165	0.00558106	0.00356223	0.00309849	0.00168149	0.00279786	0.0015609	0.0025403	0.00167861	0.00283536	0.00183678	0.00220278	0.00198161	0.00113352
les	0.013992	0.00663088	0.00660709	0.00857146	0.00863361	0.00700858	0.00375268	0.00571766	0.00536116	0.0077267	0.0166861	0.0392083	0.0543334	0.0820239	0.0557213	0.0652416	0.119188	0.0722032	0.0540406	0.0983335	0.0516037	0.0333204	0.0226942	0.0232597	0.0193703	0.0121511	0.0118257	0.0052253	0.00356433	0.00546053	0.00408234	0.00517609	0.0041977	0.00526773	0.00626625	0.00612834	0.00737952	0.00596452	0.00863196	0.010442	0.00672042	0.00493212	0.00535424
ondulations	0.0118213	0.0117103	0.011164	0.0201612	0.0323163	0.0452664	0.0497319	0.0579448	0.0689676	0.0845163	0.0412185	0.0276154	0.0324161	0.0169209	0.0175555	0.0339976	0.0440853	0.0362462	0.0293902	0.039715	0.0221855	0.0212886	0.0218058	0.0212902	0.0250444	0.0201782	0.0199622	0.0134809	0.00591224	0.0076474	0.00902171	0.0150615	0.0113276	0.00960038	0.0105482	0.00565503	0.00779564	0.00642964	0.00682047	0.0103467	0.00743114	0.00400961	0.004396
sur	0.032385	0.0195884	0.0207556	0.0126443	0.0208746	0.0353234	0.0428407	0.0196307	0.0202639	0.0372453	0.0323108	0.0492244	0.0348436	0.0286446	0.0228418	0.0216364	0.0115161	0.00956642	0.00791948	0.0136725	0.0112825	0.0106663	0.00981217	0.0112786	0.0188505	0.0139513	0.0112993	0.0209059	0.0207035	0.0153065	0.0153236	0.0226229	0.0149956	0.0185465	0.0252466	0.0136479	0.026532	0.0317554	0.0335426	0.0410525	0.033295	0.0307681	0.0548869
l'	0.034047	0.0165114	0.0199948	0.0131983	0.0106682	0.0141379	0.0164507	0.0131025	0.0174825	0.0231894	0.0227297	0.022773	0.0239154	0.0205201	0.0149127	0.0152224	0.00754915	0.00500985	0.00699928	0.0109562	0.0107249	0.00986438	0.010754	0.0139848	0.0206118	0.0184912	0.0196411	0.0271181	0.0449477	0.0364446	0.0297346	0.0211137	0.0244816	0.025688	0.0322859	0.0370518	0.0285949	0.0394906	0.0489308	0.0331989	0.0310808	0.0541578	0.0522376
eau	0.0302556	0.0196691	0.0174015	0.0135474	0.011364	0.0107076	0.00988242	0.00909563	0.0153578	0.0174375	0.0209181	0.0229516	0.0290516	0.0306433	0.0224363	0.0247193	0.0151858	0.0136612	0.0169349	0.0171471	0.018828	0.0259998	0.0361883	0.0486204	0.0445167	0.0410614	0.0148879	0.0109063	0.0407013	0.0309761	0.0420234	0.0242651	0.0315667	0.0148697	0.0213044	0.0200064	0.019405	0.024211	0.0237306	0.0303244	0.025863	0.0264546	0.0149216
du	0.0437673	0.0368612	0.0375219	0.0314071	0.0286853	0.0366601	0.0456057	0.0315739	0.0446463	0.0613459	0.0418345	0.0463321	0.0297233	0.0297358	0.0139556	0.00872873	0.00443716	0.0037438	0.00474633	0.00456317	0.00452026	0.00514236	0.00380527	0.00617848	0.00654443	0.00727783	0.00375869	0.0145395	0.0355447	0.0260583	0.016695	0.0154733	0.00950855	0.00875947	0.012163	0.0142867	0.0188574	0.0208281	0.0248625	0.0431056	0.0251386	0.0362355	0.054841
lac	0.0347338	0.038456	0.0322891	0.0305192	0.0555025	0.031007	0.0270666	0.0164375	0.0172439	0.021922	0.0230737	0.0275691	0.035645	0.0382251	0.0386373	0.0447982	0.0311536	0.0230367	0.0221281	0.0231872	0.0207236	0.0172987	0.0140398	0.0161689	0.0144461	0.0108602	0.00594552	0.00811764	0.0145651	0.0139059	0.0127362	0.00957248	0.0104683	0.010102	0.0121953	0.0151334	0.0156661	0.0173927	0.0191092	0.0414598	0.0233215	0.0276303	0.0365095
</S>	0.037456	0.0429975	0.028647	0.0297073	0.0364368	0.0249675	0.0199343	0.0123289	0.0132842	0.0170355	0.0161352	0.0277468	0.0274412	0.0339607	0.0241144	0.0136383	0.00431076	0.00386758	0.00389339	0.00426509	0.0037295	0.00332383	0.00279485	0.00555734	0.00941866	0.0108611	0.014825	0.0258476	0.0413046	0.0399487	0.0228324	0.0266286	0.0192166	0.0228865	0.0253164	0.0265079	0.0270741	0.0329428	0.0275726	0.0406459	0.0332387	0.0336968	0.0816614
