 	a66	a87	a23	a40	a5	a61	a12	a96	a70	a98	a47	a36	a37	a75	a6	a37	a54	a6	a5	a61	a5	a37	a62	a88	a71	a93	a90	a69	a58	a82	a87	a23	a87	</S>
ces	0.0423485	0.0534192	0.034663	0.0215412	0.0599706	0.115677	0.128714	0.0995572	0.0651629	0.0452395	0.0315317	0.0287168	0.0148957	0.0177462	0.0242058	0.0188017	0.0174223	0.0153858	0.0133793	0.0159689	0.0172018	0.0130499	0.0137917	0.0123873	0.00944116	0.00836319	0.00762202	0.0072968	0.00636946	0.00747761	0.00613078	0.00842624	0.00776459	0.0103307
femmes	0.0093937	0.0141613	0.010581	0.0191641	0.0371113	0.0336417	0.0657502	0.0972476	0.0623312	0.0692681	0.125999	0.0754169	0.0613245	0.046938	0.0530117	0.0370395	0.0283408	0.021452	0.018587	0.00806129	0.00577289	0.0140083	0.00767709	0.0108369	0.0118191	0.00568022	0.0055888	0.00409835	0.00377372	0.00308605	0.00820788	0.00613968	0.0133728	0.00511683
ont	0.0512804	0.043077	0.0288966	0.0218806	0.0445797	0.0380019	0.0443433	0.0495123	0.0448263	0.0745841	0.0892789	0.0693549	0.0622693	0.029268	0.0201969	0.0133454	0.0143661	0.0195892	0.0165012	0.0133786	0.0233818	0.024184	0.015416	0.0127784	0.00789195	0.0146577	0.00850308	0.00856589	0.00994922	0.00609094	0.0274219	0.019562	0.0245678	0.00849881
attrapé	0.0558364	0.0411106	0.0285753	0.0171064	0.0190342	0.0167772	0.0289485	0.030901	0.0320226	0.0584111	0.0632131	0.0613571	0.0420578	0.0301663	0.0273278	0.0185828	0.0209847	0.025296	0.0267838	0.0322379	0.0295915	0.0278478	0.0291347	0.0163514	0.0139323	0.0141116	0.0178073	0.0204917	0.0197536	0.0207106	0.0277734	0.0182383	0.0309406	0.0365846
des	0.0352438	0.0173536	0.0160158	0.0109853	0.00950721	0.0104456	0.0075795	0.011823	0.0157275	0.030909	0.0425429	0.0499048	0.0582724	0.0645348	0.0517544	0.055263	0.0374392	0.0412415	0.0582585	0.0569853	0.0412209	0.0384938	0.0466538	0.0406332	0.036545	0.0187922	0.0174034	0.0186369	0.0122381	0.0114426	0.014952	0.00768179	0.00598908	0.00753025
grenouilles	0.0657823	0.0535075	0.0477528	0.0562696	0.0374686	0.0399327	0.0364815	0.0253551	0.0302997	0.0332964	0.0358472	0.0348916	0.0234533	0.0283209	0.0254791	0.0286685	0.0210336	0.0237962	0.0251325	0.0363673	0.028598	0.0318319	0.0349732	0.0372735	0.0297348	0.0249597	0.0269712	0.0186803	0.0121863	0.00956742	0.00998496	0.0094715	0.00721871	0.00941232
pendant	0.185425	0.0824663	0.0596501	0.023285	0.0123905	0.00699364	0.00944357	0.0119928	0.0233952	0.0207571	0.0233678	0.0233719	0.0260599	0.0155885	0.0168791	0.0123937	0.0126278	0.0202772	0.0213681	0.0211814	0.0207673	0.017244	0.0189285	0.0201537	0.0197734	0.0157574	0.0173527	0.0287961	0.0160473	0.0279895	0.0340831	0.0304994	0.0475396	0.0561539
la	0.121588	0.0730711	0.0490211	0.0211526	0.0124036	0.0191215	0.0253589	0.0186897	0.0274656	0.0243468	0.0220282	0.0260328	0.0218242	0.0127056	0.0119298	0.00853456	0.0114249	0.0176599	0.0136892	0.0176493	0.0157657	0.0141937	0.00990693	0.0201803	0.0150583	0.0158969	0.0307437	0.0386343	0.0320383	0.0459788	0.0494081	0.0422754	0.0596395	0.0545821
pêche	0.064068	0.0501947	0.0306842	0.0208182	0.0115332	0.0158886	0.021464	0.0216629	0.0326246	0.0416944	0.0371881	0.0371447	0.0261833	0.0204655	0.0197331	0.0146808	0.0159398	0.0228454	0.0192072	0.0245042	0.0191531	0.0170337	0.0111483	0.0196725	0.012662	0.0181262	0.0304867	0.0441249	0.0320198	0.0461314	0.0431483	0.0513133	0.0517171	0.0547377
</S>	0.0962195	0.0176867	0.00352596	0.00242171	0.00141111	0.00101378	0.00352191	0.00256279	0.0061552	0.0078696	0.00550254	0.0061323	0.00507444	0.00336562	0.00378439	0.00242652	0.00283612	0.00620346	0.00886282	0.0119713	0.0152575	0.0118676	0.0105028	0.0188449	0.0193052	0.0280286	0.04767	0.0727741	0.0587028	0.105219	0.101431	0.0909392	0.144784	0.0761256
