 	a23	a87	a10	a30	a57	a87	a40	a73	a84	a40	a41	a94	a41	a66	a25	a58	a53	a96	a75	a73	a44	a38	a75	a12	a62	a90	a4	a57	a9	a38	a93	a70	a66	a9	a87	a23	a90	a75	a12	a21	a90	a57	a53	a94	a15	a73	a90	a70	a11	a90	a4	a57	a82	a87	a23	a87	</S>
la	0.0415934	0.0377257	0.0205568	0.0255504	0.0282797	0.0360758	0.0122158	0.0192869	0.0101616	0.0101378	0.0120205	0.0117746	0.0126821	0.0175125	0.0155136	0.010836	0.0146287	0.0134681	0.0133314	0.0131632	0.014824	0.014128	0.0135033	0.0145149	0.0135782	0.00631736	0.00852231	0.00672817	0.00718116	0.00645152	0.00582973	0.00874854	0.00728635	0.00931906	0.00728828	0.00556516	0.00538308	0.00739321	0.00585856	0.011112	0.0104389	0.00934058	0.00799838	0.0127232	0.0093077	0.0186958	0.0114434	0.0187336	0.0273037	0.0496491	0.0249237	0.070115	0.0360613	0.0519506	0.0432893	0.0167011	0.0252771
porte	0.00120399	0.00297953	0.00678268	0.0127235	0.013142	0.0393227	0.0331967	0.030924	0.054703	0.059886	0.0648563	0.0707759	0.0505568	0.0703112	0.0699016	0.0804468	0.0533034	0.0604244	0.0307788	0.0271919	0.0143838	0.00939302	0.0128833	0.0128252	0.00999724	0.0054417	0.00469521	0.00608178	0.00487684	0.00414493	0.00388249	0.00667573	0.00543511	0.00728995	0.00515299	0.00178176	0.00564448	0.00319207	0.00336327	0.00337582	0.001883	0.00200536	0.00456266	0.0021927	0.00278504	0.00233641	0.00105215	0.00165468	0.00204475	0.00126734	0.00112749	0.00151842	0.00105525	0.00223455	0.00198604	0.00269117	0.00367494
de	0.0355683	0.0437793	0.0814028	0.0409512	0.0380265	0.0293845	0.027024	0.0316397	0.0115	0.0164666	0.0238184	0.0211083	0.022553	0.0264731	0.0192697	0.0149989	0.0159814	0.0284593	0.0206525	0.015928	0.0131544	0.00763802	0.0218895	0.0205754	0.0228509	0.00726915	0.0176526	0.0125691	0.00968036	0.011432	0.015992	0.0177956	0.0158429	0.0136312	0.01306	0.00952278	0.007882	0.008629	0.00683705	0.0141989	0.0122894	0.0132258	0.00852966	0.0134993	0.012275	0.00745624	0.00624984	0.012708	0.0107638	0.00922283	0.013538	0.0124309	0.00770526	0.00363762	0.00514599	0.0126687	0.00556528
la	0.0113959	0.0138984	0.0116554	0.00848247	0.00944007	0.0126703	0.00914496	0.0208074	0.0413767	0.0291568	0.0406984	0.0397722	0.0450892	0.0527482	0.0551261	0.0593932	0.0355588	0.0431814	0.0427233	0.0478437	0.0305713	0.0173129	0.0184834	0.0247322	0.0168333	0.0127692	0.013304	0.01244	0.0118793	0.0113864	0.0119134	0.0151464	0.0100657	0.00717373	0.00594731	0.00545735	0.00504942	0.00649029	0.00705206	0.00394114	0.00387245	0.00346538	0.00305642	0.00588022	0.00377216	0.00633408	0.00808397	0.00831328	0.0124315	0.00857359	0.00816252	0.00881108	0.00790789	0.00720066	0.00773806	0.00734077	0.0109444
case	0.0120186	0.0150787	0.0161976	0.0152635	0.0165916	0.00816561	0.0170446	0.00928735	0.00816796	0.0133618	0.0114526	0.00912089	0.0110591	0.00942146	0.0165289	0.0117806	0.0228731	0.0359723	0.0111461	0.0189319	0.0228114	0.0190206	0.0379768	0.0231167	0.0259893	0.0170438	0.0276349	0.0242056	0.0171055	0.022049	0.0162347	0.017355	0.016676	0.018127	0.0306956	0.0244033	0.0133964	0.023852	0.0237982	0.0130531	0.0205309	0.017525	0.0192899	0.0140476	0.0106714	0.0133676	0.014182	0.0209864	0.0153651	0.0101899	0.0113464	0.0137116	0.0136782	0.0183962	0.0209601	0.0163544	0.025388
est	0.0401202	0.0347901	0.0295733	0.0160577	0.0151182	0.00627483	0.0108843	0.00935112	0.0151175	0.0228231	0.0577632	0.0240666	0.0417533	0.0318951	0.0349063	0.0221752	0.0368471	0.0359132	0.017826	0.0142613	0.0140284	0.00940203	0.0140083	0.0101839	0.0130366	0.00706276	0.0100567	0.00504304	0.0063845	0.00591891	0.00638163	0.0080061	0.00468064	0.0109278	0.00536251	0.00688302	0.00383465	0.00437273	0.00506578	0.009756	0.0114457	0.0122358	0.0113661	0.0114408	0.0155577	0.0122355	0.0121922	0.0155207	0.0131116	0.0181774	0.0172142	0.0296236	0.0206135	0.0238611	0.0263379	0.0350141	0.0361383
mal	0.0124529	0.00961541	0.00885413	0.00757324	0.00753138	0.00629746	0.00675241	0.00651779	0.00627986	0.00783813	0.00782344	0.00523	0.00546823	0.0078478	0.00649858	0.00414714	0.0128165	0.0193215	0.0137188	0.019511	0.0248943	0.0290597	0.0401938	0.0173524	0.026151	0.0111639	0.0117691	0.0101102	0.00816594	0.0117743	0.012089	0.0139664	0.0161693	0.0293194	0.0228573	0.0189316	0.0139165	0.0217666	0.0201651	0.018108	0.0212099	0.0206659	0.0237519	0.0162266	0.0207613	0.0164498	0.0243532	0.0219678	0.0253397	0.0255684	0.0336142	0.0296044	0.0347879	0.0332115	0.0476075	0.0231428	0.021718
ajustée	0.0259839	0.0202547	0.0183059	0.0118547	0.00795111	0.00547138	0.00402635	0.00451108	0.00490155	0.00654385	0.00794093	0.00587774	0.00747771	0.00623514	0.00624425	0.0023437	0.00599219	0.00968352	0.00830682	0.00767988	0.00964161	0.01097	0.0194309	0.0155556	0.0160908	0.0137912	0.0158591	0.0127278	0.0101868	0.0124637	0.0147791	0.0140317	0.013758	0.0230358	0.0130512	0.00705435	0.00432442	0.00905302	0.00809767	0.0118865	0.0154712	0.0161478	0.0137132	0.0160376	0.0116049	0.0106439	0.014196	0.0213837	0.0242817	0.033545	0.0399008	0.0485884	0.0398404	0.0616979	0.100903	0.0418381	0.0568311
elle	0.0227825	0.0200081	0.0174401	0.00805096	0.00612017	0.00382086	0.00426644	0.00564532	0.00651296	0.00820646	0.0108403	0.0112045	0.0106855	0.0180543	0.0165176	0.00897969	0.0199973	0.0281794	0.0106143	0.0114361	0.0173926	0.0196913	0.028256	0.0216041	0.0230088	0.00936479	0.00995085	0.0055353	0.0057209	0.00655633	0.00661752	0.00925808	0.00857881	0.0166268	0.0106285	0.00494413	0.00318273	0.00479547	0.0043507	0.00457175	0.00737038	0.00560692	0.00526412	0.00702485	0.00660284	0.00844484	0.0107759	0.0180882	0.0251327	0.0378626	0.0422987	0.0562371	0.0492248	0.0709565	0.0723381	0.0319842	0.074789
baille	0.0200388	0.0148211	0.0116753	0.00696785	0.00563131	0.00407167	0.00478934	0.00479422	0.00386613	0.0042446	0.00528023	0.00539037	0.00505805	0.00856207	0.00882473	0.00452233	0.00866604	0.0151435	0.00651636	0.00898678	0.0142238	0.0154484	0.0182948	0.011788	0.0148214	0.00959984	0.0107746	0.00908987	0.00854945	0.0121965	0.0118008	0.0171475	0.0184287	0.026836	0.0247567	0.0228417	0.0208815	0.0127367	0.0141464	0.0203776	0.0208083	0.0185552	0.0240134	0.0265152	0.0231454	0.0238075	0.0234227	0.0297755	0.0279227	0.0322662	0.0261151	0.0234159	0.0325343	0.0424814	0.0537776	0.0400901	0.0587622
