 	a66	a87	a23	a87	a23	a99	a40	a5	a43	a31	a61	a47	a75	a25	a79	a69	a43	a21	a61	a31	a88	a71	a0	a24	a61	a21	a61	a31	a62	a88	a93	a4	a93	a34	a47	a31	a62	a93	a35	a7	a26	a3	a97	a99	a87	a23	a87	a23	a87	</S>
j'	0.0250697	0.0203458	0.0266594	0.0231332	0.0182892	0.0384213	0.0537602	0.0420714	0.0218537	0.0307264	0.015255	0.0119574	0.00555125	0.00691174	0.0127086	0.00564239	0.0066213	0.0096768	0.0128778	0.0102102	0.0180921	0.0209105	0.0195756	0.015985	0.0146423	0.0225673	0.0177316	0.0132543	0.0258935	0.0156438	0.0418553	0.0290731	0.0324932	0.0274388	0.0240922	0.0146015	0.0232626	0.0223901	0.0289598	0.019505	0.0161178	0.0188964	0.0120164	0.0129367	0.0105513	0.012411	0.0165174	0.0178227	0.0178399	0.0191799
ai	0.0239657	0.0202679	0.0242622	0.0193847	0.0203142	0.0193955	0.0272021	0.057324	0.0257882	0.0384041	0.0353023	0.0259084	0.0232898	0.0129189	0.0229134	0.0246839	0.0215189	0.028883	0.017829	0.0195887	0.0239872	0.0251193	0.0212916	0.0252613	0.0187223	0.0160357	0.0257739	0.0185375	0.021968	0.0347111	0.0143146	0.0118754	0.00672537	0.0123994	0.015079	0.0129535	0.0145435	0.0191997	0.0117376	0.0109165	0.00693872	0.00783805	0.00701282	0.00976799	0.0122773	0.0107019	0.0155875	0.0141	0.0178778	0.0276005
avalé	0.0259677	0.0177395	0.0209051	0.0152103	0.0206499	0.00953106	0.015271	0.0337828	0.0150397	0.0316553	0.023058	0.0169742	0.0131265	0.0139164	0.00982103	0.0230008	0.0172331	0.0323855	0.0260325	0.0291497	0.0261395	0.014699	0.0236486	0.0186799	0.0130174	0.0169565	0.0281422	0.0229857	0.0328106	0.0221153	0.0212148	0.0178339	0.0123871	0.00858955	0.0118048	0.0139235	0.0117952	0.0131617	0.00741224	0.015335	0.0130491	0.0212048	0.0187145	0.0205391	0.0258122	0.0205651	0.0228404	0.0246026	0.0437909	0.0257787
un	0.0430435	0.0267305	0.0238517	0.0195775	0.0263753	0.0227159	0.0306957	0.0287239	0.0232904	0.0281571	0.0238825	0.0234265	0.0149672	0.0227971	0.0143198	0.0195885	0.017395	0.0192522	0.0186245	0.0214425	0.0149736	0.0131919	0.0220473	0.0195571	0.0180034	0.0256523	0.0310832	0.0249793	0.0220127	0.0209273	0.0178083	0.00793337	0.0117558	0.0138524	0.0128719	0.0319394	0.0145797	0.00944651	0.0105151	0.00785644	0.0139716	0.0127633	0.018988	0.0216618	0.0194537	0.0156836	0.021084	0.0171013	0.0157062	0.0237425
médicament	0.026241	0.0226938	0.0165335	0.0156305	0.0287086	0.0385673	0.0532129	0.0326032	0.0443835	0.0359744	0.0231483	0.0375947	0.0317061	0.0404294	0.0386154	0.033237	0.0245787	0.0363203	0.0424158	0.0615158	0.0255035	0.0205356	0.0165829	0.0235518	0.0265153	0.0214686	0.015596	0.0154676	0.0135828	0.00742075	0.0118413	0.00577549	0.0119307	0.00455661	0.00591156	0.0041247	0.00441034	0.00335261	0.00324031	0.00290212	0.00297441	0.00444282	0.00363659	0.00481043	0.00861454	0.00684303	0.0101907	0.0107558	0.0117449	0.00760576
du	0.0491559	0.0329562	0.0268259	0.0137606	0.00782412	0.00810328	0.0161791	0.0198084	0.0334266	0.0457079	0.0362414	0.037397	0.0395089	0.0417241	0.0252928	0.0232575	0.0162087	0.0237211	0.027795	0.0265275	0.0277357	0.0246463	0.0277236	0.0246244	0.0193606	0.0183929	0.0161669	0.0105034	0.0119152	0.0059353	0.00794741	0.00288598	0.00383409	0.00355972	0.00340146	0.00572326	0.00273634	0.00454125	0.00516726	0.00469796	0.008558	0.0126978	0.0155761	0.0146844	0.0223462	0.0220867	0.0293292	0.0242208	0.0348381	0.0327418
fait	0.0221198	0.0165222	0.0176537	0.0138772	0.0109953	0.0132585	0.0137419	0.0117446	0.0144867	0.0163165	0.0145752	0.0145897	0.0169314	0.0359577	0.020634	0.0497611	0.0386262	0.0747085	0.0808207	0.0907101	0.0642959	0.0343242	0.0342659	0.0209502	0.0185941	0.0350597	0.0299232	0.0143393	0.016984	0.0148026	0.00950732	0.00866823	0.0112898	0.00475105	0.00482557	0.0046247	0.00294371	0.0036816	0.00309918	0.00379978	0.00377168	0.00414237	0.00482894	0.00551122	0.00729281	0.00767478	0.00850113	0.0111947	0.0115928	0.00672852
que	0.0359731	0.0137296	0.0236788	0.0175298	0.0124598	0.0116416	0.0121345	0.00788871	0.0132117	0.012255	0.013365	0.0288427	0.0186157	0.0294275	0.0342553	0.0319757	0.0190243	0.0452836	0.0369433	0.0246961	0.0329852	0.0271663	0.029922	0.0199567	0.0154036	0.0218902	0.0123728	0.00726037	0.0082738	0.00716886	0.00870825	0.00771814	0.00666334	0.00886404	0.00837861	0.0109784	0.00821742	0.00703388	0.00756486	0.00802153	0.0122501	0.0130887	0.0179341	0.0308128	0.0383631	0.037532	0.0312313	0.0307797	0.0475798	0.032948
j'	0.0364214	0.0144717	0.00954367	0.00749484	0.00611984	0.0042065	0.00551737	0.00469183	0.00511942	0.00856782	0.00515444	0.00488802	0.00730811	0.00533407	0.00702726	0.00536104	0.00434573	0.00808959	0.00948758	0.0109329	0.0238767	0.0250984	0.0321827	0.0350743	0.0373535	0.0380003	0.0454138	0.0403403	0.0483121	0.0281439	0.0482269	0.0265397	0.0326937	0.0267151	0.0281374	0.0251307	0.0264794	0.0120964	0.0148401	0.00906578	0.0166809	0.019113	0.0148927	0.0210188	0.0398044	0.0276359	0.0212654	0.0225167	0.0267048	0.0165631
ai	0.0204811	0.0106089	0.0133373	0.0144375	0.0085177	0.00971885	0.0113491	0.00963782	0.0118831	0.0191041	0.0134522	0.0100991	0.0147322	0.0162848	0.0157359	0.0217476	0.0223021	0.0302331	0.0200992	0.0252584	0.0319519	0.0241537	0.0302198	0.0205999	0.0155412	0.0204861	0.0261834	0.0180319	0.0261657	0.0197371	0.0216761	0.0174596	0.0129942	0.00987114	0.0140113	0.0148951	0.0202458	0.0109032	0.0172988	0.0170986	0.0227119	0.0160281	0.0297647	0.0354511	0.0377787	0.0352108	0.0274664	0.0260875	0.0400024	0.0209538
